50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.877,,,,,,,,,,,,b10cf2e1-a15f-4ddf-b147-7b907357f686,929,,,"[112.0, 46.0]",7492,23,,,,,,,,,,,,,,,,,,,1,From Corner,Dani Weatherholt,5062.0,Center Defensive Midfield,56,Orlando Pride,764,['05b962f4-d194-463a-8ee0-e611045a1427'],45,,Head,,"[115.0, 59.0]",,"[{'location': [107.0, 48.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 21.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 29.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 39.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.0, 46.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [111.0, 43.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 39.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [97.0, 36.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [111.0, 39.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.0, 47.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",505a0baf-26ca-40b4-9d92-cfe9abbefedd,,,Wayward,0.06562074,Normal,Open Play,,,,Orlando Pride,764,00:23:45.600,Shot,
,,,,,,,,,,,,0.215,,,,,,,,,,,,4b4bb5b0-3444-4b2d-a5bf-90aed1fe69f7,1120,,,"[103.0, 46.0]",7492,27,,,,,,,,,,,,,,,,,,,1,From Throw In,Imani Dorsey,7180.0,Left Midfield,59,NJ/NY Gotham FC,763,['6f5db0fa-6e70-4a38-9bc1-f7af9b442a40'],49,,Right Foot,,"[108.0, 40.7, 0.7]",,"[{'location': [79.0, 62.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.0, 43.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.0, 30.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [78.0, 32.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.0, 46.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [94.0, 28.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [97.0, 41.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.0, 39.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [87.0, 48.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [89.0, 59.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [74.0, 48.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 54.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",c0dae1f7-d00a-4f3f-99d6-f31ac6a8444f,True,,Saved,0.4124825,Normal,Open Play,,,,NJ/NY Gotham FC,763,00:27:49.982,Shot,
,,,,,,,,,,,,0.495,,,,,,,,,,,,3c63e4a9-305b-42db-9a32-8bb89a7a9c19,1261,,,"[99.0, 31.0]",7492,32,,,,,,,,,,,,,,,,,,,1,From Free Kick,Raquel Rodriguez,4967.0,Left Defensive Midfield,66,NJ/NY Gotham FC,763,"['55992420-1f05-40bc-af57-67e6f9f2979d', '830eaa83-d654-4f40-b1ae-c0c5293da10d']",52,,Right Foot,,"[106.0, 36.0]",,"[{'location': [108.0, 47.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.0, 52.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.0, 40.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 44.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.0, 32.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 33.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [109.0, 47.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [110.0, 31.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.0, 52.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.0, 35.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 40.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 30.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.0, 43.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.0, 34.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,,Blocked,0.087423205,Normal,Free Kick,,,,NJ/NY Gotham FC,763,00:32:52.719,Shot,
,,,,,,,,,,,,1.452,,,,,,,,,,,,215e10b3-6d34-468b-86dd-b8810b25521d,1632,,,"[94.0, 39.0]",7492,41,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marta Vieira da Silva,5082.0,Left Center Forward,85,Orlando Pride,764,['c55d734d-77b2-4aa6-83c7-4f0072f5ca87'],45,,Left Foot,True,"[120.0, 36.8, 2.7]",,"[{'location': [105.0, 39.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [105.0, 49.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 33.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [105.0, 36.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 58.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.0, 36.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [91.0, 35.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.0, 43.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 47.0], 'player': {'id': 5089, 'name': 'Ali Krieger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.0, 37.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 40.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 49.0], 'player': {'id': 5070, 'name': 'Christine Nairn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.0, 46.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [105.0, 48.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.0, 48.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.0, 46.0], 'player': {'id': 8199, 'name': 'Toni Pressley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Post,0.0684883,Normal,Free Kick,,,,Orlando Pride,764,00:41:45.812,Shot,
,,,,,,,,,,,,0.897,,,,,,,,,,,,28c824c7-2bd5-4f58-bb96-39a586000b90,1636,,,"[113.0, 40.0]",7492,41,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dani Weatherholt,5062.0,Center Defensive Midfield,85,Orlando Pride,764,['10711301-22e9-46c9-9634-f6fd364988bc'],48,,Left Foot,,"[119.0, 39.1, 2.4]",True,"[{'location': [108.0, 39.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 38.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [105.0, 49.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 32.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 51.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [106.0, 42.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 36.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Saved,0.4502391,Volley,Open Play,,,,Orlando Pride,764,00:41:48.424,Shot,
,,,,,,,,,,,,1.618,,,,,,,,,,,,6b0f424a-3a8f-498f-9f09-f405962c70f3,1692,,,"[101.0, 43.0]",7492,42,,,,,,,,,,,,,,,,,,,1,Regular Play,Emily Louise van Egmond,5076.0,Right Center Midfield,89,Orlando Pride,764,['e0f52e35-33bd-47eb-8c2c-39ec011d2393'],57,,Right Foot,,"[120.0, 45.6, 3.2]",,"[{'location': [104.0, 41.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 45.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 25.0], 'player': {'id': 5096, 'name': 'Savannah McCaskill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [106.0, 50.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [100.0, 57.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 65.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.0, 47.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.0, 60.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [107.0, 60.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 50.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",dea6523a-fb8f-4dc8-be3a-a11dc0b3ae1f,,,Off T,0.08916954,Lob,Open Play,,,,Orlando Pride,764,00:42:57.355,Shot,
,,,,,,,,,,,,0.163,,,,,,,,,,,,0b2937de-a5a7-4edf-a253-c5d393bbe6bb,1729,,,"[106.0, 33.0]",7492,44,,,,,,,,,,,,,,,,,,,1,Regular Play,Marta Vieira da Silva,5082.0,Left Center Forward,92,Orlando Pride,764,"['68e00479-7301-4964-9698-6a1716e2b414', '993efb45-f669-44a0-84fc-0fa6e0583e1f']",15,,Right Foot,,"[110.0, 40.0]",,"[{'location': [110.0, 23.0], 'player': {'id': 4968, 'name': 'Madison Tiernan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [107.0, 28.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 37.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [111.0, 55.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.0, 39.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 50.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 26.0], 'player': {'id': 4986, 'name': 'Shea Groom'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.0, 25.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",24659c97-ab66-43b3-a086-f05fa15893b7,,,Blocked,0.20417853,Normal,Open Play,,,,Orlando Pride,764,00:44:15.083,Shot,
,,,,,,,,,,,,1.8,,,,,,,,,,,,a6f48ffc-b369-413b-9ec4-ca9c6714a9e7,1897,,,"[109.0, 24.0]",7492,49,,,,,,,,,,,,,,,,,,,2,From Throw In,Dani Weatherholt,5062.0,Center Defensive Midfield,106,Orlando Pride,764,['89dcf8ab-5f6d-41ae-8b48-aad83b841155'],58,,Right Foot,,"[117.0, 38.9, 2.2]",,"[{'location': [112.0, 17.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 42.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.0, 23.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 20.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 14.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [93.0, 42.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.0, 26.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 39.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.0, 40.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 21.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e8a2790b-f87f-4300-afce-838677369e52,,,Saved,0.046030365,Normal,Open Play,,,,Orlando Pride,764,00:04:58.619,Shot,
,,,,,,,,,,,,0.443,,,,,,,,,,,,adce9e2d-1175-4a74-b3cc-a9f5fd9a9be1,1900,,,"[117.0, 40.0]",7492,50,,,,,,,,,,,,,,,,,,,2,From Throw In,Marta Vieira da Silva,5082.0,Left Center Forward,106,Orlando Pride,764,['50801e56-ffe6-4df7-b374-d9888446a267'],1,,Left Foot,,"[120.0, 39.5, 0.5]",True,"[{'location': [102.0, 43.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.0, 45.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [117.0, 42.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 38.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,True,Goal,0.8224703,Volley,Open Play,,,,Orlando Pride,764,00:05:01.209,Shot,
,,,,,,,,,,,,1.681,,,,,,,,,,,,52ef077c-8472-45e4-81b1-8b4381810c12,1941,,,"[117.0, 46.0]",7492,51,,,,,,,,,,,,,,,,,,,2,Regular Play,Marta Vieira da Silva,5082.0,Left Center Forward,108,Orlando Pride,764,['dfe252c4-cc33-4da8-bc71-f7bf019329e4'],39,,Head,,"[120.0, 38.1, 2.8]",,"[{'location': [112.0, 23.0], 'player': {'id': 4985, 'name': 'Christina Gibbons'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 50.0], 'player': {'id': 7180, 'name': 'Imani Dorsey'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [119.0, 22.0], 'player': {'id': 4974, 'name': 'Mandy Freeman'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 26.0], 'player': {'id': 4988, 'name': 'Sarah Killion'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 5086, 'name': 'Rachel Hill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 53.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.0, 40.0], 'player': {'id': 4967, 'name': 'Raquel Rodriguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 4970, 'name': 'Amanda Frisbie'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 39.0], 'player': {'id': 5098, 'name': 'Erica Skroski'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 19.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.0, 37.0], 'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",ae6ccf25-79ef-432e-a83e-958258ecca20,,,Post,0.30292138,Diving Header,Open Play,,,,Orlando Pride,764,00:06:39.675,Shot,
