50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.066414,,,,,,,,,,,,,,6d795cf6-3326-4e17-8afc-9f07a3ee75eb,143,,"[85.5, 47.5]",3754267,2,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Odion Jude Ighalo,5458.0,Center Attacking Midfield,10,Watford,23,['26dabcfa-c62a-48b6-baec-26bf9b48c025'],57,,Right Foot,"[117.9, 41.4, 2.1]",,"[{'location': [93.4, 44.6], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.7, 48.4], 'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.6, 29.2], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.9, 28.0], 'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.8, 40.3], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.8, 38.1], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [73.4, 39.3], 'player': {'id': 40124, 'name': 'Rickie Lambert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [85.8, 45.0], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [84.1, 39.6], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.2, 58.3], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [79.4, 26.0], 'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [89.1, 35.3], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.7, 47.5], 'player': {'id': 5556, 'name': 'Miguel Arturo Layún Prado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.7, 67.9], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",eb8dfc95-b62a-473e-9e75-789a0f60bb00,,Saved,,0.012684767,Normal,Open Play,,,,Watford,23,00:02:57.731,Shot,
,,,,,,,,,,,,,,,,,0.618751,,,,,,,,,,,,,,688a0d45-2fdd-468e-8981-754b1b9f7010,257,,"[110.2, 36.9]",3754267,5,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Troy Deeney,3454.0,Center Forward,19,Watford,23,"['887f5675-d995-4408-bef2-163668dd0118', 'a77fab46-c6db-475b-b274-a87d9cfd5c46']",11,True,Head,"[120.0, 30.9, 1.1]",,"[{'location': [109.8, 41.7], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.4, 25.3], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.8, 40.8], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.9, 36.3], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.8, 40.1], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.9, 40.8], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 32.2], 'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.0, 41.1], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 48.1], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.8, 59.9], 'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.2, 30.4], 'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",b3b211e6-87ad-40e7-b173-653f9999996d,,Off T,,0.08240895,Normal,Open Play,,,,Watford,23,00:05:11.536,Shot,True
,,,,,,,,,,,,,,,,,0.26494,,,,,,,,,,,,,,682429d0-b9d7-42f1-be87-018ebb099c1b,456,,"[107.4, 38.3]",3754267,9,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Troy Deeney,3454.0,Center Forward,29,Watford,23,"['07dcbf22-bdcd-4a86-9b61-839eedfe80cf', '470a9121-3381-4b15-8398-13cf9a22b475']",46,,Head,"[109.3, 37.7]",,"[{'location': [110.5, 41.2], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.7, 35.1], 'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [90.9, 22.8], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.9, 37.3], 'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.4, 38.4], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 25.4], 'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [115.4, 34.1], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.6, 32.7], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.3, 38.4], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.1, 36.0], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.3, 42.3], 'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.8, 45.9], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.4, 16.9], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",6b1eefdc-0ecf-4985-869b-065933de49f4,,Blocked,,0.09719173,Diving Header,Open Play,,,,Watford,23,00:09:46.373,Shot,
,,,,,,,,,,,,,,,,,0.196328,,,,,,,,,,,,,,eed26c86-f328-4f2a-9f97-f6706abca334,555,,"[87.7, 42.4]",3754267,13,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rickie Lambert,40124.0,Right Center Forward,35,West Bromwich Albion,27,"['0911bce2-1650-4ded-b6b3-770b77c85fe7', 'a20a9394-6516-4b0f-91c2-a41765fb13e9']",33,,Right Foot,"[92.3, 42.2]",,"[{'location': [94.2, 22.4], 'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.2, 43.7], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.4, 36.9], 'player': {'id': 5556, 'name': 'Miguel Arturo Layún Prado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [93.2, 42.0], 'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.3, 22.4], 'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [83.4, 47.2], 'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [90.7, 23.4], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.6, 39.0], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.2, 53.4], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [100.6, 50.6], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",29f7eccc-6262-43f4-a488-dfc16304fcc6,,Blocked,,0.021752944,Normal,Open Play,,,,West Bromwich Albion,27,00:13:33.168,Shot,
,,,,,,,,,,,,,,,,,0.71101,,,,,,,,,,,,,,f868e6d8-4229-453e-8235-449f907c759a,588,,"[103.3, 61.4]",3754267,14,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Troy Deeney,3454.0,Center Forward,36,Watford,23,['7eb4a8b5-03c7-4eda-a34d-bddd24c15328'],1,,Right Foot,"[117.9, 41.9, 0.5]",True,"[{'location': [95.8, 35.6], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.6, 56.4], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.6, 51.1], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.7, 42.0], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",800bc12b-df83-43a7-8aa5-4face974989a,,Saved,,0.011557692,Half Volley,Open Play,,,,Watford,23,00:14:01.999,Shot,
,,,,,,,,,,,,,,,,,0.677003,,,,,,,,,,,,,,32cc34dd-14ae-495c-90a4-9ca9df6bb7d6,768,,"[106.8, 31.6]",3754267,19,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Manuel Jurado Marín,6870.0,Left Wing,44,Watford,23,['4075fba1-d216-4a6b-857f-9a83f248ea3f'],8,,Head,"[120.0, 43.1, 5.4]",True,"[{'location': [106.5, 56.3], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.1, 45.6], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 42.2], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.8, 43.1], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 34.3], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.8, 39.7], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.3, 29.5], 'player': {'id': 40118, 'name': 'Ikechi Anya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.7, 45.0], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.4, 41.0], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",399984ac-86a1-41c7-8088-3b8f83a53ac2,,Off T,,0.097159244,Normal,Open Play,,,,Watford,23,00:19:08.141,Shot,
,,,,,,,,,,,,,,,,,0.478458,,,,,,,,,,,,,,f1dccb3b-15ff-491a-ae75-55a3c7660a02,1016,,"[115.5, 40.4]",3754267,27,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Rickie Lambert,40124.0,Right Center Forward,56,West Bromwich Albion,27,"['de0e3e41-315a-4084-884f-157c6103c902', 'e195aef9-7712-45ab-9f6f-c804717b450a']",13,True,Head,"[117.7, 33.9]",,"[{'location': [119.1, 40.0], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.2, 47.2], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.5, 51.8], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 37.8], 'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 37.7], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.5, 35.1], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.6, 39.8], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.2, 43.9], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 38.4], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.7, 37.9], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.4, 32.5], 'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.9, 39.9], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",de1c1b07-8be7-4748-ad49-fa9e0ea95025,,Wayward,,0.21011949,Normal,Open Play,,,,West Bromwich Albion,27,00:27:13.787,Shot,True
,,,,,,,,,,,,,,,,,0.482221,,,,,,,,,,,,,,5cd72ae3-f905-4160-958c-f82cf70f99d8,1019,,"[116.8, 33.0]",3754267,27,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Saido Berahino,4630.0,Left Center Forward,56,West Bromwich Albion,27,['364638d3-8c25-4104-a22c-b3441351a09c'],14,,Head,"[120.0, 35.3, 4.9]",,"[{'location': [109.6, 40.0], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.5, 39.7], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.1, 47.8], 'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [114.5, 44.0], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.9, 43.0], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.0, 39.7], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.7, 35.8], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 38.8], 'player': {'id': 3309, 'name': 'Sebastian Prödl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.2, 53.0], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.2, 40.6], 'player': {'id': 3522, 'name': 'Heurelho da Silva Gomes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.7, 49.5], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.6, 44.0], 'player': {'id': 40124, 'name': 'Rickie Lambert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [114.4, 40.1], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,True,Off T,,0.16422348,Normal,Open Play,,,,West Bromwich Albion,27,00:27:14.488,Shot,
,,,,,,,,,,,,,,,,,0.592765,,,,,,,,,,,,,,f61eef64-209d-4610-82f8-1ee155c3369a,1052,,"[99.4, 30.3]",3754267,28,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Allan Romeo Nyom,3991.0,Right Back,60,Watford,23,['81eeda36-3b89-463e-a23c-feede7803246'],51,,Left Foot,"[116.4, 37.8, 1.7]",,"[{'location': [102.1, 44.3], 'player': {'id': 5556, 'name': 'Miguel Arturo Layún Prado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.1, 50.8], 'player': {'id': 6870, 'name': 'José Manuel Jurado Marín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.0, 37.2], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.6, 32.9], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 30.9], 'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.7, 42.0], 'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",8db376c3-3283-4786-846f-7c95e90eae51,,Saved,,0.04925947,Normal,Open Play,,,,Watford,23,00:28:51.299,Shot,
,,,,,,,,,,,,,,,,,1.083568,,,,,,,,,,,,,,de520b79-f243-4fb9-92fd-a8b87dc688f8,1110,,"[93.0, 35.6]",3754267,31,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,José Manuel Jurado Marín,6870.0,Left Wing,66,Watford,23,['1028d441-b820-4571-8cb3-0abd9bfdfd80'],52,,Right Foot,"[120.0, 35.7, 0.9]",,"[{'location': [103.7, 37.2], 'player': {'id': 5556, 'name': 'Miguel Arturo Layún Prado'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.6, 49.6], 'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.6, 42.8], 'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.4, 34.4], 'player': {'id': 3454, 'name': 'Troy Deeney'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.5, 26.4], 'player': {'id': 3263, 'name': 'Craig Cathcart'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.2, 47.3], 'player': {'id': 3541, 'name': 'Chris Brunt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.8, 45.0], 'player': {'id': 3523, 'name': 'Craig Dawson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.2, 43.4], 'player': {'id': 3490, 'name': 'James Morrison'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.7, 41.8], 'player': {'id': 9485, 'name': 'Craig Gardner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.0, 39.5], 'player': {'id': 3967, 'name': 'Claudio Ariel Yacob'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 37.7], 'player': {'id': 3596, 'name': 'Gareth McAuley'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 37.0], 'player': {'id': 40124, 'name': 'Rickie Lambert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [102.9, 36.7], 'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.9, 36.4], 'player': {'id': 20527, 'name': 'Jonas Olsson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.2, 33.6], 'player': {'id': 4630, 'name': 'Saido Berahino'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [118.7, 40.4], 'player': {'id': 5108, 'name': 'Glyn Oliver Myhill'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.6, 42.3], 'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,,0.05727344,Normal,Free Kick,,,,Watford,23,00:31:52.964,Shot,
