50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.392197,,,,,,,,,,,,,,8cc8f7eb-c4ed-4718-b25d-6ddcb6ef7818,631,,"[89.2, 53.9]",3879767,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Josip Iličić,7139.0,Center Attacking Midfield,23,Fiorentina,239,['86c3eafc-47e3-47d8-ac95-a352794ee428'],27,,Left Foot,,"[120.0, 33.4, 5.6]",,"[{'location': [96.1, 66.3], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [99.5, 57.5], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.3, 50.9], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 41.4], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.7, 34.4], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.1, 48.4], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.3, 27.8], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [85.6, 56.9], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.9, 41.3], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.8, 41.0], 'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [86.2, 53.2], 'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.6, 73.8], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [97.2, 59.7], 'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.8, 29.7], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",f9954d3d-3916-48b4-8904-66417f893a1f,,Off T,0.007535574,Normal,Open Play,,,,Fiorentina,239,00:11:27.708,Shot,
,,,,,,,,,,,,,,,,,,,0.880207,,,,,,,,,,,,,,56a638b2-393a-4f99-911d-e249e564b79d,678,,"[104.2, 55.3]",3879767,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,25,Fiorentina,239,"['7b652f9d-81ff-4784-a23e-6726f1be8687', '7f5531b7-82eb-4d03-80a4-86d557b7b68e']",24,,Left Foot,,"[120.0, 40.0, 3.8]",,"[{'location': [103.8, 40.2], 'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.5, 54.4], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 41.1], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.3, 54.7], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.5, 42.5], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",aba71bf6-972f-42c0-a7a6-15eb6c069ff6,,Off T,0.028706107,Normal,Open Play,,,,Fiorentina,239,00:12:24.694,Shot,True
,,,,,,,,,,,,,,,,,,,0.851065,,,,,,,,,,,,,,dde60700-e9aa-4d98-ae87-867c20fa2231,871,,"[114.2, 48.1]",3879767,18,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Konstantinos Manolas,7048.0,Right Center Back,36,AS Roma,229,"['0bf14c0c-a525-4f9a-83b2-8694b64ed983', 'cd35db7e-bd22-452e-87dc-861c781e0e32']",25,True,Head,,"[115.6, 25.6]",,"[{'location': [114.4, 49.0], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.8, 54.3], 'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [112.1, 53.1], 'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.7, 47.4], 'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.1, 36.8], 'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.1, 51.6], 'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.8, 46.9], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.9, 40.5], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.1, 44.8], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.2, 46.1], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 42.8], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.9, 77.7], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.8, 48.1], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.8, 52.4], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.5, 28.7], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.4, 40.0], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.8, 44.9], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",039f0518-8194-4702-b7ba-4f26b4abd772,,Wayward,0.063457,Normal,Open Play,,,,AS Roma,229,00:18:25.791,Shot,True
,,,,,,,,,,,,,,,,,,,0.484755,,,,,,,,,,,,,,e541f5a8-f731-471f-bf0e-51245c2faa8a,1018,,"[115.0, 43.6]",3879767,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stephan El Shaarawy,6979.0,Left Center Forward,45,AS Roma,229,['bda2547a-86b2-4756-a81b-f66a9e992603'],27,,Left Foot,,"[120.0, 39.4, 0.1]",True,"[{'location': [116.4, 43.0], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.6, 31.4], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.5, 45.4], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.5, 44.2], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.3, 25.8], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [117.3, 56.0], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",ec5571fe-5d78-4067-82f7-694d3f8a3c88,,Goal,0.43276036,Normal,Open Play,,,,AS Roma,229,00:21:27.887,Shot,
,,,,,,,,,,,,,,,,,,,0.178838,,,,,,,,,,,,,,6df3a357-a0ec-45f8-9302-ef021c5cd196,1166,,"[97.5, 55.1]",3879767,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mohamed Salah,3531.0,Right Center Forward,53,AS Roma,229,"['3cd2345c-0748-45a7-bf7f-ff6f69f66868', '590448c3-57f2-4e1c-8772-9e669f589116']",51,,Left Foot,True,"[120.0, 36.7, 0.5]",True,"[{'location': [117.1, 42.6], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.6, 59.9], 'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.7, 56.2], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.5, 56.2], 'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.3, 52.7], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.6, 48.7], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.6, 38.4], 'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.1, 44.5], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.3, 34.4], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.4, 58.6], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.7, 54.0], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.3, 31.5], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.0, 44.9], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",b0ad9e8c-1f52-4291-bdbf-d2b0307ee93e,,Goal,0.025282087,Normal,Open Play,,,,AS Roma,229,00:24:51.313,Shot,
,,,,,,,,,,,,,,,,,,,1.261609,,,,,,,,,,,,,,85c037a7-9ae6-41f6-853c-daee285db888,1223,,"[103.6, 49.5]",3879767,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Diego Perotti,7456.0,Center Attacking Midfield,58,AS Roma,229,['ccdc8974-bcc3-431d-b772-45536f4d2b63'],29,,Right Foot,,"[120.0, 36.1, 0.2]",True,"[{'location': [110.1, 47.3], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.1, 47.2], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.6, 41.8], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.5, 37.2], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,Post,0.36360434,Normal,Open Play,,,,AS Roma,229,00:26:29.238,Shot,
,,,,,,,,,,,,,,,,,,,0.409731,,,,,,,,,,,,,,f4c2f965-1420-4665-a06a-e1268d574139,1304,,"[97.6, 25.2]",3879767,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alberto Facundo Costa,26728.0,Left Defensive Midfield,64,Fiorentina,239,['3ab97a02-6b3f-4329-ac00-89ff67145ebc'],21,,Left Foot,,"[109.8, 39.5]",True,"[{'location': [111.7, 17.5], 'player': {'id': 7139, 'name': 'Josip Iličić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.2, 26.2], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.0, 24.7], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [103.5, 30.6], 'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.3, 37.2], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 34.4], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.8, 31.8], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.2, 40.7], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 38.5], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.8, 41.9], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.3, 38.1], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.3, 42.4], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.1, 31.2], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.9, 39.8], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [111.7, 38.0], 'player': {'id': 7033, 'name': 'Nikola Kalinić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.6, 44.7], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.4, 44.4], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [106.9, 52.3], 'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.7, 41.4], 'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",e966b477-ded8-4912-9915-427bd7120727,,Wayward,0.021839432,Normal,Open Play,,,,Fiorentina,239,00:30:21.641,Shot,
,,,,,,,,,,,,,,,,,,,0.697486,,,,,,,,,,,,,,c576cee5-669d-4d83-be0c-d14338eca587,1312,,"[112.5, 43.9]",3879767,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nikola Kalinić,7033.0,Center Forward,64,Fiorentina,239,['8cefde20-6796-499a-9412-d698b9cf31a6'],25,,Right Foot,,"[120.0, 45.4, 1.3]",True,"[{'location': [111.3, 50.1], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 43.9], 'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 48.0], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.7, 37.8], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.3, 34.4], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.2, 48.3], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.7, 41.8], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.3, 43.1], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [110.9, 34.2], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [105.4, 46.4], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [117.6, 41.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 55.5], 'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.2, 45.5], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",,,Off T,0.110474676,Overhead Kick,Open Play,,,,Fiorentina,239,00:30:25.369,Shot,
,,,,,,,,,,,,,,,,,,,0.830963,,,,,,,,,,,,,,b9f316bc-f474-43d4-a8d7-00cfc67a554b,1413,,"[108.5, 43.0]",3879767,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Seydou Kéita,20169.0,Center Defensive Midfield,68,AS Roma,229,"['4fff194f-d341-40f9-be65-4599837feaad', '53dc491b-274b-48a4-91aa-91a846004e42']",24,True,Head,,"[120.0, 41.4, 5.6]",,"[{'location': [95.8, 29.8], 'player': {'id': 6658, 'name': 'Cristian Tello Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.8, 60.1], 'player': {'id': 7777, 'name': 'Federico Bernardeschi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.3, 65.6], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.9, 42.3], 'player': {'id': 26728, 'name': 'Alberto Facundo Costa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.1, 47.5], 'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.3, 48.7], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.5, 43.8], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.8, 35.0], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 41.4], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.9, 74.2], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.0, 46.9], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [103.1, 36.2], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.0, 30.1], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",70a836ad-eb34-4f90-8f4b-dae2e27a7421,,Off T,0.057113506,Normal,Open Play,,,,AS Roma,229,00:32:24.071,Shot,True
,,,,,,,,,,,,,,,,,,,0.489769,,,,,,,,,,,,,,4cf3b960-4013-4a1e-8a92-cc8f80963ae8,1584,,"[110.0, 39.2]",3879767,37,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Diego Perotti,7456.0,Center Attacking Midfield,79,AS Roma,229,['49929dcc-28be-4e46-9b7b-ea90b4b52946'],30,,Left Foot,,"[120.0, 39.6, 0.1]",True,"[{'location': [116.8, 38.9], 'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 32.4], 'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.6, 41.4], 'player': {'id': 3964, 'name': 'Marcos Alonso Mendoza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.2, 28.3], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.4, 27.1], 'player': {'id': 8275, 'name': 'Davide Astori'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.7, 27.4], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.4, 32.8], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.0, 47.5], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",1d53c6b3-e5cb-4c33-8cd5-7213eac2e9ba,,Goal,0.4149611,Normal,Open Play,,,,AS Roma,229,00:37:30.551,Shot,
