50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.784828,,,,,,,,,,,,,7e91393e-d12c-4ec5-bd80-54bf518b12b3,135,,"[108.4, 28.0]",3825770,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,6,Real Madrid,220,['2933e7ab-4869-4caa-af70-900daf71d637'],15,,Right Foot,,"[120.0, 43.6, 2.2]",,"[{'location': [105.9, 32.1], 'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.7, 21.9], 'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.0, 36.2], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.4, 26.2], 'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.9, 26.7], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.7, 33.7], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 29.3], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.8, 36.4], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.2, 33.8], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 37.9], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5a72626f-ad45-4147-b77b-24734263afc1,,Goal,,0.12688906,Normal,Open Play,,,,Real Madrid,220,00:02:15.672,Shot,
,,,,,,,,,,,,,,,,,0.621794,,,,,,,,,,,,,b02e80e9-fa05-44eb-a25a-081c55caf4df,345,,"[111.1, 41.6]",3825770,7,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Aritz Aduriz Zubeldia,6394.0,Center Forward,15,Athletic Club,215,['fd7f78f6-0328-4527-86fc-f9ec2fca730a'],47,,Head,,"[120.0, 31.5, 0.9]",,"[{'location': [88.4, 61.0], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [118.9, 40.6], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.1, 48.1], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.4, 49.1], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.0, 55.0], 'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.9, 62.4], 'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.5, 50.6], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.2, 40.5], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.7, 47.8], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.1, 37.5], 'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.1, 35.1], 'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.9, 62.2], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",f66f2791-d64b-4825-a445-d7aea235e5f5,,Off T,,0.12673,Normal,Open Play,,,,Athletic Club,215,00:07:47.435,Shot,
,,,,,,,,,,,,,,,,,0.152178,,,,,,,,,,,,,505f6466-1ef0-43ec-9e40-11b2183d05ce,368,,"[113.3, 45.9]",3825770,8,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Mateo Kovačić,5456.0,Left Center Midfield,16,Real Madrid,220,"['07f0418f-9e94-4b27-9b42-d7320e27ede8', '2a57e308-3c1d-4f5e-99ea-296d24c38411']",20,,Right Foot,,"[116.3, 44.2, 1.7]",True,"[{'location': [101.7, 49.4], 'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.0, 44.9], 'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.3, 44.0], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.8, 41.8], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.4], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.8, 49.1], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.3, 25.4], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.7, 30.9], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.6, 27.2], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Saved,,0.08505644,Volley,Open Play,,,,Real Madrid,220,00:08:20.257,Shot,True
,,,,,,,,,,,,,,,,,0.17643,,,,,,,,,,,,,c2fae0f7-06cb-41a8-b242-85155b2762e6,422,,"[114.0, 42.5]",3825770,9,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Javier Eraso Goñi,6606.0,Center Attacking Midfield,18,Athletic Club,215,"['5960f7b3-f9ba-40fb-a67e-f0db451aa3a3', 'ea62b833-840e-454f-89d3-3dccebbf29f1']",47,,Right Foot,True,"[120.0, 43.6, 0.4]",True,"[{'location': [99.0, 34.9], 'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.1, 44.9], 'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.3, 42.4], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.4, 41.1], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.9, 56.9], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.4, 42.0], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.2, 37.5], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Goal,,0.5064808,Normal,Open Play,,,,Athletic Club,215,00:09:47.675,Shot,
,,,,,,,,,,,,,,,,,0.706101,,,,,,,,,,,,,ec167436-45cd-4485-8f28-8fe5919bf8f3,663,,"[111.4, 40.1]",3825770,18,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aritz Aduriz Zubeldia,6394.0,Center Forward,35,Athletic Club,215,"['1d958a23-964d-44aa-ae5e-ff0a528f50ea', '90043b03-89e3-4c3b-9973-bb81cf1a5aec']",9,True,Head,,"[119.4, 38.6, 1.0]",,"[{'location': [119.3, 40.1], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.2, 40.3], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.3, 42.5], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.9, 41.2], 'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.9, 21.1], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 32.6], 'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",b0fbb356-a656-4d5f-a9ef-dd44013238f9,,Saved,,0.11016061,Normal,Open Play,,,,Athletic Club,215,00:18:09.498,Shot,True
,,,,,,,,,,,,,,,,,0.412934,,,,,,,,,,,,,a5451a4f-f16a-4ae2-bd7e-06b041afdead,925,,"[112.6, 48.9]",3825770,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Danilo Luiz da Silva,3063.0,Right Back,48,Real Madrid,220,"['02cbc4c2-657a-438c-8294-58b3a2310dbd', '26186173-d450-4859-9d00-5381b21e98a9']",53,True,Head,,"[118.6, 42.4, 1.3]",,"[{'location': [91.1, 30.4], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.7, 43.9], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 43.2], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 29.9], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.4, 40.2], 'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.2, 53.5], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.8, 48.5], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.8, 39.9], 'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.6, 35.9], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.2, 48.4], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,,Saved,,0.058722764,Normal,Open Play,,,,Real Madrid,220,00:23:53.214,Shot,True
,,,,,,,,,,,,,,,,,0.903973,,,,,,,,,,,,,ec076e4e-c042-4047-8215-3e87db3865ae,1134,,"[112.9, 34.5]",3825770,28,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aritz Aduriz Zubeldia,6394.0,Center Forward,55,Athletic Club,215,"['0dbced42-dbe8-4914-9b07-754e53b027a3', '587ad273-8d36-4994-9878-077a10f38603']",7,,Right Foot,,"[120.0, 39.3, 2.9]",True,"[{'location': [118.4, 36.6], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.8, 35.3], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.5, 40.5], 'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.2, 37.8], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.7, 20.0], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.4, 25.0], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.7, 33.9], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.5, 48.8], 'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 19.2], 'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.7, 29.2], 'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.4, 24.1], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.1, 20.9], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",6dd87b67-0b51-4f09-b7c6-d6d771100073,,Post,,0.09836327,Normal,Open Play,,,,Athletic Club,215,00:28:07.706,Shot,True
,,,,,,,,,,,,,,,,,0.724397,,,,,,,,,,,,,9eadeb47-e6d8-40a4-bbd4-aaaa0cf4a907,1183,,"[99.9, 28.7]",3825770,29,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Cristiano Ronaldo dos Santos Aveiro,5207.0,Left Wing,56,Real Madrid,220,['6ba1a131-7de3-4618-b33a-5b6ff3aab9ca'],14,,Right Foot,,"[118.4, 37.3, 0.2]",,"[{'location': [104.6, 41.7], 'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.9, 37.7], 'player': {'id': 5695, 'name': 'James David Rodríguez Rubio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.7, 26.3], 'player': {'id': 5456, 'name': 'Mateo Kovačić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.4, 38.4], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.2, 25.5], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.9, 23.4], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [87.2, 36.3], 'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.1, 46.6], 'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.5, 38.2], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 37.6], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.7, 43.2], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 31.1], 'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.9, 37.9], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",a609d49e-4d5a-4f2e-9434-4a2b00984e44,,Saved,,0.04403039,Normal,Open Play,,,,Real Madrid,220,00:29:14.035,Shot,
,,,,,,,,,,,,,,,,,0.185647,,,,,,,,,,,,,af33fdb6-8272-4b2c-919d-e924c2ccf9b5,1345,,"[107.6, 38.6]",3825770,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James David Rodríguez Rubio,5695.0,Right Wing,66,Real Madrid,220,"['152a28d0-a6f3-4fc5-96fe-92f6106bcafd', '571bd0f8-b731-4189-a3f9-b6a6dd7c479b']",59,,Left Foot,,"[111.4, 38.8]",True,"[{'location': [110.9, 42.4], 'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.6], 'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 34.1], 'player': {'id': 6388, 'name': 'Ander Iturraspe Derteano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.8, 38.7], 'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 35.5], 'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.6, 26.3], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [112.7, 25.5], 'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.7, 23.0], 'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.6, 41.4], 'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 33.8], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",341e8fce-4e4b-49aa-97e5-44f6f47e8d99,,Blocked,,0.18447934,Normal,Open Play,,,,Real Madrid,220,00:31:59.800,Shot,
,,,,,,,,,,,,,,,,,0.316998,,,,,,,,,,,,,df8b51c7-2841-4e69-8723-f140cdc2d4b4,1421,,"[106.5, 48.9]",3825770,33,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Óscar de Marcos Arana,6649.0,Right Back,69,Athletic Club,215,['fa471cdf-b870-47c3-bba1-9eed385977c9'],7,,Left Foot,,"[120.0, 29.5, 0.2]",True,"[{'location': [92.9, 60.9], 'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.7, 38.9], 'player': {'id': 3063, 'name': 'Danilo Luiz da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.8, 46.5], 'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.5, 40.2], 'player': {'id': 6606, 'name': 'Javier Eraso Goñi'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [112.6, 46.3], 'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.2, 52.4], 'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 54.2], 'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.9, 55.6], 'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 43.9], 'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.9, 56.1], 'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",8982bee3-bda3-4d88-963d-3f36b16f8037,,Off T,,0.15065137,Normal,Open Play,,,,Athletic Club,215,00:33:07.283,Shot,
