50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.853,,,,,,,,,,,,,642d964e-e923-4d3b-b1ea-29a70c763539,246,,,"[109.0, 27.0]",7545,4,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Midfield,9,Croatia,785,"['659e7656-be98-4e60-ae82-4302de3e9354', 'd1ad7891-517a-4656-a89f-b985e5039899']",7,,Left Foot,"[118.0, 40.1, 0.2]",,"[{'location': [119.0, 39.0], 'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 29.0], 'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [112.0, 44.0], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 34.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.0, 27.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.0, 32.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 45.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [102.0, 52.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",12e861ec-cfca-46c1-810b-bf61a985c96d,,Saved,0.10931223,Normal,Open Play,,,,Croatia,785,00:04:07.700,Shot,True
,,,,,,,,,,,,,0.333,,,,,,,,,,,,,df181a5e-571f-43d9-87b4-a780fc35b3a7,524,,,"[104.0, 41.0]",7545,12,,,,,,,,,,,,,,,,,,,,1,From Throw In,Maximiliano Eduardo Meza,5499.0,Left Attacking Midfield,20,Argentina,779,"['5d81ff4b-1a2a-4bcb-b660-a2559752b844', 'c5348b00-1345-463b-b7b4-95f45b99a513']",29,,Right Foot,"[110.0, 41.0]",True,"[{'location': [104.0, 27.0], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [82.0, 65.0], 'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.0, 66.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [95.0, 49.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 63.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [100.0, 60.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [109.0, 45.0], 'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 53.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 49.0], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 52.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 56.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 42.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",c35e085a-fde6-4183-a1bb-858b44845fd4,,Blocked,0.07232099,Normal,Open Play,,,,Argentina,779,00:12:29.180,Shot,
,,,,,,,,,,,,,0.853,,,,,,,,,,,,,67a75247-23ad-48bf-8cbc-284cb1e254ce,801,,,"[87.0, 35.0]",7545,20,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marcelo Brozović,5469.0,Center Defensive Midfield,35,Croatia,785,"['1ba8b096-0d49-49c2-9bf2-e79394e8d71e', '3854f1d2-c2f0-4851-b1c5-53d89cfbbdfc']",35,,Right Foot,"[101.0, 37.0]",,"[{'location': [103.0, 45.0], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [94.0, 32.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [79.0, 33.0], 'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [85.0, 52.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.0, 54.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.0, 22.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [91.0, 35.0], 'player': {'id': 5499, 'name': 'Maximiliano Eduardo Meza'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [90.0, 30.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 22.0], 'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.0, 20.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [90.0, 21.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 27.0], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 31.0], 'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.0, 30.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [101.0, 37.0], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",afc763f6-45dd-4b90-be81-8965c77f3bdf,,Blocked,0.017617416,Normal,Open Play,,,,Croatia,785,00:20:35.260,Shot,
,,,,,,,,,,,,,0.76,,,,,,,,,,,,,2844085d-ff13-4277-8511-e001545d8074,1115,,,"[106.0, 33.0]",7545,29,,,,,,,,,,,,,,,,,,,,1,From Throw In,Enzo Nicolás Pérez,5741.0,Center Midfield,54,Argentina,779,['6b332327-45bf-4e99-82b8-7605794dfb90'],13,,Left Foot,"[120.0, 35.4, 0.2]",True,"[{'location': [112.0, 31.0], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [110.0, 30.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 29.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 32.0], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 20.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.0, 42.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 51.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [95.0, 56.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Off T,0.33644146,Normal,Open Play,,,,Argentina,779,00:29:13.193,Shot,
,,,,,,,,,,,,,0.573,,,,,,,,,,,,,ecf8e7dc-93a7-47df-baf3-016a35ec80ac,1223,,,"[115.0, 34.0]",7545,32,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mario Mandžukić,5472.0,Center Forward,57,Croatia,785,['f5afdcf9-d291-4eb9-a64e-84697b528450'],1,,Head,"[120.0, 34.2, 0.8]",,"[{'location': [98.0, 61.0], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 34.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.0, 32.0], 'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 38.0], 'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 43.0], 'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 46.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [104.0, 48.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 56.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [97.0, 54.0], 'player': {'id': 5499, 'name': 'Maximiliano Eduardo Meza'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 33.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [95.0, 47.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",d97581d4-0c6f-412e-b5fb-85a666e531a6,True,Off T,0.2433502,Diving Header,Open Play,,,,Croatia,785,00:32:01.260,Shot,
,,,,,,,,,,,,,0.973,,,,,,,,,,,,,a3627b9f-579c-4fc5-bb6e-e23e70f9ccc8,1767,,,"[99.0, 34.0]",7545,46,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ante Rebić,5465.0,Right Midfield,85,Croatia,785,['a0b1ff90-1668-40bf-84be-3edc3e9dae36'],33,,Right Foot,"[120.0, 44.2, 5.5]",,"[{'location': [101.0, 60.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.0, 44.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [87.0, 34.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 40.0], 'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.0, 37.0], 'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 31.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9dfaca7d-b15a-4a96-a613-86c152dcb531,,Off T,0.09167263,Normal,Open Play,,,,Croatia,785,00:46:33.460,Shot,
,,,,,,,,,,,,,0.107,,,,,,,,,,,,,fe0fb9c9-94ca-4621-968b-3da838d63fc2,1973,,,"[96.0, 28.0]",7545,48,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Marcos Javier Acuña,19597.0,Left Midfield,98,Argentina,779,"['71b7729e-bcea-4373-afbe-74cd55fc7b00', 'e56b0997-7f03-4280-9a8e-418d4c668678']",34,,Left Foot,"[100.0, 29.0]",,"[{'location': [96.0, 32.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [81.0, 13.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [86.0, 29.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [102.0, 17.0], 'player': {'id': 5499, 'name': 'Maximiliano Eduardo Meza'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 25.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 43.0], 'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 42.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 40.0], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 28.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.0, 40.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 64.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",50d1a2a4-c468-4713-9450-a26321920a52,,Blocked,0.037094012,Normal,Open Play,,,,Argentina,779,00:03:34.093,Shot,
,,,,,,,,,,,,,0.267,,,,,,,,,,,,,be5aac53-3293-4aad-8f59-75643134666f,2116,,,"[111.0, 29.0]",7545,52,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Leonel Agüero del Castillo,3237.0,Center Forward,109,Argentina,779,['78363108-94cb-43be-b17e-50d82a18927c'],16,,Left Foot,"[117.0, 38.3, 0.2]",,"[{'location': [112.0, 32.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 24.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 38.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 51.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 62.0], 'player': {'id': 5513, 'name': 'Eduardo Antonio Salvio'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.0, 43.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 40.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [98.0, 36.0], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 43.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.0, 20.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [93.0, 33.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 26.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 10.0], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",33be829f-bf3d-4d69-8f90-9ad541d1c235,,Saved,0.13586974,Normal,Open Play,,,,Argentina,779,00:07:16.933,Shot,
,,,,,,,,,,,,,1.093,,,,,,,,,,,,,da01565d-ba3d-47ee-8121-7a829ae35dcc,2128,,,"[108.0, 30.0]",7545,52,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ante Rebić,5465.0,Right Midfield,110,Argentina,779,['cc090779-7cb1-42b7-8488-0074d91d8e13'],35,,Right Foot,"[120.0, 40.7, 1.9]",True,"[{'location': [113.0, 37.0], 'player': {'id': 3659, 'name': 'Wilfredo Daniel Caballero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 18.0], 'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 30.0], 'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [88.0, 55.0], 'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 30.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Goal,0.3903937,Volley,Open Play,,,,Croatia,785,00:07:35.560,Shot,
,,,,,,,,,,,,,0.28,,,,,,,,,,,,,ce1cb8df-690a-4f3d-bce0-8ed6ece2f483,2413,,,"[113.0, 34.0]",7545,63,,,,,,,,,,,,,,,,,,,,2,Regular Play,Maximiliano Eduardo Meza,5499.0,Left Midfield,131,Argentina,779,['9bf1e289-8a4d-48b3-822a-bb148fe9ed93'],1,,Left Foot,"[119.0, 37.2, 0.2]",True,"[{'location': [101.0, 12.0], 'player': {'id': 19597, 'name': 'Marcos Javier Acuña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [88.0, 16.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.0, 34.0], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [116.0, 30.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 25.0], 'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 26.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.0, 32.0], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 32.0], 'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.0, 38.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 36.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 49.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [107.0, 17.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 56.0], 'player': {'id': 5496, 'name': 'Cristian David Pavón'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",77e1f554-5294-42fe-bc35-e963a96640a7,,Saved,0.1882397,Normal,Open Play,,,,Argentina,779,00:18:01.440,Shot,
