ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.5447,,,,,,,,,,,,c2c1d609-4159-49bc-8f6f-891128af7955,162,,"[86.7, 57.4]",19756,4,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Taylor Hinds,19687.0,Right Wing Back,11,Everton LFC,967,"['274e8904-0eeb-49ab-8943-8d0a426a9a32', '6b523867-335b-4281-9cdc-243059e0a5cf']",36,,Left Foot,"[101.0, 49.9]",,"[{'location': [89.3, 36.3], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [81.4, 46.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [100.7, 58.2], 'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [119.5, 40.3], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.4, 43.6], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 52.4], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.9, 46.5], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.4, 59.2], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.5, 55.0], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [80.0, 54.4], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [92.9, 54.7], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.4, 54.8], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,Blocked,0.007599473,Normal,Open Play,,,,Everton LFC,967,00:04:36.133,Shot,
,,,,,,,,,,,,,,,,2.574055,,,,,,,,,,,,2d9bf018-7b6d-4ddc-8700-a95a382abd4d,171,,"[93.9, 34.5]",19756,4,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Inessa Kaagman,15579.0,Center Attacking Midfield,11,Everton LFC,967,['5fec1f23-1f01-440b-8147-72564eda975d'],40,,Left Foot,"[120.0, 47.7, 2.3]",True,"[{'location': [96.3, 40.3], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.5, 33.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.5, 40.4], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [87.4, 23.6], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [74.3, 45.4], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [77.4, 46.2], 'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [81.9, 50.7], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [86.3, 45.9], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [88.7, 44.0], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.3, 46.9], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.0, 40.6], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Off T,0.037836414,Half Volley,Open Play,,,,Everton LFC,967,00:04:40.569,Shot,
,,,,,,,,,,,,,,,,1.6596,,,,,,,,,,,,0fd062da-81a1-430a-9c54-4e5ccf993e1e,187,,"[95.8, 47.1]",19756,5,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lucy Quinn,15564.0,Center Attacking Midfield,14,Birmingham City WFC,969,['40433b5c-3f5a-4d3a-ac47-80cbae64a4d7'],52,,Left Foot,"[120.0, 33.4, 0.2]",,"[{'location': [102.5, 49.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [96.5, 47.6], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.5, 53.2], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.3, 55.2], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.9, 46.8], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.3, 41.8], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 43.2], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.6, 33.7], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.2, 39.7], 'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 54.9], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [107.6, 62.5], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.5, 49.9], 'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 40.8], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}]",,,Off T,0.03472779,Normal,Open Play,,,,Birmingham City WFC,969,00:05:52.550,Shot,
,,,,,,,,,,,,,,,,1.0268,,,,,,,,,,,,b54f3802-e93e-43b6-8e28-610e2eb1c75f,233,,"[109.6, 54.5]",19756,7,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Inessa Kaagman,15579.0,Center Attacking Midfield,17,Everton LFC,967,['045b973a-e84c-4a3b-942c-7e2f8c8e89dc'],3,,Right Foot,"[120.0, 42.5, 2.2]",,"[{'location': [111.3, 59.2], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.9, 58.0], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.6, 63.3], 'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.4, 57.5], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 56.0], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 49.3], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.6, 46.5], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.5, 35.9], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.9, 34.9], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [108.3, 43.8], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.2, 60.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [118.9, 42.3], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9e688662-2431-42db-afc5-cbc033e63967,,Goal,0.064231776,Normal,Open Play,,,,Everton LFC,967,00:07:03.244,Shot,
,,,,,,,,,,,,,,,,1.4981,,,,,,,,,,,,307a320b-74e5-4999-a6b8-8df3231dc327,263,,"[95.0, 44.8]",19756,8,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Hayley Ladd,19501.0,Left Defensive Midfield,18,Birmingham City WFC,969,['33d05c2e-e6cd-42be-a412-84b0284ad45c'],15,,Right Foot,"[120.0, 37.2, 2.0]",,"[{'location': [105.0, 40.4], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 41.0], 'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.1, 38.9], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.8, 35.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [85.4, 30.9], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.7, 32.6], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.6, 44.1], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.2, 43.2], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.4, 60.9], 'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.3, 41.9], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.8, 40.5], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.6, 43.9], 'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.7, 57.0], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [93.4, 59.1], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.0, 44.2], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Goal,0.030168807,Normal,Open Play,,,,Birmingham City WFC,969,00:08:15.644,Shot,
,,,,,,,,,,,,,,,,1.364979,,,,,,,,,,,,290ed9fd-2ef2-4adc-b9ad-dc62d3700def,381,,"[89.3, 22.9]",19756,10,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Abbey-Leigh Stringer,15573.0,Right Defensive Midfield,24,Everton LFC,967,['692a97ab-a945-4eb6-8a22-0c8420c5cb46'],54,,Right Foot,"[120.0, 42.3, 4.9]",,"[{'location': [118.9, 38.0], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 41.2], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 22.4], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [85.1, 8.8], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.2, 2.5], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [91.7, 3.6], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [88.5, 15.5], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.1, 19.9], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [94.9, 41.5], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [84.0, 43.4], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [91.2, 21.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.3, 25.8], 'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.8, 27.2], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Off T,0.008073413,Normal,Open Play,,,,Everton LFC,967,00:10:54.924,Shot,
,,,,,,,,,,,,,,,,1.348704,,,,,,,,,,,,f646b9e6-7e3a-4f12-9527-4acbfa1bc9b7,409,,"[89.5, 41.4]",19756,12,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Inessa Kaagman,15579.0,Center Attacking Midfield,27,Everton LFC,967,['1a3af6f1-2195-4310-aea2-04ef9c8fe073'],13,,Left Foot,"[120.0, 41.4, 2.1]",True,"[{'location': [98.1, 45.5], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [85.0, 49.1], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [81.6, 30.1], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [87.5, 29.0], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [85.6, 41.8], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.2, 29.0], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.3, 46.4], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 41.2], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.7, 36.1], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.1, 20.1], 'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.0, 44.5], 'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [118.6, 41.1], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.6, 52.8], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.1, 47.4], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [86.7, 56.2], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [81.9, 45.9], 'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",6fe003a3-e1c3-4f89-872f-edf27f8a480c,,Saved,0.023560917,Normal,Open Play,,,,Everton LFC,967,00:12:13.441,Shot,
,,,,,,,,,,,,,,,,1.5622,,,,,,,,,,,,cde026d9-ee3c-48b1-b154-bc1c040c9999,443,,"[94.4, 55.2]",19756,12,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Inessa Kaagman,15579.0,Center Attacking Midfield,31,Everton LFC,967,['3de11de7-3a6c-43a6-8fad-8c87345990a9'],58,,Left Foot,"[119.2, 42.4, 1.7]",,"[{'location': [88.9, 47.4], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.3, 51.0], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.3, 49.6], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [81.3, 48.5], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.7, 23.3], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [101.6, 36.6], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.2, 56.8], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.9, 55.9], 'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [99.1, 63.4], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.1, 63.5], 'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [80.2, 55.6], 'player': {'id': 15564, 'name': 'Lucy Quinn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [81.3, 63.4], 'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [87.5, 62.4], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.8, 60.2], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [119.1, 42.5], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Saved,0.018747764,Normal,Open Play,,,,Everton LFC,967,00:12:58.436,Shot,
,,,,,,,,,,,,,,,,1.3196,,,,,,,,,,,,62426118-fc90-469d-b50d-4237dda947e1,802,,"[92.5, 23.7]",19756,24,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Claudia Walker,15580.0,Left Wing,61,Birmingham City WFC,969,"['a825e0aa-be02-4017-a267-bb642b956126', 'f35a69e8-042b-46e1-982d-c29f4fd5d9b8']",50,,Right Foot,"[118.5, 42.6, 1.5]",,"[{'location': [102.5, 50.3], 'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 31.1], 'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [91.5, 36.4], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 22.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.9, 27.6], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [119.6, 39.4], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.6, 49.6], 'player': {'id': 15572, 'name': 'Siri Worm'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.6, 40.9], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.6, 17.5], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.7, 17.2], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.9, 23.4], 'player': {'id': 23547, 'name': 'Emma Brownlie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",77289f10-a0e8-4f65-8b40-e91c5954ed1c,,Saved,0.009516533,Normal,Open Play,,,,Birmingham City WFC,969,00:24:50.027,Shot,True
,,,,,,,,,,,,,,,,0.3473,,,,,,,,,,,,800af8cc-f4e6-4075-b133-da519d881b07,930,,"[113.8, 38.4]",19756,30,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Simone Magill,15559.0,Right Center Forward,72,Everton LFC,967,['41fde320-9218-450d-98e7-6aa9c79107fb'],25,,Left Foot,"[119.5, 38.2, 1.6]",,"[{'location': [105.6, 32.1], 'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.3, 37.8], 'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 50.2], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [113.1, 42.2], 'player': {'id': 15567, 'name': 'Paige Williams'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 35.1], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.8, 20.0], 'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 18.8], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",0d3dc70d-f093-4416-abcd-4428e0b6f919,True,Saved,0.40961343,Normal,Open Play,,,,Everton LFC,967,00:30:25.128,Shot,
