50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.069043,,,,,,,,,,,,,,,8426a82c-23b6-47e6-9ab1-ea30765f8950,227,,"[94.1, 22.9]",3879717,3,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nicola Sansone,6859.0,Left Wing,12,Sassuolo,232,['d75409ce-4346-4fcd-97a7-64d3db3e5509'],52,,Right Foot,"[118.8, 37.0, 0.5]",,"[{'location': [119.0, 38.1], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 25.1], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [96.2, 27.5], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [82.3, 44.7], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [105.2, 41.0], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [100.6, 30.5], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.5, 41.2], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.3, 48.9], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [86.6, 62.4], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [102.2, 49.0], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [79.6, 45.1], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [100.0, 17.5], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.5, 30.2], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.8, 42.1], 'player': {'id': 6978, 'name': 'Marcello Trotta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [81.9, 64.9], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [85.9, 50.8], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [81.5, 59.5], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",9e3d78c3-8a64-4591-a5d5-9cff8af2b478,,,Saved,0.009809683,Normal,Open Play,,,,Sassuolo,232,00:03:52.994,Shot,
,,,,,,,,,,,,,,,1.11778,,,,,,,,,,,,,,,0bf01a0c-1073-4baf-98e8-4f8324b137d1,598,,"[100.5, 51.4]",3879717,10,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mohamed Salah,3531.0,Center Forward,23,AS Roma,229,['5f57e4ec-d2dd-4a79-bfb3-5c3b0fbb06a8'],34,,Left Foot,"[120.0, 36.9, 1.1]",,"[{'location': [99.3, 45.4], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [104.7, 52.9], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [99.9, 32.1], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [115.6, 42.2], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.4, 30.0], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [97.0, 51.0], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.8, 47.6], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.4, 55.2], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.7, 49.2], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.1, 45.1], 'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.7, 34.6], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",e7a78519-0c75-4c30-95e4-5ad994cb033a,,,Goal,0.055362463,Normal,Open Play,,,,AS Roma,229,00:10:34.796,Shot,
,,,,,,,,,,,,,,,0.061575,,,,,,,,,,,,,,,2ddef9c6-0a82-4013-9f5c-5d0731318bac,1103,,"[103.8, 50.1]",3879717,22,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Radja Nainggolan,6962.0,Right Attacking Midfield,44,AS Roma,229,"['be09b317-d2a9-431b-a795-e7558cf543c3', 'be0dd932-08d4-4300-a52b-5fc2894225f0']",21,,Right Foot,"[106.8, 48.7]",,"[{'location': [106.3, 71.3], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [103.7, 55.6], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 55.6], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [100.4, 45.3], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [95.4, 40.7], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [103.5, 41.7], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [101.0, 34.7], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [117.8, 43.1], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.8, 60.5], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.5, 67.8], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.7, 57.8], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [98.1, 38.6], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.6, 48.5], 'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.6, 47.5], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 44.1], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.7, 42.3], 'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 36.5], 'player': {'id': 6978, 'name': 'Marcello Trotta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [107.4, 36.9], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",cc24a09b-1820-4ad4-a8f3-eb909bdde6b0,,,Blocked,0.04621464,Half Volley,Open Play,,,,AS Roma,229,00:22:21.080,Shot,
,,,,,,,,,,,,,,,0.253645,,,,,,,,,,,,,,,16ab653a-f3c8-4594-ac36-5d75561fe8c6,1281,,"[99.3, 60.1]",3879717,25,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Domenico Berardi,7131.0,Right Wing,49,Sassuolo,232,"['423b98cd-5c69-4be4-ac30-ef9abdc77f27', 'd380ec3d-379f-4138-95e4-64b649d4ba79']",36,,Left Foot,"[103.6, 55.5]",,"[{'location': [91.9, 46.0], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [106.2, 38.8], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.3, 44.4], 'player': {'id': 6978, 'name': 'Marcello Trotta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.0, 71.9], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.8, 42.7], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.2, 49.4], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.5, 49.6], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [107.2, 39.2], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [107.5, 43.7], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.1, 46.8], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.2, 66.0], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [101.4, 59.2], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.2, 55.2], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",34481477-1c80-46d4-a9e7-3b8ad9078dd0,,,Blocked,0.010100723,Normal,Open Play,,,,Sassuolo,232,00:25:36.495,Shot,
,,,,,,,,,,,,,,,1.150786,,,,,,,,,,,,,,,a493d9d3-d915-45df-bb0b-d83496d0c782,1299,,"[112.4, 39.4]",3879717,27,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Nicola Sansone,6859.0,Left Wing,50,Sassuolo,232,['f66b9c30-013b-4994-84ba-7751b0aedab5'],0,,Right Foot,"[120.0, 48.7, 0.3]",True,"[{'location': [106.6, 67.5], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [96.6, 45.7], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.4, 38.7], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [105.8, 44.0], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 43.0], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.6, 70.5], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [108.8, 58.5], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.9, 43.7], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 52.1], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [119.0, 40.9], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 58.1], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [105.7, 72.3], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.4, 63.2], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [105.9, 58.5], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.7, 44.0], 'player': {'id': 6978, 'name': 'Marcello Trotta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",2022e152-7368-4ce5-ac89-5f2a63eba446,,,Off T,0.23197614,Volley,Open Play,,,,Sassuolo,232,00:27:00.353,Shot,
,,,,,,,,,,,,,,,0.475823,,,,,,,,,,,,,,,0fc419b7-482a-4f1c-980d-110c5a74de98,1410,,"[108.7, 49.7]",3879717,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Maicon Douglas Sisenando,19299.0,Right Wing Back,59,AS Roma,229,['c670cbac-1666-48a1-8a80-5a260a588eed'],54,,Right Foot,"[120.0, 44.9, 0.3]",,"[{'location': [105.8, 50.5], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.9, 41.8], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.4, 48.4], 'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 46.0], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.8, 38.3], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 43.4], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.5, 42.2], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [101.9, 37.8], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [108.0, 36.6], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}]",2d9ffb65-1813-439a-9339-68afd7b8a2d6,,,Off T,0.29509887,Normal,Open Play,,,,AS Roma,229,00:30:54.532,Shot,
,,,,,,,,,,,,,,,0.548255,,,,,,,,,,,,,,,d8abd1b2-477c-4014-ac19-416b8416548c,1502,,"[116.0, 43.8]",3879717,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Stephan El Shaarawy,6979.0,Left Wing Back,61,AS Roma,229,"['2614a351-7e0c-4939-82e8-284eabeffd89', 'e910ac00-e6fb-4863-9d7f-ee0071981e37']",43,,Right Foot,"[120.0, 46.6, 2.3]",True,"[{'location': [116.4, 51.8], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.6, 36.9], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.4, 44.8], 'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.3, 48.9], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.4, 52.4], 'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",fe4033fb-2dca-4daf-892a-0105e98a0a4f,,True,Off T,0.6147241,Volley,Open Play,,,,AS Roma,229,00:32:43.890,Shot,True
,,,,,,,,,,,,,,,0.084073,,,,,,,,,,,,,,,b82d58bc-41d6-49e0-bf75-b90cd4358399,1595,,"[103.6, 53.3]",3879717,35,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Mohamed Salah,3531.0,Center Forward,66,AS Roma,229,"['0e8c1b36-9420-4ffa-8e41-1238ded50832', '4861626c-8b40-4691-8ca4-41c5e6d5bfb4']",41,,Left Foot,"[105.4, 52.0]",True,"[{'location': [107.6, 48.8], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [106.9, 43.5], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.9, 42.7], 'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [84.7, 27.8], 'player': {'id': 6978, 'name': 'Marcello Trotta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [95.7, 49.8], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.3, 48.9], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 51.5], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.2, 32.4], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.9, 47.2], 'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.6, 45.7], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.3, 43.6], 'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,,Blocked,0.039608683,Normal,Open Play,,,,AS Roma,229,00:35:41.258,Shot,
,,,,,,,,,,,,,,,0.972932,,,,,,,,,,,,,,,846b1b99-13f3-4184-ace3-0b1c2d382117,1656,,"[89.4, 52.6]",3879717,36,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Domenico Berardi,7131.0,Right Wing,69,Sassuolo,232,['6ea034da-18db-4a3a-abf3-3b9ffbdf5f0a'],58,,Left Foot,"[120.0, 46.1, 1.4]",,"[{'location': [100.8, 46.8], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.8, 42.3], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.3, 35.0], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.4, 25.1], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [117.1, 41.4], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.5, 52.4], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [86.7, 51.0], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [92.6, 55.4], 'player': {'id': 6979, 'name': 'Stephan El Shaarawy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [78.6, 58.9], 'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.4, 33.9], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.8, 44.2], 'player': {'id': 6978, 'name': 'Marcello Trotta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",be062b38-da96-4335-9c27-4d419b28bfb8,,,Off T,0.016787024,Normal,Open Play,,,,Sassuolo,232,00:36:58.129,Shot,
,,,,,,,,,,,,,,,0.873739,,,,,,,,,,,,,,,f17218b5-bf6b-4381-9ffa-aa21d37e4bb1,1664,,"[97.1, 54.8]",3879717,37,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcello Trotta,6978.0,Center Forward,71,Sassuolo,232,['2d99b9ca-150c-4bd2-a847-a788504e7767'],22,,Left Foot,"[117.4, 41.0, 0.6]",,"[{'location': [105.7, 30.1], 'player': {'id': 19299, 'name': 'Maicon Douglas Sisenando'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [94.3, 45.0], 'player': {'id': 7456, 'name': 'Diego Perotti'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [90.9, 52.8], 'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [104.9, 38.4], 'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.2, 45.7], 'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.6, 51.5], 'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.4, 41.1], 'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.6, 51.6], 'player': {'id': 7137, 'name': 'Ervin Zukanović'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.6, 54.2], 'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 38.4], 'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.9, 30.8], 'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.1, 42.2], 'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.2, 54.5], 'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",dcea20c4-261a-45e0-8746-6e25d82390e9,,,Saved,0.023899896,Normal,Open Play,,,,Sassuolo,232,00:37:22.066,Shot,
