50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,2.330877,,,,,,,,,,,,6781d7e8-afef-4fbc-821b-00c556998b43,152,,,"[85.0, 25.0]",19774,3,,,,,,,,,,,,,,,,,,,,,1,From Counter,Ella Rutherford,16388.0,Left Wing,10,Everton LFC,967,['b634e401-02f2-4838-b1e7-035e7f32c78c'],34,Left Foot,"[116.0, 46.0]",,"[{'location': [76.0, 44.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.0, 32.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [76.0, 24.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [79.0, 30.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 62.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 21.0], 'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.0, 52.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 24.0], 'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.0, 50.0], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [78.0, 67.0], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,Wayward,0.0071855,Normal,Open Play,,,,Bristol City WFC,973,00:03:34.317,Shot,
,,,,,,,,,,,,1.137534,,,,,,,,,,,,dab94e4b-0460-4a8e-bfaf-c8b7682b8f26,491,,,"[102.0, 31.0]",19774,13,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lucy Hope,16386.0,Center Attacking Midfield,34,Bristol City WFC,973,['e56ece9c-a8de-4492-ae2e-a1372b6f77b6'],20,Right Foot,"[114.0, 51.0]",,"[{'location': [119.0, 41.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 29.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 36.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 31.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 26.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [96.0, 29.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 31.0], 'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 52.0], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",6508833c-4374-4285-80d2-009ab890cd6c,Wayward,0.07808409,Normal,Open Play,,,,Bristol City WFC,973,00:13:20.164,Shot,
,,,,,,,,,,,,0.669884,,,,,,,,,,,,00a1f6ee-37a6-4294-88d9-f11806c815c3,705,,,"[115.0, 47.0]",19774,18,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rosella Ayane,21048.0,Right Wing,44,Bristol City WFC,973,['d5fce0b0-c285-49f4-8d89-0db109b567c7'],42,Head,"[120.0, 44.6, 3.7]",,"[{'location': [111.0, 33.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 20.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 20.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 29.0], 'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 47.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 23.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [106.0, 29.0], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.0, 23.0], 'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.0, 33.0], 'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 14.0], 'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",f793de74-1780-4234-b596-65ec6b50cc3f,Off T,0.15229402,Normal,Open Play,,,,Bristol City WFC,973,00:18:42.198,Shot,
,,,,,,,,,,,,0.52202,,,,,,,,,,,,7f0bc355-776b-47ec-8b8b-09ac791841ff,742,,,"[101.0, 37.0]",19774,19,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Angharad James,15577.0,Right Center Midfield,46,Everton LFC,967,"['56f0ab6c-08c5-4622-8324-33bfc43f212a', '6a868d72-f4b4-4b3f-b75f-b4bd683a763b']",57,Right Foot,"[110.0, 36.0]",True,"[{'location': [104.0, 9.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [104.0, 17.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 36.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.0, 31.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 39.0], 'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 35.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 26.0], 'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 21.0], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 9.0], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",536d797e-54f8-450c-9f89-9afb1685b3b7,Blocked,0.08491879,Half Volley,Open Play,,,,Everton LFC,967,00:19:57.295,Shot,
,,,,,,,,,,,,0.1153,,,,,,,,,,,,160adf93-3be6-4d0b-8914-c0570e6ad19a,746,,,"[105.0, 40.0]",19774,19,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Angharad James,15577.0,Right Center Midfield,46,Everton LFC,967,"['6f0ae206-93d7-4cbf-acb0-40f0e3ce9ffa', 'b5250109-d49b-4512-89e4-52d94c76a321']",58,Left Foot,"[107.0, 40.0]",True,"[{'location': [110.0, 33.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [111.0, 38.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [117.0, 41.0], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 37.0], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",,Blocked,0.10848553,Normal,Open Play,,,,Everton LFC,967,00:19:58.772,Shot,
,,,,,,,,,,,,1.260249,,,,,,,,,,,,3da5ceb6-4aee-440a-8dfc-9a7aaffa8e0f,1276,,,"[93.0, 30.0]",19774,33,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Julie Biesmans,10095.0,Left Defensive Midfield,78,Bristol City WFC,973,['319fc91e-aa2c-4c18-88f6-c444522affb8'],56,Right Foot,"[119.0, 37.0, 1.2]",,"[{'location': [89.0, 28.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [97.0, 31.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.0, 61.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.0, 36.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 28.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 27.0], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.0, 23.0], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.0, 27.0], 'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.0, 43.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [88.0, 49.0], 'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,Saved,0.025217494,Normal,Open Play,,,,Bristol City WFC,973,00:33:56.323,Shot,
,,,,,,,,,,,,0.3574,,,,,,,,,,,,9aa30474-a968-4339-bdab-ce3987b80b6a,1356,,,"[108.0, 49.0]",19774,37,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Chloe Kelly,15570.0,Left Midfield,87,Everton LFC,967,"['39536d05-3ea0-4e81-9af0-02075f6ecb31', 'cff45249-74a9-4956-954b-ce0741a93c77']",26,Right Foot,"[110.0, 46.0]",,"[{'location': [99.0, 50.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 62.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 51.0], 'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 53.0], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 48.0], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 47.0], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",491fa5f7-bba9-4308-9021-11bd5bb00165,Blocked,0.102538794,Normal,Open Play,,,,Everton LFC,967,00:37:26.568,Shot,
,,,,,,,,,,,,2.097664,,,,,,,,,,,,0434d5ae-23ac-4e9f-b8fd-10591bc5c892,1792,,,"[92.0, 49.0]",19774,46,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carla Humphrey,16384.0,Right Defensive Midfield,107,Bristol City WFC,973,['3e7a81ce-a938-4f0e-8b1d-5a490eeaf126'],31,Right Foot,"[120.0, 57.0]",,"[{'location': [119.0, 43.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [77.0, 24.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 30.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 49.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 56.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.0, 27.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [85.0, 31.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.0, 46.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 49.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [86.0, 23.0], 'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.0, 31.0], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.0, 27.0], 'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.0, 21.0], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [90.0, 64.0], 'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",81e0d166-f9e1-4dd2-9f39-091c6b3d7b7c,Wayward,0.02743286,Normal,Open Play,,,,Bristol City WFC,973,00:46:31.629,Shot,
,,,,,,,,,,,,1.103026,,,,,,,,,,,,b28b0e5d-0a2d-4b31-be35-363024954c10,1860,,,"[106.0, 26.0]",19774,46,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lucy Hope,16386.0,Center Attacking Midfield,112,Bristol City WFC,973,['b9528f75-633d-46ae-bd3f-ed00d70cddcc'],8,Left Foot,"[119.0, 34.6, 6.0]",True,"[{'location': [113.0, 38.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 24.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 23.0], 'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 29.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 37.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [114.0, 32.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 34.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.0, 34.0], 'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 21.0], 'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,Off T,0.0418869,Normal,Open Play,,,,Bristol City WFC,973,00:01:08.592,Shot,
,,,,,,,,,,,,1.211639,,,,,,,,,,,,c4bf7bfc-b9a3-40cc-bd99-1b9fe0983d29,1989,,,"[98.0, 44.0]",19774,49,,,,,,,,,,,,,,,,,,,,,2,From Corner,Rosella Ayane,21048.0,Left Wing,120,Bristol City WFC,973,"['656659cc-8d7a-4543-bd72-218bfb928edd', 'fffa99f5-69e7-4474-9938-b516fa3c7f4b']",51,Right Foot,"[118.0, 41.5, 1.7]",True,"[{'location': [118.0, 40.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.0, 50.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.0, 34.0], 'player': {'id': 15558, 'name': 'Dominique Bruinenberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 35.0], 'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 41.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 50.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 48.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [91.0, 45.0], 'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.0, 45.0], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [86.0, 54.0], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.0, 37.0], 'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.0, 30.0], 'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.0, 35.0], 'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",fee6619d-d760-46e3-975f-587a1ed04030,Saved,0.080131665,Normal,Open Play,,,,Bristol City WFC,973,00:04:51.230,Shot,True
