50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.019124,,,,,,,,,,,,,,ccefab48-c07a-4e19-96eb-a5fe50502812,327,,"[94.4, 22.7]",3879723,7,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Geoffrey Kondogbia,6589.0,Left Center Midfield,12,Inter Milan,238,['1d7d8adf-e778-4020-be59-0699dc25a4e0'],17,,Left Foot,"[120.0, 38.9, 5.0]",,"[{'location': [101.6, 32.8], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.8, 11.6], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.5, 34.6], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.1, 46.7], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.4, 37.4], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.6, 26.0], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.7, 30.9], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.2, 19.7], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.5, 37.6], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",7c4f12b7-2a3b-4623-8877-17cf4608fa25,Off T,0.009415293,Normal,Open Play,,,,Inter Milan,238,00:07:17.873,Shot,
,,,,,,,,,,,,,,,,0.419762,,,,,,,,,,,,,,0055cf6d-5050-40da-8294-6cafdb2bda1b,352,,"[108.4, 42.1]",3879723,8,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eder Citadin Martins,7000.0,Left Wing,14,Inter Milan,238,['27c77422-2936-4a4b-922a-fea96315a404'],8,,Right Foot,"[117.8, 40.7, 0.2]",True,"[{'location': [106.0, 61.6], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.9, 34.1], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.4, 45.4], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.9, 58.9], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 44.3], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.4, 41.6], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.9, 40.9], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.6, 31.2], 'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [115.7, 66.7], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.5, 46.3], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",a3bebe6a-361e-4d27-93a5-68a0ade1046e,Saved,0.07409956,Normal,Open Play,,,,Inter Milan,238,00:08:08.374,Shot,
,,,,,,,,,,,,,,,,0.49502,,,,,,,,,,,,,,4c62a0b3-ef48-492b-afa6-ab3ee8178737,492,,"[105.2, 45.0]",3879723,12,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,24,Inter Milan,238,['b422b1c2-2919-48c8-b9fa-4c2f6ace3793'],30,,Right Foot,"[117.8, 41.9, 2.3]",True,"[{'location': [111.3, 42.8], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.8, 38.0], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.8, 26.1], 'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.1, 36.7], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.7, 58.0], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.8, 46.6], 'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.0, 44.2], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.7, 40.7], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 37.8], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.3, 32.7], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.7, 25.5], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.1, 42.0], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.6, 21.2], 'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.4, 61.2], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",9c14cced-63be-4d1e-a4c7-881d77805197,Saved,0.08179353,Normal,Open Play,,,,Inter Milan,238,00:12:30.438,Shot,
,,,,,,,,,,,,,,,,1.072802,,,,,,,,,,,,,,caaa579c-cab7-47a2-8134-655b541caf31,561,,"[99.9, 57.2]",3879723,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yuto Nagatomo,5690.0,Right Back,29,Inter Milan,238,['723232fa-e917-4701-8112-798a77b98947'],42,,Left Foot,"[120.0, 32.7, 4.5]",,"[{'location': [109.0, 72.4], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.6, 30.6], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 40.2], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.8, 33.5], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.4, 41.3], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.9, 58.1], 'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.5, 59.5], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 50.9], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.5, 38.8], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.1, 47.1], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.6, 41.6], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.5, 35.0], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",a380fc8e-848d-44f2-b094-fe92b40b1b90,Off T,0.026658816,Normal,Open Play,,,,Inter Milan,238,00:14:42.156,Shot,
,,,,,,,,,,,,,,,,0.11408,,,,,,,,,,,,,,1f1528a4-c25d-4dca-9714-dcc9e8938bef,596,,"[105.2, 29.0]",3879723,15,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Sergio Pellissier,8644.0,Left Center Forward,30,Chievo,231,"['69501496-e742-47b9-8275-ca5c2cd7785b', 'c6309393-7138-4131-afba-b34f0909e6e2', 'f392478d-1e5d-42e4-8982-5bff07275546']",32,,Left Foot,"[106.3, 29.7]",True,"[{'location': [109.3, 40.6], 'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.1, 35.6], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.3, 29.8], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.1, 22.3], 'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [99.9, 31.5], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.9, 11.3], 'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.2, 43.4], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.6, 36.9], 'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.7, 34.7], 'player': {'id': 7043, 'name': 'Roberto Inglese'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,Blocked,0.022842253,Half Volley,Open Play,,,,Chievo,231,00:15:32.063,Shot,True
,,,,,,,,,,,,,,,,0.399209,,,,,,,,,,,,,,518d3b73-a77a-4134-9d97-e38a6cf69815,891,,"[107.5, 28.2]",3879723,21,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Geoffrey Kondogbia,6589.0,Left Center Midfield,39,Inter Milan,238,['4224a239-fc51-44fb-adce-cc1710fc3bd1'],11,,Left Foot,"[118.0, 36.9, 0.2]",True,"[{'location': [107.6, 49.5], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.6, 38.6], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 40.8], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.3, 36.9], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 39.7], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.5, 35.1], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.8, 37.3], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.7, 37.3], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.7, 45.3], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 38.7], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",2cb2ce9e-19d7-42a3-88c5-39448dd50746,Saved,0.11144685,Normal,Open Play,,,,Inter Milan,238,00:21:11.762,Shot,
,,,,,,,,,,,,,,,,0.966934,,,,,,,,,,,,,,a7cc0954-39db-467b-94bb-703d14fb22b6,894,,"[102.7, 45.6]",3879723,21,,,True,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yuto Nagatomo,5690.0,Right Back,39,Inter Milan,238,['227d1b37-22d5-47a4-8456-2158e61ab9da'],13,,Left Foot,"[115.3, 0.1]",True,"[{'location': [113.6, 45.7], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.9, 33.8], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.7, 39.1], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.4, 29.0], 'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.6, 46.6], 'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.1, 39.6], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 46.5], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.6, 42.6], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 35.6], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.8, 39.7], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.7, 32.0], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.5, 38.5], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 58.6], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,Wayward,0.10951615,Half Volley,Open Play,,,,Inter Milan,238,00:21:13.420,Shot,
,,,,,,,,,,,,,,,,1.414025,,,,,,,,,,,,,,ea6e12cc-0a5e-4ed8-adc6-76db69d3e768,1089,,"[91.1, 50.0]",3879723,27,,,True,,,,,,,,,,,,,,,,,,,,1,Regular Play,Geoffrey Kondogbia,6589.0,Left Center Midfield,49,Inter Milan,238,"['0bd60782-8d73-4c2c-9871-9dfe278273dc', '7e15a128-0e94-4209-a06e-6d6e3559d3ea']",21,,Left Foot,"[120.0, 17.3]",,"[{'location': [116.9, 41.4], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.7, 66.4], 'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.8, 53.4], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.7, 47.8], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.8, 37.8], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.2, 27.4], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.3, 51.3], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.3, 41.7], 'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.8, 55.2], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.4, 42.4], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 47.2], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.5, 34.1], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.7, 41.4], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.8, 32.4], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",9b75a544-3868-4bd2-b150-b34611d571d8,Wayward,0.023488369,Normal,Open Play,,,,Inter Milan,238,00:27:21.245,Shot,True
,,,,,,,,,,,,,,,,1.020917,,,,,,,,,,,,,,1397c861-11b1-4110-b962-0af03fc2337a,1241,,"[97.9, 22.0]",3879723,32,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marcelo Brozović,5469.0,Right Center Midfield,59,Inter Milan,238,['9b6afdc7-f5da-46b2-aa6d-6d7cb7609d60'],50,,Right Foot,"[118.4, 41.3, 0.5]",,"[{'location': [106.3, 31.1], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.3, 11.4], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 39.1], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 46.7], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [101.7, 32.1], 'player': {'id': 8644, 'name': 'Sergio Pellissier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [109.9, 46.1], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.8, 41.9], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.3, 37.7], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 36.1], 'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.2, 26.8], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.1, 32.4], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 17.8], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.3, 37.7], 'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.7, 38.1], 'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.2, 46.8], 'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.4, 41.0], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",0e1f712d-4e44-4915-aeac-5d1dd4e4feec,Saved,0.013458339,Normal,Open Play,,,,Inter Milan,238,00:32:50.417,Shot,
,,,,,,,,,,,,,,,,1.234454,,,,,,,,,,,,,,da6917bb-89fb-441b-ab46-7f76f9192bbc,1246,,"[112.5, 43.1]",3879723,33,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,60,Inter Milan,238,"['105110af-bcce-4088-b238-c6c3f01a91ac', 'e5beaf53-c395-47a1-8cc9-0f0cc4306db4']",20,True,Head,"[120.0, 31.7, 0.9]",,"[{'location': [113.9, 44.5], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.5, 41.8], 'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [111.4, 39.5], 'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.8, 37.4], 'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.8, 34.3], 'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.2, 40.8], 'player': {'id': 8644, 'name': 'Sergio Pellissier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.5, 49.5], 'player': {'id': 386657, 'name': 'Giampiero Pinzi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.4, 49.7], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [113.2, 42.7], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 41.2], 'player': {'id': 7043, 'name': 'Roberto Inglese'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [114.4, 41.6], 'player': {'id': 7041, 'name': 'Nicola Rigoni'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.7, 39.3], 'player': {'id': 8278, 'name': 'Nicolás Federico Spolli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.2, 35.2], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.3, 38.1], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.1, 42.0], 'player': {'id': 11426, 'name': 'Andrea Seculin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.2, 27.2], 'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.5, 78.5], 'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.9, 48.6], 'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",df312028-0140-46c7-8383-802c17615f43,Off T,0.07313039,Normal,Open Play,,,,Inter Milan,238,00:33:20.688,Shot,True
