50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.548072,,,,,,,,,,,,,30d1c5d0-740e-4833-adb3-5d221ed9fe0a,146,,,"[92.5, 22.4]",3901198,2,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Arnold Bouka Moutou,4906.0,Left Back,10,Angers,145,"['24bdfbbb-57cf-49a5-aed0-9936c5ccc818', '3de404e7-e546-4802-95e0-99d5cba608db']",6,,Left Foot,,"[120.0, 53.8, 0.2]",,"[{'location': [90.1, 46.4], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [98.7, 34.8], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.3, 41.7], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [87.6, 48.1], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.1, 25.5], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [92.9, 52.1], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [88.1, 35.2], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.3, 38.2], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.6, 43.3], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 25.2], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.5, 30.6], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 13.4], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",69579395-7874-4b0e-95a8-2b321c7be172,,Off T,0.008477993,Normal,Open Play,,,,Angers,145,00:02:06.309,Shot,True
,,,,,,,,,,,,,,,,,0.687149,,,,,,,,,,,,,79135024-378b-44cf-8848-b16b6cbd1b55,165,,,"[105.8, 43.7]",3901198,2,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mohamed Lamine Yattara,7337.0,Left Wing,12,Angers,145,"['179249a6-8c2a-4c43-9fa7-95f29187f6c0', '6ac83c8a-b730-4278-9e67-ce746b202813']",44,,Left Foot,,"[118.5, 41.5, 0.2]",True,"[{'location': [110.1, 63.2], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.5, 32.8], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.4, 33.3], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.9, 49.4], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 44.4], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 42.3], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.4, 41.6], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 59.4], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 48.7], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.4, 28.7], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.5, 52.5], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Saved,0.09077663,Normal,Open Play,,,,Angers,145,00:02:44.122,Shot,True
,,,,,,,,,,,,,,,,,0.050578,,,,,,,,,,,,,c0d97dc4-fc6b-4ca5-b488-7baac9329622,295,,,"[112.0, 30.9]",3901198,5,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Chaouki Ben Saada,3161.0,Center Attacking Midfield,18,Troyes,133,['dba3253d-a0bc-4b93-9582-2ce5140da34c'],16,,Left Foot,,"[114.1, 32.7, 0.2]",,"[{'location': [100.3, 36.3], 'player': {'id': 27014, 'name': 'Deniz Hümmet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.5, 27.2], 'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.8, 39.3], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 32.0], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.5, 45.0], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.9, 32.8], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.5, 59.3], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.5, 29.5], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",4284b6ed-18a0-4800-8e91-7985baa60afd,True,Saved,0.21775685,Normal,Open Play,,,,Troyes,133,00:05:16.716,Shot,
,,,,,,,,,,,,,,,,,0.067333,,,,,,,,,,,,,395c65dc-9bb3-4dd6-a6dd-98dfceeb2e69,433,,,"[95.4, 42.9]",3901198,8,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Billy Ketkeophomphone,4441.0,Center Forward,28,Angers,145,"['41c0a226-8c90-4181-a9fc-016f74fb4f9d', '62c03a5a-b589-4917-a984-6544bc9b8e6d', '7baf01f7-1558-4d6c-a92c-e862f8b2396e']",6,,Right Foot,,"[97.0, 42.9]",,"[{'location': [118.9, 41.5], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.7, 51.3], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.6, 58.8], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [79.6, 17.7], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.5, 31.0], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.4, 29.5], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.3, 34.5], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.1, 22.0], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.8, 27.7], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.7, 33.0], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.2, 38.5], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.2, 43.0], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",ee3175f4-dd2d-4af3-897e-7ea6b9fd81da,,Blocked,0.032052133,Normal,Open Play,,,,Angers,145,00:08:06.650,Shot,True
,,,,,,,,,,,,,,,,,2.180129,,,,,,,,,,,,,7c9b4a71-3c1a-431c-837c-103bb8671fe8,455,,,"[74.2, 37.2]",3901198,8,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Mohamed Lamine Yattara,7337.0,Left Wing,31,Angers,145,['dc02039d-258e-4e9c-9753-1775c457a5fb'],52,,Right Foot,,"[120.0, 48.6, 6.8]",,"[{'location': [119.4, 41.7], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [76.0, 55.2], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",31a68593-b416-4dcf-87a3-960a475d626f,,Off T,0.007770324,Half Volley,Open Play,,,,Angers,145,00:08:52.568,Shot,
,,,,,,,,,,,,,,,,,2.015104,,,,,,,,,,,,,c8246132-feb2-4271-add0-3266e973cfe5,592,,,"[101.3, 41.2]",3901198,11,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Pierrick Capelle,3071.0,Right Center Midfield,39,Angers,145,['29a87e86-dc7f-4394-9ee6-e73904765e9d'],57,,Left Foot,,"[119.5, 37.2, 0.2]",True,"[{'location': [113.6, 40.6], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.6, 34.3], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.6, 40.7], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.4, 42.1], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.8, 41.6], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [89.6, 19.7], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.7, 19.9], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.4, 38.0], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.9, 45.5], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.6, 35.3], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.5, 23.8], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 17.9], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.1, 40.4], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.2, 35.8], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Saved,0.061368152,Volley,Open Play,,,,Angers,145,00:11:57.645,Shot,
,,,,,,,,,,,,,,,,,0.239811,,,,,,,,,,,,,39dcf2dd-da4c-4cc1-80ae-3b74cd929b6b,671,,,"[109.9, 48.3]",3901198,13,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Billy Ketkeophomphone,4441.0,Center Forward,43,Angers,145,"['75d54bc7-1b9e-406f-a761-3dc4bff0faa6', 'fa3a9a47-f0e9-4202-b732-88c6926ac7ea']",27,,Right Foot,,"[113.5, 45.9]",True,"[{'location': [114.3, 69.0], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.5, 60.2], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.9, 42.7], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.6, 38.1], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.3, 43.4], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.2, 45.7], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.3, 44.4], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 44.3], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.6, 76.1], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.0, 54.4], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.8, 28.4], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",2134594a-d295-4d1d-b72f-cd56c1f7e9f1,,Blocked,0.077146724,Half Volley,Open Play,,,,Angers,145,00:13:27.113,Shot,
,,,,,,,,,,,,,,,,,0.277868,,,,,,,,,,,,,9090ede7-0918-4087-b69c-630e5b0adfa7,822,,,"[114.6, 36.0]",3901198,17,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Romain Saïss,5219.0,Center Defensive Midfield,52,Angers,145,"['2ed3913b-0fb4-45f5-b547-f28ac3059fc5', '53490d67-b339-488a-ac5c-a8e6584e252c']",20,True,Head,,"[119.1, 37.6, 1.8]",,"[{'location': [110.1, 46.4], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.3, 38.2], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.2, 36.2], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.7, 34.0], 'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.3, 45.3], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.3, 39.2], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.2, 45.5], 'player': {'id': 148132, 'name': 'Quentin Othon'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.3, 38.1], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.9, 34.5], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.8, 36.9], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.1, 37.6], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.8, 32.0], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",2ede1d1c-0cda-4b7f-9b83-be5cf5e4d090,,Saved,0.13836569,Normal,Open Play,,,,Angers,145,00:17:20.705,Shot,True
,,,,,,,,,,,,,,,,,0.057945,,,,,,,,,,,,,6c511f65-2ad2-43a5-9558-bb86b050b871,1242,,,"[111.0, 47.3]",3901198,29,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Pierrick Capelle,3071.0,Right Center Midfield,77,Angers,145,"['5189f7ef-62f7-43b8-89fc-6ec64c00d113', 'ac1194f6-db56-4d58-a320-6f388a0b0734']",48,,Left Foot,,"[111.9, 46.3]",True,"[{'location': [119.3, 43.0], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.1, 54.8], 'player': {'id': 3111, 'name': 'Gilles Sunu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.9, 63.2], 'player': {'id': 3045, 'name': 'Ismaël Traoré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.6, 60.9], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.3, 47.0], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.4, 56.6], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 33.2], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.8, 36.4], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 46.3], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",30e1e9d4-8d49-49fb-b632-b234c45e8b27,,Blocked,0.08201798,Normal,Open Play,,,,Angers,145,00:29:48.623,Shot,
,,,,,,,,,,,,,,,,,1.505431,,,,,,,,,,,,,d6c6c14e-f0a1-41b5-9da2-938ab3ffbbd7,1311,,,"[84.9, 39.8]",3901198,30,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gilles Sunu,3111.0,Right Wing,81,Angers,145,['f479ca8a-3f91-4118-af5a-a26c1809639c'],57,,Right Foot,,"[120.0, 48.0, 5.0]",,"[{'location': [74.1, 10.3], 'player': {'id': 3432, 'name': 'Alexandre Letellier'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': True}, {'location': [73.0, 30.6], 'player': {'id': 3071, 'name': 'Pierrick Capelle'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [84.8, 62.1], 'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [118.9, 41.8], 'player': {'id': 36553, 'name': 'Matthieu Dreyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.6, 34.3], 'player': {'id': 3549, 'name': 'Romain Thomas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [85.1, 20.8], 'player': {'id': 4441, 'name': 'Billy Ketkeophomphone'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.4, 32.0], 'player': {'id': 4906, 'name': 'Arnold Bouka Moutou'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [87.9, 39.3], 'player': {'id': 27014, 'name': 'Deniz Hümmet'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [87.1, 31.7], 'player': {'id': 3002, 'name': 'Benjamin Nivet'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [78.2, 32.1], 'player': {'id': 3161, 'name': 'Chaouki Ben Saada'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [87.1, 53.6], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.5, 43.7], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [97.1, 20.9], 'player': {'id': 7337, 'name': 'Mohamed Lamine Yattara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.2, 26.1], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.3, 33.0], 'player': {'id': 401472, 'name': 'Carlos Eduardo de Castro Lourenço'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.7, 38.6], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.6, 18.2], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",8383860d-a8b7-430c-9a3a-8fc8b4aa7d03,,Off T,0.015411514,Normal,Open Play,,,,Angers,145,00:30:57.088,Shot,
