bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.985892,,,,,,,,,,,,bccf28d3-bbb9-4e3f-a0ad-1a4a7ba029da,199,,"[108.1, 45.7]",9889,4,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Paulo Bezzera Maciel Júnior,5542.0,Right Center Midfield,11,Barcelona,217,['1bdcc267-dee4-4cdf-9dd8-9f1016d0a174'],13,,Head,"[120.0, 46.0, 1.0]",,"[{'location': [102.8, 54.4], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.0, 20.3], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.1, 47.6], 'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.3, 32.7], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.3, 41.7], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.3, 28.5], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.5, 18.8], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.9, 32.9], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.9, 41.2], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.3, 30.5], 'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.7, 21.2], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.7, 37.5], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",8c5ff825-6fae-4b00-b0ff-b38b3b8b67f2,,,Off T,0.1202063,Normal,Open Play,,,,Barcelona,217,00:04:13.566,Shot,
,,,,,,,,,,,,,,,,1.035389,,,,,,,,,,,,e6a73484-b390-484c-9f55-137e517032df,310,,"[117.1, 30.2]",9889,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Denis Suárez Fernández,6609.0,Center Attacking Midfield,18,Barcelona,217,"['23ac55fa-a2f3-4a94-9af8-714e4c20326e', '62295607-321c-47b2-80bf-15413bb37d8e']",8,,Left Foot,"[120.0, 46.8, 0.2]",True,"[{'location': [119.1, 36.7], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 26.1], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.9, 29.4], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 27.1], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.4, 29.0], 'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.9, 29.6], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.7, 34.6], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.2, 46.2], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [100.0, 38.7], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.7, 29.1], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.6, 32.7], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.7, 41.4], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.2, 33.8], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",8dcf9d02-f50a-4e37-9a67-992cddbe5d65,,,Off T,0.088041656,Normal,Open Play,,,,Barcelona,217,00:07:08.894,Shot,True
,,,,,,,,,,,,,,,,0.311735,,,,,,,,,,,,cbccea76-7e8a-4e43-a860-1e5df03c3517,447,,"[107.6, 38.1]",9889,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Maximiliano Gómez González,6297.0,Right Center Forward,25,Celta Vigo,209,['3af04bf9-a2c3-4aa6-b0be-d3a816090fd6'],46,,Right Foot,"[114.4, 38.4, 0.9]",True,"[{'location': [114.9, 38.4], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.2, 34.9], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.8, 31.6], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 19.5], 'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 29.8], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.8, 40.1], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.4, 27.4], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.6, 58.1], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.2, 17.0], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",f220ff80-2009-4a02-ba4a-7c10eecdc19e,,,Saved,0.20489138,Normal,Open Play,,,,Celta Vigo,209,00:09:46.553,Shot,
,,,,,,,,,,,,,,,,2.150477,,,,,,,,,,,,e33ef5f0-aacb-4c40-96ba-9052af47504b,486,,"[101.4, 52.9]",9889,10,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Francisco Alcácer García,6402.0,Center Forward,27,Barcelona,217,['782d58c6-74b2-462d-9c81-0f285b8e62c4'],31,,Right Foot,"[114.5, 43.6, 2.0]",True,"[{'location': [115.1, 43.2], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 47.9], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.6, 39.5], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 30.2], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [89.7, 60.1], 'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [82.3, 39.9], 'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [86.6, 29.1], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [87.1, 14.6], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.0, 35.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",6a1cc80f-e1b4-4bac-928d-0211e0bc34b1,,,Saved,0.07047983,Normal,Open Play,,,,Barcelona,217,00:10:31.693,Shot,
,,,,,,,,,,,,,,,,0.152292,,,,,,,,,,,,5dcb146e-c242-4ddb-87a0-266cb105d5eb,514,,"[104.6, 47.9]",9889,11,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Ousmane Dembélé,5477.0,Right Wing,28,Barcelona,217,"['0fb835ac-68eb-4c68-8e9a-340e2513d4cc', 'a0059159-b328-4c72-a507-f5046275b6cb']",32,,Left Foot,"[106.7, 46.3]",,"[{'location': [107.1, 46.1], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.2, 46.3], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 44.6], 'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.1, 43.1], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.9, 36.8], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [112.1, 37.9], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.1, 24.3], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [95.1, 27.2], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.7, 36.7], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.1, 50.0], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.5, 56.6], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.1, 55.7], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.2, 41.4], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,,Blocked,0.061963685,Normal,Open Play,,,,Barcelona,217,00:11:32.130,Shot,
,,,,,,,,,,,,,,,,1.610483,,,,,,,,,,,,7b05adfd-eacc-4395-bd75-b60c26550227,685,,"[86.0, 32.5]",9889,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Jonathan Castro Otto,6802.0,Left Center Back,37,Celta Vigo,209,"['85976eb6-efc2-478e-b716-0dbf960bb17f', 'e69868d7-7d5e-45bf-8f76-7c33a59e81b8']",54,,Right Foot,"[120.0, 41.2, 4.9]",,"[{'location': [87.3, 37.9], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [95.0, 26.0], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.4, 46.5], 'player': {'id': 6297, 'name': 'Maximiliano Gómez González'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.1, 39.1], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.1, 42.7], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [101.8, 33.7], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [100.4, 19.7], 'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.6, 30.0], 'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.4, 52.2], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [91.2, 39.0], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.8, 34.0], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.7, 31.7], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.7, 14.9], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [93.1, 21.8], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [99.6, 45.1], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.4, 40.5], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.7, 59.4], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.6, 6.9], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,,Off T,0.014610081,Normal,Open Play,,,,Celta Vigo,209,00:16:54.836,Shot,True
,,,,,,,,,,,,,,,,0.621837,,,,,,,,,,,,7fad791e-7637-42b3-8681-64325786efb5,1052,,"[108.4, 49.4]",9889,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Paulo Bezzera Maciel Júnior,5542.0,Right Center Midfield,49,Barcelona,217,"['20a1d3aa-eda2-4132-aef8-c4771d5cb98b', 'a6253c14-ecbf-40a1-b1e7-84ab7b28b634']",52,,Right Foot,"[109.4, 48.8]",,"[{'location': [87.0, 31.0], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.9, 57.4], 'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [110.1, 45.6], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [106.7, 45.0], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.1, 45.4], 'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.8, 48.7], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.7, 47.6], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [91.8, 39.2], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.3, 40.6], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.7, 30.7], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [103.6, 25.1], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.8, 42.5], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.7, 48.9], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.8, 46.1], 'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",26784342-e3c8-4da7-9a00-ee518c55bdc8,,,Blocked,0.056611445,Normal,Open Play,,,,Barcelona,217,00:23:52.816,Shot,
,,,,,,,,,,,,,,,,0.935698,,,,,,,,,,,,4fd9edd3-e32a-424a-a3f3-58f6a448d82d,1058,,"[108.4, 38.2]",9889,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,José Paulo Bezzera Maciel Júnior,5542.0,Right Center Midfield,50,Barcelona,217,"['b85e9219-77dd-4307-84f2-2bdd2ca7f7b8', 'e330c92f-9b74-44e5-be1f-1f0287fa0301']",17,True,Head,"[120.0, 36.1, 0.8]",,"[{'location': [119.0, 39.0], 'player': {'id': 6884, 'name': 'Sergio Álvarez Conde'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.7, 33.5], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.3, 31.0], 'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.1, 43.0], 'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.2, 39.7], 'player': {'id': 6802, 'name': 'Jonathan Castro Otto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 52.1], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.3, 47.5], 'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.9, 44.9], 'player': {'id': 6297, 'name': 'Maximiliano Gómez González'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [111.3, 36.2], 'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 38.1], 'player': {'id': 6804, 'name': 'Sergi Gómez Solà'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.4, 36.6], 'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.2, 54.1], 'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 45.1], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.9, 40.9], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}]",451d014c-f7a9-4848-b2a4-e0fb25cbc2a7,,,Post,0.045924403,Normal,Open Play,,,,Barcelona,217,00:24:17.541,Shot,True
,,,,,,,,,,,,,,,,0.816966,,,,,,,,,,,,426d8bb8-5564-4084-9466-40a53978fff0,1082,,"[104.7, 46.8]",9889,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Brais Méndez Portela,6799.0,Right Center Midfield,51,Celta Vigo,209,"['830dede8-2423-4c15-ac88-dfe6f514409a', '91677d97-03ff-4015-a92a-521d6d43a07c']",41,,Left Foot,"[120.0, 35.0, 1.9]",True,"[{'location': [96.7, 55.4], 'player': {'id': 6297, 'name': 'Maximiliano Gómez González'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 40.6], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 45.8], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.7, 42.3], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.6, 38.2], 'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.7, 36.5], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [96.5, 35.4], 'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [105.5, 39.8], 'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.1, 26.2], 'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",87138be2-6fb4-4ec1-a229-5f91df03a28e,,,Off T,0.13168529,Normal,Open Play,,,,Celta Vigo,209,00:24:41.358,Shot,True
,,,,,,,,,,,,,,,,0.387011,,,,,,,,,,,,8d57de3e-672e-4636-8dc5-37c9a03f586e,1271,,"[106.5, 49.1]",9889,28,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Maximiliano Gómez González,6297.0,Right Center Forward,58,Celta Vigo,209,"['772e58fc-03f8-4847-af8b-0cca98c8f7df', 'ec05e625-789a-4c67-ba91-4a7cdb7987d7']",24,,Right Foot,"[108.9, 47.9]",,"[{'location': [101.5, 54.5], 'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.9, 43.6], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.8, 47.1], 'player': {'id': 6196, 'name': 'Yerry Fernando Mina González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.3, 41.6], 'player': {'id': 6332, 'name': 'Thomas Vermaelen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.5, 29.8], 'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",c6f04392-d730-4df1-aeea-9d39baab5f37,,,Blocked,0.07332157,Normal,Open Play,,,,Celta Vigo,209,00:28:24.808,Shot,
