ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.859139,,,,,,,,,,,,,,,582e4334-6a74-4633-bfa3-a43bf56953c9,282,,,"[110.3, 36.8]",3754041,4,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Olivier Giroud,3604.0,Center Forward,6,Arsenal,1,['29f57d4c-cebc-4a71-abad-eac0b2aecfa7'],30,,Head,"[120.0, 37.4, 0.5]",,"[{'location': [113.4, 8.5], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.9, 18.3], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 21.6], 'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.7, 29.4], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.5, 41.8], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.3, 45.5], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [112.0, 38.2], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 34.9], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [112.4, 31.2], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.2, 39.5], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.8, 30.3], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.5, 39.3], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.1, 50.9], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",662503a5-5937-40d4-b6e4-caab98e60926,,Goal,,,0.07424382,Normal,Open Play,,,,Arsenal,1,00:04:30.200,Shot,
,,,,,,,,,,,,,,,0.254377,,,,,,,,,,,,,,,c820a676-207c-421d-95b2-d32071ab28e7,303,,,"[99.3, 51.7]",3754041,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,8,Arsenal,1,"['674ef9f0-aeaf-4a1c-be09-91ed2fb037c0', 'cdc92624-bdfc-4dbd-8e39-3cd56b7c4c6e']",43,,Left Foot,"[101.8, 50.7]",True,"[{'location': [105.3, 43.9], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.2, 59.5], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.1, 67.5], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [90.3, 49.9], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [92.7, 46.4], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.4, 58.0], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.1, 45.9], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.3, 53.4], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.6, 57.9], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.1, 41.4], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.5, 69.4], 'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [100.5, 41.5], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.6, 36.1], 'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.2, 50.5], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}]",e1a7bbe7-965c-4a9c-b425-13619a19bb7f,,Blocked,,,0.028207658,Normal,Open Play,,,,Arsenal,1,00:05:43.327,Shot,
,,,,,,,,,,,,,,,0.811328,,,,,,,,,,,,,,,6c49f593-20b2-40f7-9abf-60d2d96e1854,608,,,"[113.4, 41.4]",3754041,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gabriel Armando de Abreu,6746.0,Right Center Back,24,Arsenal,1,"['2935340d-adfb-4856-94d5-69791ed7748b', 'e985935c-7bd3-4445-b5ea-36659046394b']",42,True,Head,"[118.3, 40.4, 1.2]",,"[{'location': [102.3, 26.4], 'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [104.1, 33.3], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.2, 49.1], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [98.7, 41.0], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 39.4], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.0, 47.1], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 37.7], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.5, 40.3], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.4, 40.5], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.1, 40.3], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.2, 40.9], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.4, 44.4], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",a01a1a9c-29ef-4358-88b1-3ee01975f5d4,,Saved,,,0.18901204,Normal,Open Play,,,,Arsenal,1,00:12:42.321,Shot,True
,,,,,,,,,,,,,,,1.208709,,,,,,,,,,,,,,,1858a076-9e22-498a-8350-cb54be2b2be8,727,,,"[91.6, 42.4]",3754041,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ashley Westwood,3583.0,Right Center Midfield,40,Aston Villa,59,['fbbfcef9-0d14-421b-ba72-8e14ee2338e4'],21,,Right Foot,"[116.2, 42.6, 0.9]",,"[{'location': [116.5, 40.9], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.7, 52.0], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.9, 40.9], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.5, 39.0], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [92.2, 38.2], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.7, 11.4], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [89.5, 35.3], 'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [84.7, 31.4], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [103.5, 32.0], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.6, 45.1], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [99.7, 23.4], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.1, 30.5], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 36.5], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.3, 47.0], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",2f82d0e9-e14f-4ec1-8fef-abff3acf0ae2,,Saved,,,0.03132043,Normal,Open Play,,,,Aston Villa,59,00:15:21.854,Shot,
,,,,,,,,,,,,,,,0.123383,,,,,,,,,,,,,,,c783c9dc-85c8-456f-a6df-2489c4dafb87,1021,,,"[106.6, 34.8]",3754041,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,56,Arsenal,1,"['1eac220d-3eac-40ac-b548-5e3918e37668', 'e4eb9097-4498-466f-a461-9614e7500c70']",29,,Right Foot,"[109.5, 34.4]",,"[{'location': [115.7, 38.5], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 46.0], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [112.5, 25.7], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.2, 34.1], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.5, 35.6], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 25.3], 'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [110.8, 27.4], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 34.1], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 34.1], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.2, 38.3], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Blocked,,,0.13698411,Normal,Open Play,,,,Arsenal,1,00:21:29.561,Shot,
,,,,,,,,,,,,,,,0.982136,,,,,,,,,,,,,,,6de1099a-2bd6-424c-aaaf-0df760271f30,1495,,,"[104.8, 24.7]",3754041,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,68,Arsenal,1,['1a3a5c78-141f-4038-8a1d-e732f0f56b99'],36,,Right Foot,"[120.0, 44.9, 1.1]",,"[{'location': [106.5, 34.5], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 44.6], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [107.3, 45.7], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.7, 58.2], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.2, 24.3], 'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [106.4, 30.9], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 26.8], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [91.3, 35.5], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [102.2, 15.5], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.6, 37.2], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 35.5], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.8, 42.9], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 47.3], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [116.5, 37.6], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",c656c16f-9b21-49ee-9a59-c09d269315cf,,Off T,,,0.033643987,Normal,Open Play,,,,Arsenal,1,00:31:36.908,Shot,
,,,,,,,,,,,,,,,0.706149,,,,,,,,,,,,,,,67f87b9e-d318-4e2e-bca8-c73038b585cd,1508,,,"[114.9, 44.7]",3754041,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jack Wilshere,3388.0,Right Wing,70,Arsenal,1,['b1ebe34c-2538-45ce-8712-0d61761faa99'],29,,Right Foot,"[120.0, 44.8, 1.2]",True,"[{'location': [112.1, 20.0], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.5, 32.6], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.9, 36.0], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.9, 26.3], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.6, 55.6], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [110.4, 40.5], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 35.5], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.8, 36.3], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",aabbbdbf-f70f-4f08-b1d7-9b87c947f9c9,,Off T,,,0.3143006,Half Volley,Open Play,,,,Arsenal,1,00:32:29.379,Shot,
,,,,,,,,,,,,,,,0.955737,,,,,,,,,,,,,,,cc7267de-5941-4910-a076-58ca53143c4e,1606,,,"[113.7, 36.4]",3754041,34,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Alejandro Sánchez Sánchez,3385.0,Left Wing,74,Arsenal,1,['faef9d6b-ec54-496a-b043-edaefa4a1d18'],42,,Left Foot,"[116.9, 35.8, 1.6]",True,"[{'location': [117.0, 38.3], 'player': {'id': 18672, 'name': 'Mark Bunn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.5, 33.0], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.6, 41.7], 'player': {'id': 5685, 'name': 'Carlos Alberto Sánchez Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 31.0], 'player': {'id': 20951, 'name': 'Jordan Lyden'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [98.6, 52.3], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.6, 40.0], 'player': {'id': 75899, 'name': 'Kevin Toner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.4, 36.4], 'player': {'id': 9533, 'name': 'Leandro Bacuna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 43.3], 'player': {'id': 20285, 'name': 'Joleon Lescott'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [105.3, 48.1], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [100.6, 55.1], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.1, 41.8], 'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.2, 44.1], 'player': {'id': 3496, 'name': 'Mesut Özil'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",7a4cce53-6036-4a12-a0c9-3271ea4ba4b2,,Saved Off Target,True,,0.3390156,Volley,Open Play,,,,Arsenal,1,00:34:42.100,Shot,
,,,,,,,,,,,,,,,0.585468,,,,,,,,,,,,,,,4cb8f367-91b5-428e-b4ce-5141408c6a28,1744,,,"[110.2, 29.4]",3754041,37,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Scott Sinclair,11117.0,Right Center Forward,76,Aston Villa,59,['2b967658-23fc-40f4-ad97-1aecef77a99f'],16,,Left Foot,"[119.5, 45.3]",,"[{'location': [118.9, 39.8], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.2, 18.6], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.4, 41.9], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 35.9], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.7, 20.0], 'player': {'id': 27146, 'name': 'Aly Cissokho'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [107.4, 43.5], 'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.3, 30.6], 'player': {'id': 3450, 'name': 'Jordan Ayew'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [105.8, 31.3], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.7, 30.5], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.6, 31.6], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.4, 28.5], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",9316d6bd-cb02-4945-be86-b2b1d465f281,,Wayward,,,0.0873601,Normal,Open Play,,,,Aston Villa,59,00:37:16.774,Shot,
,,,,,,,,,,,,,,,0.191728,,,,,,,,,,,,,,,f0d5439f-1cc4-44f8-9826-26a2c04f5f1f,1809,,,"[90.2, 38.7]",3754041,38,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carlos Alberto Sánchez Moreno,5685.0,Center Defensive Midfield,78,Aston Villa,59,"['c06d0be1-111b-4121-a799-eeedd5b2b8a7', 'd252e9d2-df66-4fd3-a7fb-cff185b9e2c4']",26,,Right Foot,"[94.6, 39.1]",,"[{'location': [117.8, 39.1], 'player': {'id': 3461, 'name': 'Petr Čech'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.6, 19.7], 'player': {'id': 3388, 'name': 'Jack Wilshere'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.5, 44.3], 'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.0, 29.5], 'player': {'id': 11117, 'name': 'Scott Sinclair'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.6, 35.9], 'player': {'id': 3583, 'name': 'Ashley Westwood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.4, 24.0], 'player': {'id': 3511, 'name': 'Héctor Bellerín Moruno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.5, 33.0], 'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.9, 39.5], 'player': {'id': 3394, 'name': 'Laurent Koscielny'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.2, 34.7], 'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.2, 39.0], 'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 52.1], 'player': {'id': 3498, 'name': 'Ignacio Monreal Eraso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",9c9b6ea5-cc9f-4ea4-bf56-d5e6cfb24403,,Blocked,,,0.021775935,Normal,Open Play,,,,Aston Villa,59,00:38:26.802,Shot,
