50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,1.1493,,,,,,,,,,,,0fbbc524-fddf-4b6f-b83b-0ce0e0af1f10,126,,,"[94.0, 53.0]",19784,2,,,,,,,,,,,,,,,,,,,1,Regular Play,Aileen Whelan,16374.0,Left Wing,9,Brighton & Hove Albion WFC,965,['fff968ed-12a6-4499-8e5e-329d16f75f5f'],12,,Right Foot,"[118.0, 39.7, 2.8]",,"[{'location': [87.0, 51.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [76.0, 48.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [80.0, 57.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 45.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 28.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 56.0], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 39.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [87.0, 52.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [87.0, 57.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [95.0, 51.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 45.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 55.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",6aaf4267-df1d-4d65-a063-80d7a39b195b,Post,0.03151131,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:02:12.934,Shot,
,,,,,,,,,,,,1.8476,,,,,,,,,,,,e4d351c8-bfed-4c26-a8d6-482f77576076,132,,,"[88.0, 36.0]",19784,2,,,,,,,,,,,,,,,,,,,1,Regular Play,Kayleigh Green,16400.0,Center Attacking Midfield,9,Brighton & Hove Albion WFC,965,"['6f3575e8-aa00-4055-818c-5890a43ad189', '8c271f67-c67b-43e9-a09f-a10406e6e351']",18,,Left Foot,"[118.0, 37.0, 0.7]",,"[{'location': [89.0, 20.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [93.0, 56.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 30.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 46.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [80.0, 33.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [77.0, 47.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [73.0, 52.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 29.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.0, 28.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 56.0], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 43.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 41.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 36.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 43.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",,Saved,0.017638324,Half Volley,Open Play,,,,Brighton & Hove Albion WFC,965,00:02:18.176,Shot,True
,,,,,,,,,,,,0.2246,,,,,,,,,,,,987e7649-02b6-4e6f-8248-78d74d23562c,197,,,"[99.0, 28.0]",19784,3,,,,,,,,,,,,,,,,,,,1,From Throw In,Aileen Whelan,16374.0,Left Wing,14,Brighton & Hove Albion WFC,965,"['9bd4b9d4-bd5a-4a51-9cbe-3dfcf9b9e4a7', 'e695ffac-4e3f-4e6d-98ed-c69bffc6604f']",9,,Right Foot,"[102.0, 29.0]",True,"[{'location': [101.0, 40.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 51.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.0, 39.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 36.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.0, 32.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 36.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 47.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 59.0], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.0, 55.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",,Blocked,0.052652754,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:03:09.883,Shot,
,,,,,,,,,,,,1.708762,,,,,,,,,,,,915f3c61-779b-4482-a40a-f9b719d447c8,272,,,"[100.0, 38.0]",19784,4,,,,,,,,,,,,,,,,,,,1,Regular Play,Simone Magill,15559.0,Right Wing,16,Everton LFC,967,"['26e1b4fb-b0ec-4e76-8f32-821be949863a', 'a533114f-0a21-4659-8936-89efde11a97b']",26,,Right Foot,"[120.0, 46.9, 0.2]",,"[{'location': [109.0, 37.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 42.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 38.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 30.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 27.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 25.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",112af18e-de92-4e87-809a-03e9244c9b02,Off T,0.04367541,Normal,Open Play,,,,Everton LFC,967,00:04:26.674,Shot,True
,,,,,,,,,,,,1.313762,,,,,,,,,,,,28344d93-1825-4e2a-920f-6a271243bbbe,483,,,"[107.0, 33.0]",19784,9,,,,,,,,,,,,,,,,,,,1,Regular Play,Inessa Kaagman,15579.0,Center Attacking Midfield,35,Everton LFC,967,['d01e2453-7f41-483a-97b5-266aff4596ac'],30,,Left Foot,"[120.0, 46.0, 0.2]",True,"[{'location': [119.0, 40.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 36.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 50.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 45.0], 'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",388478d3-8ac3-4078-b9a2-98f4681f9bb3,Off T,0.11392301,Normal,Open Play,,,,Everton LFC,967,00:09:30.516,Shot,
,,,,,,,,,,,,0.7431,,,,,,,,,,,,bac3b381-4da9-4d2b-8ee9-30933e483f19,938,,,"[89.0, 41.0]",19784,21,,,,,,,,,,,,,,,,,,,1,Regular Play,Kayleigh Green,16400.0,Center Attacking Midfield,69,Brighton & Hove Albion WFC,965,"['12e4ef02-bb9f-4f7c-8e06-c476b2f12ee1', '5a13d794-2baf-4fea-a561-be496f512a62', 'b7cc66c8-aeb2-4f60-b051-a1be995810e0']",13,,Right Foot,"[103.0, 42.0]",,"[{'location': [118.0, 42.0], 'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 35.0], 'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 42.0], 'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.0, 60.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.0, 35.0], 'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 30.0], 'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 44.0], 'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.0, 43.0], 'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [86.0, 48.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",05291940-0948-4500-9d10-8655d00c177a,Blocked,0.022195164,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:21:13.452,Shot,True
,,,,,,,,,,,,0.2001,,,,,,,,,,,,59d384f9-5828-4e1a-8dfe-a46a8a6ebc89,1010,,,"[94.0, 51.0]",19784,22,,,,,,,,,,,,,,,,,,,1,Regular Play,Angharad James,15577.0,Right Defensive Midfield,71,Everton LFC,967,"['b2bb78ae-f375-4cb3-a2ff-034c84e0f8d6', 'edf607d0-a9be-41f4-863c-40fe331a9d5c', 'faec35c2-656a-460e-85be-dfdbe2c669eb']",15,,Right Foot,"[99.0, 53.0]",,"[{'location': [117.0, 41.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 38.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 50.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 54.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 43.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 38.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.0, 44.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.0, 49.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 53.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.0, 20.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.0, 29.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.0, 57.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 44.0], 'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",c8c678aa-ca87-4bcc-a152-5962f25c2e71,Blocked,0.021599183,Normal,Open Play,,,,Everton LFC,967,00:22:15.358,Shot,True
,,,,,,,,,,,,0.5961,,,,,,,,,,,,29ead492-1c0e-4e77-a476-dfebc39c52f7,1045,,,"[89.0, 26.0]",19784,23,,,,,,,,,,,,,,,,,,,1,From Corner,Chloe Kelly,15570.0,Left Wing,72,Everton LFC,967,"['1bca18db-d232-4955-8333-aa4532e43438', '3e04c96d-da6d-4c82-b77d-4a37b8c862f1', '4e0eb14f-460b-45fa-9de2-8f3afb8fd558']",34,,Right Foot,"[105.0, 35.0]",,"[{'location': [95.0, 39.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.0, 33.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 49.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.0, 39.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 32.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 28.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [90.0, 23.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.0, 54.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 40.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 38.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.0, 35.0], 'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",0a08167a-45d8-47f4-b587-a790fedcc091,Blocked,0.0062445845,Normal,Open Play,,,,Everton LFC,967,00:23:34.970,Shot,True
,,,,,,,,,,,,0.1029,,,,,,,,,,,,eea8d74b-fccd-47c2-8fd7-86da8775c7b6,1506,,,"[91.0, 43.0]",19784,38,,,,,,,,,,,,,,,,,,,1,Regular Play,Chloe Kelly,15570.0,Left Wing,111,Everton LFC,967,"['1e65f40c-68bf-43f8-9767-93f115413470', '702fe999-200e-408e-a318-a7e247195266']",5,,Left Foot,"[96.0, 54.0]",,"[{'location': [95.0, 29.0], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 31.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 42.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [79.0, 37.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 55.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.0, 41.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.0, 43.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 45.0], 'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.0, 43.0], 'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [87.0, 40.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 54.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,Blocked,0.02321984,Normal,Open Play,,,,Everton LFC,967,00:38:05.068,Shot,
,,,,,,,,,,,,0.69162,,,,,,,,,,,,3d973b9c-7757-4a42-ba8e-92cd700d5e4f,1528,,,"[108.0, 52.0]",19784,41,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Angharad James,15577.0,Right Defensive Midfield,113,Brighton & Hove Albion WFC,965,['836b94a3-6bf5-438a-946a-7143d23b0005'],55,,Right Foot,"[119.0, 43.4, 1.5]",,"[{'location': [89.0, 23.0], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 42.0], 'player': {'id': 16397, 'name': 'Chloe Peplow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 51.0], 'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 54.0], 'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 60.0], 'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 57.0], 'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.0, 44.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 35.0], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,Saved,0.10799678,Normal,Open Play,,,,Everton LFC,967,00:41:55.241,Shot,
