ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,0.933,,,,,,,,,,,,,,,68620d68-6b3f-4078-9454-d0ea52e10e03,113,,,"[100.0, 51.0]",7552,2,,,,,,,,,,,,,,,,,,,,1,From Throw In,Thomas Meunier,3176.0,Right Midfield,8,Belgium,782,['37fdf9be-7349-469e-b1b8-b1195bd64807'],21,,Left Foot,"[120.0, 43.6, 0.2]",,"[{'location': [103.0, 27.0], 'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [108.0, 60.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 70.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [88.0, 60.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.0, 47.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 33.0], 'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 48.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.0, 33.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.0, 53.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [91.0, 42.0], 'player': {'id': 2974, 'name': 'Saîf-Eddine Khaoui'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.0, 63.0], 'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 65.0], 'player': {'id': 5649, 'name': 'Anice Badri'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [103.0, 52.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",8a46c494-6e1f-484c-9b6c-88de11706c4b,,,Saved,0.042935207,Normal,Open Play,,,,Belgium,782,00:02:21.980,Shot,
,,,,,,,,0.48,,,,,,,,,,,,,,,08543c41-32dd-4ba1-aea7-d69d4d2584d8,226,,,"[108.0, 40.0]",7552,6,,,,,,,,,,,,,,,,,,,,1,Other,Eden Hazard,3621.0,Left Wing,12,Belgium,782,['4ff5d36c-6a2f-4c47-a586-5b17e4e5ba1f'],0,,Right Foot,"[120.0, 37.0, 0.0]",,,,,,Goal,0.7835,Normal,Penalty,,,,Belgium,782,00:06:00.060,Shot,
,,,,,,,,0.16,,,,,,,,,,,,,,,4d74a5c0-231e-4007-9d03-40473c947a8e,400,,,"[109.0, 24.0]",7552,11,,,,,,,,,,,,,,,,,,,,1,From Throw In,Axel Witsel,5642.0,Left Center Midfield,26,Belgium,782,"['d7504151-4ea9-41e0-9099-2e1a041595fa', 'e7b1ad8c-4d99-4c40-af3b-69c7b4207a17']",41,,Right Foot,"[111.0, 28.0]",,"[{'location': [114.0, 16.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 21.0], 'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [111.0, 39.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 46.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 18.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.0, 21.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 21.0], 'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 28.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 25.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [88.0, 39.0], 'player': {'id': 5649, 'name': 'Anice Badri'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 35.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",66b690e1-393b-491e-b5f0-907f6cf7cdcd,,,Blocked,0.04323456,Normal,Open Play,,,,Belgium,782,00:11:41.980,Shot,
,,,,,,,,0.853,,,,,,,,,,,,,,,aee2aa82-33c7-468b-b33b-02984954137d,429,,,"[110.0, 44.0]",7552,12,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eden Hazard,3621.0,Left Wing,28,Belgium,782,['91ee9805-b605-4ab1-bb6a-51499fdc69b8'],2,,Right Foot,"[119.0, 43.6, 0.4]",True,"[{'location': [106.0, 29.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.0, 34.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [111.0, 35.0], 'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 60.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 53.0], 'player': {'id': 2974, 'name': 'Saîf-Eddine Khaoui'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 58.0], 'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",b745d798-4802-464d-bdcb-c8032e3a4ef9,,,Saved,0.23471555,Normal,Open Play,,,,Belgium,782,00:12:02.500,Shot,
,,,,,,,,1.135,,,,,,,,,,,,,,,deacdf3e-41d4-4676-a021-5ad9c8320446,514,,,"[101.0, 21.0]",7552,14,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Midfield,36,Belgium,782,"['5efb3574-72a2-486b-9740-943251b15926', 'd03d9640-b5b9-4445-b970-f17be6a64639']",27,,Right Foot,"[119.0, 37.4, 0.9]",,"[{'location': [118.0, 39.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 55.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 52.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.0, 38.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 47.0], 'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 35.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 38.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 26.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 23.0], 'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.0, 23.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",05a7088c-1d11-4a45-8803-22641cf4ac26,,,Saved,0.009488142,Normal,Open Play,,,,Belgium,782,00:14:27.060,Shot,True
,,,,,,,,0.933,,,,,,,,,,,,,,,a980fc8a-d166-4a0f-9a44-09c25f06e6d0,553,,,"[104.0, 33.0]",7552,15,,,,,,,,,,,,,,,,,,,,1,From Counter,Romelu Lukaku Menama,3289.0,Center Forward,39,Belgium,782,['3c81aa0a-3229-43e9-b690-bb80ce3e564f'],19,,Left Foot,"[120.0, 44.0, 0.0]",,"[{'location': [115.0, 37.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 31.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 53.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.0, 47.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 44.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",b1e1286c-9116-4291-900c-ab1a2d64b992,,,Goal,0.13771419,Normal,Open Play,,,,Belgium,782,00:15:19.140,Shot,
,,,,,,,,0.88,,,,,,,,,,,,,,,b883bbfd-fccb-4962-b418-77a8db228daf,567,,,"[112.0, 41.0]",7552,17,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dylan Daniel Mahmoud Bronn,5655.0,Right Back,42,Tunisia,777,['0da23a51-9864-438e-beb5-3d39d2c2602a'],7,,Head,"[120.0, 43.4, 1.3]",,"[{'location': [111.0, 42.0], 'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 35.0], 'player': {'id': 5649, 'name': 'Anice Badri'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.0, 53.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.0, 37.0], 'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.0, 24.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [110.0, 47.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 47.0], 'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.0, 40.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 5639, 'name': 'Anga Dedryck Boyata'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.0, 35.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 40.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",98272e10-67fa-4036-9230-4d84c8962f54,,,Goal,0.15909006,Normal,Open Play,,,,Tunisia,777,00:17:07.460,Shot,
,,,,,,,,0.733,,,,,,,,,,,,,,,0d424eb8-d98a-4fca-8db4-aa82e32272bc,619,,,"[107.0, 33.0]",7552,18,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yannick Ferreira Carrasco,5633.0,Left Midfield,45,Belgium,782,['15e056b2-59a0-459e-b07e-536de3bd06c6'],47,,Right Foot,"[119.0, 43.2, 0.6]",True,"[{'location': [115.0, 55.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 36.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 45.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.0, 38.0], 'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [83.0, 57.0], 'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 44.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 55.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 43.0], 'player': {'id': 2974, 'name': 'Saîf-Eddine Khaoui'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.0, 61.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 46.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 38.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",e05d6bbf-b339-40c0-af7c-c0d29386ded2,,,Saved,0.09656626,Volley,Open Play,,,,Belgium,782,00:18:47.940,Shot,
,,,,,,,,1.21,,,,,,,,,,,,,,,040c7e5e-a854-4050-bb42-c399d22e8ea4,715,,,"[102.0, 56.0]",7552,20,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Toby Alderweireld,20005.0,Right Back,51,Belgium,782,['242ff857-6ac2-49a7-9de8-c7bf252d1834'],47,,Right Foot,"[120.0, 34.6, 0.2]",,"[{'location': [119.0, 40.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 51.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 56.0], 'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 41.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 43.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 55.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [108.0, 62.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 18.0], 'player': {'id': 5655, 'name': 'Dylan Daniel Mahmoud Bronn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.0, 18.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 36.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 46.0], 'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.0, 27.0], 'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,,Off T,0.042542275,Normal,Open Play,,,,Belgium,782,00:20:47.300,Shot,
,,,,,,,,0.12,,,,,,,,,,,,,,,4ea68c44-1c7c-4901-9bed-71c5cf9e4a21,928,,,"[100.0, 34.0]",7552,27,,,,,,,,,,,,,,,,,,,,1,Regular Play,Axel Witsel,5642.0,Left Center Midfield,62,Belgium,782,"['0390eafb-c0eb-4fae-bcd5-493f2ad313d1', 'be1d840c-855f-4315-839f-eea498202d6f']",42,,Left Foot,"[104.0, 36.0]",True,"[{'location': [103.0, 19.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 20.0], 'player': {'id': 5656, 'name': 'Syam Ben Youssef'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 38.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 35.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 5648, 'name': 'Farouk Ben Mustapha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 5647, 'name': 'Ali Maâloul'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 24.0], 'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [96.0, 54.0], 'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 32.0], 'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 7.0], 'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",3b519ed6-b9f2-4699-95f1-d7331f3ffecd,,,Blocked,0.070710085,Normal,Open Play,,,,Belgium,782,00:27:42.900,Shot,
