50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.545914,,,,,,,,,,,,,b54e9d46-49fc-44c6-94bc-5d9ec377b0d8,437,,,"[108.1, 40.1]",3893831,10,,,,,,,,,,,,,,,,,,,,,,,1,Other,Arianna Caruso,32162.0,Right Defensive Midfield,26,Italy Women's,855,['68d72e15-0e74-4fe0-a04f-4609e8576610'],54,,Right Foot,"[120.0, 37.2, 0.2]",,,,Goal,,0.7835,Normal,Penalty,,,,Italy Women's,855,00:10:54.894,Shot,
,,,,,,,,,,,,,,,,,2.035947,,,,,,,,,,,,,c3103365-a35b-49a5-97f8-867c24dad8c6,464,,,"[86.6, 47.0]",3893831,12,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Thembi Kgatlana,5052.0,Center Forward,27,South Africa Women's,1216,"['90a1a3fb-05e8-4f3a-9ef6-1d84adca0db1', 'd68caeac-7685-4263-8b70-1275cda4dfc0']",7,,Right Foot,"[120.0, 34.7, 1.3]",,"[{'location': [86.6, 44.8], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 39.9], 'player': {'id': 32152, 'name': 'Francesca Durante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.1, 47.8], 'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.6, 43.3], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.6, 34.8], 'player': {'id': 47117, 'name': 'Benedetta Orsi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.0, 28.0], 'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [88.6, 36.5], 'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [82.4, 43.7], 'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [80.8, 50.0], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [94.3, 51.8], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [80.2, 44.0], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [90.8, 23.9], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [89.2, 39.7], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",9c06b3b0-c5d9-4932-a250-f2f6750b5c8e,Off T,,0.01951178,Normal,Open Play,,,,South Africa Women's,1216,00:12:07.364,Shot,True
,,,,,,,,,,,,,,,,,1.218095,,,,,,,,,,,,,1ab5a11d-076d-4ccc-b219-ce989d9fbf3a,830,,,"[101.6, 30.9]",3893831,20,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Robyn Kimberly Moodaly,402121.0,Right Defensive Midfield,40,South Africa Women's,1216,"['107986f5-d8fa-4cc4-b29a-b6077f0a416b', 'a60490a0-6f45-4ee4-a324-bc08d730bec4']",16,,Right Foot,"[120.0, 44.2, 1.0]",True,"[{'location': [118.8, 39.1], 'player': {'id': 32152, 'name': 'Francesca Durante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 41.2], 'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 32.3], 'player': {'id': 47117, 'name': 'Benedetta Orsi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 32.3], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 46.9], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.2, 27.8], 'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.9, 32.4], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 27.0], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.6, 33.5], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.5, 49.6], 'player': {'id': 5052, 'name': 'Thembi Kgatlana'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.1, 36.6], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,Post,,0.039645985,Half Volley,Open Play,,,,South Africa Women's,1216,00:20:16.750,Shot,True
,,,,,,,,,,,,,,,,,0.691373,,,,,,,,,,,,,9cbca4dd-78c7-450c-80db-d773c78df2dd,1159,,,"[114.5, 40.4]",3893831,33,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Chiara Beccari,135571.0,Right Wing,66,Italy Women's,855,['65d3540a-5fc3-4585-ad51-cd152cb116bb'],24,,Head,"[120.0, 44.1, 0.9]",,"[{'location': [115.7, 45.5], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.7, 41.9], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.5, 36.2], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 26.4], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.1, 40.9], 'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.5, 39.6], 'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.9, 36.4], 'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.8, 29.9], 'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.8, 21.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [119.0, 39.1], 'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.5, 47.8], 'player': {'id': 47117, 'name': 'Benedetta Orsi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.1, 43.1], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.4, 38.6], 'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [103.6, 20.1], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.2, 34.1], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",3f730ccd-fc67-44df-b21d-60e0f9c1946e,Post,,0.17333746,Normal,Open Play,,,,Italy Women's,855,00:33:24.356,Shot,
,,,,,,,,,,,,,,,,,0.198819,,,,,,,,,,,,,b0d55eb8-0fd5-4dbb-99b6-adcc0f4e9602,1164,,,"[116.2, 42.3]",3893831,33,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Elena Linari,10208.0,Left Center Back,66,Italy Women's,855,"['362a2359-8d34-423f-8e8b-aa4dc5faa614', '4871673d-f9f0-4c19-a2f5-0e853979d3c6', '8656bf80-a3e2-47f3-af9c-0692e95a9930', 'e339f9d0-5a4e-494e-8a90-52651ca6bac9']",26,,Left Foot,"[117.0, 42.1]",True,"[{'location': [117.0, 41.9], 'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.9, 43.1], 'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.3, 38.5], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.4, 29.4], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.5, 46.5], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.2, 48.3], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.9, 39.5], 'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.7, 31.5], 'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.4, 24.1], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.4, 42.0], 'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.8, 25.0], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [112.7, 46.9], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.9, 41.9], 'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.2, 33.6], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [116.8, 39.5], 'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,Blocked,,0.21782522,Half Volley,Open Play,,,,Italy Women's,855,00:33:26.549,Shot,True
,,,,,,,,,,,,,,,,,0.151492,,,,,,,,,,,,,da8f5073-48f1-4442-9c1d-8d38f6909552,1172,,,"[113.2, 40.4]",3893831,33,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Chiara Beccari,135571.0,Right Wing,66,Italy Women's,855,"['0ce5da88-34a8-439c-9693-afe80a41a21c', '4962ee30-253a-4008-a475-94ed21c7ba86', '9672852c-01b2-4734-9c78-4fe68dc87ce1', 'dd40fc04-ebee-484e-ae13-2dea87f760a6']",28,,Right Foot,"[114.7, 40.4]",True,"[{'location': [119.0, 40.3], 'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.1, 46.1], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.4, 44.1], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.1, 37.7], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.3, 33.8], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 40.7], 'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 39.4], 'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 39.5], 'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.3, 38.2], 'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.9, 27.5], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.6, 43.0], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.7, 41.0], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.7, 38.4], 'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [110.0, 33.0], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,Blocked,,0.15249354,Volley,Open Play,,,,Italy Women's,855,00:33:28.452,Shot,True
,,,,,,,,,,,,,,,,,0.947312,,,,,,,,,,,,,937e275c-eeaf-4fbb-bb33-9cf8157a26f7,1286,,,"[110.5, 38.9]",3893831,38,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Valentina Giacinti,25541.0,Center Forward,74,Italy Women's,855,"['bd46ea01-699c-4075-a194-95662d4c9192', 'deac39e3-00da-46a6-9502-1a5894a7b3ea']",29,True,Head,"[114.2, 42.4]",,"[{'location': [104.8, 24.7], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.6, 41.5], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.8, 19.8], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.6, 39.6], 'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.4, 31.0], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 32.5], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.2, 15.3], 'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.7, 37.3], 'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 22.1], 'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 40.1], 'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.6, 12.4], 'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.6, 18.3], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.1, 39.3], 'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",38e40802-84c8-4949-bfda-39896f0abfed,Wayward,,0.11147187,Normal,Open Play,,,,Italy Women's,855,00:38:29.125,Shot,True
,,,,,,,,,,,,,,,,,1.01111,,,,,,,,,,,,,c1231ab0-07c1-46df-873f-e976a18a69b7,1553,,,"[96.3, 49.6]",3893831,46,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Valentina Giacinti,25541.0,Center Forward,92,Italy Women's,855,['72007a49-9133-469f-bef5-a5b851142064'],50,,Left Foot,"[118.1, 41.0, 0.9]",,"[{'location': [119.1, 41.4], 'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [90.6, 55.2], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.2, 46.3], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.6, 43.8], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.2, 63.7], 'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.4, 52.7], 'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.2, 54.9], 'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 39.3], 'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.4, 39.5], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [95.9, 18.2], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.9, 64.8], 'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.0, 62.1], 'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [93.5, 56.0], 'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [91.6, 39.5], 'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,Saved,,0.0470593,Normal,Open Play,,,,Italy Women's,855,00:46:50.885,Shot,
,,,,,,,,,,,,,,,,,1.302415,,,,,,,,,,,,,7ebf7df9-2b19-4071-8681-5f12809afc6c,1575,,,"[101.1, 24.5]",3893831,47,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Karabo Dhlamini,402118.0,Left Back,94,South Africa Women's,1216,['f49bc067-464a-4484-bdea-a1a53963c837'],36,,Left Foot,"[120.0, 50.5, 5.5]",True,"[{'location': [99.4, 42.9], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.7, 34.6], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [119.2, 39.0], 'player': {'id': 32152, 'name': 'Francesca Durante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 46.5], 'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.3, 41.6], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 47.4], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.6, 27.2], 'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.8, 29.2], 'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [93.3, 32.8], 'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [109.0, 37.7], 'player': {'id': 47117, 'name': 'Benedetta Orsi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.1, 41.2], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.2, 60.1], 'player': {'id': 5052, 'name': 'Thembi Kgatlana'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.4, 46.2], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",2701a30d-cd65-4dbd-b5bf-2df9057efaf3,Off T,,0.026849339,Normal,Open Play,,,,South Africa Women's,1216,00:47:36.949,Shot,
,,,,,,,,,,,,,,,,,1.506491,,,,,,,,,,,,,a6ac0aa3-1aff-4e5d-9d15-4d05a3e7d051,1642,,,"[105.5, 34.2]",3893831,50,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Arianna Caruso,32162.0,Right Defensive Midfield,99,Italy Women's,855,"['08dc3e78-258f-4224-af6c-eedf0505ace9', 'e981fcea-0407-40c2-b62c-60cfb5052c38']",16,True,Head,"[119.1, 40.1, 1.3]",,"[{'location': [119.1, 38.6], 'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.9, 49.3], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [97.3, 38.0], 'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 46.8], 'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 33.8], 'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 39.6], 'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 35.4], 'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.3, 32.7], 'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.3, 37.0], 'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.5, 30.6], 'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [91.9, 37.3], 'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [95.0, 37.2], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [107.6, 46.6], 'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.7, 42.6], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.3, 28.3], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",55fc29af-03c5-4b6b-bd6a-f5fd4d1d443f,Saved,,0.03346844,Normal,Open Play,,,,Italy Women's,855,00:50:16.078,Shot,True
