50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.106478,,,,,,,,,,,,,289325ee-d3ea-40d2-a947-8aff830786c8,41,,,"[97.4, 49.1]",3844385,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Svenja Huth,10374.0,Right Wing,3,Germany Women's,857,"['071a3bb4-2bd7-470e-abd4-45467b26124c', '9735ebe1-0ed5-4088-a73e-611bf91e8d54']",39,,Right Foot,"[99.7, 48.6]",,"[{'location': [104.4, 40.8], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.6, 31.6], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.5, 32.2], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [92.1, 49.8], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.9, 43.0], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.3, 48.8], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 46.9], 'player': {'id': 10236, 'name': 'Sarah Zadrazil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.2, 41.6], 'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.9, 39.3], 'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.2, 35.3], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.0, 27.6], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.5, 42.0], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.6, 55.6], 'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",bbbedfb0-13ff-4a75-a18c-b9ae401ef8c3,,Blocked,0.035938725,Normal,Open Play,,,,Germany Women's,857,00:00:39.287,Shot,
,,,,,,,,,,,,,,,,,0.596854,,,,,,,,,,,,,954fa56f-fff9-458d-a6aa-8861ba2e45a3,398,,,"[103.7, 49.7]",3844385,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Julia Hickelsberger Füller,32341.0,Right Midfield,25,Austria Women's,859,['a68a6995-eabf-40b4-8948-8cc8afbde717'],8,,Right Foot,"[116.0, 41.3, 0.4]",,"[{'location': [103.0, 51.2], 'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.7, 55.0], 'player': {'id': 10399, 'name': 'Kathrin Julia Hendrich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 48.0], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.6, 37.7], 'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.7, 41.7], 'player': {'id': 15443, 'name': 'Merle Frohms'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.6, 30.9], 'player': {'id': 43046, 'name': 'Barbara Dunst'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.6, 55.6], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",33767cc6-1493-496e-a3ea-ba1833d30d4a,,Saved,0.11306979,Half Volley,Open Play,,,,Austria Women's,859,00:08:08.129,Shot,
,,,,,,,,,,,,,,,,,0.636422,,,,,,,,,,,,,f769a1c7-9f68-47c7-8645-52c4ba234b63,434,,,"[104.8, 41.1]",3844385,8,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandra Popp,15178.0,Center Forward,32,Germany Women's,857,['d2667f75-5dac-4d00-903b-0e6d668e326c'],52,,Right Foot,"[120.0, 44.6, 5.4]",True,"[{'location': [103.1, 29.6], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [113.4, 43.5], 'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.7, 54.7], 'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.2, 46.0], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.2, 40.5], 'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.9, 62.3], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 54.4], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.6, 45.0], 'player': {'id': 10236, 'name': 'Sarah Zadrazil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.2, 41.6], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.6, 42.7], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 51.4], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.6, 34.7], 'player': {'id': 32341, 'name': 'Julia Hickelsberger Füller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [88.7, 59.3], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",ad27b11b-77b6-4ee7-af39-f695fe6c73c1,,Off T,0.16299205,Normal,Open Play,,,,Germany Women's,857,00:08:52.783,Shot,
,,,,,,,,,,,,,,,,,0.932345,,,,,,,,,,,,,eec1c9ff-ee56-43eb-8344-2121d93bf70a,520,,,"[110.8, 37.5]",3844385,12,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Marina Georgieva,43038.0,Left Center Back,39,Austria Women's,859,['14e601b7-42ad-435a-8fdd-c07293c63577'],53,,Head,"[120.0, 36.1, 1.0]",,"[{'location': [114.1, 60.7], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.1, 37.7], 'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.6, 44.2], 'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.8, 39.9], 'player': {'id': 25478, 'name': 'Lena Oberdorf'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.6, 34.5], 'player': {'id': 32355, 'name': 'Felicitas Rauch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.4, 38.5], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.5, 40.6], 'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.7, 43.1], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.8, 36.5], 'player': {'id': 10399, 'name': 'Kathrin Julia Hendrich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.1, 38.8], 'player': {'id': 15443, 'name': 'Merle Frohms'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.9, 47.1], 'player': {'id': 32341, 'name': 'Julia Hickelsberger Füller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.2, 42.8], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.9, 36.0], 'player': {'id': 10233, 'name': 'Nicole Billa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.2, 30.7], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",2cb35064-e47d-43bc-a7b1-4ed0c24a7235,,Post,0.05792584,Normal,Open Play,,,,Austria Women's,859,00:12:53.238,Shot,
,,,,,,,,,,,,,,,,,0.092958,,,,,,,,,,,,,5dfa3dc1-10cd-4774-8d57-90421b3642aa,692,,,"[113.4, 27.7]",3844385,19,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lina Magull,10259.0,Right Center Midfield,53,Germany Women's,857,"['60982a2d-b15a-4cf3-82b9-3e249dc428ef', 'c5726c89-b3b0-4790-8f69-20452edf6746']",37,,Left Foot,"[113.8, 28.4]",True,"[{'location': [104.2, 18.7], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.1, 41.6], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.9, 37.2], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 28.8], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 25.7], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.5, 30.3], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.5, 27.3], 'player': {'id': 10236, 'name': 'Sarah Zadrazil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.2, 36.1], 'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.2, 22.8], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [93.7, 38.6], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.7, 38.9], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.9, 50.5], 'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",6ae900a9-bc80-41e2-9f58-76b9ed1ee66b,,Blocked,0.06713231,Normal,Open Play,,,,Germany Women's,857,00:19:37.061,Shot,
,,,,,,,,,,,,,,,,,0.762709,,,,,,,,,,,,,f8748a75-a809-4f23-8324-656f3ee2aea3,874,,,"[108.2, 35.2]",3844385,24,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lina Magull,10259.0,Right Center Midfield,69,Germany Women's,857,['685e890c-07e6-46e6-a857-5d8b17fc09e5'],54,,Right Foot,"[120.0, 42.8, 0.2]",True,"[{'location': [109.5, 45.6], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.5, 33.5], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.7, 29.6], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.1, 36.1], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.5, 26.8], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 36.4], 'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [119.8, 28.8], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.8, 34.9], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.5, 49.1], 'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",de265949-731d-489f-b536-ea7a95aa049c,,Goal,0.2484349,Normal,Open Play,,,,Germany Women's,857,00:24:54.459,Shot,
,,,,,,,,,,,,,,,,,0.095076,,,,,,,,,,,,,ede72f4f-bdd2-4310-b3ca-701f33e8f9c8,973,,,"[104.6, 33.1]",3844385,29,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sarah Puntigam,10240.0,Center Defensive Midfield,75,Austria Women's,859,"['1521070b-322d-421d-a0d7-3250256d816e', '59efea64-1a49-476c-9c76-c7b87d090f22']",24,,Left Foot,"[106.2, 34.0]",True,"[{'location': [117.8, 40.6], 'player': {'id': 10399, 'name': 'Kathrin Julia Hendrich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.6, 40.8], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.3, 21.5], 'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.1, 37.1], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.3, 38.5], 'player': {'id': 15443, 'name': 'Merle Frohms'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.8, 35.1], 'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.5, 44.5], 'player': {'id': 32355, 'name': 'Felicitas Rauch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 35.3], 'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.9, 32.8], 'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.8, 37.6], 'player': {'id': 25478, 'name': 'Lena Oberdorf'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 25.7], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.5, 44.2], 'player': {'id': 32341, 'name': 'Julia Hickelsberger Füller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [114.3, 41.7], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [115.9, 35.1], 'player': {'id': 10233, 'name': 'Nicole Billa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.9, 35.1], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [102.7, 26.2], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.2, 37.3], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,,Blocked,0.053944573,Volley,Open Play,,,,Austria Women's,859,00:29:24.121,Shot,
,,,,,,,,,,,,,,,,,1.165203,,,,,,,,,,,,,6b0cebfb-ca48-4a49-8e97-55672debc5c6,1126,,,"[98.7, 46.3]",3844385,33,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giulia Gwinn,25492.0,Right Back,82,Germany Women's,857,"['116580d1-956c-49c8-a3a0-bc098c02e3c8', '26fe23f6-339e-43fd-b09c-09d9c4905c73', 'f93174c3-2682-44d7-8167-3f6eff720785']",4,,Left Foot,"[117.0, 41.4, 1.7]",,"[{'location': [117.8, 40.9], 'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 48.5], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.8, 44.0], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.5, 41.8], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.9, 47.0], 'player': {'id': 43046, 'name': 'Barbara Dunst'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [98.7, 45.1], 'player': {'id': 10236, 'name': 'Sarah Zadrazil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.9, 34.0], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.5, 28.9], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 39.2], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.8, 31.7], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.3, 42.5], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.7, 57.2], 'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",e3b6b64b-c270-4e7d-9cf7-2a2139d9ec35,,Saved,0.047546297,Normal,Open Play,,,,Germany Women's,857,00:33:04.773,Shot,True
,,,,,,,,,,,,,,,,,0.818159,,,,,,,,,,,,,7490e770-067b-4699-96ac-f6625c9a73b0,1191,,,"[97.2, 28.9]",3844385,34,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Verena Hanshaw,10248.0,Left Back,91,Austria Women's,859,['d1b8b0e5-183f-4ea5-918a-cdf02a757ae9'],23,,Left Foot,"[111.8, 41.9]",,"[{'location': [118.3, 38.6], 'player': {'id': 15443, 'name': 'Merle Frohms'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.5, 48.7], 'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.8, 47.1], 'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 50.8], 'player': {'id': 32355, 'name': 'Felicitas Rauch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.7, 33.2], 'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.9, 38.5], 'player': {'id': 25478, 'name': 'Lena Oberdorf'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 42.4], 'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 35.3], 'player': {'id': 10399, 'name': 'Kathrin Julia Hendrich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.6, 28.3], 'player': {'id': 25492, 'name': 'Giulia Gwinn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 54.4], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.4, 55.5], 'player': {'id': 32341, 'name': 'Julia Hickelsberger Füller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.3, 46.6], 'player': {'id': 10233, 'name': 'Nicole Billa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.2, 39.1], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.5, 24.0], 'player': {'id': 43046, 'name': 'Barbara Dunst'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",5ba7af00-9d85-410d-8af3-fc1d6021511e,,Wayward,0.03350741,Normal,Open Play,,,,Austria Women's,859,00:34:23.468,Shot,
,,,,,,,,,,,,,,,,,0.664633,,,,,,,,,,,,,1e1375f9-66de-444c-8b5a-9d4c3f274f29,1342,,,"[117.0, 47.0]",3844385,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Sara Däbritz,10263.0,Left Center Midfield,102,Germany Women's,857,"['0ca49caa-e12a-47a9-a8f6-7697209aef38', '89999e98-9c2c-49c5-883e-b2ebd9cf5798']",51,True,Head,"[120.0, 41.7, 4.5]",,"[{'location': [115.0, 36.7], 'player': {'id': 10233, 'name': 'Nicole Billa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [117.7, 37.3], 'player': {'id': 43046, 'name': 'Barbara Dunst'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.1, 40.3], 'player': {'id': 10248, 'name': 'Verena Hanshaw'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.7, 43.9], 'player': {'id': 10236, 'name': 'Sarah Zadrazil'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.8, 43.0], 'player': {'id': 10241, 'name': 'Carina Wenninger'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.7, 42.5], 'player': {'id': 10240, 'name': 'Sarah Puntigam'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [116.9, 46.4], 'player': {'id': 43038, 'name': 'Marina Georgieva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.5, 42.5], 'player': {'id': 32341, 'name': 'Julia Hickelsberger Füller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [104.1, 46.5], 'player': {'id': 10242, 'name': 'Laura Feiersinger'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.1, 61.9], 'player': {'id': 46973, 'name': 'Laura Wienroither'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.2, 41.0], 'player': {'id': 10237, 'name': 'Manuela Zinsberger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 36.7], 'player': {'id': 32355, 'name': 'Felicitas Rauch'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [116.6, 42.3], 'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.7, 44.7], 'player': {'id': 25478, 'name': 'Lena Oberdorf'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.9, 43.3], 'player': {'id': 10259, 'name': 'Lina Magull'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.2, 42.3], 'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [96.7, 52.4], 'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",caf02f7a-c6eb-4fb6-ab6b-0880450dc6a2,,Off T,0.11882442,Normal,Open Play,,,,Germany Women's,857,00:39:51.882,Shot,True
