50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.097454,,,,,,,,,,,,,7e10a2f3-d1b2-4f1e-986f-bdddf1c09ffe,122,,"[113.2, 44.2]",3893794,3,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lucy Bronze,10178.0,Right Back,6,England Women's,865,"['4fc9a038-26b1-4a60-89ff-62c7b337a6b7', '75128fb2-aa09-4585-a1a7-bc937779d635', 'aed3e53d-6150-4457-b411-59e8852fdd42']",0,True,Head,"[115.1, 43.7]",,"[{'location': [116.1, 40.4], 'player': {'id': 402010, 'name': 'Jennyfer Limage'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.8, 42.8], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.2, 42.0], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.1, 42.4], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [115.7, 37.3], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.5, 35.1], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 44.5], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.8, 44.1], 'player': {'id': 53993, 'name': 'Roselord Borgella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [115.1, 20.4], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.8, 42.5], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 1.6], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.3, 41.0], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.9, 39.2], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [112.0, 37.3], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [112.5, 46.3], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 43.3], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",f9176c55-43c1-4085-8bc8-c6fce2f4362a,,Blocked,0.08104876,Normal,Open Play,,,,England Women's,865,00:03:00.138,Shot,True
,,,,,,,,,,,,,,,,,1.031939,,,,,,,,,,,,,0bdf71fa-0704-4693-a5b3-c1a21b0878c1,139,,"[92.8, 35.3]",3893794,3,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Chloe Kelly,15570.0,Right Wing,7,England Women's,865,['54044032-16f8-4696-b2ba-2ecd4cd8298e'],51,,Left Foot,"[116.5, 37.9, 0.7]",,"[{'location': [100.2, 36.6], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.8, 34.8], 'player': {'id': 402010, 'name': 'Jennyfer Limage'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.8, 33.5], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.5, 29.4], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.8, 35.4], 'player': {'id': 53993, 'name': 'Roselord Borgella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [87.6, 47.4], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.2, 38.0], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.3, 45.5], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.6, 47.9], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.1, 38.1], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.5, 56.2], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.3, 24.5], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [91.7, 38.8], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [102.0, 38.6], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.4, 32.2], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [83.1, 46.3], 'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.6, 47.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [95.7, 47.6], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [98.5, 69.3], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",,,Saved,0.025258766,Normal,Open Play,,,,England Women's,865,00:03:51.059,Shot,
,,,,,,,,,,,,,,,,,0.543107,,,,,,,,,,,,,9bcd4394-3da0-4c11-bb06-7567c20aa195,180,,"[104.6, 31.8]",3893794,5,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessia Russo,47521.0,Center Forward,10,England Women's,865,['ae438d8d-2103-4d68-9c32-71e5dc434a4e'],0,,Right Foot,"[117.3, 37.3, 0.4]",True,"[{'location': [89.1, 16.7], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.9, 30.5], 'player': {'id': 402010, 'name': 'Jennyfer Limage'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.9, 33.5], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 29.0], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.7, 28.4], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.5, 37.1], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 36.8], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.9, 37.5], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.0, 30.7], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.9, 29.0], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.9, 40.7], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [104.9, 44.3], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Saved,0.15860558,Normal,Open Play,,,,England Women's,865,00:05:00.389,Shot,
,,,,,,,,,,,,,,,,,0.66964,,,,,,,,,,,,,5557bb7c-c1e6-42bd-9c18-bc5a4a38e496,529,,"[102.9, 38.8]",3893794,12,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Georgia Stanway,4643.0,Right Center Midfield,24,England Women's,865,"['ee780bfc-7886-439b-ae32-223f42032f55', 'fdf004cc-619c-403e-b171-210381910a11']",37,,Left Foot,"[120.0, 41.7, 6.5]",True,"[{'location': [102.9, 36.5], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 37.2], 'player': {'id': 402010, 'name': 'Jennyfer Limage'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.2, 39.7], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 41.8], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.6, 38.1], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 46.5], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.1, 31.2], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.3, 30.2], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.6, 37.5], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [93.1, 62.3], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.4, 20.2], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [94.4, 25.6], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [102.7, 44.3], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.3, 31.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.6, 37.4], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [104.8, 41.9], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.4, 53.2], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",efd20ca6-5867-43f3-8c72-54cd9782bb1a,,Off T,0.05858639,Half Volley,Open Play,,,,England Women's,865,00:12:37.509,Shot,True
,,,,,,,,,,,,,,,,,1.274205,,,,,,,,,,,,,9bee9596-f372-4f1e-b5f8-2275e13f3fdb,544,,"[105.8, 29.7]",3893794,13,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Roselord Borgella,53993.0,Center Forward,25,Haiti Women's,2355,"['02f0147d-6d75-44b6-8786-bb387a2c1747', 'deca4bcb-e15a-4919-981b-9725a7be5791']",11,,Left Foot,"[120.0, 46.2, 0.0]",,"[{'location': [83.0, 15.8], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.6, 33.7], 'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.8, 38.3], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 30.7], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.5, 30.7], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.9, 35.2], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.4, 47.4], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.2, 40.8], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [85.7, 15.6], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",d430f9a1-425a-4985-82f5-b868c77450ac,True,Off T,0.18853174,Normal,Open Play,,,,Haiti Women's,2355,00:13:11.657,Shot,True
,,,,,,,,,,,,,,,,,0.413792,,,,,,,,,,,,,a9bf7635-f876-4c8a-aebc-7adbdb9fa2b9,757,,"[108.0, 40.0]",3893794,28,,,,,,,,,,,,,,,,,,,,,,1,Other,Georgia Stanway,4643.0,Right Center Midfield,38,England Women's,865,['87ce026e-5caa-4f56-b014-280febf4a678'],36,,Right Foot,"[120.0, 38.0, 0.7]",,,,,Goal,0.7835,Normal,Penalty,,,,England Women's,865,00:28:36.430,Shot,
,,,,,,,,,,,,,,,,,0.681942,,,,,,,,,,,,,c39c98cd-1637-4115-860b-63e888bd6693,1078,,"[115.3, 22.6]",3893794,37,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alessia Russo,47521.0,Center Forward,57,England Women's,865,"['5b50b033-4cca-426e-804c-8077748aea42', 'f7d1196a-a0d2-4433-98f0-f3b405b600d2']",9,,Left Foot,"[119.1, 36.2, 0.4]",,"[{'location': [114.6, 20.0], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.4, 18.6], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.5, 1.0], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [94.7, 21.9], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [96.8, 33.2], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [90.7, 49.4], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.8, 40.3], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.2, 20.4], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.3, 16.3], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.4, 24.1], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.6, 24.9], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [88.5, 40.6], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.5, 31.8], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.5, 36.7], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.3, 42.0], 'player': {'id': 402003, 'name': 'Ruthny Mathurin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.5, 28.8], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.8, 24.3], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",20184c15-a8ff-4630-9524-20d4d863d2fa,,Saved,0.0075236983,Half Volley,Open Play,,,,England Women's,865,00:37:09.656,Shot,True
,,,,,,,,,,,,,,,,,0.645138,,,,,,,,,,,,,99e97265-e1ec-40d9-8bd6-8ebffb3b4a7e,1181,,"[109.7, 36.5]",3893794,39,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lauren Hemp,15555.0,Left Wing,60,England Women's,865,['c96b2384-2b57-40ae-8abe-7c72ac443760'],13,,Other,"[117.1, 38.8, 0.5]",,"[{'location': [93.0, 58.8], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.9, 57.8], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 56.5], 'player': {'id': 402003, 'name': 'Ruthny Mathurin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 42.2], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.8, 34.5], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.9, 32.4], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.7, 52.1], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.2, 42.6], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [89.8, 41.1], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [80.8, 67.9], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.1, 38.8], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.5, 35.4], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [108.9, 72.7], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.2, 62.8], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.0, 38.2], 'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",5f5db560-4054-490f-b8ac-0d4c9ee1b693,True,Saved,0.13753812,Normal,Open Play,,,,England Women's,865,00:39:13.743,Shot,
,,,,,,,,,,,,,,,,,0.810839,,,,,,,,,,,,,f0c64c25-1df2-4420-876b-bf8feca92459,1306,,"[112.6, 39.5]",3893794,42,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessia Russo,47521.0,Center Forward,66,England Women's,865,['fe13428e-307e-4324-beca-58386f07f7ae'],35,,Head,"[120.0, 46.9, 0.8]",,"[{'location': [112.0, 45.7], 'player': {'id': 402003, 'name': 'Ruthny Mathurin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.1, 38.2], 'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.9, 37.5], 'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.2, 40.1], 'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [93.1, 53.4], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.8, 26.1], 'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.7, 28.0], 'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.3, 17.0], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.5, 41.2], 'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.3, 42.2], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.0, 24.4], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [95.5, 55.8], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.5, 46.4], 'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.8, 41.1], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",4e772ba9-1452-4395-9fb9-f151ced9df79,True,Off T,0.2101682,Normal,Open Play,,,,England Women's,865,00:42:35.770,Shot,
,,,,,,,,,,,,,,,,,0.087372,,,,,,,,,,,,,db02b38b-c02b-43cb-bce5-695a48d67195,1432,,"[113.1, 58.4]",3893794,47,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Roselord Borgella,53993.0,Center Forward,77,Haiti Women's,2355,"['5695c90b-dd7c-43c3-b4ad-96f70ff7d547', 'ac499307-97c0-4fbd-a869-5fdcb885bb3e', 'dba64694-e05d-4a5c-b07d-367a6792dda7']",13,,Right Foot,"[113.7, 57.0]",,"[{'location': [117.5, 43.5], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.4, 42.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.7, 49.4], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.7, 56.7], 'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.4, 47.4], 'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.4, 45.3], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.9, 40.8], 'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.6, 56.0], 'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.4, 48.3], 'player': {'id': 142735, 'name': 'Melchie Daëlle Dumornay'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.6, 40.6], 'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",deee2f41-f677-4d29-acff-0bc79ef807fc,,Blocked,0.009715613,Normal,Open Play,,,,Haiti Women's,2355,00:47:13.729,Shot,True
