ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.161259,,,,,,,,,,,3186226a-c0a5-46db-a232-19b374ee5b9f,57,,,"[113.0, 31.7]",3754102,2,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Chancel Mbemba Mangulu,3044.0,Right Center Back,9,Newcastle United,37,"['54e916e5-c1ae-45bc-af0c-c77ca75e3594', '7905b541-6891-44d6-aaf6-1feb4c5e2680']",0,,Left Foot,,"[113.9, 32.6]",True,"[{'location': [110.5, 33.1], 'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.2, 31.1], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.7, 37.4], 'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [98.9, 51.1], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [100.7, 37.6], 'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.1, 36.1], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.4, 49.2], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.1, 38.1], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 29.8], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 40.4], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [114.3, 42.3], 'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [114.7, 39.8], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.3, 30.0], 'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,,Blocked,0.24456298,Normal,Open Play,,,,Newcastle United,37,00:02:00.470,Shot,
,,,,,,,,,,,,,,,,0.542923,,,,,,,,,,,7f8aee6a-face-4dd7-ada3-f4fb8de2dac6,612,,,"[111.1, 49.5]",3754102,13,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Georginio Wijnaldum,3567.0,Left Midfield,30,Newcastle United,37,['477a76dc-a313-43c6-bea7-8ec9c82ba7d7'],51,,Right Foot,,"[120.0, 36.6, 0.4]",,"[{'location': [102.2, 62.8], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.6, 52.5], 'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.2, 34.1], 'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [100.6, 47.8], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [110.8, 47.1], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.6, 48.3], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 54.6], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.8, 41.6], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.9, 36.0], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.4, 45.5], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",ee3d6248-9512-48ae-ac8e-586f395e7560,True,Goal,0.31176093,Normal,Open Play,,,,Newcastle United,37,00:13:51.514,Shot,
,,,,,,,,,,,,,,,,1.182937,,,,,,,,,,,cdfcc3cc-4a45-4719-8f88-0fee6b22165f,720,,,"[87.6, 43.3]",3754102,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Robert Brady,10967.0,Left Wing,35,Norwich City,56,['754b0224-726d-4972-a9e3-0a2fb48afb91'],38,,Left Foot,,"[120.0, 44.0, 1.0]",,"[{'location': [99.5, 56.6], 'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.8, 41.3], 'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.4, 53.8], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.7, 47.5], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [96.6, 26.5], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.6, 65.0], 'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [87.3, 50.2], 'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [91.4, 46.3], 'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.2, 55.3], 'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.3, 43.6], 'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.4, 49.0], 'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.1, 37.8], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.4, 28.4], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [87.7, 73.0], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",4813659b-32a5-4e27-a8e6-da8cfb71ebe7,,Post,0.023372952,Normal,Open Play,,,,Norwich City,56,00:16:38.442,Shot,
,,,,,,,,,,,,,,,,0.703546,,,,,,,,,,,a6eb08a0-8632-4c3d-9cd8-7062262413e5,858,,,"[115.4, 38.1]",3754102,19,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dieumerci Mbokani Bezua,23663.0,Center Forward,39,Norwich City,56,['fb8fb37b-3b1d-41a1-8bb2-783a4b3db2b2'],52,,Right Foot,,"[120.0, 37.8, 0.5]",True,"[{'location': [100.5, 43.3], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.2, 35.2], 'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.8, 38.2], 'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 20.2], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.3, 50.0], 'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [100.1, 25.4], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [105.5, 30.2], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.7, 37.6], 'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.4, 43.9], 'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.8, 38.5], 'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.9, 28.5], 'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.6, 42.4], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",6cd58edf-7aeb-4adc-a586-2303ba32acb6,,Goal,0.48680782,Volley,Open Play,,,,Norwich City,56,00:19:52.582,Shot,
,,,,,,,,,,,,,,,,0.778484,,,,,,,,,,,d5585826-5155-413f-ad70-c0c8cdc35d58,1001,,,"[109.5, 43.3]",3754102,25,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Georginio Wijnaldum,3567.0,Left Midfield,46,Newcastle United,37,"['2fc6dedc-4727-4305-9ce5-c916806eeeba', 'f3adcf77-395c-4f77-a72e-d268643b5205']",11,True,Head,,"[120.0, 37.6, 0.6]",,"[{'location': [109.7, 42.4], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.4, 55.0], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.6, 71.1], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [103.4, 64.0], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.7, 56.9], 'player': {'id': 31296, 'name': 'Sébastien Aymar Bassong Nguena'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.6, 58.4], 'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.0, 52.6], 'player': {'id': 3076, 'name': 'Ayoze Pérez Gutiérrez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [117.4, 40.8], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.5, 70.2], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.3, 59.7], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.9, 63.6], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [107.3, 47.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",379e9176-fd20-4de1-8dca-095ab7429f68,,Goal,0.08343665,Normal,Open Play,,,,Newcastle United,37,00:25:11.099,Shot,True
,,,,,,,,,,,,,,,,0.356895,,,,,,,,,,,c3ab8e8a-28c8-4658-b9f4-51008c49d51a,1014,,,"[99.0, 51.9]",3754102,26,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Jonathan Howson,9578.0,Center Attacking Midfield,47,Norwich City,56,"['4d9d0fa0-7605-4f76-bd52-0a70763fdcf0', 'bc586672-bb19-4623-8fcd-3292f11b52e2']",23,,Right Foot,,"[102.6, 50.4]",,"[{'location': [118.5, 41.5], 'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.8, 44.2], 'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.6, 56.7], 'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.0, 51.1], 'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.8, 57.4], 'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.1, 49.9], 'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.2, 26.9], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.4, 43.4], 'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.1, 59.5], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.1, 64.5], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.3, 24.5], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Blocked,0.030493122,Half Volley,Open Play,,,,Norwich City,56,00:26:23.471,Shot,
,,,,,,,,,,,,,,,,0.247685,,,,,,,,,,,b5a9bf53-f053-4656-9f93-3e6de2c73567,1155,,,"[101.7, 46.0]",3754102,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nathan Redmond,3286.0,Right Wing,56,Norwich City,56,"['5e643846-7388-4bb6-8704-0ab05f035935', '6cb34fe6-d771-44be-8500-5c97ac737041']",53,,Left Foot,,"[104.5, 44.9]",,"[{'location': [106.0, 43.9], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.1, 37.7], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.0, 36.0], 'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.8, 28.4], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.5, 48.3], 'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.9, 29.6], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.0, 50.6], 'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.4, 45.4], 'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.1, 40.4], 'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [107.2, 44.4], 'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.3, 38.7], 'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.4, 40.1], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.9, 34.7], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.1, 64.9], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",d4625627-f065-4354-bb26-169f5cfaba64,,Blocked,0.067058586,Normal,Open Play,,,,Norwich City,56,00:31:53.673,Shot,
,,,,,,,,,,,,,,,,0.119863,,,,,,,,,,,39548b0a-229c-4db9-b773-da218013abea,1163,,,"[103.8, 51.9]",3754102,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Ayoze Pérez Gutiérrez,3076.0,Right Center Forward,57,Newcastle United,37,"['13ed8682-60ad-4401-a071-4e31e1da28c9', '3837aa81-db18-4d77-a82a-ae1d7060f98c']",5,,Right Foot,,"[110.1, 47.8]",,"[{'location': [99.1, 41.5], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.8, 33.3], 'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.7, 47.6], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.1, 45.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.5, 35.8], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.9, 44.0], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",2f728c3f-b0ce-4b2e-898c-3d7dac2bfce7,,Blocked,0.07681266,Normal,Open Play,,,,Newcastle United,37,00:32:05.624,Shot,
,,,,,,,,,,,,,,,,0.735133,,,,,,,,,,,ce8473d1-8bd0-4e89-b757-25c1ceb89851,1169,,,"[109.7, 51.0]",3754102,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Ayoze Pérez Gutiérrez,3076.0,Right Center Forward,57,Newcastle United,37,['e49d2ab1-86ae-4678-92ba-18c7675f8624'],7,,Right Foot,,"[120.0, 37.2, 0.2]",,"[{'location': [104.8, 42.2], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.6, 32.9], 'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [115.5, 45.1], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.9, 50.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.2, 48.5], 'player': {'id': 3576, 'name': 'Martin Olsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.4, 37.9], 'player': {'id': 9463, 'name': 'Alexander Banor Tettey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",,,Goal,0.09963754,Normal,Open Play,,,,Newcastle United,37,00:32:07.872,Shot,
,,,,,,,,,,,,,,,,0.58021,,,,,,,,,,,ec417844-3d71-417a-af88-5ecdd2b90974,1214,,,"[110.4, 49.5]",3754102,33,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Nathan Redmond,3286.0,Right Wing,58,Norwich City,56,['ede0313a-a43e-425d-a5e2-044645c7650c'],53,,Right Foot,,"[120.0, 42.1, 0.3]",True,"[{'location': [114.5, 38.6], 'player': {'id': 3044, 'name': 'Chancel Mbemba Mangulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.5, 38.1], 'player': {'id': 23663, 'name': 'Dieumerci Mbokani Bezua'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.1, 48.1], 'player': {'id': 3567, 'name': 'Georginio Wijnaldum'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [114.2, 47.0], 'player': {'id': 3065, 'name': 'Paul Dummett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.4, 41.0], 'player': {'id': 42900, 'name': 'Cheik Ismaël Tioté'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.6, 43.3], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.8, 35.8], 'player': {'id': 9649, 'name': 'Jack Colback'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [103.4, 23.3], 'player': {'id': 3091, 'name': 'Moussa Sissoko'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [113.5, 37.2], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [115.6, 40.4], 'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.7, 42.9], 'player': {'id': 3096, 'name': 'Rob Elliot'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.9, 27.3], 'player': {'id': 3650, 'name': 'Daryl Janmaat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.1, 48.4], 'player': {'id': 11124, 'name': 'Steven Whittaker'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.8, 39.5], 'player': {'id': 16334, 'name': 'Graham Dorrans'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",8c31c820-a40c-41f1-8dc0-fc8a4e40332e,,Goal,0.069910415,Volley,Open Play,,,,Norwich City,56,00:33:53.874,Shot,
