50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.534877,,,,,,,,,,,,,d8d47d39-9238-4d38-b278-d865fd8923c1,92,,"[109.2, 37.9]",3775548,2,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,8,Chelsea FCW,971,"['65c18444-35cc-408f-9d9a-9b94f68c4cc0', 'd5ba0684-d3f3-44a0-b425-940fad17185d']",35,True,Head,,"[120.0, 50.9, 1.9]",,"[{'location': [110.2, 45.6], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [90.7, 48.0], 'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [103.9, 28.4], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.5, 39.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.8, 34.9], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [89.1, 52.4], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [110.0, 37.7], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.7, 47.7], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.2, 44.4], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.3, 31.6], 'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",816825dc-05a7-49cd-9691-913c39c5a8a1,Off T,,0.06211502,Normal,Open Play,,,,Chelsea FCW,971,00:02:35.597,Shot,True
,,,,,,,,,,,,,,,,,,,0.999756,,,,,,,,,,,,,1611dbe7-f654-4802-aead-2d77f476e0bf,475,,"[103.5, 43.5]",3775548,12,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francesca Kirby,4641.0,Right Wing,27,Chelsea FCW,971,['928104fe-185f-4b80-b1d9-eed36da8cbe5'],38,,Left Foot,,"[116.8, 40.5, 0.2]",,"[{'location': [94.8, 60.3], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.3, 45.7], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.1, 53.3], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.9, 64.1], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 33.1], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.7, 45.7], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.3, 56.2], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.0, 40.5], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.2, 48.6], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.8, 53.8], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.6, 37.0], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.6, 44.6], 'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.5, 52.6], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.1, 37.4], 'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",719b96ce-65e0-4b78-bd9b-bac6d21a8aa7,Saved,,0.16313171,Normal,Open Play,,,,Chelsea FCW,971,00:12:38.032,Shot,
,,,,,,,,,,,,,,,,,,,2.146344,,,,,,,,,,,,,5980c171-1bb2-41ab-8bde-ee1e20052d4e,626,,"[84.8, 60.9]",3775548,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Melanie Leupolz,15648.0,Right Defensive Midfield,32,Arsenal WFC,968,['214858ae-d412-491b-83af-30457f4d8fca'],19,,Right Foot,,"[120.0, 50.0, 1.6]",,"[{'location': [98.2, 56.0], 'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 44.7], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.2, 40.3], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [85.1, 58.3], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.7, 40.1], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.4, 50.6], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.4, 67.0], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.6, 56.7], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.6, 52.3], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.8, 48.8], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,Off T,,0.012430907,Half Volley,Open Play,,,,Chelsea FCW,971,00:16:19.677,Shot,
,,,,,,,,,,,,,,,,,,,0.477343,,,,,,,,,,,,,440870d5-0aeb-4f28-8560-aafced829d99,769,,"[107.8, 38.8]",3775548,19,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Vivianne Miedema,15623.0,Center Forward,43,Arsenal WFC,968,"['4a44e8b3-49b1-46e6-b3fe-51fbb0dbbab8', '8ff112e9-405c-49ba-9d0e-0ff48765d578']",20,,Left Foot,,"[116.0, 40.1, 0.2]",,"[{'location': [104.5, 34.2], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [94.1, 28.9], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [84.9, 26.6], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.7, 19.9], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.2, 32.3], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.2, 45.4], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 39.2], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.2, 39.4], 'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.7, 38.4], 'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.7, 43.6], 'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",ba3fe81d-fa9d-4135-b757-f9fa60ed3944,Saved,,0.083890535,Normal,Open Play,,,,Arsenal WFC,968,00:19:20.232,Shot,True
,,,,,,,,,,,,,,,,,,,1.079881,,,,,,,,,,,,,7ef11095-1427-4ffe-9205-af8b31bffee0,791,,"[96.3, 23.6]",3775548,20,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Katie McCabe,15620.0,Left Back,44,Arsenal WFC,968,['d1f77895-84ee-4a0e-9018-1af11ffe8af0'],4,,Left Foot,,"[117.1, 37.1, 0.7]",,"[{'location': [103.4, 34.9], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [89.0, 27.9], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [117.3, 36.9], 'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.4, 23.5], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.3, 21.0], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.2, 29.6], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 37.0], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.1, 31.7], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.7, 36.4], 'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,Saved,,0.02121103,Normal,Open Play,,,,Arsenal WFC,968,00:20:04.639,Shot,
,,,,,,,,,,,,,,,,,,,0.990379,,,,,,,,,,,,,88b8c1d7-5bdf-4d92-aab6-19f1911e05a6,1312,,"[102.3, 48.1]",3775548,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Francesca Kirby,4641.0,Right Wing,62,Chelsea FCW,971,['64bca614-0721-4bb6-ad08-621e153140fb'],10,,Right Foot,,"[118.1, 38.0, 1.0]",,"[{'location': [117.4, 41.9], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.3, 53.6], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.3, 47.5], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.7, 38.6], 'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 51.4], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.2, 55.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.3, 46.8], 'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.2, 45.8], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.5, 56.7], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.9, 50.0], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [107.2, 40.2], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [92.0, 55.0], 'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [90.8, 48.9], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",0c3f7b29-4f1d-4284-9b4a-3172314ada6b,Saved,,0.052784987,Normal,Open Play,,,,Chelsea FCW,971,00:32:10.275,Shot,
,,,,,,,,,,,,,,,,,,,0.042088,,,,,,,,,,,,,02bf7416-b33b-462d-8188-9a10c71ce076,1322,,"[115.2, 29.0]",3775548,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Francesca Kirby,4641.0,Right Wing,63,Chelsea FCW,971,"['1a74dd16-2bca-40bb-8805-2207cb9235a5', '97d4b9f8-8791-42c8-a3a6-0b98ffe63a14']",52,,Right Foot,,"[115.6, 29.9]",True,"[{'location': [117.8, 33.1], 'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.9, 39.9], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.3, 42.1], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.3, 42.9], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.5, 44.3], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.7, 35.4], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [115.2, 34.4], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.6, 33.2], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.8, 8.8], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.3, 38.4], 'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.5, 33.3], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [115.6, 30.0], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.6, 42.4], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.8, 41.5], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.8, 35.2], 'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.1, 35.4], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.9, 36.9], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.8, 43.9], 'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",87c9ef25-7aae-4250-9cc5-9f5a0988a12a,Blocked,,0.02316183,Backheel,Open Play,,,,Chelsea FCW,971,00:32:52.812,Shot,
,,,,,,,,,,,,,,,,,,,1.463941,,,,,,,,,,,,,805c0176-dba2-4606-95ce-2bc9ac0a0e3c,1565,,"[102.3, 25.4]",3775548,37,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francesca Kirby,4641.0,Right Wing,73,Chelsea FCW,971,"['35e52b54-8673-43f4-88ab-b3b1750783c3', '6c0832a6-56f6-463d-a518-27b7f21267ba']",24,,Right Foot,,"[119.2, 34.5, 0.2]",True,"[{'location': [97.4, 25.2], 'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.3, 17.3], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.6, 13.9], 'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [100.9, 11.9], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.6, 11.9], 'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 18.9], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.5, 27.2], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 21.8], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 34.5], 'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.9, 39.6], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.7, 37.6], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",714e4108-3748-4abe-887d-cf7b27170f5f,Saved Off Target,True,0.0400168,Half Volley,Open Play,,,,Chelsea FCW,971,00:37:24.223,Shot,True
,,,,,,,,,,,,,,,,,,,1.028376,,,,,,,,,,,,,0d44e475-3646-4896-a308-199cbc4005ef,1864,,"[110.0, 26.9]",3775548,46,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lisa Evans,10179.0,Right Wing,88,Arsenal WFC,968,"['2efa6011-15fb-4505-8740-28e5b20fb113', 'b6d19ea9-e390-4e36-886e-8a54e4669a13']",14,,Right Foot,,"[120.0, 40.0, 5.6]",True,"[{'location': [118.2, 37.9], 'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.3, 30.3], 'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.6, 34.6], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 42.3], 'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.2, 36.5], 'player': {'id': 15648, 'name': 'Melanie Leupolz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",46a02f54-6f51-404e-8fa0-da8df3ee27c9,Off T,,0.10375594,Normal,Open Play,,,,Arsenal WFC,968,00:46:14.355,Shot,True
,,,,,,,,,,,,,,,,,,,1.578511,,,,,,,,,,,,,b2185685-ac66-4f1a-9664-5a4a993e4faf,2016,,"[97.2, 49.1]",3775548,47,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Pernille Mosegaard Harder,10108.0,Center Attacking Midfield,94,Chelsea FCW,971,['1d2c4d9a-a8dd-49c9-ac6f-8e3985ebccb4'],7,,Right Foot,,"[120.0, 36.9, 0.5]",,"[{'location': [119.0, 40.4], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 52.1], 'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 56.9], 'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.7, 57.8], 'player': {'id': 49697, 'name': 'Carlotte Wubben-Moy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.7, 49.2], 'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.3, 53.6], 'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.8, 70.2], 'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.2, 36.3], 'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.8, 58.3], 'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.3, 39.7], 'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.8, 43.8], 'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.8, 47.7], 'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.1, 51.0], 'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",f3ccaf77-0506-4986-8f9d-79ab29f67123,Goal,,0.038501207,Normal,Open Play,,,,Chelsea FCW,971,00:02:07.532,Shot,
