50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.150003,,,,,,,,,,,,01e9fc1a-39b4-4319-9794-8b4a8acf1fea,21,,"[95.4, 37.8]",3878549,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alberto Paloschi,6950.0,Right Center Forward,3,Chievo,231,"['5dfa7f4d-7137-4249-8fcd-86a8f8982a62', '65cfb5e1-d1b0-4696-b6ca-bef950eb58f1']",23,,Right Foot,"[120.0, 34.2, 0.2]",True,"[{'location': [85.2, 20.0], 'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.2, 40.9], 'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.4, 35.8], 'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.6, 26.5], 'player': {'id': 386514, 'name': 'Luca Martinelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 39.6], 'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.8, 26.7], 'player': {'id': 18946, 'name': ""Paul-José M''Poku Ebunge""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,Off T,0.08540981,Normal,Open Play,,,,Chievo,231,00:00:23.294,Shot,True
,,,,,,,,,,,,,,,0.13493,,,,,,,,,,,,0481ea03-ca5c-4fcb-a709-54723d4b35ca,91,,"[106.7, 21.8]",3878549,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Massimo Maccarone,40252.0,Left Center Forward,5,Empoli,290,"['2bb3cc0f-e8c9-4c59-9a9f-a32c6a5b289a', 'dbbd9df6-e04c-4547-972f-21d815b5ad60']",31,,Right Foot,"[108.1, 23.9]",,"[{'location': [104.2, 27.1], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.4, 18.9], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.4, 36.5], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.9, 40.9], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.6, 37.4], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.9, 29.6], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.3, 35.2], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 23.7], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.6, 42.5], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [95.9, 27.3], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [103.1, 9.1], 'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [97.2, 39.3], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.2, 35.7], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.4, 30.8], 'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",2d7f5e46-dce5-41fc-86cb-64e7c03f815f,,Blocked,0.008608456,Normal,Open Play,,,,Empoli,290,00:02:31.859,Shot,
,,,,,,,,,,,,,,,2.840305,,,,,,,,,,,,de0a6372-6321-47cf-b46c-757bdbc8c04a,156,,"[100.4, 24.4]",3878549,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Riccardo Saponara,7150.0,Center Attacking Midfield,8,Empoli,290,"['5adad2ba-7d72-430f-94dc-9a937b1be6ec', 'ddf42f1b-c5f9-42f5-ba20-b31c3f69bc24']",43,,Left Foot,"[120.0, 55.8, 0.2]",,"[{'location': [95.8, 26.1], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.1, 29.6], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [87.7, 39.0], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [103.3, 27.4], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.3, 27.5], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 37.4], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.9, 37.4], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.5, 43.6], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.3, 6.6], 'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [88.8, 40.2], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.4, 29.7], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.8, 39.0], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",a24edd56-3ce9-4336-bf59-dbba0328469e,,Off T,0.027032677,Normal,Open Play,,,,Empoli,290,00:03:43.151,Shot,True
,,,,,,,,,,,,,,,2.87019,,,,,,,,,,,,4dc21d36-1816-4fb2-aa6c-53099e9a3255,209,,"[102.5, 56.6]",3878549,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Boštjan Cesar,8877.0,Left Center Back,12,Chievo,231,['43f06106-d2b3-42e8-96a0-f123f5154d87'],27,,Left Foot,"[113.8, 2.2]",True,"[{'location': [96.5, 52.2], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [118.7, 42.9], 'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.6, 63.0], 'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.3, 46.7], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [104.6, 50.2], 'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.6, 45.4], 'player': {'id': 3412, 'name': 'Assane Dioussé El Hadji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 42.9], 'player': {'id': 386514, 'name': 'Luca Martinelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 34.0], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.2, 48.2], 'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.7, 39.4], 'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.6, 53.3], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [102.9, 49.1], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [104.3, 35.5], 'player': {'id': 18946, 'name': ""Paul-José M''Poku Ebunge""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.8, 45.5], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [105.7, 29.8], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,Wayward,0.021633143,Half Volley,Open Play,,,,Chievo,231,00:05:27.216,Shot,
,,,,,,,,,,,,,,,0.862091,,,,,,,,,,,,88d73557-52c9-4696-b914-7e3b9d8d43a6,286,,"[103.7, 28.5]",3878549,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Riccardo Saponara,7150.0,Center Attacking Midfield,15,Empoli,290,"['23975c44-8dad-4ab7-9318-b9e65133a41b', 'a595c333-0f3c-41d0-a1c8-a4f525a17e14']",54,,Left Foot,"[120.0, 37.0, 0.2]",True,"[{'location': [118.2, 36.7], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 40.0], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.6, 37.3], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 33.2], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.3, 34.3], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.8, 26.9], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 27.1], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.2, 30.7], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.5, 24.8], 'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.4, 32.1], 'player': {'id': 3412, 'name': 'Assane Dioussé El Hadji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [113.6, 38.9], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.1, 33.9], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.5, 35.7], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",1009db86-bcf8-49ef-9ae3-62f8ecadcc51,,Goal,0.044363145,Normal,Open Play,,,,Empoli,290,00:06:54.508,Shot,True
,,,,,,,,,,,,,,,0.723434,,,,,,,,,,,,79996770-ab75-47a1-8081-eb9bc25932bd,319,,"[105.2, 29.2]",3878549,8,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Paul-José M''Poku Ebunge,18946.0,Left Center Forward,20,Chievo,231,['2432503d-c0ca-4509-b5f7-75a7bc7a3646'],46,,Left Foot,"[120.0, 35.0, 0.5]",,"[{'location': [102.9, 45.2], 'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 33.3], 'player': {'id': 3412, 'name': 'Assane Dioussé El Hadji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 32.2], 'player': {'id': 386514, 'name': 'Luca Martinelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 17.8], 'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.6, 32.8], 'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [86.7, 33.3], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 37.7], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [97.1, 27.4], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,True,Off T,0.2633239,Normal,Open Play,,,,Chievo,231,00:08:46.108,Shot,
,,,,,,,,,,,,,,,0.599785,,,,,,,,,,,,e44f7e1a-a008-44cc-94b5-3b67153e3a87,496,,"[109.6, 24.2]",3878549,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Riccardo Saponara,7150.0,Center Attacking Midfield,31,Empoli,290,['ed8a5e35-ada8-4519-bc2a-0209020fc362'],7,,Left Foot,"[118.0, 35.6, 0.2]",True,"[{'location': [118.5, 36.3], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.8, 40.3], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.8, 37.0], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.6, 29.9], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 42.7], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.5, 33.2], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [90.5, 59.6], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.2, 28.8], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.5, 33.8], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [98.0, 31.6], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.1, 38.4], 'player': {'id': 3412, 'name': 'Assane Dioussé El Hadji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [94.2, 47.2], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.1, 35.8], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",62cc533d-c631-4638-9dca-aa2c0a6672ac,,Saved,0.056723017,Normal,Open Play,,,,Empoli,290,00:13:07.125,Shot,
,,,,,,,,,,,,,,,1.164756,,,,,,,,,,,,5428f48c-e790-45a2-bc00-b6618036bbe8,518,,"[109.8, 30.6]",3878549,13,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alberto Paloschi,6950.0,Right Center Forward,37,Chievo,231,"['159d5564-851d-4b2b-a2cb-9af6d370008a', 'd79906b6-7966-43eb-9d2e-76df64d8bad9']",49,,Right Foot,"[120.0, 34.3, 0.6]",,"[{'location': [111.4, 24.8], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.7, 8.4], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.6, 16.4], 'player': {'id': 18946, 'name': ""Paul-José M''Poku Ebunge""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [90.8, 14.2], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.5, 41.6], 'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.6, 28.7], 'player': {'id': 3412, 'name': 'Assane Dioussé El Hadji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.6, 33.5], 'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 24.8], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.2, 31.6], 'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.5, 29.5], 'player': {'id': 386514, 'name': 'Luca Martinelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 24.8], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [111.8, 23.2], 'player': {'id': 40250, 'name': 'Marco Zambelli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.5, 37.3], 'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.6, 25.6], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [88.1, 15.5], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [102.8, 30.3], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,Off T,0.06971443,Half Volley,Open Play,,,,Chievo,231,00:13:49.201,Shot,True
,,,,,,,,,,,,,,,0.299119,,,,,,,,,,,,20498bea-3762-4b95-ac65-92275a23d0a6,643,,"[106.5, 26.9]",3878549,15,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniele Croce,40251.0,Left Center Midfield,40,Empoli,290,"['0046907b-16a9-4030-9fcb-2cc200818242', '203069b1-70f0-4b82-a596-2f800cd41c63']",59,,Left Foot,"[110.7, 31.2]",True,"[{'location': [110.2, 40.5], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.4, 35.7], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.7, 31.2], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.2, 36.3], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 41.3], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.4, 34.8], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [117.6, 35.6], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.5, 46.4], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [103.2, 52.8], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [107.5, 38.5], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.6, 38.9], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",a6957dc5-b675-45e2-b0b9-69c59e6a9d1a,,Blocked,0.06738242,Normal,Open Play,,,,Empoli,290,00:15:59.967,Shot,
,,,,,,,,,,,,,,,0.964535,,,,,,,,,,,,73b9742a-4295-43db-b614-7c38b5ed1376,650,,"[96.2, 37.0]",3878549,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Assane Dioussé El Hadji,3412.0,Center Defensive Midfield,41,Empoli,290,['f8a69775-fc49-4b85-bfe5-25a24f4c152e'],33,,Left Foot,"[114.1, 39.2, 0.3]",True,"[{'location': [116.3, 42.4], 'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [114.0, 43.4], 'player': {'id': 8645, 'name': 'Massimo Gobbi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.1, 35.7], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [109.7, 24.2], 'player': {'id': 7046, 'name': 'Perparim Hetemaj'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 18.6], 'player': {'id': 7045, 'name': 'Valter Birsa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [101.9, 36.1], 'player': {'id': 18946, 'name': ""Paul-José M''Poku Ebunge""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [112.5, 33.1], 'player': {'id': 7049, 'name': 'Lucas Nahuel Castro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.5, 31.6], 'player': {'id': 23324, 'name': 'Nicolas Sebastian Frey'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.4, 35.0], 'player': {'id': 7052, 'name': 'Alessandro Gamberini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 41.7], 'player': {'id': 7042, 'name': 'Ivan Radovanović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.9, 41.0], 'player': {'id': 8877, 'name': 'Boštjan Cesar'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.8, 39.2], 'player': {'id': 7803, 'name': 'Albano Benjamín Bizzarri'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.8, 14.6], 'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.1, 14.4], 'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.7, 41.8], 'player': {'id': 386514, 'name': 'Luca Martinelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.5, 33.7], 'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [110.3, 34.4], 'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [110.8, 30.2], 'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Saved,0.026223976,Volley,Open Play,,,,Empoli,290,00:16:33.315,Shot,
