50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.11556,,,,,,,,,,,,c261356c-a2c7-4173-8fec-ce53b996d3fe,353,,"[103.9, 25.7]",2275026,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Yana Daniëls,10093.0,Left Midfield,21,Bristol City WFC,973,"['6824f1f0-6ece-47b7-acdc-24eee79b9df4', 'c453fb9c-1eb2-4700-987c-e05539dcefe2']",48,,Left Foot,"[106.6, 27.2]",True,"[{'location': [111.5, 38.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [113.9, 38.9], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.5, 42.9], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.8, 42.6], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.1, 34.7], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.6, 34.1], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.0, 41.2], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.2, 35.8], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.2, 27.5], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [110.3, 42.8], 'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [119.0, 38.7], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.9, 44.4], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Blocked,0.032596443,Normal,Open Play,,,,Bristol City WFC,973,00:08:48.260,Shot,
,,,,,,,,,,,,,,,,0.290357,,,,,,,,,,,,e2cc2df6-aaaa-4e84-9195-a48e4064b0c8,359,,"[117.3, 37.2]",2275026,9,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Florence Allen,24922.0,Left Back,22,Bristol City WFC,973,"['5aba0123-f232-4fbd-bd2c-dd718b4ceb5e', '96578b0c-e44a-4030-b83d-3d3cbb32e7a2']",15,,Left Foot,"[120.0, 33.0, 1.9]",True,"[{'location': [108.6, 16.7], 'player': {'id': 21059, 'name': 'Katie Robinson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [115.0, 46.7], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [103.6, 24.7], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.9, 42.9], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [117.8, 37.4], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.9, 39.9], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.6, 46.7], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.9, 34.8], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.4, 38.0], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.4, 23.9], 'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.5, 27.0], 'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [119.4, 38.7], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",160f5393-0c46-478c-b8dd-a2cd38769c67,,Off T,0.21253395,Half Volley,Open Play,,,,Bristol City WFC,973,00:09:15.559,Shot,True
,,,,,,,,,,,,,,,,1.324364,,,,,,,,,,,,a7164e28-f20d-447e-be4c-869567bc8c08,461,,"[89.4, 35.7]",2275026,11,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Keira Walsh,4658.0,Left Center Midfield,23,Manchester City WFC,746,['0e43380a-460f-4e69-9fae-d20ca2f5e317'],25,,Right Foot,"[120.0, 34.7, 0.2]",,"[{'location': [101.3, 21.1], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.2, 27.3], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [95.4, 34.2], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.2, 31.3], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 38.9], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.3, 39.7], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.9, 45.8], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.2, 47.5], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [119.1, 39.3], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.2, 10.7], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.0, 34.8], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [91.0, 27.8], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.4, 31.9], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [104.5, 22.1], 'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [81.7, 51.8], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",f0ccdb66-af93-49e2-907f-b9e368dea20e,,Off T,0.02116679,Normal,Open Play,,,,Manchester City WFC,746,00:11:25.544,Shot,
,,,,,,,,,,,,,,,,0.935902,,,,,,,,,,,,9d502754-d7db-4262-9a8e-e9745cb67f11,812,,"[111.5, 32.7]",2275026,20,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tessa Wullaert,10099.0,Left Center Forward,40,Manchester City WFC,746,['b5770bd9-e230-466c-95d8-c38577d6fee2'],15,,Right Foot,"[120.0, 43.5, 0.2]",,"[{'location': [106.9, 38.7], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.3, 44.6], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [86.8, 69.5], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.4, 20.8], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.1, 36.9], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.8, 49.0], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.3, 58.7], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [100.2, 61.8], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 37.1], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [111.4, 36.0], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.6, 35.7], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.8, 27.3], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",2b3ae0c1-0a32-4555-8e46-a2ae95c43b3a,,Goal,0.11052451,Normal,Open Play,,,,Manchester City WFC,746,00:20:15.543,Shot,
,,,,,,,,,,,,,,,,0.370874,,,,,,,,,,,,e7375270-4b9f-42db-81b1-06d74a0be19f,1059,,"[110.4, 51.0]",2275026,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Janine Elizabeth Beckie,4992.0,Right Back,55,Manchester City WFC,746,"['189e309d-a040-4053-abe7-384c6b3eb07f', 'e51bdc1a-fb54-428f-b8d6-0e1dbad9dce2', 'fa031f29-2d37-46af-9aaf-77ead29260b0']",32,,Right Foot,"[111.5, 49.5]",,"[{'location': [113.0, 39.0], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.5, 20.8], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.9, 42.7], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.8, 49.1], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.0, 42.0], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 47.7], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.2, 46.4], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [111.2, 36.1], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.3, 28.1], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 22.3], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",408ce200-0369-4c9b-9a15-2cbba4c2a9b7,,Blocked,0.05754891,Normal,Open Play,,,,Manchester City WFC,746,00:26:32.769,Shot,True
,,,,,,,,,,,,,,,,0.845727,,,,,,,,,,,,c0d3a0db-f370-4311-9ee4-780aab4f5c37,1134,,"[103.6, 56.0]",2275026,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ellen White,10180.0,Right Center Forward,61,Manchester City WFC,746,"['49ac08fb-e0f7-46ae-b449-a2d6e3c52c03', '733ce2bf-4bb8-44c4-b4bc-8981833b7040']",45,,Right Foot,"[118.1, 41.2, 0.2]",True,"[{'location': [93.8, 48.5], 'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.7, 42.5], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.8, 54.2], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 55.2], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.1, 32.4], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.3, 47.6], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.4, 51.3], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.5, 40.9], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",1f78b96f-88ab-478b-9982-a5375a483a9d,,Saved,0.03874143,Normal,Open Play,,,,Manchester City WFC,746,00:28:45.358,Shot,True
,,,,,,,,,,,,,,,,1.384618,,,,,,,,,,,,c1f23a8c-1848-48f1-97c8-191254fe623b,1920,,"[115.4, 50.9]",2275026,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ellen White,10180.0,Right Center Forward,98,Manchester City WFC,746,['f1d8e5b4-3144-4ffd-838d-08f353112fc2'],43,,Right Foot,"[120.0, 26.0, 0.5]",True,"[{'location': [118.9, 58.9], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.2, 41.6], 'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [117.2, 38.5], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [119.4, 42.9], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.3, 44.7], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.6, 30.7], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [113.1, 40.9], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.3, 40.6], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.6, 39.6], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.7, 44.4], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.2, 53.9], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",,,Off T,0.07185996,Half Volley,Open Play,,,,Manchester City WFC,746,00:00:43.187,Shot,
,,,,,,,,,,,,,,,,0.56406,,,,,,,,,,,,f9bd0e81-fc01-4339-8e83-44b3ecafeee6,2102,,"[111.5, 27.6]",2275026,49,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Ebony Salmon,31527.0,Center Forward,107,Bristol City WFC,973,"['bceaec80-4bdf-47f8-9059-306101fc31d9', 'e4e793ec-05ee-4293-ab7c-ee3af98b6fa0']",59,,Left Foot,"[119.0, 36.1, 0.9]",,"[{'location': [118.6, 37.6], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 42.5], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.7, 30.5], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.2, 29.5], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",abe3d900-2b09-48a1-8be1-cc3ae650edca,,Saved,0.06313941,Normal,Open Play,,,,Bristol City WFC,973,00:04:59.809,Shot,True
,,,,,,,,,,,,,,,,1.031488,,,,,,,,,,,,cf7307b1-84eb-4f8d-a920-a6d8d1e385e6,2107,,"[116.9, 43.3]",2275026,50,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,Jasmine Matthews,15618.0,Left Center Back,108,Bristol City WFC,973,"['03ca6759-66a0-4100-82e5-c46ed672b1a4', 'be271259-6f55-4d33-8151-98a8084b8bd2']",39,True,Head,"[120.0, 34.5, 6.1]",,"[{'location': [115.7, 47.5], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [115.5, 41.4], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [107.9, 41.1], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.0, 43.4], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [114.9, 47.6], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [118.2, 42.2], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [116.3, 41.8], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.9, 41.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.8, 40.2], 'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.2, 25.5], 'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [120.0, 37.5], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.7, 40.5], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.5, 19.4], 'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",0abfbb38-1345-485a-ab3f-ae3e1a017c99,,Off T,0.25237006,Normal,Open Play,,,,Bristol City WFC,973,00:05:39.395,Shot,True
,,,,,,,,,,,,,,,,1.54897,,,,,,,,,,,,40665ba2-f60c-4ba5-8daa-c20552e5126b,2187,,"[90.9, 44.3]",2275026,52,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Tessa Wullaert,10099.0,Left Center Forward,109,Manchester City WFC,746,"['ac1d1337-961c-4029-9dfe-c6f32a1c1803', 'e3b13d4c-b04b-4a8b-9c22-3844ee17798f']",11,,Right Foot,"[120.0, 45.1, 1.3]",,"[{'location': [98.3, 51.5], 'player': {'id': 10180, 'name': 'Ellen White'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [83.2, 37.8], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [119.1, 41.4], 'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.6, 41.5], 'player': {'id': 15618, 'name': 'Jasmine Matthews'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.2, 38.7], 'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [77.7, 37.9], 'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.6, 61.5], 'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [96.2, 45.7], 'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.1, 44.8], 'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.4, 27.0], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.4, 30.0], 'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.2, 21.1], 'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [96.9, 37.1], 'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",23f2cdac-1e91-4f2b-9d04-497f9a04d601,,Off T,0.02602706,Normal,Open Play,,,,Manchester City WFC,746,00:07:11.271,Shot,True
