50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.027001,,,,,,,,,,,,,d0d7710e-b524-4ac5-adb8-6000ec262ed6,238,,,"[100.0, 55.3]",3754151,5,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alberto Paloschi,6950.0,Center Forward,15,Swansea City,26,['b18eb6ac-f81d-4551-9625-a7e5dccb2ba5'],9,,Right Foot,"[106.7, 47.8]",True,"[{'location': [96.2, 38.5], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.9, 54.0], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.7, 61.7], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [89.8, 45.9], 'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [81.7, 57.8], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [78.2, 33.1], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.1, 52.4], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [79.8, 38.5], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.6, 44.4], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.9, 75.3], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [87.7, 48.9], 'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [117.4, 40.9], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9be3ed09-586d-43f2-b21c-78b45eff1b9b,Wayward,0.030958137,Half Volley,Open Play,,,,Swansea City,26,00:05:09.943,Shot,
,,,,,,,,,,,,,,,,0.995063,,,,,,,,,,,,,a87adeaf-5c5a-428b-bab2-baf76204d5ab,245,,,"[106.2, 57.9]",3754151,5,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Nathan Redmond,3286.0,Right Wing,16,Norwich City,56,['3cff0d4e-e8b8-43c9-9628-14258e5cafd9'],27,,Left Foot,"[118.5, 43.8, 1.4]",,"[{'location': [108.1, 57.9], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.1, 46.9], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.4, 57.0], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.3, 50.8], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.9, 40.9], 'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.4, 40.5], 'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.6, 43.2], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.9, 41.5], 'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.1, 41.4], 'player': {'id': 4807, 'name': 'Cameron Jerome'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.5, 56.1], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",28466126-9e30-4412-9688-273dab94d269,Saved,0.021625908,Normal,Open Play,,,,Norwich City,56,00:05:27.932,Shot,
,,,,,,,,,,,,,,,,3.058483,,,,,,,,,,,,,a38d07e1-9de4-47c4-9953-5debeb4c2c60,754,,,"[107.7, 43.3]",3754151,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,André Ayew Pelé,3347.0,Right Wing,58,Swansea City,26,['24f3716d-171b-42f9-80d5-4ee5250c4993'],12,,Head,"[120.0, 23.6, 0.9]",,"[{'location': [119.1, 42.3], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.2, 51.2], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.8, 58.4], 'player': {'id': 10967, 'name': 'Robert Brady'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.7, 43.7], 'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.4, 45.7], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 41.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.2, 35.7], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.9, 40.9], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.6, 40.0], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.6, 34.2], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",796b166a-d245-4f96-bf98-5229ec1ab4c6,Off T,0.066572815,Normal,Open Play,,,,Swansea City,26,00:23:12.873,Shot,
,,,,,,,,,,,,,,,,0.931248,,,,,,,,,,,,,25a9b0c6-f459-4e27-85a0-77aa25f6e8a0,1472,,,"[97.6, 27.6]",3754151,43,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cameron Jerome,4807.0,Center Forward,104,Norwich City,56,['7d5d57e1-9003-483a-a4b2-8cb3a214c54e'],43,,Right Foot,"[116.0, 40.0, 0.2]",True,"[{'location': [85.5, 48.7], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [85.9, 43.4], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [99.2, 50.7], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.5, 38.3], 'player': {'id': 3644, 'name': 'Ashley Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.7, 34.8], 'player': {'id': 3290, 'name': 'Federico Fernández'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.6, 37.5], 'player': {'id': 4631, 'name': 'Leon Britton'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [89.9, 48.8], 'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.9, 41.7], 'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.4, 37.6], 'player': {'id': 3262, 'name': 'Łukasz Fabiański'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.5, 62.2], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.5, 39.2], 'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",54e7edc1-ef7d-40e3-90df-8bd9483c69c7,Saved,0.04844509,Normal,Open Play,,,,Norwich City,56,00:43:43.923,Shot,
,,,,,,,,,,,,,,,,0.891299,,,,,,,,,,,,,f7a34cd5-d724-4150-81a8-12da8e7654c2,1569,,,"[97.3, 51.9]",3754151,47,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Àngel Rangel Zaragoza,3973.0,Right Back,112,Swansea City,26,['40de93aa-725e-4512-a12d-6b9079a8b204'],24,,Right Foot,"[120.0, 45.0, 3.5]",True,"[{'location': [91.2, 41.3], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [98.3, 28.1], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.7, 42.6], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [100.0, 54.0], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.3, 37.7], 'player': {'id': 6950, 'name': 'Alberto Paloschi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [87.4, 38.1], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [90.3, 34.8], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [101.9, 56.5], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.5, 48.2], 'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 50.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 42.0], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.6, 33.9], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,Off T,0.03858401,Normal,Open Play,,,,Swansea City,26,00:47:24.385,Shot,
,,,,,,,,,,,,,,,,0.049347,,,,,,,,,,,,,3a6d1bef-df1c-4b50-a38c-67aec9ce439c,1871,,,"[105.2, 28.0]",3754151,57,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Gylfi Þór Sigurðsson,3944.0,Center Attacking Midfield,137,Swansea City,26,"['33505a5a-dd51-42da-aeb8-c39792e7f37e', '9feba9c4-cf11-4c88-8162-645b81b3ab54', 'f4a70b3f-ab37-4a98-a4ec-002d637038c3']",3,,Right Foot,"[105.9, 28.7]",,"[{'location': [118.2, 37.0], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 34.7], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.3, 28.7], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.6, 32.7], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.7, 21.3], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.2, 28.7], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.9, 24.1], 'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.1, 14.4], 'player': {'id': 3286, 'name': 'Nathan Redmond'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.9, 43.0], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.8, 20.5], 'player': {'id': 9627, 'name': 'Neil Taylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.4, 15.1], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.9, 23.0], 'player': {'id': 4045, 'name': 'Leroy Fer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [86.3, 53.4], 'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.4, 46.9], 'player': {'id': 9536, 'name': 'Modou Barrow'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.9, 36.4], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",a49bfa22-f42a-4103-8f65-d68691e72285,Blocked,0.03340913,Normal,Open Play,,,,Swansea City,26,00:12:03.753,Shot,True
,,,,,,,,,,,,,,,,0.568811,,,,,,,,,,,,,c19a9036-2ade-48cc-91d1-eced56e092bc,1875,,,"[117.4, 47.9]",3754151,57,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Modou Barrow,9536.0,Right Wing,137,Swansea City,26,['94d682b8-4bcc-4f18-880f-a6605a5dc71a'],6,,Left Foot,"[120.0, 40.0, 4.6]",True,"[{'location': [111.5, 37.2], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.9, 44.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.9, 39.7], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.3, 42.6], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Off T,0.11407744,Volley,Open Play,,,,Swansea City,26,00:12:06.068,Shot,
,,,,,,,,,,,,,,,,1.744595,,,,,,,,,,,,,bc42b12d-8960-43da-831d-c4b49c86f5ac,1959,,,"[105.3, 59.0]",3754151,59,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,André Ayew Pelé,3347.0,Center Forward,144,Swansea City,26,['f9ac7782-6019-4b10-b2ec-280b8ee8d5d2'],38,,Left Foot,"[120.0, 31.6, 4.7]",,"[{'location': [111.7, 54.7], 'player': {'id': 9536, 'name': 'Modou Barrow'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.6, 68.8], 'player': {'id': 3973, 'name': 'Àngel Rangel Zaragoza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.8, 61.9], 'player': {'id': 3462, 'name': 'Jack Frank Porteous Cork'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [118.0, 41.6], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 47.8], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.3, 36.9], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.4, 44.4], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 54.3], 'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.2, 59.0], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [110.3, 52.6], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 57.4], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.7, 65.8], 'player': {'id': 9528, 'name': 'Steven Naismith'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [98.9, 42.4], 'player': {'id': 3944, 'name': 'Gylfi Þór Sigurðsson'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.9, 33.6], 'player': {'id': 3449, 'name': 'Wayne Routledge'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",314e4c55-46ef-4888-89fc-4f10fe20dda5,Off T,0.011187137,Normal,Open Play,,,,Swansea City,26,00:14:38.378,Shot,
,,,,,,,,,,,,,,,,0.834711,,,,,,,,,,,,,f4ee0b30-f4a9-4945-ad4f-4236f8b066e2,1986,,,"[107.2, 30.3]",3754151,60,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gylfi Þór Sigurðsson,3944.0,Center Attacking Midfield,146,Swansea City,26,['fc5df19a-e6b8-4962-913b-d336d5c4ebca'],33,,Right Foot,"[120.0, 43.0, 0.2]",,"[{'location': [109.1, 45.9], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.5, 40.4], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.6, 37.4], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.3, 44.1], 'player': {'id': 9578, 'name': 'Jonathan Howson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.3, 31.9], 'player': {'id': 9452, 'name': ""Gary O''Neil""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.1, 45.8], 'player': {'id': 10966, 'name': 'Wes Hoolahan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.3, 37.7], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 48.4], 'player': {'id': 9536, 'name': 'Modou Barrow'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.1, 54.9], 'player': {'id': 4045, 'name': 'Leroy Fer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [103.5, 39.7], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",22faf7b3-b852-472c-ab7b-6b018ae9db18,Goal,0.091034405,Normal,Open Play,,,,Swansea City,26,00:15:33.274,Shot,
,,,,,,,,,,,,,,,,0.312291,,,,,,,,,,,,,2678a8e7-f183-4f71-acfa-98f387b70e0d,2153,,,"[118.6, 28.4]",3754151,66,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Wayne Routledge,3449.0,Left Wing,156,Swansea City,26,['6f0eb6d6-014c-4bb1-bd69-ac244f91ee31'],41,,Right Foot,"[119.5, 34.7, 0.7]",,"[{'location': [99.5, 60.4], 'player': {'id': 9536, 'name': 'Modou Barrow'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.1, 36.4], 'player': {'id': 3347, 'name': 'André Ayew Pelé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.3, 35.4], 'player': {'id': 23635, 'name': 'John Ruddy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.7, 52.5], 'player': {'id': 21212, 'name': 'Russell Martin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.1, 27.1], 'player': {'id': 10499, 'name': 'Ivo Daniel Ferreira Mendonca Pinto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.6, 33.3], 'player': {'id': 9930, 'name': 'Ryan Bennett'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 40.7], 'player': {'id': 9461, 'name': 'Timm Klose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",8798ca90-2659-4f14-9b5a-d052d930216e,Saved,0.018006409,Normal,Open Play,,,,Swansea City,26,00:21:41.100,Shot,
