ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.36,,,,,,,,,,,,515556a5-ed26-4934-a8ef-3be417cf677e,304,,"[101.0, 40.0]",7569,6,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ferjani Sassi,5650.0,Left Center Midfield,11,Tunisia,777,"['10432ff7-5207-4493-b186-674583c61c1b', '26d57cff-2b31-4948-80b1-dc677bbdfbff']",50,,Right Foot,,"[104.0, 43.0]",,"[{'location': [103.0, 45.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [97.0, 44.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 43.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [83.0, 26.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [95.0, 53.0], 'player': {'id': 6138, 'name': 'Ricardo Guardia Avila'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 6344, 'name': 'Luis Carlos Ovalle Victoria'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 42.0], 'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 37.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.0, 42.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 62.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.0, 34.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 27.0], 'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",8f0fba06-f202-4c00-bdeb-8617ba79f7d9,,Blocked,0.12016924,Normal,Open Play,,,,Tunisia,777,00:06:50.387,Shot,
,,,,,,,,,,,1.92,,,,,,,,,,,,432e99aa-12fd-4b4c-a588-01e74eed275d,308,,"[104.0, 33.0]",7569,6,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Naïm Sliti,3557.0,Left Midfield,11,Tunisia,777,['355347dc-d611-4450-be8f-ce221dffc063'],52,,Right Foot,,"[120.0, 54.0]",True,"[{'location': [108.0, 47.0], 'player': {'id': 6344, 'name': 'Luis Carlos Ovalle Victoria'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 40.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 42.0], 'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 35.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 35.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.0, 25.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 62.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.0, 43.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [103.0, 42.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [106.0, 32.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Wayward,0.18272044,Overhead Kick,Open Play,,,,Tunisia,777,00:06:52.400,Shot,
,,,,,,,,,,,3.053,,,,,,,,,,,,2ac075b2-c96b-4f62-84fa-f68a3ee92c9d,387,,"[78.0, 22.0]",7569,8,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Guardia Avila,6138.0,Left Center Midfield,15,Tunisia,777,['afba6f02-941f-4754-8060-4412ea3295d2'],22,,Left Foot,,"[120.0, 34.2, 3.0]",,"[{'location': [117.0, 36.0], 'player': {'id': 6342, 'name': 'Aymen Mathlouthi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [70.0, 32.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [90.0, 52.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.0, 9.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [82.0, 20.0], 'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [92.0, 22.0], 'player': {'id': 6345, 'name': 'Rami Bedoui'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [92.0, 36.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 53.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [78.0, 31.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [89.0, 21.0], 'player': {'id': 5629, 'name': 'Gabriel Arturo Torres Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [76.0, 11.0], 'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [79.0, 24.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [77.0, 21.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",,,Off T,0.006804785,Normal,Open Play,,,,Panama,798,00:08:22.267,Shot,
,,,,,,,,,,,0.973,,,,,,,,,,,,208fb4b8-3e55-4204-82f1-c07758a6056c,404,,"[95.0, 42.0]",7569,8,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Naïm Sliti,3557.0,Left Midfield,16,Tunisia,777,['d37e6a94-c238-4707-ad60-70a9d6b5db38'],56,,Right Foot,,"[120.0, 34.0, 2.7]",True,"[{'location': [101.0, 51.0], 'player': {'id': 6344, 'name': 'Luis Carlos Ovalle Victoria'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.0, 39.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 33.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 28.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 28.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 21.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",1f2173e8-bcf3-43f7-8a01-4abb04b44249,,Off T,0.056628663,Half Volley,Open Play,,,,Tunisia,777,00:08:56.667,Shot,
,,,,,,,,,,,1.813,,,,,,,,,,,,ee21b2bb-2db3-4c33-89a8-070efe720824,417,,"[113.0, 32.0]",7569,10,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gabriel Arturo Torres Tejada,5629.0,Center Forward,19,Panama,798,['eed48074-c3c9-49e2-bcd2-64c2cb54ecdf'],7,,Other,,"[120.0, 31.0]",True,"[{'location': [94.0, 61.0], 'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [106.0, 30.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 44.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 34.0], 'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 35.0], 'player': {'id': 6345, 'name': 'Rami Bedoui'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.0, 39.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 39.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 46.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 6342, 'name': 'Aymen Mathlouthi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.0, 62.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.0, 26.0], 'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 35.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [99.0, 48.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.0, 48.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",e6a11c8e-c111-4aa8-80f1-8b813a66ea1e,,Wayward,0.15354061,Normal,Open Play,,,,Panama,798,00:10:07.107,Shot,
,,,,,,,,,,,0.733,,,,,,,,,,,,f81b32c8-30db-4da4-bafd-ac9f4f229e85,629,,"[104.0, 27.0]",7569,15,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fakhreddine Ben Youssef,5654.0,Right Midfield,28,Tunisia,777,"['2816812b-65ed-4ddf-8cce-7c1384102bca', '9fcf5c78-d779-432b-bc8a-781e3a0a4d83']",52,,Right Foot,,"[109.0, 33.0]",True,"[{'location': [96.0, 21.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.0, 41.0], 'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.0, 48.0], 'player': {'id': 6344, 'name': 'Luis Carlos Ovalle Victoria'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 30.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 28.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 33.0], 'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 39.0], 'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 24.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 19.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 35.0], 'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.0, 49.0], 'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [116.0, 18.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",0c81450b-e78b-4524-b26f-758890f471c5,,Blocked,0.048992414,Normal,Open Play,,,,Tunisia,777,00:15:52.267,Shot,
,,,,,,,,,,,1.093,,,,,,,,,,,,7559ceb0-5cdc-4b7c-8b32-a016f412f81c,877,,"[102.0, 48.0]",7569,20,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Naïm Sliti,3557.0,Left Midfield,38,Tunisia,777,['120847a1-73dd-43cf-9c04-05557c01589c'],51,,Right Foot,,"[118.0, 43.6, 0.4]",True,"[{'location': [92.0, 56.0], 'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 44.0], 'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.0, 28.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 32.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 50.0], 'player': {'id': 6344, 'name': 'Luis Carlos Ovalle Victoria'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 49.0], 'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 46.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 57.0], 'player': {'id': 3196, 'name': 'Wahbi Khazri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.0, 19.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.0, 38.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",b31e595f-9b9c-4a10-b9fe-bc618489b67a,,Saved,0.07830034,Volley,Open Play,,,,Tunisia,777,00:20:51.227,Shot,
,,,,,,,,,,,1.213,,,,,,,,,,,,97866b71-e606-47c3-9a81-1f0412b4ca22,1364,,"[90.0, 20.0]",7569,32,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luis Carlos Ovalle Victoria,6344.0,Left Back,65,Panama,798,['7c57bff2-233c-4af0-ad85-87890e190a3c'],26,,Right Foot,,"[118.0, 36.6, 0.2]",,"[{'location': [96.0, 28.0], 'player': {'id': 5654, 'name': 'Fakhreddine Ben Youssef'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [107.0, 41.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 49.0], 'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 34.0], 'player': {'id': 6345, 'name': 'Rami Bedoui'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 20.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 40.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.0, 21.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.0, 54.0], 'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 6342, 'name': 'Aymen Mathlouthi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 43.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.0, 35.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [101.0, 42.0], 'player': {'id': 5629, 'name': 'Gabriel Arturo Torres Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.0, 51.0], 'player': {'id': 6138, 'name': 'Ricardo Guardia Avila'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [80.0, 51.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 40.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 18.0], 'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",3f0fd884-6149-471c-af45-c77a3e9e8968,,Saved,0.0069125295,Normal,Open Play,,,,Panama,798,00:32:26.987,Shot,
,,,,,,,,,,,0.333,,,,,,,,,,,,894fd6e5-3a21-4069-8ffc-1f65c63bc00d,1372,,"[108.0, 30.0]",7569,32,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Román Aureliano Torres Morcillo,5635.0,Right Center Back,65,Panama,798,"['74d484ff-c8cd-40bd-a235-a27afff65b62', 'e2f4730b-c706-4405-9e49-35ceeb91b5fd']",32,,Right Foot,,"[108.0, 30.0]",,"[{'location': [113.0, 38.0], 'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 31.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 28.0], 'player': {'id': 6345, 'name': 'Rami Bedoui'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 37.0], 'player': {'id': 6342, 'name': 'Aymen Mathlouthi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 54.0], 'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.0, 23.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 33.0], 'player': {'id': 5650, 'name': 'Ferjani Sassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 30.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 36.0], 'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 47.0], 'player': {'id': 6138, 'name': 'Ricardo Guardia Avila'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.0, 41.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 24.0], 'player': {'id': 5629, 'name': 'Gabriel Arturo Torres Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",86ea892d-0e15-4523-9645-1987330cb70c,,Blocked,0.064090684,Normal,Open Play,,,,Panama,798,00:32:32.027,Shot,
,,,,,,,,,,,0.573,,,,,,,,,,,,d13bf53a-4e3f-4af3-8d48-1b74e3e902ea,1383,,"[94.0, 34.0]",7569,32,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,José Luis Rodríguez Francis,5628.0,Right Wing,65,Panama,798,"['b2e3e07d-eb0f-454b-9472-d8ce75499137', 'fb4300ab-e2e4-41df-968b-b962b1b19815']",38,,Left Foot,,"[105.0, 38.0]",,"[{'location': [98.0, 50.0], 'player': {'id': 3557, 'name': 'Naïm Sliti'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [104.0, 43.0], 'player': {'id': 3252, 'name': 'Oussama Haddadi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 34.0], 'player': {'id': 6347, 'name': 'Ghilane Chalali'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.0, 31.0], 'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 26.0], 'player': {'id': 6345, 'name': 'Rami Bedoui'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 21.0], 'player': {'id': 5936, 'name': 'Hamdi Nagguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 6342, 'name': 'Aymen Mathlouthi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 46.0], 'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 49.0], 'player': {'id': 6138, 'name': 'Ricardo Guardia Avila'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [81.0, 57.0], 'player': {'id': 6346, 'name': 'Adolfo Abdiel Machado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [100.0, 25.0], 'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.0, 20.0], 'player': {'id': 5629, 'name': 'Gabriel Arturo Torres Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",7cebeb29-2ab4-4e21-a5f1-094a1ee874b0,,Blocked,0.03133579,Normal,Open Play,,,,Panama,798,00:32:38.467,Shot,
