50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.733,,,,,,,,,,,f1f751f7-acc2-4300-9511-0d96f4d6a59c,140,,"[116.0, 46.0]",7445,3,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gunnhildur Yrsa Jónsdóttir,4975.0,Left Defensive Midfield,6,Utah Royals,767,['2fa47c61-85d5-4e9d-ab2b-34fbcba7681b'],1,,Head,"[120.0, 45.4, 3.6]",,"[{'location': [114.0, 46.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 43.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 49.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 45.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [117.0, 35.0], 'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.0, 37.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.0, 21.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 21.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 32.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 35.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.0, 33.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.0, 39.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.0, 33.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 42.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 30.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}]",f13cbe69-9dda-445d-ae13-b210460d4dc2,,Off T,0.1597611,Normal,Open Play,,,,Utah Royals,767,00:03:01.060,Shot,
,,,,,,,,,,,1.133,,,,,,,,,,,4d83e32c-077c-49a0-b800-fe5ca9b69bea,280,,"[102.0, 45.0]",7445,6,,,,,,,,,,,,,,,,,,,1,From Counter,Kelley Maureen O'Hara,5021.0,Left Wing,14,Utah Royals,767,"['5f344f64-3ce8-4b00-bae1-57db045ff49b', '6adbe83a-f164-4f75-b568-19f7ae98b071']",9,,Right Foot,"[120.0, 43.6, 0.3]",,"[{'location': [96.0, 66.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [83.0, 68.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [78.0, 69.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [83.0, 60.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [82.0, 55.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [86.0, 41.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [81.0, 36.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 42.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 39.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 46.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",419036ab-d6ed-4c21-904d-b580a5cac482,,Goal,0.15389869,Normal,Open Play,,,,Utah Royals,767,00:06:09.700,Shot,True
,,,,,,,,,,,2.533,,,,,,,,,,,aceed2b7-4a52-45a5-9bda-fd66307f7632,659,,"[91.0, 58.0]",7445,17,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mallory Pugh,5023.0,Left Wing,42,Utah Royals,767,['ccdbb030-9ba3-453a-803f-6010cd1fe00a'],15,,Right Foot,"[120.0, 33.7, 0.1]",True,"[{'location': [96.0, 61.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.0, 52.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [82.0, 47.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.0, 60.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [90.0, 43.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.0, 59.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 49.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 48.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,,Off T,0.040656913,Normal,Open Play,,,,Washington Spirit,759,00:17:15.740,Shot,
,,,,,,,,,,,2.32,,,,,,,,,,,2c41d66c-b60a-455c-afb4-e9a83c031ae9,868,,"[97.0, 53.0]",7445,23,,,,,,,,,,,,,,,,,,,1,Regular Play,Katrina Gorry,4979.0,Center Attacking Midfield,54,Utah Royals,767,['e53f1e9c-953d-4f4a-91bc-bb1cc1d10a1c'],54,,Left Foot,"[120.0, 33.3, 0.1]",,"[{'location': [95.0, 67.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [83.0, 72.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [80.0, 66.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [95.0, 58.0], 'player': {'id': 5029, 'name': 'Tori Huster'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 60.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 55.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 64.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 43.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.0, 44.0], 'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",3bbf7486-ff1d-4e98-9d96-90d957aa239e,,Off T,0.029684914,Normal,Open Play,,,,Utah Royals,767,00:23:54.713,Shot,
,,,,,,,,,,,1.073,,,,,,,,,,,95a61bd6-da28-4eb3-ba46-52e308eb14c4,1383,,"[115.0, 28.0]",7445,38,,,,,,,,,,,,,,,,,,,1,From Throw In,Kelley Maureen O'Hara,5021.0,Left Wing,85,Utah Royals,767,['835a57f2-d099-4911-9028-08516fb162ae'],46,,Left Foot,"[119.0, 36.6, 2.0]",,"[{'location': [114.0, 29.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 32.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 36.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 41.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 35.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 45.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.0, 33.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.0, 60.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 40.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.0, 45.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [113.0, 32.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [98.0, 36.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 24.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",ed65bbd6-9300-42c5-b447-58f11cf3b860,,Saved,0.056433212,Normal,Open Play,,,,Utah Royals,767,00:38:46.660,Shot,
,,,,,,,,,,,1.653,,,,,,,,,,,83f7b3cd-72f5-4fd7-8f3c-8ac84e112fc0,1388,,"[114.0, 43.0]",7445,39,,,,,,,,,,,,,,,,,,,1,From Corner,Rebecca Elizabeth Sauerbrunn,5030.0,Left Center Back,86,Utah Royals,767,"['8dc29afb-4124-497d-8160-a072d4a819b8', 'b5c3a6d9-0a13-48b8-b8b9-adf354d9e1f6']",27,True,Head,"[120.0, 43.2, 4.3]",,"[{'location': [114.0, 42.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [100.0, 48.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 32.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.0, 51.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 40.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.0, 44.0], 'player': {'id': 4962, 'name': 'Caprice Dydasco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 32.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 34.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 28.0], 'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [116.0, 40.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [112.0, 32.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 47.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",35865e6a-20ab-45f9-a695-250db05b9f2e,,Off T,0.12818976,Normal,Open Play,,,,Utah Royals,767,00:39:27.940,Shot,True
,,,,,,,,,,,0.72,,,,,,,,,,,1208642b-6bb7-40e3-87ea-211c4aa1ff81,1643,,"[94.0, 29.0]",7445,47,,,,,,,,,,,,,,,,,,,1,Regular Play,Andi Sullivan,4940.0,Center Defensive Midfield,108,Washington Spirit,759,"['a94a665f-c116-47a0-ab0b-36a4f80b5e43', 'e79a05e6-b5c7-4953-b6dc-a793b15c1daf']",23,,Right Foot,"[105.0, 31.0]",True,"[{'location': [89.0, 24.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 26.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 22.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 32.0], 'player': {'id': 5024, 'name': 'Amy Rodriguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 35.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 32.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [88.0, 37.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.0, 48.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 41.0], 'player': {'id': 4964, 'name': 'Ashley Hatch'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 45.0], 'player': {'id': 5026, 'name': 'Meggie Dougherty Howard'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 46.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 24.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 42.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 47.0], 'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",d568666f-d29d-49d9-b492-827ee4bd5902,,Blocked,0.021009415,Normal,Open Play,,,,Washington Spirit,759,00:47:23.340,Shot,
,,,,,,,,,,,0.973,,,,,,,,,,,dfd7dd0e-9704-4317-b5aa-8a280aae41de,1993,,"[104.0, 31.0]",7445,57,,,,,,,,,,,,,,,,,,,2,Regular Play,Ashley Hatch,4964.0,Center Forward,134,Washington Spirit,759,['b2f5218a-bbb9-45ef-b9ee-f0542cb92f1f'],28,,Left Foot,"[120.0, 34.6, 2.6]",True,"[{'location': [106.0, 41.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.0, 52.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.0, 37.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 34.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [85.0, 33.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [83.0, 40.0], 'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 34.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.0, 32.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [81.0, 51.0], 'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.0, 23.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,,Off T,0.41983083,Normal,Open Play,,,,Washington Spirit,759,00:12:28.747,Shot,
,,,,,,,,,,,3.04,,,,,,,,,,,8deb3d0b-8df2-4d22-bc95-510cd31e4017,2312,,"[97.0, 54.0]",7445,65,,,,,,,,,,,,,,,,,,,2,Regular Play,Diana Matheson,4973.0,Right Wing,155,Washington Spirit,759,['ab24f642-a26e-48c3-a2fc-eee1a6fa6aa1'],37,,Right Foot,"[120.0, 42.2, 0.1]",,"[{'location': [96.0, 56.0], 'player': {'id': 4943, 'name': 'Estelle Johnson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 53.0], 'player': {'id': 5025, 'name': 'Aubrey Renee Kingsbury'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 47.0], 'player': {'id': 4950, 'name': 'Whitney Church'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Goal,0.087550275,Normal,Open Play,,,,Utah Royals,767,00:20:37.920,Shot,
,,,,,,,,,,,1.133,,,,,,,,,,,dcc64a2b-ace8-40c1-8a94-83bf3c4d1284,2427,,"[99.0, 24.0]",7445,69,,,,,,,,,,,,,,,,,,,2,From Throw In,Ashley Hatch,4964.0,Center Forward,161,Washington Spirit,759,"['75755e59-50f2-4cae-9efb-886f2ca873cb', '85639b32-65df-4795-80a8-d64ddd86f084']",45,,Right Foot,"[120.0, 34.6, 0.6]",,"[{'location': [101.0, 23.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.0, 26.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [92.0, 40.0], 'player': {'id': 5021, 'name': ""Kelley Maureen O'Hara""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.0, 30.0], 'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [85.0, 48.0], 'player': {'id': 4941, 'name': 'Taylor Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [101.0, 39.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.0, 14.0], 'player': {'id': 4983, 'name': 'Brooke Elby'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 32.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 38.0], 'player': {'id': 5030, 'name': 'Rebecca Elizabeth Sauerbrunn'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 36.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 5023, 'name': 'Mallory Pugh'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.0, 2.0], 'player': {'id': 4940, 'name': 'Andi Sullivan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [118.0, 39.0], 'player': {'id': 5031, 'name': 'Abby Smith'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",26e6222e-c8e2-45aa-8b79-a5aa6fc11a24,,Off T,0.02595467,Normal,Open Play,,,,Washington Spirit,759,00:24:45.067,Shot,True
