bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.582443,,,,,,,,,,,,,42e388c5-b15f-4830-b1df-63dbdf52b449,58,,"[109.1, 34.1]",3753979,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Steven Fletcher,9554.0,Right Center Forward,5,Sunderland,41,['d02cfd23-99b8-424b-ab91-4e2ba6a098dd'],58,,Left Foot,"[120.0, 37.9, 6.5]",True,"[{'location': [108.0, 49.3], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.3, 40.5], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 45.4], 'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.3, 39.4], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.7, 27.9], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.4, 35.3], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.4, 31.0], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.1, 25.6], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [118.8, 37.9], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.1, 37.0], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [97.2, 29.2], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}]",7c422a48-2aa2-4830-bae8-b6e346e90691,,,Off T,0.09197438,Half Volley,Open Play,,,,Sunderland,41,00:01:58.218,Shot,
,,,,,,,,,,,,,,,,0.933363,,,,,,,,,,,,,0e01b04c-a2be-4bd2-a4f4-4d7afb94abfc,171,,"[111.0, 33.0]",3753979,5,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Damien Delaney,3693.0,Left Center Back,12,Crystal Palace,31,"['240bf514-7fe0-4020-b737-84d80f15c218', '7ee86ba5-0061-4383-984d-1209d06af48e']",23,,Left Foot,"[120.0, 32.0, 0.9]",True,"[{'location': [119.2, 38.1], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.2, 43.0], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.6, 33.2], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.9, 41.7], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.7, 46.9], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [118.7, 43.1], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [108.7, 43.7], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [117.4, 39.4], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.6, 40.8], 'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.7, 33.6], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.5, 41.3], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.5, 1.4], 'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [91.6, 41.9], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [116.9, 39.3], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.2, 46.9], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.2, 42.2], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [104.9, 43.6], 'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",055cda25-33ad-4498-b00c-e981a5147a70,,,Off T,0.057883274,Volley,Open Play,,,,Crystal Palace,31,00:05:23.497,Shot,True
,,,,,,,,,,,,,,,,0.636727,,,,,,,,,,,,,996c2cef-d920-4f4c-9d52-63e379186794,391,,"[107.8, 24.4]",3753979,9,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrick van Aanholt,3321.0,Left Wing Back,23,Sunderland,41,['b03e93f7-315a-4078-9fe7-a79529597783'],54,,Right Foot,"[120.0, 33.8, 0.2]",True,"[{'location': [95.2, 40.2], 'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.3, 52.4], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.7, 44.9], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 38.8], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 32.2], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.4, 27.3], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.9, 49.0], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.5, 38.8], 'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.1, 37.9], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",74af9449-e82c-4590-baf1-49e1531eddb1,,,Off T,0.055104133,Normal,Open Play,,,,Sunderland,41,00:09:54.305,Shot,
,,,,,,,,,,,,,,,,0.735391,,,,,,,,,,,,,983da419-af56-4e22-bb0e-3d8dfe053238,456,,"[103.3, 39.4]",3753979,11,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jermain Defoe,3337.0,Left Center Forward,26,Sunderland,41,"['a834c7d9-3f37-4856-af1b-37c02b454dd2', 'ad99e9c1-23e1-4fc5-a4b7-d47fe99462c8']",54,,Left Foot,"[120.0, 47.8, 0.3]",,"[{'location': [94.6, 37.5], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.7, 39.8], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.7, 35.5], 'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 45.4], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.8, 40.9], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.8, 38.0], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.7, 40.3], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.2, 61.8], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [105.8, 30.4], 'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",23060d45-e3ba-4950-8e7f-b3bb2c6a17dd,,,Off T,0.060086355,Normal,Open Play,,,,Sunderland,41,00:11:54.404,Shot,True
,,,,,,,,,,,,,,,,0.869147,,,,,,,,,,,,,633c8f0b-022c-490a-9463-ea0216649049,534,,"[93.1, 38.1]",3753979,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Yannick Bolasie Yala,3589.0,Left Wing,31,Crystal Palace,31,['cc5ca669-2f4d-44a8-965e-e1c3035f65fa'],10,,Right Foot,"[115.4, 40.1, 0.8]",,"[{'location': [100.9, 30.5], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.5, 47.5], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [97.6, 40.0], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.0, 37.7], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [94.0, 33.7], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.4, 26.0], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [116.4, 40.4], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.7, 50.6], 'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.9, 23.1], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.7, 47.1], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",955e2b92-c9fb-4e9c-b2d7-b59e672b9406,,,Saved,0.02836387,Normal,Open Play,,,,Crystal Palace,31,00:14:10.448,Shot,
,,,,,,,,,,,,,,,,0.656505,,,,,,,,,,,,,29688070-f233-4c56-862a-0f643dfdbd9f,799,,"[102.0, 39.2]",3753979,24,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Billy Jones,10503.0,Right Wing Back,50,Sunderland,41,['bd47217d-205a-4d0e-bfbc-3f8f4a0e07d8'],5,,Left Foot,"[113.4, 38.6]",True,"[{'location': [113.4, 40.1], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [113.7, 43.5], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.5, 41.4], 'player': {'id': 3488, 'name': 'Wayne Hennessey'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.5, 39.1], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [110.9, 44.0], 'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 59.5], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 56.3], 'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [106.5, 50.4], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.4, 41.1], 'player': {'id': 4884, 'name': ""Pape N''Diaye Souaré""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.7, 41.5], 'player': {'id': 3693, 'name': 'Damien Delaney'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 39.4], 'player': {'id': 3407, 'name': 'Scott Dann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 37.8], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.3, 56.1], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [109.3, 49.4], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.1, 40.5], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.7, 38.0], 'player': {'id': 9554, 'name': 'Steven Fletcher'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.7, 37.7], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [110.1, 32.8], 'player': {'id': 3337, 'name': 'Jermain Defoe'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,,,Blocked,0.060860272,Normal,Open Play,,,,Sunderland,41,00:24:05.537,Shot,
,,,,,,,,,,,,,,,,0.077516,,,,,,,,,,,,,5bbf95f5-80a2-448b-b6c6-890916462121,938,,"[99.1, 47.9]",3753979,26,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jason Puncheon,19688.0,Center Attacking Midfield,55,Crystal Palace,31,"['2b8eff74-d4c9-4ad0-9804-17d9b88edaea', 'e3cb5f92-f84f-495b-ae67-f68ef9699150']",51,,Left Foot,"[100.2, 47.3]",,"[{'location': [99.2, 43.1], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.7, 46.1], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.6, 41.9], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 38.1], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [107.4, 55.9], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [95.1, 50.3], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.3, 47.7], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.1, 40.5], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.6, 51.1], 'player': {'id': 3464, 'name': 'James McArthur'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.6, 37.6], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.3, 57.4], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.7, 42.6], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",7c59667f-2486-4636-aeb9-fd1d4b7b2f63,,,Blocked,0.04111321,Normal,Open Play,,,,Crystal Palace,31,00:26:51.316,Shot,
,,,,,,,,,,,,,,,,1.032674,,,,,,,,,,,,,ed31536c-f516-4da5-a5fe-8c7253b88aec,1063,,"[91.6, 53.3]",3753979,29,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,James McArthur,3464.0,Left Defensive Midfield,63,Crystal Palace,31,['4081625a-d897-498a-bd9e-a4ee5cf056cb'],50,,Right Foot,"[117.2, 40.6, 2.4]",,"[{'location': [97.2, 55.3], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.2, 48.6], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [90.6, 55.2], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [90.2, 51.8], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.7, 38.5], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.7, 31.7], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.6, 25.5], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [116.5, 41.6], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.5, 28.1], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.8, 37.6], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.6, 59.8], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [88.6, 64.8], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,,Saved,0.01994431,Normal,Open Play,,,,Crystal Palace,31,00:29:50.728,Shot,
,,,,,,,,,,,,,,,,0.035249,,,,,,,,,,,,,8046dcc5-6b44-47b0-ad15-88c0ae21a362,1449,,"[102.8, 53.7]",3753979,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jason Puncheon,19688.0,Center Attacking Midfield,86,Crystal Palace,31,"['68883ad7-a147-4b67-be16-462ee03c5512', '98aaf1aa-e479-4333-9847-c93cd24924ec']",24,,Right Foot,"[103.6, 53.1]",,"[{'location': [108.0, 66.7], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.2, 29.7], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.0, 43.9], 'player': {'id': 3277, 'name': 'Yohan Cabaye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [102.7, 50.2], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.2, 40.6], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.8, 47.1], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.3, 31.4], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [102.0, 40.1], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 39.6], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.4, 42.4], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [107.3, 43.2], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.4, 52.4], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.5, 54.2], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [117.7, 42.4], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",5a391084-2915-4df7-bd3e-b802f3cfba57,,,Blocked,0.04866285,Normal,Open Play,,,,Crystal Palace,31,00:40:24.338,Shot,
,,,,,,,,,,,,,,,,1.450166,,,,,,,,,,,,,d61e1601-0cce-41c8-bea4-29fb01d7682a,1495,,"[97.3, 43.4]",3753979,42,,True,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Yohan Cabaye,3277.0,Right Defensive Midfield,89,Crystal Palace,31,['df1f6e7c-628f-48c3-8272-e61b8ab42c2a'],50,,Right Foot,"[120.0, 8.8]",,"[{'location': [112.0, 65.8], 'player': {'id': 3507, 'name': 'Wilfried Zaha'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.3, 63.4], 'player': {'id': 3321, 'name': 'Patrick van Aanholt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [100.5, 35.0], 'player': {'id': 19688, 'name': 'Jason Puncheon'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.9, 41.2], 'player': {'id': 20641, 'name': 'Connor Wickham'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.0, 33.2], 'player': {'id': 3589, 'name': 'Yannick Bolasie Yala'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.5, 37.4], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [110.0, 47.6], 'player': {'id': 10783, 'name': 'Lee Cattermole'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.6, 42.7], 'player': {'id': 4746, 'name': 'Younes Kaboul'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.9, 39.6], 'player': {'id': 16890, 'name': ""John O''Shea""}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.4, 35.1], 'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.9, 36.0], 'player': {'id': 10503, 'name': 'Billy Jones'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.0, 41.0], 'player': {'id': 4429, 'name': ""Yann Gérard M''Vila""}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.5, 52.0], 'player': {'id': 3443, 'name': 'Joel Ward'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.6, 39.5], 'player': {'id': 6871, 'name': 'Costel Fane Pantilimon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",14241c18-7faf-45f0-b8a5-7a1d45905912,,,Wayward,0.042629115,Normal,Open Play,,,,Crystal Palace,31,00:42:50.681,Shot,
