ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.835117,,,,,,,,,,,1db118a3-9895-4561-9567-4bf79268bdf8,184,,"[113.3, 49.9]",3813302,3,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Deshorn Brown,34146.0,Center Forward,14,NorthEast United,7285,['adaa1615-65e5-4925-abd7-9e7587edc1bf'],50,Right Foot,,"[120.0, 37.0, 0.3]",,"[{'location': [112.1, 49.2], 'player': {'id': 9981, 'name': 'Peter Hartley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.5, 39.5], 'player': {'id': 161102, 'name': 'Eli Sabia Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.5, 45.0], 'player': {'id': 161096, 'name': 'Pawan Kumar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.7, 23.9], 'player': {'id': 162762, 'name': 'Mathias Coureur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.0, 39.8], 'player': {'id': 168197, 'name': 'Imran Khan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.1, 25.7], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",dcd5d44f-d03d-4d9a-9275-9a6619bbf9e5,True,,Goal,0.31401712,Normal,Open Play,,,,NorthEast United,7285,00:03:50.919,Shot,
,,,,,,,,,,,,,,,,,,0.204314,,,,,,,,,,,838307ba-21f2-4417-8d4e-acd69bdf2187,279,,"[92.3, 44.1]",3813302,7,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Deshorn Brown,34146.0,Center Forward,22,NorthEast United,7285,"['0b9d4f92-8492-4a83-a5e8-27e63a41fad9', '1d947159-98a6-4501-989d-9dffbdbd8ef1']",51,Right Foot,,"[99.0, 42.7]",,"[{'location': [92.6, 45.5], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [78.7, 33.8], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [79.6, 49.8], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [78.3, 62.2], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [75.0, 42.8], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [96.2, 38.9], 'player': {'id': 168197, 'name': 'Imran Khan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [95.4, 30.2], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.1, 42.8], 'player': {'id': 9981, 'name': 'Peter Hartley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.9, 38.0], 'player': {'id': 161102, 'name': 'Eli Sabia Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.7, 47.1], 'player': {'id': 161099, 'name': 'Ricky Lallawmawma'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [86.6, 27.8], 'player': {'id': 127057, 'name': 'Seminlen Doungel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [117.6, 40.4], 'player': {'id': 161096, 'name': 'Pawan Kumar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [76.5, 43.2], 'player': {'id': 13322, 'name': 'Greg Stewart'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [87.6, 46.2], 'player': {'id': 161103, 'name': 'Mohammad Mobashir Rahman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.8, 54.8], 'player': {'id': 161098, 'name': 'Boris Singh Thangjam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [88.5, 42.3], 'player': {'id': 161104, 'name': 'Jitendra Singh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",,,,Blocked,0.029343791,Normal,Open Play,,,,NorthEast United,7285,00:07:51.077,Shot,
,,,,,,,,,,,,,,,,,,0.008121,,,,,,,,,,,60f46a7b-a1e8-461c-9d5c-65ecca5a08f9,565,,"[114.1, 43.9]",3813302,13,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordan Murray,33500.0,Center Forward,36,Jamshedpur,2021,['123d3956-c85b-4879-bf9c-4ed13edbfd1a'],34,Head,,"[120.0, 44.4, 0.9]",,"[{'location': [106.2, 35.5], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.7, 48.2], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 28.2], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [98.0, 36.2], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 28.0], 'player': {'id': 161098, 'name': 'Boris Singh Thangjam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [85.4, 58.2], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.1, 43.1], 'player': {'id': 162759, 'name': 'Ngasepam Tondonba Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.7, 40.2], 'player': {'id': 34164, 'name': 'Patrick Flottmann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 39.3], 'player': {'id': 162754, 'name': 'Mirshad Koottappunna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.6, 40.6], 'player': {'id': 13322, 'name': 'Greg Stewart'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",9406e2b8-dffb-42d1-98e4-aa13bde60b54,True,True,Off T,0.5122345,Diving Header,Open Play,,,,Jamshedpur,2021,00:13:34.131,Shot,
,,,,,,,,,,,,,,,,,,2.074046,,,,,,,,,,,27f56323-eea8-4e69-a050-7d7cefe0f1a2,609,,"[91.8, 52.7]",3813302,15,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hernán Daniel Santana Trujillo,15805.0,Left Defensive Midfield,38,NorthEast United,7285,['324f0fae-1dae-47b9-9725-f1d99c26a460'],16,Right Foot,,"[120.0, 32.5, 0.5]",,"[{'location': [98.5, 60.1], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [118.7, 40.1], 'player': {'id': 161096, 'name': 'Pawan Kumar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.2, 32.2], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.4, 25.9], 'player': {'id': 168197, 'name': 'Imran Khan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [78.7, 52.6], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [76.9, 36.3], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [106.0, 29.9], 'player': {'id': 34146, 'name': 'Deshorn Brown'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.6, 40.8], 'player': {'id': 162762, 'name': 'Mathias Coureur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [80.0, 24.9], 'player': {'id': 127057, 'name': 'Seminlen Doungel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [91.0, 54.0], 'player': {'id': 161098, 'name': 'Boris Singh Thangjam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [86.7, 36.4], 'player': {'id': 161104, 'name': 'Jitendra Singh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.8, 46.4], 'player': {'id': 161103, 'name': 'Mohammad Mobashir Rahman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.6, 53.4], 'player': {'id': 161099, 'name': 'Ricky Lallawmawma'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.4, 47.9], 'player': {'id': 9981, 'name': 'Peter Hartley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.6, 40.2], 'player': {'id': 161102, 'name': 'Eli Sabia Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,,Off T,0.021360926,Normal,Open Play,,,,NorthEast United,7285,00:15:16.449,Shot,
,,,,,,,,,,,,,,,,,,0.215977,,,,,,,,,,,db6c6e26-eeac-45b3-91ff-74994e2825cf,722,,"[103.7, 41.1]",3813302,18,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordan Murray,33500.0,Center Forward,43,Jamshedpur,2021,"['cadaa55a-3584-47da-b7ae-dd151c96c370', 'e6204aad-fdf7-4d59-82cd-4b06e93bfc13']",41,Right Foot,,"[109.6, 42.0]",True,"[{'location': [107.8, 49.3], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.7, 40.7], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.5, 46.7], 'player': {'id': 34164, 'name': 'Patrick Flottmann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.7, 42.1], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.3, 33.7], 'player': {'id': 161098, 'name': 'Boris Singh Thangjam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [93.0, 55.4], 'player': {'id': 161103, 'name': 'Mohammad Mobashir Rahman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.7, 63.1], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.2, 51.5], 'player': {'id': 162759, 'name': 'Ngasepam Tondonba Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.4, 59.2], 'player': {'id': 162762, 'name': 'Mathias Coureur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [101.4, 47.1], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.6, 41.4], 'player': {'id': 162754, 'name': 'Mirshad Koottappunna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.6, 70.6], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [112.8, 50.1], 'player': {'id': 127057, 'name': 'Seminlen Doungel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.0, 51.3], 'player': {'id': 13322, 'name': 'Greg Stewart'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",14cdb5e8-be98-4936-abd2-075febe20776,,,Blocked,0.08274717,Normal,Open Play,,,,Jamshedpur,2021,00:18:41.135,Shot,
,,,,,,,,,,,,,,,,,,0.545481,,,,,,,,,,,b40b79e1-4277-4db9-8ca4-52eb1c32ab6b,914,,"[105.8, 26.6]",3813302,22,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Boris Singh Thangjam,161098.0,Left Midfield,50,Jamshedpur,2021,['5c3d3089-53c8-4dee-9a78-db0d1c006e66'],16,Left Foot,,"[120.0, 37.3, 6.3]",True,"[{'location': [98.8, 25.7], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.1, 37.1], 'player': {'id': 162754, 'name': 'Mirshad Koottappunna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.4, 41.2], 'player': {'id': 162759, 'name': 'Ngasepam Tondonba Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.4, 36.4], 'player': {'id': 34164, 'name': 'Patrick Flottmann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.6, 30.3], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.6, 34.3], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.9, 33.3], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.5, 52.7], 'player': {'id': 162762, 'name': 'Mathias Coureur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [85.5, 36.7], 'player': {'id': 168197, 'name': 'Imran Khan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [88.5, 51.7], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [91.5, 41.3], 'player': {'id': 161104, 'name': 'Jitendra Singh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.4, 38.3], 'player': {'id': 127057, 'name': 'Seminlen Doungel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.5, 42.1], 'player': {'id': 33500, 'name': 'Jordan Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.8, 29.7], 'player': {'id': 13322, 'name': 'Greg Stewart'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,,Off T,0.065507494,Normal,Open Play,,,,Jamshedpur,2021,00:22:16.070,Shot,
,,,,,,,,,,,,,,,,,,0.791043,,,,,,,,,,,03c00a60-1e4d-4339-b177-00cfef3904e1,987,,"[95.3, 50.8]",3813302,24,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Greg Stewart,13322.0,Center Attacking Midfield,56,Jamshedpur,2021,['e45e40f3-6690-449e-9aa9-d27895b6b9a6'],59,Left Foot,,"[120.0, 37.2, 5.6]",,"[{'location': [89.9, 64.6], 'player': {'id': 127057, 'name': 'Seminlen Doungel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [99.4, 57.0], 'player': {'id': 33500, 'name': 'Jordan Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [83.6, 54.0], 'player': {'id': 161104, 'name': 'Jitendra Singh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.2, 34.2], 'player': {'id': 161098, 'name': 'Boris Singh Thangjam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.4, 40.1], 'player': {'id': 162754, 'name': 'Mirshad Koottappunna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.6, 47.3], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 37.4], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.2, 51.5], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.5, 47.5], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.1, 53.0], 'player': {'id': 34164, 'name': 'Patrick Flottmann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.8, 55.9], 'player': {'id': 162759, 'name': 'Ngasepam Tondonba Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",738f6c17-6188-4a15-ab08-219641967c91,,,Off T,0.025280673,Half Volley,Open Play,,,,Jamshedpur,2021,00:24:59.727,Shot,
,,,,,,,,,,,,,,,,,,0.994624,,,,,,,,,,,436ae6fc-3f16-46f1-9dc8-b6acff5eef7c,1166,,"[100.2, 55.4]",3813302,32,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Imran Khan,168197.0,Left Wing,73,NorthEast United,7285,['cfc52cbe-90d2-48b5-87ce-1c8f1c035331'],44,Left Foot,,"[120.0, 41.6, 4.1]",,"[{'location': [106.8, 34.5], 'player': {'id': 34146, 'name': 'Deshorn Brown'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.1, 39.2], 'player': {'id': 161103, 'name': 'Mohammad Mobashir Rahman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.6, 54.1], 'player': {'id': 161104, 'name': 'Jitendra Singh'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 55.7], 'player': {'id': 161099, 'name': 'Ricky Lallawmawma'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 48.7], 'player': {'id': 9981, 'name': 'Peter Hartley'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.5, 39.9], 'player': {'id': 161100, 'name': 'Laldinliana Renthlei'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.1, 36.5], 'player': {'id': 161102, 'name': 'Eli Sabia Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.9, 41.0], 'player': {'id': 161096, 'name': 'Pawan Kumar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.2, 46.6], 'player': {'id': 162762, 'name': 'Mathias Coureur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",65318062-5997-43a1-bf1a-b9c1f04ca293,,,Off T,0.029472785,Normal,Open Play,,,,NorthEast United,7285,00:32:44.434,Shot,
,,,,,,,,,,,,,,,,,,0.413746,,,,,,,,,,,8b749e2f-f0e4-4069-93ba-d3d9a28f9d49,1356,,"[103.8, 29.2]",3813302,41,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Greg Stewart,13322.0,Center Attacking Midfield,91,Jamshedpur,2021,"['be350c8e-1455-41e4-b303-702a158857da', 'ff980b35-a9a2-4140-8454-86d32cfd07e8']",25,Right Foot,,"[109.5, 32.9]",,"[{'location': [110.3, 44.2], 'player': {'id': 162759, 'name': 'Ngasepam Tondonba Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.3, 51.3], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.8, 35.8], 'player': {'id': 34164, 'name': 'Patrick Flottmann'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.8, 32.9], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.6, 28.3], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.2, 33.7], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.2, 28.0], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [88.7, 55.8], 'player': {'id': 162762, 'name': 'Mathias Coureur'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.9, 38.0], 'player': {'id': 162754, 'name': 'Mirshad Koottappunna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.4, 34.4], 'player': {'id': 161103, 'name': 'Mohammad Mobashir Rahman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.8, 36.6], 'player': {'id': 161098, 'name': 'Boris Singh Thangjam'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [109.4, 31.4], 'player': {'id': 33500, 'name': 'Jordan Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,,Blocked,0.05337971,Normal,Open Play,,,,Jamshedpur,2021,00:41:25.123,Shot,
,,,,,,,,,,,,,,,,,,0.460412,,,,,,,,,,,828be6de-3846-4dc5-92e6-e65869ff4442,1397,,"[106.3, 41.8]",3813302,42,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Greg Stewart,13322.0,Center Attacking Midfield,93,Jamshedpur,2021,['2985d8a0-b98d-46c5-b7b6-210ee33c76d0'],31,Left Foot,,"[119.0, 38.5, 1.6]",,"[{'location': [103.6, 52.3], 'player': {'id': 127057, 'name': 'Seminlen Doungel'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.2, 33.8], 'player': {'id': 33500, 'name': 'Jordan Murray'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.2, 39.6], 'player': {'id': 162754, 'name': 'Mirshad Koottappunna'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 42.7], 'player': {'id': 162753, 'name': 'Suhair Vadakkepeedika'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.1, 49.0], 'player': {'id': 162752, 'name': 'Pragyan Sundar Gogoi'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.8, 37.3], 'player': {'id': 162748, 'name': 'Provat Lakra'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 41.8], 'player': {'id': 162750, 'name': 'Mashoor Shereef Thangalakath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.1, 46.0], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.7, 48.5], 'player': {'id': 162759, 'name': 'Ngasepam Tondonba Singh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",f8db8163-8ff4-4229-b38d-51ec338bb9bf,,,Saved,0.054456435,Half Volley,Open Play,,,,Jamshedpur,2021,00:42:31.306,Shot,
