50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.464223,,,,,,,,,,,,,fd8ae367-b4d9-4cf5-abf8-0abdc0272030,384,,"[110.2, 37.3]",3890512,8,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luc Castaignos,7846.0,Center Forward,30,Eintracht Frankfurt,184,['5af2b73f-5ea6-48a8-b3b8-467cc0d51932'],50,,Head,"[120.0, 30.4, 0.9]",,"[{'location': [103.5, 40.1], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.1, 39.4], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.6, 33.4], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.2, 30.7], 'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [98.0, 47.1], 'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.2, 42.0], 'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [99.9, 37.3], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.9, 40.6], 'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.3, 39.0], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.2, 38.5], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.6, 36.9], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.7, 33.4], 'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.4, 39.2], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9b2b8c98-a3f1-4b3b-8cc8-e39a2ad4e169,,Off T,0.08148343,Normal,Open Play,,,,Eintracht Frankfurt,184,00:08:50.127,Shot,
,,,,,,,,,,,,,,,,0.990204,,,,,,,,,,,,,8be44e67-b0f9-4e94-b471-053db7ddf951,486,,"[96.7, 51.6]",3890512,11,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrej Kramarić,5460.0,Right Wing,34,Hoffenheim,175,['d5e53354-edcc-49ab-b02b-81a371ba339f'],18,,Left Foot,"[116.4, 41.7, 0.2]",,"[{'location': [92.2, 46.9], 'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [84.7, 60.1], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.8, 39.5], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [104.8, 26.7], 'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.4, 42.7], 'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.6, 29.8], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.7, 38.2], 'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.1, 42.8], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.5, 47.3], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.5, 55.8], 'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 47.5], 'player': {'id': 10822, 'name': 'Sonny Kittel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.6, 54.6], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.5, 52.0], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [117.1, 41.6], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",2ebef4e0-32dc-49e3-b8db-bdae70fe41ab,,Saved,0.0412796,Normal,Open Play,,,,Hoffenheim,175,00:11:18.998,Shot,
,,,,,,,,,,,,,,,,0.366012,,,,,,,,,,,,,5d61d4a8-3553-458c-a149-74409f621ec3,513,,"[94.1, 37.1]",3890512,13,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,David Ángel Abraham,8678.0,Right Center Back,39,Eintracht Frankfurt,184,"['545afa48-00cb-48b8-a112-63bd7931975b', 'ccc4394c-dba0-49eb-9576-7efcac718230']",17,,Right Foot,"[103.6, 37.2]",,"[{'location': [104.7, 39.6], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.8, 40.5], 'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.6, 38.8], 'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.5, 38.0], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 41.8], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.3, 37.1], 'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [106.9, 35.4], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.9, 47.9], 'player': {'id': 10822, 'name': 'Sonny Kittel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.1, 40.8], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.7, 40.4], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.2, 34.4], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [91.7, 41.0], 'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [92.0, 35.4], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [105.5, 46.4], 'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.5, 42.3], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.2, 33.2], 'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [119.4, 41.2], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,0.064443015,Normal,Free Kick,,,,Eintracht Frankfurt,184,00:13:17.808,Shot,
,,,,,,,,,,,,,,,,0.244169,,,,,,,,,,,,,20aaca19-6ca2-413e-98b9-89092fa37580,807,,"[103.7, 51.9]",3890512,19,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Sonny Kittel,10822.0,Center Attacking Midfield,56,Eintracht Frankfurt,184,"['3cad266b-7a76-4d7b-b817-3a6de81876bf', '5f964a06-abfd-4168-a814-bfe23bbddaf2']",33,,Left Foot,"[107.8, 48.3]",,"[{'location': [111.8, 41.6], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.9, 40.0], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.9, 35.3], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.9, 48.4], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 51.4], 'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.9, 45.8], 'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.3, 29.3], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.3, 48.0], 'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.3, 41.8], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.2, 34.1], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.4, 42.5], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,0.04672019,Normal,Open Play,,,,Eintracht Frankfurt,184,00:19:33.623,Shot,
,,,,,,,,,,,,,,,,0.073385,,,,,,,,,,,,,2203f392-7239-46b5-a96b-a87d729e1217,1071,,"[104.8, 35.8]",3890512,27,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sonny Kittel,10822.0,Center Attacking Midfield,71,Eintracht Frankfurt,184,"['6811c840-728b-44af-9d5a-8517d8ef8586', 'eb7c3fd2-416d-433b-952c-411ff02feb27']",13,,Left Foot,"[107.7, 36.4]",True,"[{'location': [96.4, 25.8], 'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.7, 47.6], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.3, 42.4], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.3, 40.1], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.3, 55.3], 'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.2, 42.0], 'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.9, 44.8], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.2, 39.7], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.4, 36.5], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.0, 29.2], 'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [117.1, 38.6], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Blocked,0.10781734,Normal,Open Play,,,,Eintracht Frankfurt,184,00:27:13.350,Shot,
,,,,,,,,,,,,,,,,0.480606,,,,,,,,,,,,,302fcd88-bd3d-4f31-9285-cf58d909b0bf,1327,,"[108.0, 29.7]",3890512,33,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrej Kramarić,5460.0,Center Forward,84,Hoffenheim,175,['76a3fa10-aaf1-4462-8112-1f79a27d6092'],12,,Right Foot,"[118.1, 38.8, 0.4]",True,"[{'location': [107.1, 39.6], 'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.4, 70.1], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.2, 44.8], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.1, 66.9], 'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.3, 46.1], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.5, 61.8], 'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 51.9], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.2, 46.2], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.5, 65.1], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.6, 37.3], 'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.9, 40.9], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.5, 32.2], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.6, 59.2], 'player': {'id': 10822, 'name': 'Sonny Kittel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.0, 51.0], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.6, 38.1], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d8b5abee-36f5-4c0e-850c-078c0e86f39e,,Saved,0.11131595,Volley,Open Play,,,,Hoffenheim,175,00:33:12.493,Shot,
,,,,,,,,,,,,,,,,0.19841,,,,,,,,,,,,,510c2de8-9a4e-4968-b80a-495c70698a33,1332,,"[113.7, 32.0]",3890512,33,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrej Kramarić,5460.0,Center Forward,84,Hoffenheim,175,['3e71d844-2d86-4a88-ba8f-c80af6f434a8'],14,,Right Foot,"[118.2, 36.2, 1.6]",True,"[{'location': [92.5, 61.7], 'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.8, 64.8], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [107.1, 41.8], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.4, 39.6], 'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.9, 60.7], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [91.8, 48.6], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.2, 32.3], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.4, 35.2], 'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.7, 35.7], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.1, 49.2], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.8, 59.9], 'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.5, 41.5], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.4, 37.0], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Saved,0.2980791,Normal,Open Play,,,,Hoffenheim,175,00:33:14.497,Shot,
,,,,,,,,,,,,,,,,1.041851,,,,,,,,,,,,,efbe4ba4-7c24-4136-a630-360670720f7a,1373,,"[92.0, 37.5]",3890512,34,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Stendera,10896.0,Right Defensive Midfield,86,Eintracht Frankfurt,184,['afcf01cc-2403-4e85-85a4-14cf91757c11'],46,,Left Foot,"[120.0, 37.4, 4.2]",,"[{'location': [106.3, 18.9], 'player': {'id': 10822, 'name': 'Sonny Kittel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.0, 11.5], 'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [91.6, 57.6], 'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.6, 43.4], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [104.8, 30.9], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.9, 38.4], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.9, 35.4], 'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [80.7, 25.4], 'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [102.9, 44.5], 'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [92.5, 42.7], 'player': {'id': 9720, 'name': 'Philipp Ochs'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [100.1, 52.9], 'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.0, 36.8], 'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.6, 37.1], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.9, 41.6], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 30.8], 'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.6, 21.4], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.1, 28.7], 'player': {'id': 27317, 'name': 'Eduardo Jesús Vargas Rojas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [118.4, 39.5], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",beb9c662-8182-4fd7-916c-be40af6d3dab,,Off T,0.029192079,Normal,Open Play,,,,Eintracht Frankfurt,184,00:34:46.839,Shot,
,,,,,,,,,,,,,,,,0.399348,,,,,,,,,,,,,1c318d5e-5ad1-4c33-a4c6-80ffb347f535,1404,,"[108.7, 53.9]",3890512,35,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Luc Castaignos,7846.0,Center Forward,88,Eintracht Frankfurt,184,['d23af38a-8286-4332-8ac0-98962dc38595'],18,,Right Foot,"[114.7, 44.6, 0.2]",True,"[{'location': [104.5, 36.3], 'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.4, 59.9], 'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.2, 53.6], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.6, 41.8], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.5, 38.4], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.5, 44.6], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9a135d90-fcdc-4776-a615-bf0319208755,,Saved,0.08297163,Normal,Open Play,,,,Eintracht Frankfurt,184,00:35:18.145,Shot,
,,,,,,,,,,,,,,,,0.479837,,,,,,,,,,,,,a3253c16-67ce-4508-8bb9-e10ea661c80a,1538,,"[109.8, 28.0]",3890512,38,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Änis Ben-Hatira,35240.0,Left Wing,99,Eintracht Frankfurt,184,"['24e8e041-5c8a-421f-a5a5-0cd39d020cd7', '7d73e20d-344c-492c-a349-132fb1b7445e']",27,,Left Foot,"[118.2, 35.5, 0.4]",,"[{'location': [98.4, 45.9], 'player': {'id': 10822, 'name': 'Sonny Kittel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.7, 46.3], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 38.3], 'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [104.7, 37.9], 'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 31.0], 'player': {'id': 9397, 'name': 'Pavel Kadeřábek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.4, 29.4], 'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.4, 36.5], 'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",354faf7f-dce5-4aca-83fa-3212b39897b5,,Saved,0.06608614,Normal,Open Play,,,,Eintracht Frankfurt,184,00:38:27.224,Shot,True
