50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.63094,,,,,,,,,,,,7b37324a-bd87-4cf6-a9ac-75c2d3992989,374,,,"[112.3, 27.2]",3788747,8,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christoph Baumgartner,24977.0,Left Center Forward,23,Austria,915,"['861fd1de-8ad5-43a6-9758-92428f7c63d8', 'db83eabd-3ee4-4c16-95ea-4f824dfbab83']",52,True,Head,"[118.2, 38.9, 1.9]",,"[{'location': [104.0, 40.5], 'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [95.8, 57.2], 'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [96.5, 48.7], 'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.2, 51.0], 'player': {'id': 18762, 'name': 'Sasa Kalajdzic'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [90.9, 55.9], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [87.4, 59.5], 'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.5, 28.5], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [118.5, 37.2], 'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [91.6, 39.6], 'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.4, 37.2], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [112.3, 28.4], 'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.1, 26.9], 'player': {'id': 16740, 'name': 'Boban Nikolov'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [93.0, 31.1], 'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",9b507f50-45dd-4225-aa6d-5a70f8af98e5,Saved,0.025002297,Normal,Open Play,,,,Austria,915,00:08:52.098,Shot,True
,,,,,,,,,,,,,,,,0.438324,,,,,,,,,,,,b9287a7c-5509-436e-b57b-f6542d6be72f,700,,,"[93.5, 50.8]",3788747,14,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sasa Kalajdzic,18762.0,Right Center Forward,40,Austria,915,"['a317685c-cadb-4026-971e-3ebba37244b0', 'e3800288-b219-4f8c-8560-ec528208a138']",57,,Right Foot,"[102.8, 46.1]",,"[{'location': [102.7, 40.5], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [102.9, 45.9], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [97.6, 59.3], 'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.3, 35.0], 'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [118.2, 41.5], 'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.3, 22.1], 'player': {'id': 16740, 'name': 'Boban Nikolov'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [92.1, 39.4], 'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.2, 47.7], 'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.1, 37.6], 'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.3, 42.7], 'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.3, 46.8], 'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.8, 55.6], 'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}]",,Blocked,0.023566393,Normal,Open Play,,,,Austria,915,00:14:57.610,Shot,
,,,,,,,,,,,,,,,,0.760229,,,,,,,,,,,,7f1c8fcb-09f3-4e52-a9ef-61463f361b2a,789,,,"[117.1, 45.7]",3788747,17,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stefan Lainer,8779.0,Right Wing Back,46,Austria,915,['f182e8cd-08ec-4b52-a629-d152320bccf4'],32,,Right Foot,"[120.0, 37.8, 0.6]",True,"[{'location': [106.1, 37.2], 'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [113.9, 46.9], 'player': {'id': 18762, 'name': 'Sasa Kalajdzic'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [106.4, 32.5], 'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.5, 38.9], 'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.5, 45.6], 'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.8, 47.8], 'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [118.5, 43.0], 'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",74c43e90-aa74-46c7-a81e-f0b60fe24e42,Goal,0.16621111,Volley,Open Play,,,,Austria,915,00:17:32.738,Shot,
,,,,,,,,,,,,,,,,0.377104,,,,,,,,,,,,99a4e178-552b-49c2-8273-7b1e5abf6e19,965,,,"[110.8, 35.1]",3788747,21,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sasa Kalajdzic,18762.0,Right Center Forward,53,Austria,915,['8abfd75e-448b-4d5b-b90d-7220fc049943'],35,,Right Foot,"[117.6, 38.4, 0.5]",True,"[{'location': [112.1, 45.4], 'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [112.7, 42.0], 'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [112.3, 46.2], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [107.2, 37.3], 'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.8, 27.4], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [117.9, 38.4], 'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.8, 20.2], 'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.5, 33.1], 'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 27.4], 'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [103.4, 31.4], 'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.9, 32.3], 'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 39.2], 'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",1492ebbd-2efd-4630-83a9-18a11d7dfbce,Saved,0.13472524,Volley,Open Play,,,,Austria,915,00:21:35.937,Shot,
,,,,,,,,,,,,,,,,1.075735,,,,,,,,,,,,ba780267-f8c8-4f25-8dd6-ff5d5431ce1f,1136,,,"[105.5, 37.0]",3788747,27,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Goran Pandev,7146.0,Right Center Forward,68,North Macedonia,2358,['986a8b3f-ca01-484b-a104-94a097aa6f0e'],13,,Left Foot,"[120.0, 38.2, 0.5]",,"[{'location': [105.1, 39.3], 'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.6, 38.2], 'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [97.7, 29.1], 'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 41.0], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.8, 17.3], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [97.8, 43.5], 'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.2, 50.5], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [90.3, 34.7], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 35.4], 'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [92.7, 40.8], 'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}]",,Goal,0.45005047,Normal,Open Play,,,,North Macedonia,2358,00:27:13.626,Shot,
,,,,,,,,,,,,,,,,1.127941,,,,,,,,,,,,be423bbf-bfcb-4b36-a454-d7556585dc1f,1483,,,"[90.7, 47.5]",3788747,36,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stefan Ristovski,10592.0,Right Center Back,84,North Macedonia,2358,['2f8352a4-ce57-46b6-9083-b53840b75254'],22,,Right Foot,"[120.0, 38.1, 7.1]",,"[{'location': [85.9, 40.1], 'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [77.5, 23.7], 'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.9, 39.5], 'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 26.1], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [101.9, 34.1], 'player': {'id': 3969, 'name': 'Aleksandar Dragović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.5, 21.6], 'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [101.3, 38.7], 'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [95.9, 34.4], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [91.0, 40.2], 'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.3, 48.9], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [91.4, 44.9], 'player': {'id': 24977, 'name': 'Christoph Baumgartner'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [79.7, 24.4], 'player': {'id': 18762, 'name': 'Sasa Kalajdzic'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [102.7, 28.3], 'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [101.9, 34.7], 'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [101.4, 44.1], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [86.3, 13.9], 'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [93.1, 29.5], 'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [101.5, 44.9], 'player': {'id': 16740, 'name': 'Boban Nikolov'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",e3043799-a449-45b6-a072-2441ea8595a4,Off T,0.027569797,Normal,Open Play,,,,North Macedonia,2358,00:36:22.791,Shot,
,,,,,,,,,,,,,,,,0.987384,,,,,,,,,,,,aa68906b-c46f-437f-a257-1d2ebde43269,1957,,,"[99.1, 50.3]",3788747,48,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Boban Nikolov,16740.0,Right Wing Back,108,North Macedonia,2358,"['85a0b951-2337-48c5-baa4-d85894c59285', 'f00409fc-9325-4e0f-b984-ad81dfb3c7c5']",27,,Left Foot,"[110.3, 47.2]",True,"[{'location': [111.9, 47.3], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [104.0, 46.5], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.4, 40.4], 'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [102.4, 26.5], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [97.0, 38.1], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.8, 46.6], 'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.3, 41.2], 'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.1, 40.8], 'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.4, 45.2], 'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,Blocked,0.04181931,Half Volley,Open Play,,,,North Macedonia,2358,00:03:27.888,Shot,
,,,,,,,,,,,,,,,,0.05501,,,,,,,,,,,,9a286cfa-6e66-4314-bb1c-dee312b9efdf,2401,,,"[113.9, 50.5]",3788747,62,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Boban Nikolov,16740.0,Right Wing Back,133,North Macedonia,2358,['637323e8-126e-41ab-908c-be99f1a26f49'],2,,Right Foot,"[114.6, 49.3, 0.9]",True,"[{'location': [105.9, 45.1], 'player': {'id': 7146, 'name': 'Goran Pandev'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [100.0, 37.4], 'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.6, 38.8], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.1, 36.8], 'player': {'id': 8931, 'name': 'Philipp Lienhart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 42.5], 'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.6, 48.4], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [93.4, 53.1], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.6, 49.2], 'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.6, 31.0], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}]",16bc6b80-f4ba-400b-a5ca-cd1f26e5c2e0,Saved,0.19811018,Normal,Open Play,,,,North Macedonia,2358,00:17:02.832,Shot,
,,,,,,,,,,,,,,,,1.880704,,,,,,,,,,,,5cf480e1-c32e-4c21-aacc-f8ee32de521d,2404,,,"[107.4, 55.2]",3788747,62,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Goran Pandev,7146.0,Right Center Forward,133,North Macedonia,2358,['6754bc17-e370-4376-b730-4384033f1a22'],5,,Left Foot,"[120.0, 37.8, 5.2]",True,"[{'location': [95.1, 43.3], 'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.4, 41.9], 'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [120.0, 50.6], 'player': {'id': 16740, 'name': 'Boban Nikolov'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [106.0, 41.9], 'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [93.7, 59.0], 'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [94.3, 52.9], 'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [92.2, 61.9], 'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.0, 32.7], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [104.2, 43.3], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [109.5, 41.4], 'player': {'id': 8931, 'name': 'Philipp Lienhart'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 52.8], 'player': {'id': 8307, 'name': 'Martin Hinteregger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 45.6], 'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [116.7, 44.2], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [115.6, 47.7], 'player': {'id': 21532, 'name': 'Daniel Bachmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Off T,0.03143826,Half Volley,Open Play,,,,North Macedonia,2358,00:17:05.499,Shot,
,,,,,,,,,,,,,,,,0.583387,,,,,,,,,,,,a6166baa-395a-46c2-9b83-77cd512833be,2441,,,"[113.7, 36.0]",3788747,63,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michael Gregoritsch,8309.0,Left Center Forward,135,Austria,915,"['46a95123-6890-4bfb-bfb8-2d4376ddff48', '47746ff9-2234-4a56-91a4-401cb13f8557']",42,True,Head,"[117.9, 40.0, 1.3]",,"[{'location': [96.5, 12.3], 'player': {'id': 3325, 'name': 'Marko Arnautović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [102.9, 23.2], 'player': {'id': 8777, 'name': 'Andreas Ulmer'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [112.0, 44.4], 'player': {'id': 8779, 'name': 'Stefan Lainer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [99.5, 11.8], 'player': {'id': 8518, 'name': 'Marcel Sabitzer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.2, 40.4], 'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [117.9, 37.7], 'player': {'id': 21397, 'name': 'Stole Dimitrievski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.1, 15.9], 'player': {'id': 46915, 'name': 'Egzon Bejtulai'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [113.0, 35.8], 'player': {'id': 30644, 'name': 'Darko Velkovski'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [114.8, 36.2], 'player': {'id': 46906, 'name': 'Visar Musliu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.1, 41.3], 'player': {'id': 4713, 'name': 'Ezgjan Alioski'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.6, 25.0], 'player': {'id': 18879, 'name': 'Arijan Ademi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.8, 30.0], 'player': {'id': 10592, 'name': 'Stefan Ristovski'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 17.8], 'player': {'id': 44229, 'name': 'Tihomir Kostadinov'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.8, 37.7], 'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [93.1, 26.3], 'player': {'id': 16535, 'name': 'Eljif Elmas'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}]",9ba818b4-4b60-4806-850c-d34167995591,Saved,0.10145903,Normal,Open Play,,,,Austria,915,00:18:42.255,Shot,True
