50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.31845,,,,,,,,,,,,8dcd9969-7f81-406a-9f0d-57ba73189774,36,,"[90.1, 37.8]",3775556,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aileen Whelan,16374.0,Left Wing,4,Brighton & Hove Albion WFC,965,['211bcaf6-8961-45aa-8967-b09c93a47036'],4,,Right Foot,"[119.1, 39.4, 0.2]",True,"[{'location': [119.1, 39.4], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.6, 66.0], 'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [83.8, 33.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [93.4, 46.9], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [97.6, 52.3], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.1, 40.3], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.6, 34.7], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 62.7], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [93.7, 45.1], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [93.9, 50.7], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 58.4], 'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.4, 39.0], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [93.2, 25.7], 'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",66e25c42-f1a5-48e5-bb42-ab1e1193446f,Saved,0.03150429,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:01:04.240,Shot,
,,,,,,,,,,,,,,,,1.204425,,,,,,,,,,,,83593214-4e13-48a6-bf03-609252e7d03b,181,,"[102.6, 23.3]",3775556,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jodie Hutton,46537.0,Left Wing,13,Aston Villa,2647,['bce7d23b-ec00-481f-8ef3-0ef1078c2942'],51,,Right Foot,"[117.1, 38.1, 2.2]",,"[{'location': [118.4, 37.0], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.4, 39.0], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.2, 44.3], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.5, 46.7], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [98.6, 11.3], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.6, 28.7], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.4, 52.2], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.9, 32.8], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.2, 22.7], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.3, 17.3], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [85.8, 41.1], 'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.1, 30.0], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.3, 15.7], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",48862b30-98b5-4118-8071-c414e41619ab,Saved,0.029676508,Normal,Open Play,,,,Aston Villa,2647,00:03:51.342,Shot,
,,,,,,,,,,,,,,,,0.000176,,,,,,,,,,,,1f6ce331-3eb3-4c03-8ef3-0b889d94d109,444,,"[97.5, 33.7]",3775556,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Geum-Min Lee,25453.0,Center Forward,32,Brighton & Hove Albion WFC,965,"['16fb2d3f-531a-4817-84b6-c9f78e01c1f8', '5de257c8-9d5e-4869-94a3-462cb4f02ea4']",50,,Right Foot,"[99.7, 34.5]",True,"[{'location': [97.3, 32.5], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.5, 40.2], 'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.6, 34.3], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.4, 27.3], 'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.1, 16.8], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.2, 16.6], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [83.7, 22.2], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [94.0, 40.3], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [86.1, 13.4], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.3, 26.5], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [96.4, 19.9], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.2, 21.9], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [117.5, 38.7], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.3, 29.3], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",372bce66-16c4-40a7-824a-eea8ad7c01a9,Blocked,0.02911038,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:09:50.994,Shot,
,,,,,,,,,,,,,,,,0.072823,,,,,,,,,,,,8c90e548-86c9-41c6-81f6-27b2b2f5ce30,474,,"[103.5, 45.7]",3775556,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Megan Connolly,23413.0,Center Defensive Midfield,35,Brighton & Hove Albion WFC,965,"['5c75494a-1dab-41c0-accc-326a66c238cc', 'b06b6e95-a11d-48a5-b969-8fb86b1668d7']",34,,Right Foot,"[105.4, 45.3]",,"[{'location': [105.3, 45.1], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 40.6], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.3, 46.7], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.7, 37.5], 'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.7, 32.5], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.5, 44.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [90.0, 27.7], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [99.2, 49.2], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.5, 40.6], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.1, 37.4], 'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",ab79f13e-5568-421c-a4df-6f9c12b8837f,Blocked,0.04901647,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:11:34.921,Shot,
,,,,,,,,,,,,,,,,0.823612,,,,,,,,,,,,4479436c-7c7a-477d-8159-f6a3cccb4827,1087,,"[102.6, 41.4]",3775556,27,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Chloe Arthur,10193.0,Center Defensive Midfield,69,Aston Villa,2647,['a5ad916d-7f2d-4c7d-866c-453a6312d3db'],25,,Right Foot,"[120.0, 47.0, 3.0]",,"[{'location': [107.5, 53.8], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.2, 35.4], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.6, 50.5], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.1, 45.4], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.6, 40.4], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.9, 45.5], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.2, 30.3], 'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.7, 41.7], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.8, 44.5], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.6, 41.1], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.1, 36.7], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.2, 43.3], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.4, 50.5], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.7, 56.8], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",c5c18234-7b61-42cd-ac6b-921083456878,Off T,0.03696787,Half Volley,Open Play,,,,Aston Villa,2647,00:27:25.078,Shot,
,,,,,,,,,,,,,,,,0.154417,,,,,,,,,,,,eee8a54a-2c28-435d-90a9-e5cd7cbff49a,1260,,"[106.5, 36.1]",3775556,31,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Jodie Hutton,46537.0,Left Wing,82,Aston Villa,2647,['46c18148-362d-4185-972c-383f71244bf5'],25,,Right Foot,"[110.0, 36.7, 0.8]",True,"[{'location': [110.4, 37.2], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.4, 45.1], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.1, 38.4], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.9, 41.8], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.1, 60.2], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.6, 43.9], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.3, 58.9], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.9, 51.8], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [87.1, 55.7], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [91.3, 51.8], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}]",b7e94e34-3e44-4d6d-b226-48082e6336e5,Saved,0.32847294,Normal,Open Play,,,,Aston Villa,2647,00:31:25.574,Shot,
,,,,,,,,,,,,,,,,2.157398,,,,,,,,,,,,b602c078-1f62-41ba-b522-ffda19f14aab,1380,,"[88.3, 20.0]",3775556,35,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Chloe Arthur,10193.0,Left Center Midfield,92,Aston Villa,2647,['cd777282-438b-42c0-9cbf-3a03d093d211'],57,,Right Foot,"[117.1, 37.1, 0.2]",,"[{'location': [82.5, 21.8], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [76.0, 40.1], 'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [96.7, 2.1], 'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.5, 14.2], 'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [90.7, 16.7], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.4, 3.8], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.1, 24.2], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [102.1, 15.9], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [87.8, 48.8], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.5, 30.2], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.7, 32.5], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.1, 33.7], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 40.2], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 38.7], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [106.9, 45.2], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.5, 46.9], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [118.7, 37.5], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",20d216b3-e8af-40bf-bd7c-927b917d5d53,Saved,0.005964302,Normal,Open Play,,,,Aston Villa,2647,00:35:57.289,Shot,
,,,,,,,,,,,,,,,,2.563551,,,,,,,,,,,,c1202275-35a9-4dbd-8489-b01c68a9079a,1494,,"[99.9, 40.8]",3775556,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Denise O'Sullivan,5084.0,Left Center Midfield,104,Brighton & Hove Albion WFC,965,"['5e435730-87e3-4d7b-81a0-0d3069c0eda1', 'b9842bcb-4366-4212-b640-1da8c9c2290d']",15,True,Head,"[120.0, 32.1, 0.1]",,"[{'location': [103.9, 35.7], 'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.7, 40.1], 'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.3, 43.2], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [103.4, 34.8], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.3, 37.1], 'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [98.0, 25.2], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [91.7, 14.0], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [89.4, 38.7], 'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [87.8, 30.4], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.8, 44.0], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [100.1, 41.9], 'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.3, 40.9], 'player': {'id': 46536, 'name': 'Caroline Siems'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.2, 37.1], 'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.6, 28.0], 'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 21.2], 'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.8, 10.5], 'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",16d312dd-1f50-4ee1-9c74-411a46e53beb,Off T,0.02304415,Normal,Open Play,,,,Brighton & Hove Albion WFC,965,00:39:15.113,Shot,True
,,,,,,,,,,,,,,,,0.88648,,,,,,,,,,,,cebb13f8-dc6f-44e0-9a6d-b4907028d747,1707,,"[109.3, 30.5]",3775556,45,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Stine Larsen,10102.0,Right Wing,121,Aston Villa,2647,"['8e2bf4ee-76f8-4152-a436-3af070223e67', 'db2a7657-3069-4460-ad99-f31538ee01c1']",16,,Right Foot,"[120.0, 44.4, 2.6]",,"[{'location': [104.1, 55.6], 'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [107.1, 40.2], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [110.8, 44.7], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [113.4, 34.1], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.7, 36.0], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.8, 41.2], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.3, 38.3], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.1, 49.4], 'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [93.9, 59.4], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",ff06a073-4bea-4293-a519-e12f5b81d654,Post,0.3256658,Normal,Open Play,,,,Aston Villa,2647,00:45:16.495,Shot,True
,,,,,,,,,,,,,,,,0.998791,,,,,,,,,,,,1d4bf579-b034-4ebd-9a22-6d80327a1219,1968,,"[89.1, 39.8]",3775556,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Caroline Siems,46536.0,Left Back,141,Brighton & Hove Albion WFC,965,['3f1d60cb-7625-4fa4-802e-812961eb7fa6'],21,,Right Foot,"[120.0, 41.9, 5.4]",,"[{'location': [92.5, 20.2], 'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.7, 33.4], 'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [92.6, 60.0], 'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [87.5, 52.9], 'player': {'id': 46533, 'name': 'Ramona Petzelberger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [97.1, 28.4], 'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [97.2, 37.1], 'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [89.5, 34.1], 'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [93.3, 41.6], 'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [93.2, 47.0], 'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [85.7, 38.5], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [82.6, 43.4], 'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [118.1, 39.8], 'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Off T,0.029303148,Normal,Open Play,,,,Aston Villa,2647,00:07:21.217,Shot,
