bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0729,,,,,,,,,,,,,32fca524-01f9-4f37-84ef-e0bf3699f109,80,,"[110.2, 59.1]",266357,1,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Sergio León Limones,6657.0,Right Center Forward,3,Osasuna,422,"['73fd23f2-ae75-4468-a807-f707c05adf25', '83cf352a-2e68-41f2-bcb4-d0a332e1d198']",26,Right Foot,"[110.6, 58.2]",,"[{'location': [101.9, 38.8], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.7, 54.1], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [92.9, 59.3], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 57.9], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.9, 45.0], 'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.5, 31.5], 'player': {'id': 7478, 'name': 'Alejandro Berenguer Remiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [84.2, 64.3], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [89.9, 56.3], 'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",25b44e58-4f48-4d27-9485-2e5c58b69a3e,True,,Blocked,0.009415796,Normal,Open Play,,,,Osasuna,422,00:01:26.902,Shot,
,,,,,,,,,,,,,,,,1.118249,,,,,,,,,,,,,336bb0e4-2696-46cc-8d8a-db933784e542,381,,"[113.1, 51.3]",266357,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,11,Barcelona,217,['e9af09b4-24e3-4834-a4da-e605413125d5'],36,Right Foot,"[120.0, 33.3, 0.3]",True,"[{'location': [98.7, 39.0], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.7, 39.6], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.4, 25.8], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.8, 63.5], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [114.7, 48.7], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.3, 25.8], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [109.2, 38.9], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.4, 44.0], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.3, 49.4], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [88.9, 27.3], 'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}]",def3d463-5507-4e8a-b9dc-b55219f76d19,,,Off T,0.17071356,Half Volley,Open Play,,,,Barcelona,217,00:07:36.409,Shot,
,,,,,,,,,,,,,,,,0.4785,,,,,,,,,,,,,b472afcd-d51e-4c3a-a05e-ee9529cd6dc3,515,,"[111.1, 38.1]",266357,12,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,19,Barcelona,217,['a39746e5-f723-4a04-8f8b-a7878b9aa15c'],0,Right Foot,"[120.0, 44.1, 0.9]",,"[{'location': [105.5, 41.1], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [98.9, 32.9], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [101.8, 25.0], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.9, 38.2], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.2, 23.7], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.2, 32.6], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.1, 37.7], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.3, 42.0], 'player': {'id': 7478, 'name': 'Alejandro Berenguer Remiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [111.1, 40.1], 'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.9, 37.8], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.8, 31.2], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",6fe44071-3631-4b0f-adc4-e45100086c3f,,,Post,0.12948632,Normal,Open Play,,,,Barcelona,217,00:12:00.095,Shot,
,,,,,,,,,,,,,,,,0.785283,,,,,,,,,,,,,f56ef51d-f0b0-4cbc-a7ad-8dca1c6a90c9,552,,"[115.1, 35.3]",266357,13,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Samuel Yves Umtiti,5492.0,Left Center Back,20,Barcelona,217,['162a7ef4-8894-4cbf-997d-f79ee6d5f615'],32,Head,"[120.0, 33.7, 6.3]",,"[{'location': [112.3, 28.3], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [108.8, 31.3], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.5, 38.9], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.2, 44.6], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.5, 35.4], 'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.8, 53.3], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [113.9, 31.2], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.1, 35.6], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 32.6], 'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [100.0, 35.0], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.8, 40.3], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.6, 40.3], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.9, 50.4], 'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.3, 38.0], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.2, 48.3], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [99.4, 49.5], 'player': {'id': 7478, 'name': 'Alejandro Berenguer Remiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [101.1, 50.6], 'player': {'id': 6657, 'name': 'Sergio León Limones'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}]",0dca6717-0e64-43ca-b13c-cb328e8c1337,True,,Off T,0.24308634,Normal,Open Play,,,,Barcelona,217,00:13:32.067,Shot,
,,,,,,,,,,,,,,,,0.1238,,,,,,,,,,,,,d86b7d5e-103f-4a9f-8ef7-b5da3eefd61a,585,,"[108.0, 37.8]",266357,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,24,Barcelona,217,['d8751b35-7241-4a37-b27a-9ea3641e9770'],15,Left Foot,"[111.3, 38.9, 0.1]",,"[{'location': [102.1, 30.9], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 37.1], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.6, 43.5], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.7, 44.6], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 38.8], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.4, 49.7], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",76257f28-5e15-44ce-b840-27a47ea1dcc3,,,Saved,0.36875984,Normal,Open Play,,,,Barcelona,217,00:14:15.463,Shot,
,,,,,,,,,,,,,,,,1.3705,,,,,,,,,,,,,89b91532-3bcc-46cf-8676-9ae7c275f245,588,,"[105.4, 50.3]",266357,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Alberto Suárez Díaz,5246.0,Center Forward,24,Barcelona,217,['72363c04-df7c-4bcf-ad69-d512299991e9'],17,Left Foot,"[120.0, 40.2, 6.4]",True,"[{'location': [112.6, 41.2], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.8, 45.2], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [94.2, 30.0], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.0, 38.6], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.9, 39.3], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.4, 39.0], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.8, 44.3], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.5, 41.2], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.1, 32.6], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,,,Off T,0.1330973,Volley,Open Play,,,,Barcelona,217,00:14:17.601,Shot,
,,,,,,,,,,,,,,,,0.1122,,,,,,,,,,,,,5e0a0a11-4967-4b47-bd14-aed2bb3a3cc7,1002,,"[103.2, 52.0]",266357,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Luis Alberto Suárez Díaz,5246.0,Center Forward,44,Barcelona,217,"['7396b03d-1539-49f1-a3c0-273f62143ed2', 'c8580008-fc14-45d1-892b-fd7ad8301421']",45,Right Foot,"[107.3, 48.6]",True,"[{'location': [113.7, 37.4], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [92.1, 25.7], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [104.0, 38.4], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.4, 39.0], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [108.0, 30.5], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.7, 42.5], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.4, 48.7], 'player': {'id': 7478, 'name': 'Alejandro Berenguer Remiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.3, 50.0], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [107.9, 39.8], 'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [110.2, 41.2], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.6, 30.2], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [111.0, 27.8], 'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.5, 46.5], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.5, 39.5], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.6, 35.8], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.7, 20.5], 'player': {'id': 6657, 'name': 'Sergio León Limones'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}]",67e5747f-5e6f-4293-b823-2cb5ca32b498,,,Blocked,0.0355078,Half Volley,Open Play,,,,Barcelona,217,00:23:45.393,Shot,
,,,,,,,,,,,,,,,,0.936109,,,,,,,,,,,,,3bf8eda4-abcd-469e-aa52-489416fbb1b6,1008,,"[100.3, 25.3]",266357,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Andrés Iniesta Luján,5216.0,Left Center Midfield,45,Barcelona,217,['2adb1d5d-2605-4ac2-8d0f-662f71822b89'],2,Right Foot,"[120.0, 45.1, 4.2]",,"[{'location': [108.7, 51.4], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.5, 42.9], 'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.2, 45.2], 'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [109.0, 31.3], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.0, 40.9], 'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [107.2, 14.7], 'player': {'id': 6657, 'name': 'Sergio León Limones'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [104.2, 23.8], 'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.4, 28.1], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.5, 41.6], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 31.6], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.1, 32.4], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.1, 38.5], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.9, 43.3], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.5, 44.2], 'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [108.1, 48.5], 'player': {'id': 7478, 'name': 'Alejandro Berenguer Remiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [109.4, 49.3], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",de25b093-b70b-4aab-a8cf-a9e2be368954,,,Off T,0.020868782,Normal,Open Play,,,,Barcelona,217,00:24:02.673,Shot,
,,,,,,,,,,,,,,,,0.229,,,,,,,,,,,,,7913cc61-8f26-4646-bc09-69badc2d36a3,1043,,"[110.7, 44.9]",266357,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,47,Barcelona,217,['bdb33440-457d-492e-b3ab-3726790a2551'],51,Left Foot,"[114.2, 43.8, 1.6]",,"[{'location': [101.6, 40.0], 'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.7, 30.9], 'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [110.1, 55.8], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [114.0, 43.7], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.8, 37.7], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.5, 38.9], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [109.5, 43.9], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 47.4], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 46.3], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.4, 52.7], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",f00d8066-d022-4317-ad72-e261779e477c,,,Saved,0.3886022,Lob,Open Play,,,,Barcelona,217,00:24:51.437,Shot,
,,,,,,,,,,,,,,,,0.3638,,,,,,,,,,,,,fbc6378e-3a38-4fc5-9194-2fc090bea20d,1166,,"[106.8, 41.2]",266357,28,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Arda Turan,11094.0,Left Wing,50,Barcelona,217,"['56073827-a36b-4dae-81da-3951bdbb0651', 'da3a5b3b-65c1-4b2f-b46b-882685ba46f1']",4,Left Foot,"[110.7, 38.3]",True,"[{'location': [112.3, 42.6], 'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.6, 37.8], 'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [103.3, 48.4], 'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.2, 60.1], 'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [115.5, 42.3], 'player': {'id': 24872, 'name': 'Cecilio Nauzet Pérez González'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.6, 27.4], 'player': {'id': 23991, 'name': 'Miguel Ángel De las Cuevas Barberá'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.6, 30.9], 'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.8, 38.4], 'player': {'id': 23944, 'name': 'Oier Sanjurjo Mate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.3, 41.2], 'player': {'id': 18160, 'name': 'Iván Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.4, 45.2], 'player': {'id': 24313, 'name': 'Miguel Flaño Bezunartea'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.3, 58.6], 'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.7, 45.6], 'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [108.6, 50.4], 'player': {'id': 15955, 'name': 'Goran Čaušić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.9, 53.0], 'player': {'id': 7478, 'name': 'Alejandro Berenguer Remiro'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",2131ce4f-f294-47a4-853f-84f8b74b6042,,,Wayward,0.06709438,Normal,Open Play,,,,Barcelona,217,00:28:04.251,Shot,True
