50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.856852,,,,,,,,,,,,,,b2599b75-1423-4f76-9f1b-2bf795ebc8d6,359,,"[112.0, 38.2]",3901231,8,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lacina Traoré,3553.0,Center Forward,19,AS Monaco,129,"['bcec6654-217b-4c80-a692-1a9f16bf065c', 'd9ab8247-0e20-488c-a696-661dfc4f35f9']",59,True,Head,,"[112.1, 43.7]",,"[{'location': [119.3, 40.5], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.2, 54.7], 'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.3, 42.3], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.5, 44.5], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.7, 39.3], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.7, 39.8], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 38.4], 'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.7, 47.0], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.6, 38.9], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [111.0, 39.3], 'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.8, 27.0], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",6a9ea046-1670-420a-83f2-2e66d775a456,,Wayward,,0.07429605,Normal,Open Play,,,,AS Monaco,129,00:08:59.849,Shot,True
,,,,,,,,,,,,,,,,,,0.771711,,,,,,,,,,,,,,de8fd469-4336-4798-9147-59f332527515,584,,"[113.8, 42.2]",3901231,13,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Hélder Wander Sousa Azevedo Costa,9931.0,Left Wing,25,AS Monaco,129,"['9e19033f-2b35-4ad3-9619-1a92aa81447e', 'fd96d6fb-bca2-4e8e-b48a-03b53a576b0b']",33,,Right Foot,,"[120.0, 41.6, 0.2]",True,"[{'location': [119.0, 38.4], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.3, 26.2], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [119.8, 34.1], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.1, 28.2], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [119.2, 27.6], 'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [106.1, 21.9], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.8, 36.5], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.7, 39.4], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.5, 26.2], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.8, 34.8], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.3, 35.9], 'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.9, 30.5], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.2, 26.3], 'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",797bb860-7644-447b-9172-be94cffc69f1,,Goal,,0.6703699,Normal,Open Play,,,,AS Monaco,129,00:13:33.461,Shot,True
,,,,,,,,,,,,,,,,,,0.070927,,,,,,,,,,,,,,5f84db54-9d85-4dc5-9f57-67cb48f704f7,1299,,"[92.7, 28.0]",3901231,30,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Kamil Grosicki,5667.0,Left Midfield,72,Rennes,134,"['531785aa-1054-4f52-83bc-25d1de9fde03', '7f4f44d6-8691-4cfe-9ff8-752bd926dbd8']",14,,Right Foot,,"[95.0, 29.0]",,"[{'location': [104.0, 46.9], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.7, 38.3], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.8, 45.0], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [103.6, 36.1], 'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.8, 25.2], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.8, 36.3], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.3, 28.1], 'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 39.4], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.0, 52.4], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [107.0, 35.9], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.4, 18.4], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [88.3, 42.1], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}]",6c1cb27f-8956-4876-805d-04543b81f9fc,,Blocked,,0.026070993,Normal,Open Play,,,,Rennes,134,00:30:14.544,Shot,
,,,,,,,,,,,,,,,,,,1.091916,,,,,,,,,,,,,,1cff8523-9bf8-4e7a-bf48-3bcfef2a2ba2,1501,,"[110.3, 34.9]",3901231,36,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Wallace Fortuna dos Santos,8277.0,Right Center Back,78,AS Monaco,129,"['88b55c88-4727-44f6-acb4-6a2eda2b47cf', '9b9ae72d-1f22-4778-8f4f-758cd515f697']",1,True,Head,,"[119.1, 37.0, 2.1]",,"[{'location': [108.7, 37.5], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.9, 36.2], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [109.7, 45.1], 'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [102.9, 41.7], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.7, 29.9], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [119.0, 39.6], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.5, 40.5], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.6, 25.2], 'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [113.1, 34.1], 'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.8, 42.4], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [111.2, 35.0], 'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",b42cab4a-db20-43f8-93d4-173426d37462,,Saved,,0.05487302,Normal,Open Play,,,,AS Monaco,129,00:36:01.102,Shot,True
,,,,,,,,,,,,,,,,,,0.689478,,,,,,,,,,,,,,bde67581-e10b-42c2-b12a-aed5dfef4485,1775,,"[106.7, 25.2]",3901231,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bernardo Mota Veiga de Carvalho e Silva,3193.0,Center Attacking Midfield,98,AS Monaco,129,['ec37891f-d715-4724-9db9-13c83ab1f3ac'],18,,Left Foot,,"[118.4, 35.9, 1.7]",,"[{'location': [100.2, 33.5], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.1, 36.4], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [110.5, 43.5], 'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.5, 34.4], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.5, 27.7], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.1, 19.2], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.3, 16.0], 'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.1, 36.7], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 41.8], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [108.9, 45.8], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.9, 37.1], 'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved,,0.0344882,Normal,Open Play,,,,AS Monaco,129,00:42:18.871,Shot,
,,,,,,,,,,,,,,,,,,0.065029,,,,,,,,,,,,,,1f8e073d-46a5-421c-aa7d-51d5ab0129c7,1811,,"[109.9, 53.6]",3901231,42,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kamil Grosicki,5667.0,Left Midfield,99,Rennes,134,"['3723eefe-c180-4104-aab4-70169a344584', '8ba4b24a-8037-4a39-a7c2-3f8c4e6682e9', 'bf610550-2cc3-4ac8-a4fd-d93d84556537']",50,,Right Foot,True,"[118.5, 42.5, 0.9]",True,"[{'location': [110.4, 52.3], 'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.9, 57.0], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.1, 49.4], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.8, 39.7], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.6, 35.8], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.4, 37.3], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.9, 43.2], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",d843ac69-1187-4f97-bad8-1e70358d84ef,,Saved,,0.030679105,Half Volley,Open Play,,,,Rennes,134,00:42:50.665,Shot,True
,,,,,,,,,,,,,,,,,,1.312967,,,,,,,,,,,,,,8ac8287a-72c1-4ecd-b0b6-0aab9be2a217,1871,,"[104.6, 43.6]",3901231,45,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Benjamin André,2990.0,Left Center Midfield,103,Rennes,134,['095725c8-1cb8-4b41-a08c-a8661f827bab'],25,,Head,,"[120.0, 43.6, 4.6]",,"[{'location': [107.4, 42.4], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.5, 37.9], 'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.5, 30.7], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [106.6, 41.6], 'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.6, 34.8], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.9, 35.6], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [117.9, 40.1], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.4, 51.1], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.1, 45.3], 'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [106.6, 42.8], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.3, 40.6], 'player': {'id': 3553, 'name': 'Lacina Traoré'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [107.5, 38.9], 'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.5, 38.6], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.4, 53.9], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [99.9, 45.7], 'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [102.5, 52.5], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.2, 47.9], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",b7f43fee-0a1f-44a4-bfdb-dfd313221a0d,,Off T,,0.020593526,Normal,Open Play,,,,Rennes,134,00:45:25.276,Shot,
,,,,,,,,,,,,,,,,,,0.551343,,,,,,,,,,,,,,e768e2e0-bafa-4492-a5ca-279e8bd4d9b5,1985,,"[115.1, 35.2]",3901231,46,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lacina Traoré,3553.0,Center Forward,110,AS Monaco,129,['8c91aecd-8ed7-4d04-967f-7d89053dc016'],56,,Other,,"[120.0, 34.2, 5.2]",,"[{'location': [105.8, 39.8], 'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.2, 34.9], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.6, 17.0], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.2, 34.1], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [106.5, 19.6], 'player': {'id': 4475, 'name': 'Romain Danzé'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.2, 51.7], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.2, 35.0], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.4, 13.7], 'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.8, 35.7], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",acc1ba4e-d372-43e3-8513-1ce2a3d19e32,,Off T,,0.32695112,Normal,Open Play,,,,AS Monaco,129,00:01:56.807,Shot,
,,,,,,,,,,,,,,,,,,1.136347,,,,,,,,,,,,,,7082ca3d-cb76-44d5-8ece-57782765c100,2081,,"[98.5, 22.9]",3901231,49,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kamil Grosicki,5667.0,Left Midfield,116,Rennes,134,['b4653864-2b55-4b88-861a-6556348da2ba'],13,,Right Foot,,"[120.0, 32.7, 0.2]",,"[{'location': [105.7, 15.2], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.1, 38.3], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.5, 30.3], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [102.7, 43.4], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [89.5, 20.5], 'player': {'id': 2985, 'name': 'Ludovic Baal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.9, 44.5], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.8, 30.5], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.5, 17.8], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.5, 33.6], 'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.6, 23.0], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 19.0], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",d2179572-16af-409a-ad26-f7c21a978434,,Off T,,0.023499861,Normal,Open Play,,,,Rennes,134,00:04:13.163,Shot,
,,,,,,,,,,,,,,,,,,0.330085,,,,,,,,,,,,,,c064da4a-79be-41c3-93bc-d2c04736697b,2236,,"[93.6, 28.1]",3901231,52,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Benjamin André,2990.0,Left Center Midfield,124,Rennes,134,"['17ce828a-7264-43f9-9041-fa87e30fe4c0', '922f5b05-f9d6-474f-8bcc-741775214d2c']",55,,Right Foot,,"[102.5, 32.6]",,"[{'location': [103.4, 16.1], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.5, 40.5], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [101.2, 33.9], 'player': {'id': 8672, 'name': 'Gélson da Conceição Tavares Fernandes'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.4, 25.1], 'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [118.1, 39.4], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [93.2, 40.0], 'player': {'id': 9931, 'name': 'Hélder Wander Sousa Azevedo Costa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.6, 32.2], 'player': {'id': 3955, 'name': 'Tiemoué Bakayoko'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.9, 42.7], 'player': {'id': 3374, 'name': 'Andrea Raggi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.6, 33.6], 'player': {'id': 10805, 'name': 'Ricardo Alberto Silveira de Carvalho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [97.9, 26.5], 'player': {'id': 3406, 'name': 'Jérémy Toulalan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 21.6], 'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [102.4, 29.0], 'player': {'id': 8277, 'name': 'Wallace Fortuna dos Santos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 19.4], 'player': {'id': 3247, 'name': 'Fábio Henrique Tavares'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.5, 11.3], 'player': {'id': 5727, 'name': 'Nabil Dirar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",3d3bac85-812c-4502-963c-7aa7047d7ace,,Blocked,,0.024255758,Normal,Open Play,,,,Rennes,134,00:07:55.661,Shot,
