50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,985a01aa-e43c-4b5e-9e3b-6de620b74556,31,,"[108.0, 35.0]",7523,1,,,,,,,,,,,,,,,,,1,From Free Kick,Chioma Ubogagu,5063.0,Left Wing,3,Orlando Pride,764,['7f4da92e-0cbb-4303-85fc-d72574fd3dab'],1,,Head,"[114.0, 39.0]","[{'location': [102.0, 37.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [105.0, 42.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 52.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 47.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.0, 39.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [110.0, 33.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': False}, {'location': [99.0, 36.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 45.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 40.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 43.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 52.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",672172e7-4dac-4d79-b461-dc8be0b0cfc9,Wayward,0.10303766,Normal,Open Play,,,,Orlando Pride,764,00:01:01.310,Shot,
,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,e75eb0d7-dced-4a2e-a429-432dfcecd205,135,,"[114.0, 37.0]",7523,3,,,,,,,,,,,,,,,,,1,Regular Play,Beverly Yanez,5006.0,Center Midfield,15,OL Reign,760,"['6b704440-508f-4a1d-bbed-505d0661dfd5', 'b7b833b6-4570-44b6-aaa2-0498019c278f']",34,True,Head,"[120.0, 46.0, 0.3]","[{'location': [110.0, 40.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 20.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 23.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 28.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 29.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 27.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 33.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 50.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 22.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",21ff9295-8247-42ab-989d-65de129971a9,Off T,0.2698062,Normal,Open Play,,,,OL Reign,760,00:03:34.510,Shot,True
,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,f37a4085-2cc5-423f-8ddb-60409cacfb0b,358,,"[90.0, 28.0]",7523,8,,,,,,,,,,,,,,,,,1,From Free Kick,Jessica Fishlock,5016.0,Right Center Midfield,26,OL Reign,760,['aefc600b-fd6f-4a42-9ee0-e395613bbc3b'],45,,Right Foot,"[120.0, 34.4, 0.9]","[{'location': [118.0, 39.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 54.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [98.0, 51.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [100.0, 55.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [102.0, 49.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.0, 41.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 35.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.0, 45.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 44.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [103.0, 32.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [90.0, 50.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [100.0, 33.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.0, 27.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 50.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 22.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.0, 25.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 29.0], 'player': {'id': 5068, 'name': 'Kristen Edmonds'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,Off T,0.028911203,Normal,Free Kick,,,,OL Reign,760,00:08:45.150,Shot,
,,,,,,,,,,,,,,,1.667,,,,,,,,,,,,e60b1040-8123-456b-92cc-d8ee0de70149,612,,"[108.0, 36.0]",7523,13,,,,,,,,,,,,,,,,,1,Regular Play,Jodie Taylor,5002.0,Center Forward,38,OL Reign,760,['e4fe6b66-9d72-45f2-bfdd-e14b1cc041ad'],22,,Head,"[119.0, 38.5, 1.8]","[{'location': [119.0, 40.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.0, 54.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 59.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.0, 55.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [95.0, 45.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 54.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [92.0, 41.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [108.0, 42.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 36.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 27.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",3433c57e-0b46-4919-8f54-22c7309e9588,Saved,0.15854976,Normal,Open Play,,,,OL Reign,760,00:13:22.883,Shot,
,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,48ea685c-db4a-4c2e-a57d-8c55147bbef4,665,,"[91.0, 39.0]",7523,14,,,,,,,,,,,,,,,,,1,Regular Play,Rumi Utsugi,4998.0,Left Center Midfield,39,OL Reign,760,"['2de96a57-f82f-4fb8-a005-752cddd4f15e', '93e04664-a5a8-4786-b839-a3678786ab8d']",21,,Right Foot,"[92.0, 38.0]","[{'location': [119.0, 39.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 70.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [98.0, 47.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 55.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [94.0, 53.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.0, 52.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 51.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 59.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.0, 41.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 42.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 38.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 36.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 26.0], 'player': {'id': 5073, 'name': 'Kiersten Dallstream'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [102.0, 33.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,Blocked,0.026721712,Normal,Open Play,,,,OL Reign,760,00:14:21.850,Shot,
,,,,,,,,,,,,,,,1.387,,,,,,,,,,,,31b9c1db-633a-426a-8ec7-0add7deae8a4,671,,"[110.0, 37.0]",7523,14,,,,,,,,,,,,,,,,,1,Regular Play,Jodie Taylor,5002.0,Center Forward,39,OL Reign,760,"['5172342e-f2fd-41b8-bd34-99e59fb873a2', '69d759fb-572e-429f-9a1b-d57e250314cb']",24,,Right Foot,"[114.0, 44.0]","[{'location': [115.0, 40.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [89.0, 66.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 51.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 51.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.0, 46.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [98.0, 45.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 48.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [102.0, 40.0], 'player': {'id': 4998, 'name': 'Rumi Utsugi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 31.0], 'player': {'id': 5073, 'name': 'Kiersten Dallstream'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 36.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 38.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.0, 42.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 29.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,Wayward,0.27526912,Normal,Open Play,,,,OL Reign,760,00:14:24.843,Shot,True
,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,fe617411-73e8-4504-b3ff-04087585333e,692,,"[99.0, 44.0]",7523,14,,,,,,,,,,,,,,,,,1,From Counter,Sydney Rae Leroux,5067.0,Center Forward,40,Orlando Pride,764,"['0b568212-0483-4e86-84bc-dacda17f552d', '8e8d5787-ac04-4ced-9f1f-2e37080f1582', 'b36dcbb3-abec-45c8-b90f-4ea8ef6188f2']",45,,Right Foot,"[102.0, 44.0]","[{'location': [102.0, 42.0], 'player': {'id': 5065, 'name': 'Lauren Barnes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 36.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.0, 31.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.0, 24.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.0, 52.0], 'player': {'id': 5017, 'name': 'Christen Westphal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5066, 'name': 'Lydia Grace Yilkari Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",a34df86e-e2e9-4142-9835-371d95ecba85,Blocked,0.10892168,Normal,Open Play,,,,Orlando Pride,764,00:14:45.110,Shot,True
,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,1ff265e7-013a-441f-938c-8e978ffe7073,819,,"[111.0, 53.0]",7523,17,,,,,,,,,,,,,,,,,1,From Throw In,Nahomi Kawasumi,4994.0,Right Wing,50,OL Reign,760,['e403c66a-199f-4580-97b3-363836f28829'],44,,Right Foot,"[118.0, 40.9, 2.3]","[{'location': [119.0, 42.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 52.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 48.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.0, 46.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [90.0, 46.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [84.0, 57.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [81.0, 59.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [113.0, 37.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 35.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.0, 36.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 33.0], 'player': {'id': 5073, 'name': 'Kiersten Dallstream'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",41bae636-1dca-4d9d-8e16-29e5af289491,Saved,0.105870195,Normal,Open Play,,,,OL Reign,760,00:17:44.390,Shot,
,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,56de3663-69e2-465b-857e-7f544505bb55,823,,"[115.0, 33.0]",7523,17,,,,,,,,,,,,,,,,,1,From Throw In,Kiersten Dallstream,5073.0,Left Wing,50,OL Reign,760,"['2695857a-c949-431b-8a27-5157ecf1baa6', 'e3f99585-4f37-48d4-a97e-0b27203838d0']",46,,Right Foot,"[116.0, 34.0]","[{'location': [118.0, 40.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.0, 51.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 51.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 40.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [100.0, 48.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 49.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 46.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 49.0], 'player': {'id': 4994, 'name': 'Nahomi Kawasumi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [108.0, 39.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 34.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 34.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.0, 36.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,Blocked,0.11210429,Normal,Open Play,,,,OL Reign,760,00:17:46.310,Shot,
,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,305dd6ff-4a01-4122-96dd-5b739ea8c4d8,922,,"[100.0, 58.0]",7523,20,,,,,,,,,,,,,,,,,1,From Throw In,Jessica Fishlock,5016.0,Right Center Midfield,54,OL Reign,760,['119fea81-fd25-4a9e-946d-6fb536701f5f'],26,,Right Foot,"[118.0, 44.0, 1.9]","[{'location': [103.0, 55.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [102.0, 69.0], 'player': {'id': 5069, 'name': 'Theresa Nielsen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [90.0, 66.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [85.0, 66.0], 'player': {'id': 5008, 'name': 'Kristen McNabb'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [100.0, 50.0], 'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 59.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 53.0], 'player': {'id': 5006, 'name': 'Beverly Yanez'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'teammate': True}, {'location': [110.0, 52.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.0, 45.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 5002, 'name': 'Jodie Taylor'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.0, 41.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 5073, 'name': 'Kiersten Dallstream'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 5061, 'name': 'Haley Judith Kopmeyer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.0, 71.0], 'player': {'id': 5063, 'name': 'Chioma Ubogagu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",,Saved,0.018029256,Normal,Open Play,,,,OL Reign,760,00:20:26.710,Shot,
