bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,1.213,,,,,,,,,,,,b242d3d1-6adc-4522-ba3c-21c43b7f476f,443,,"[86.0, 43.0]",8651,11,,,,,,,,,,,,,,,,,,,,1,Regular Play,Viktor Claesson,5613.0,Right Wing,29,Sweden,790,['3cadcc8a-0d52-4c90-a17f-1f7fb0811a59'],54,,Right Foot,"[120.0, 35.2, 3.3]",,"[{'location': [100.0, 38.0], 'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [118.0, 40.0], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [80.0, 11.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [75.0, 41.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [78.0, 25.0], 'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [75.0, 52.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [80.0, 21.0], 'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [86.0, 36.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 20.0], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [100.0, 29.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.0, 45.0], 'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 40.0], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [94.0, 50.0], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [89.0, 41.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}]",,,Off T,0.018292004,Normal,Open Play,,,,Sweden,790,00:11:54.230,Shot,
,,,,,,,,,,,1.013,,,,,,,,,,,,a2f3e3fd-34e5-417d-85f9-fd1f0418b0b1,724,,"[97.0, 46.0]",8651,18,,,,,,,,,,,,,,,,,,,,1,From Counter,Harry Kane,10955.0,Left Center Forward,42,England,768,['f9949bf3-ac8a-4cb8-a473-e646e93f73f6'],36,,Right Foot,"[120.0, 35.4, 0.1]",True,"[{'location': [120.0, 41.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.0, 62.0], 'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 47.0], 'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [90.0, 22.0], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [99.0, 35.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [84.0, 37.0], 'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [101.0, 60.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 49.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 48.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 40.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 33.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",,,Off T,0.057993297,Normal,Open Play,,,,England,768,00:18:36.510,Shot,
,,,,,,,,,,,0.933,,,,,,,,,,,,65497fc3-226d-412d-bc45-1ad84d6464ac,1241,,"[110.0, 44.0]",8651,29,,,,,,,,,,,,,,,,,,,,1,From Corner,Harry Maguire,3336.0,Left Center Back,62,England,768,"['0e800818-a29d-4214-a090-ee2973c1a8fe', '4986cab8-a726-45f0-bcec-b689eb3b9eb2']",47,True,Head,"[120.0, 37.6, 0.1]",,"[{'location': [112.0, 45.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.0, 49.0], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [109.0, 39.0], 'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [115.0, 34.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [114.0, 40.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [102.0, 30.0], 'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [111.0, 48.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 46.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.0, 47.0], 'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 35.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 38.0], 'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [114.0, 44.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 42.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}]",b4cf3efa-cdfd-4904-a3e5-1ad09d364371,,Goal,0.061832782,Normal,Open Play,,,,England,768,00:29:47.750,Shot,True
,,,,,,,,,,,1.373,,,,,,,,,,,,dc303803-f9ff-4734-9716-6aa14e9911ef,1382,,"[94.0, 58.0]",8651,34,,,,,,,,,,,,,,,,,,,,1,From Throw In,Jordan Brian Henderson,3532.0,Center Defensive Midfield,69,England,768,['c49a7f1b-bc81-4b60-8d09-1c55f8734ae8'],28,,Right Foot,"[120.0, 41.5, 6.5]",,"[{'location': [96.0, 47.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [97.0, 68.0], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [112.0, 49.0], 'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [96.0, 35.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [78.0, 25.0], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [104.0, 57.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 56.0], 'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [100.0, 51.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [85.0, 24.0], 'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 34.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 43.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 50.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.0, 61.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",6f8475d2-640c-41bf-b77b-e934f2de2685,,Off T,0.008420511,Half Volley,Open Play,,,,England,768,00:34:28.670,Shot,
,,,,,,,,,,,0.32,,,,,,,,,,,,5c2e31c5-c8d6-42b3-8d88-4aee97f264f3,1760,,"[111.0, 51.0]",8651,44,,,,,,,,,,,,,,,,,,,,1,Regular Play,Raheem Sterling,3233.0,Right Center Forward,87,England,768,"['1eec3f51-057b-43a8-a1b7-c5f8e8305d67', '90301ef0-d353-4e84-83a1-edf6f73d4437', 'c6dd0c22-f95d-45cb-825a-1bf3d2dbbc27']",31,,Right Foot,"[112.0, 51.0]",,"[{'location': [110.0, 42.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [120.0, 42.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 32.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [106.0, 36.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 51.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.0, 38.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 46.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.0, 51.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Blocked,0.11924116,Normal,Open Play,,,,England,768,00:44:31.710,Shot,True
,,,,,,,,,,,0.6,,,,,,,,,,,,8e53bfee-63f1-4631-9a59-9f89d4a06058,1867,,"[113.0, 48.0]",8651,46,,,,,,,,,,,,,,,,,,,,2,From Throw In,Marcus Berg,11098.0,Right Center Forward,92,Sweden,790,"['6ab6fc44-b5d1-49c1-8212-ffef52ab414c', '6cf844cd-43b3-42fd-8e49-17deab42adfb']",34,True,Head,"[120.0, 43.2, 0.6]",,"[{'location': [120.0, 42.0], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 34.0], 'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [107.0, 31.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 25.0], 'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 19.0], 'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.0, 21.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 29.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 37.0], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}]",4745f205-cc53-4133-bc84-d0d252aadea6,,Saved,0.1108226,Normal,Open Play,,,,Sweden,790,00:01:34.307,Shot,True
,,,,,,,,,,,1.413,,,,,,,,,,,,bb62b5a9-3c46-4ac0-9dcf-edd3b8b5b935,2099,,"[97.0, 13.0]",8651,51,,,,,,,,,,,,,,,,,,,,2,Regular Play,Emil Peter Forsberg,5625.0,Left Wing,103,Sweden,790,['97d8d823-21ad-409f-8dea-3daf0507a7bb'],25,,Right Foot,"[120.0, 43.2, 4.0]",,"[{'location': [109.0, 37.0], 'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 41.0], 'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [108.0, 47.0], 'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.0, 4.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [120.0, 41.0], 'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [112.0, 42.0], 'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 32.0], 'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 38.0], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [101.0, 50.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [103.0, 32.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 16.0], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [99.0, 18.0], 'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}]",55c9f842-b070-4fde-82a6-6ac1b62952d3,,Off T,0.006110725,Normal,Open Play,,,,Sweden,790,00:06:25.667,Shot,
,,,,,,,,,,,0.12,,,,,,,,,,,,907f3a2c-6823-47f9-ae01-8e776db66f3a,2130,,"[115.0, 32.0]",8651,53,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Raheem Sterling,3233.0,Right Center Forward,107,England,768,"['2337e52d-e8cc-4d47-9a4a-1cb9788e5b00', '657ed30f-e4a6-45cd-9df0-0a7bc36a0546', 'f10e2846-0035-4f3e-a09a-c39119fcc86c']",31,,Right Foot,"[116.0, 33.0]",True,"[{'location': [105.0, 36.0], 'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.0, 42.0], 'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [111.0, 40.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [117.0, 54.0], 'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [109.0, 37.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [103.0, 35.0], 'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [97.0, 54.0], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [117.0, 37.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 46.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [115.0, 54.0], 'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f7836479-52dc-49e4-be61-203268a7e90e,,Blocked,0.08364045,Overhead Kick,Open Play,,,,England,768,00:08:31.147,Shot,True
,,,,,,,,,,,0.46,,,,,,,,,,,,1564d07a-a7c3-4a42-bfa0-6c35c4975a71,2244,,"[95.0, 23.0]",8651,56,,,,,,,,,,,,,,,,,,,,2,Regular Play,Jesse Lingard,3293.0,Right Attacking Midfield,112,England,768,"['6cbb8a9b-5718-48e8-ad7f-1d81c2267e5b', '8f260edd-6f72-4198-b44c-e167fa11ae8f']",5,,Right Foot,"[97.0, 20.0]",,"[{'location': [82.0, 21.0], 'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [86.0, 20.0], 'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [93.0, 25.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [95.0, 36.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [102.0, 27.0], 'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [96.0, 57.0], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [82.0, 17.0], 'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [90.0, 17.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.0, 26.0], 'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.0, 43.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.0, 21.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 29.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,,Blocked,0.014800565,Normal,Open Play,,,,England,768,00:11:05.147,Shot,
,,,,,,,,,,,0.107,,,,,,,,,,,,666bed93-3a14-4ee3-b62d-ffccffa05ba6,2287,,"[98.0, 48.0]",8651,57,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jesse Lingard,3293.0,Right Attacking Midfield,114,England,768,"['06603667-e9a6-4488-968e-d04c117dd82b', '5cdb85eb-9273-410a-9e75-4a580239e9ea', 'e67151f8-0425-4f60-83e7-be73abe05e45']",52,,Right Foot,"[101.0, 46.0]",,"[{'location': [107.0, 37.0], 'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.0, 33.0], 'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [107.0, 32.0], 'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [108.0, 63.0], 'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [105.0, 34.0], 'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [104.0, 30.0], 'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 52.0], 'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [98.0, 35.0], 'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.0, 44.0], 'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 39.0], 'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.0, 37.0], 'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 47.0], 'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",166ae175-81cf-414b-b31b-487c87d1157a,,Blocked,0.040688924,Normal,Open Play,,,,England,768,00:12:52.240,Shot,True
