50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.487493,,,,,,,,,,,,f06f2384-bd6b-426e-9fb2-285f2b9d6177,429,,"[109.4, 22.7]",3857290,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bryan Mbeumo,4935.0,Right Wing,19,Cameroon,2722,['28a15af4-1547-47c5-b8df-c0c0635039b9'],36,,Left Foot,"[118.7, 35.9, 1.5]",True,"[{'location': [118.7, 35.8], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.1, 37.4], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.6, 23.4], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 31.8], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.3, 25.6], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 40.8], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [96.7, 26.3], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",541d06fe-dafe-46c1-960e-4715f214a611,,Saved,0.016072592,Normal,Open Play,,,,Cameroon,2722,00:09:36.197,Shot,
,,,,,,,,,,,,,,,0.794515,,,,,,,,,,,,ae44daa7-14aa-41b9-97f1-73c54adc025f,432,,"[108.7, 32.1]",3857290,9,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Karl Brillant Toko Ekambi,3551.0,Left Wing,19,Cameroon,2722,['853a99f2-65f6-4fdf-9b74-bf789e250c2c'],38,,Right Foot,"[120.0, 40.2, 4.2]",True,"[{'location': [106.1, 32.1], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.8, 35.0], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 41.3], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.8, 28.8], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.1, 37.2], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [112.6, 42.9], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Off T,0.15900026,Half Volley,Open Play,,,,Cameroon,2722,00:09:38.550,Shot,
,,,,,,,,,,,,,,,1.130503,,,,,,,,,,,,8fe2a5f8-2fad-4906-9db3-4a23452f1a23,521,,"[88.1, 28.2]",3857290,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,22,Switzerland,773,['e9c64dad-57fc-4220-8e01-08c0d90edb10'],18,,Left Foot,"[120.0, 46.4, 4.9]",,"[{'location': [100.5, 65.0], 'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [71.3, 60.1], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.4, 40.4], 'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.1, 50.9], 'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.6, 43.7], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.2, 31.8], 'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [91.9, 41.5], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [96.7, 27.0], 'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [90.9, 31.7], 'player': {'id': 8591, 'name': 'Samuel Yves Oum Gwet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [88.5, 37.8], 'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [73.8, 36.7], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [96.5, 21.4], 'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [71.2, 58.7], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [85.2, 39.5], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [93.6, 41.1], 'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.8, 51.4], 'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",7b786edb-4622-47d3-8295-59cfb50f54df,,Off T,0.012105021,Normal,Open Play,,,,Switzerland,773,00:11:18.640,Shot,
,,,,,,,,,,,,,,,1.029769,,,,,,,,,,,,1d924123-0dea-4f47-846d-dc60efe4496d,1128,,"[98.8, 59.8]",3857290,25,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ngoran Suiru Fai Collins,16346.0,Right Back,45,Cameroon,2722,['b827768e-0ca1-4e1d-8975-49a93f5a78c8'],42,,Right Foot,"[120.0, 45.7, 4.7]",,"[{'location': [118.0, 42.9], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [97.8, 57.0], 'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [91.4, 42.9], 'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.1, 60.4], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.9, 46.4], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [100.8, 38.0], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.6, 49.5], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 42.2], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 35.3], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.7, 24.1], 'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.4, 75.7], 'player': {'id': 4935, 'name': 'Bryan Mbeumo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.4, 53.5], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.4, 34.8], 'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [92.9, 10.3], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.6, 40.5], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",ee55d878-c788-4a15-a607-801779d2acdc,,Off T,0.009452554,Normal,Open Play,,,,Cameroon,2722,00:25:42.006,Shot,
,,,,,,,,,,,,,,,0.832042,,,,,,,,,,,,c1eaec76-1020-4894-8acd-4e3ff266a992,1267,,"[110.6, 53.8]",3857290,29,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martin Hongla Yma II,30016.0,Left Center Midfield,53,Cameroon,2722,"['1b0302a5-6707-45a9-a568-f9362c21a592', 'f2f3fe54-6fe1-47cb-9b4c-c9943a88215c']",7,,Right Foot,"[117.3, 43.3, 0.5]",,"[{'location': [104.8, 59.4], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.4, 57.0], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 44.6], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [110.5, 51.9], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.1, 37.0], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.2, 43.0], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.3, 34.0], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.8, 67.8], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [94.0, 25.8], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",afcce678-979f-4eb5-8948-a139c9a65596,True,Saved,0.08237888,Normal,Open Play,,,,Cameroon,2722,00:29:07.239,Shot,True
,,,,,,,,,,,,,,,0.860243,,,,,,,,,,,,92b60aea-0f10-4afe-935c-da6193405418,1667,,"[113.3, 38.7]",3857290,39,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Nico Elvedi,8814.0,Left Center Back,67,Switzerland,773,"['1dc87979-bd54-49e0-9a8c-03079b2b5319', 'a51affec-0ab6-4b22-ac64-142773716856']",41,True,Head,"[120.0, 33.9, 0.4]",,"[{'location': [119.3, 36.6], 'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.5, 36.5], 'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.3, 39.9], 'player': {'id': 8591, 'name': 'Samuel Yves Oum Gwet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.2, 33.6], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.4, 30.7], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.9, 32.0], 'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 44.2], 'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.3, 41.7], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.1, 38.9], 'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.2, 33.9], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [115.1, 31.6], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [114.5, 43.3], 'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.9, 1.7], 'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [113.3, 45.0], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.4, 47.9], 'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",f9506176-3d24-4fc5-bdb7-481829bebe84,,Off T,0.19001445,Normal,Open Play,,,,Switzerland,773,00:39:41.249,Shot,True
,,,,,,,,,,,,,,,0.147891,,,,,,,,,,,,4663bfd8-70b6-4d09-9099-8bc3e5d7e2e5,1698,,"[105.2, 53.5]",3857290,40,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Jean-Eric Maxim Choupo-Moting,3499.0,Center Forward,68,Cameroon,2722,"['90adfcaa-3027-4d2e-b504-f727a021ee2e', 'b40b3f04-d7a2-43c0-884f-80ae9e00cb04']",49,,Right Foot,"[107.7, 51.6]",,"[{'location': [117.6, 43.8], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.7, 51.8], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 42.9], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 57.3], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.8, 51.5], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.3, 43.1], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.2, 38.6], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.1, 50.8], 'player': {'id': 4935, 'name': 'Bryan Mbeumo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [91.1, 30.4], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [105.8, 67.4], 'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.0, 34.0], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.4, 21.1], 'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",,,Blocked,0.041722767,Normal,Open Play,,,,Cameroon,2722,00:40:49.360,Shot,
,,,,,,,,,,,,,,,0.892749,,,,,,,,,,,,43d5ebc7-12d0-4862-8bd6-30828e21ed19,1895,,"[114.7, 38.7]",3857290,45,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Manuel Obafemi Akanji,5549.0,Right Center Back,77,Switzerland,773,['d2ade066-041d-4cee-bd11-a87d2634ffbd'],50,,Head,"[120.0, 46.0, 0.6]",,"[{'location': [117.1, 38.3], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [116.0, 40.1], 'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.9, 37.4], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [119.4, 36.9], 'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.6, 33.5], 'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.8, 31.2], 'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.4, 31.5], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.1, 47.6], 'player': {'id': 8591, 'name': 'Samuel Yves Oum Gwet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.2, 40.2], 'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.9, 39.3], 'player': {'id': 5545, 'name': 'Breel-Donald Embolo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.6, 38.4], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [116.0, 29.3], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [119.2, 1.3], 'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.6, 51.8], 'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [114.5, 43.2], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",0cb89d8d-2cf3-4063-a2c0-c3456a4d0532,,Off T,0.15555824,Normal,Open Play,,,,Switzerland,773,00:45:50.032,Shot,
,,,,,,,,,,,,,,,0.327412,,,,,,,,,,,,289a2e06-0846-4e2e-bbbd-b25663eac17b,2016,,"[111.9, 39.5]",3857290,47,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Breel-Donald Embolo,5545.0,Center Forward,83,Switzerland,773,"['2e08e27b-000c-4151-a376-4235f9d42e04', 'fc3a878a-65ec-48c4-8b4b-26565c459e4f']",33,,Right Foot,"[120.0, 41.5, 1.0]",True,"[{'location': [107.7, 57.1], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.4, 59.2], 'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.4, 29.5], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.2, 41.2], 'player': {'id': 8591, 'name': 'Samuel Yves Oum Gwet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [113.8, 43.4], 'player': {'id': 7472, 'name': ""Nicolas Alexis Julio N'Koulou Ndoubena""}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 38.1], 'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.8, 31.7], 'player': {'id': 16346, 'name': 'Ngoran Suiru Fai Collins'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.9, 41.8], 'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.8, 64.3], 'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.3, 36.0], 'player': {'id': 30401, 'name': 'Ruben Vargas'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [106.0, 39.8], 'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.2, 32.3], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",d0602f56-89e8-48fa-a794-ce7366c189fd,,Goal,0.55189455,Normal,Open Play,,,,Switzerland,773,00:02:33.099,Shot,True
,,,,,,,,,,,,,,,0.034098,,,,,,,,,,,,2e0856e5-b81c-4452-8fcd-f737f49494e0,2047,,"[116.1, 35.1]",3857290,49,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Nicolas Alexis Julio N'Koulou Ndoubena,7472.0,Left Center Back,85,Cameroon,2722,['7cfca735-5c3b-4d39-8463-b125d7c1759c'],37,,Head,"[116.5, 35.8, 1.9]",,"[{'location': [114.9, 44.0], 'player': {'id': 6983, 'name': 'Remo Freuler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.3, 38.8], 'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.5, 37.2], 'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.6, 38.7], 'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [118.7, 28.2], 'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.5, 31.6], 'player': {'id': 16026, 'name': 'Djibril Sow'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [96.8, 52.3], 'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [116.7, 35.9], 'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.6, 41.7], 'player': {'id': 30016, 'name': 'Martin Hongla Yma II'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.4, 37.9], 'player': {'id': 3499, 'name': 'Jean-Eric Maxim Choupo-Moting'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.4, 32.5], 'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [100.3, 39.4], 'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [120.0, 28.7], 'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",a5c6d41f-81f5-40db-b336-b0535319022a,,Saved,0.24569963,Normal,Open Play,,,,Cameroon,2722,00:04:37.707,Shot,
