50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.16245,,,,,,,,,,,,,,,d59af9af-670f-4f4d-87ef-f21226255b00,315,,"[111.8, 48.1]",3890487,8,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alfreð Finnbogason,5514.0,Center Forward,14,Augsburg,172,"['110d0e35-eee5-4550-83f5-ea112a163534', '8bfad3bf-7615-4708-8cde-b2e43b7f55f5', 'c3b6958a-0620-4c95-a0cc-7e1a01713334']",37,,Head,,"[112.5, 47.6]",,"[{'location': [119.1, 43.3], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.8, 59.5], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [94.5, 30.5], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.3, 37.5], 'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.9, 65.7], 'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.8, 42.0], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.1, 47.2], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.1, 38.3], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [112.1, 79.2], 'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.8, 44.3], 'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",1b4017bc-cd22-4db1-bcd8-0c1de8ebc1bf,Blocked,,0.05301439,Normal,Open Play,,,,Augsburg,172,00:08:37.503,Shot,True
,,,,,,,,,,,,,,,,,,,,0.114135,,,,,,,,,,,,,,,8c3e43e8-eef1-4d94-8202-22c6d8f6487d,320,,"[114.4, 49.7]",3890487,8,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alfreð Finnbogason,5514.0,Center Forward,14,Augsburg,172,"['202d8b77-b8b1-42b2-9115-f0bb50c0081a', 'ff510043-b6ce-486f-813a-c31058af363a']",38,,Right Foot,,"[115.0, 48.9]",True,"[{'location': [112.2, 41.4], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.5, 43.5], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.1, 63.1], 'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.6, 28.8], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [112.2, 43.5], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [115.4, 48.2], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.7, 40.7], 'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 45.3], 'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,Blocked,,0.057041313,Half Volley,Open Play,,,,Augsburg,172,00:08:38.628,Shot,
,,,,,,,,,,,,,,,,,,,,1.112141,,,,,,,,,,,,,,,3705ec42-a3ea-4825-88bd-d20a63a3846a,331,,"[97.6, 61.7]",3890487,9,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Daniel Baier,8317.0,Left Defensive Midfield,15,Augsburg,172,['a15ff211-2a0e-48da-9e99-09282f9abfd5'],15,,Right Foot,,"[120.0, 46.2, 4.3]",True,"[{'location': [118.8, 43.0], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 57.0], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.4, 49.0], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.1, 46.2], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.6, 41.5], 'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.7, 33.7], 'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.8, 36.7], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.4, 50.6], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [90.0, 57.0], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [87.5, 34.6], 'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [97.3, 41.8], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [102.5, 51.0], 'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 42.3], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.0, 39.2], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [101.5, 30.6], 'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.8, 58.6], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [91.9, 44.7], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [89.9, 34.5], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",ee2698a5-5e72-42ad-808d-6a5ef932bc61,Off T,,0.007387162,Half Volley,Open Play,,,,Augsburg,172,00:09:15.708,Shot,
,,,,,,,,,,,,,,,,,,,,0.671963,,,,,,,,,,,,,,,cd6d9597-0a8a-4ab1-b727-e6b509f0cd8e,424,,"[106.6, 55.6]",3890487,11,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Florian Jungwirth,12383.0,Right Back,22,Darmstadt 98,872,"['360955c8-9284-4d2a-ad33-b1c6b0d6953b', '5dd1f85c-b8d3-449c-aa6e-5b57546a736d']",43,,Right Foot,,"[118.2, 41.9, 0.4]",,"[{'location': [109.4, 37.8], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.6, 33.2], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.1, 40.1], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.8, 47.4], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [104.6, 52.8], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.1, 52.2], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.3, 59.4], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.2, 29.7], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [106.0, 51.9], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.8, 43.0], 'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.9, 57.5], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,Saved,,0.03365149,Normal,Open Play,,,,Darmstadt 98,872,00:11:43.034,Shot,True
,,,,,,,,,,,,,,,,,,,,0.448701,,,,,,,,,,,,,,,de235cda-57e0-4a1b-b8d4-06e43fe327c5,427,,"[113.6, 38.2]",3890487,11,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mario Vrančić,13675.0,Center Attacking Midfield,22,Darmstadt 98,872,['f7cac0f5-a116-4cb0-8460-4922e83ce5ed'],44,,Left Foot,,"[120.0, 38.1, 0.2]",True,"[{'location': [107.1, 54.3], 'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [108.4, 48.0], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.5, 30.0], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [116.0, 41.3], 'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [108.3, 54.7], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [109.9, 51.0], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.1, 50.7], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.7, 39.7], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.1, 46.2], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.3, 59.1], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [109.7, 35.7], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.5, 66.7], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",,Goal,,0.58379626,Half Volley,Open Play,,,,Darmstadt 98,872,00:11:44.465,Shot,
,,,,,,,,,,,,,,,,,,,,1.368728,,,,,,,,,,,,,,,adec947d-f71d-4fda-a3e8-1f2b3b18f874,750,,"[103.4, 32.7]",3890487,21,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sandro Wagner,9723.0,Center Forward,41,Darmstadt 98,872,"['cc22c186-ce82-45d7-8f77-c282a14a7151', 'ff5bc727-6cdf-4987-9afd-c4156e090a97']",16,True,Head,,"[118.8, 34.9, 0.5]",,"[{'location': [105.2, 37.7], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.5, 40.7], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [96.2, 18.9], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [89.6, 32.3], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [83.2, 40.2], 'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.6, 37.6], 'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 39.0], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.7, 43.1], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.2, 32.9], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.4, 33.4], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.7, 24.3], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.3, 38.1], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [85.8, 52.8], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",35876357-3aa5-49da-b76e-3210f8dc5aaf,Saved Off Target,True,0.015156181,Normal,Open Play,,,,Darmstadt 98,872,00:21:16.506,Shot,True
,,,,,,,,,,,,,,,,,,,,0.129901,,,,,,,,,,,,,,,779a3512-d26e-4b2d-9633-95480372a36d,882,,"[107.0, 53.4]",3890487,26,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marcel Heller,9401.0,Right Midfield,50,Darmstadt 98,872,"['1e452c70-0183-44b6-8cb6-b25a262b6142', '75fb825c-b1d9-4a59-9777-ff2051a8b10e', 'c90ec865-f3f0-4f4c-a345-afb19aa86410']",17,,Right Foot,True,"[118.5, 42.8, 1.9]",True,"[{'location': [104.1, 46.3], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.7, 36.7], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 31.8], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.6, 55.8], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [103.1, 36.7], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.5, 45.8], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [110.0, 39.7], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [110.1, 32.8], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [105.7, 37.8], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.9, 42.8], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 51.3], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.6, 43.5], 'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",1c98057a-f18a-49f0-8f27-33adcc45e58e,Saved,,0.055131722,Normal,Open Play,,,,Darmstadt 98,872,00:26:17.079,Shot,True
,,,,,,,,,,,,,,,,,,,,1.196347,,,,,,,,,,,,,,,3c04884e-bfd1-49da-8eec-d966c8c1b48f,1012,,"[93.3, 23.9]",3890487,29,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tobias Kempe,9219.0,Left Midfield,58,Darmstadt 98,872,['39047114-bd81-4bac-ac1d-769686bfec03'],37,,Right Foot,,"[119.0, 41.2, 0.6]",,"[{'location': [117.8, 38.4], 'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.6, 54.7], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [106.5, 46.4], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.1, 48.7], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [104.6, 28.8], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [102.8, 25.5], 'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.1, 31.9], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [97.3, 37.3], 'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [98.2, 26.9], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [103.9, 25.6], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 43.7], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.2, 40.3], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 37.2], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [98.2, 23.2], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",5b176bd5-0a66-4fea-905f-bebb17ccb40f,Saved,,0.012225418,Normal,Open Play,,,,Darmstadt 98,872,00:29:37.641,Shot,
,,,,,,,,,,,,,,,,,,,,1.215735,,,,,,,,,,,,,,,68257aad-d72a-4d53-b7c8-dd7c685a6979,1052,,"[81.1, 43.0]",3890487,30,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dominik Kohr,8207.0,Right Defensive Midfield,62,Augsburg,172,['9437e8eb-8baf-46e5-8970-205a166c06a8'],15,,Right Foot,,"[120.0, 40.0, 4.0]",,"[{'location': [78.3, 52.1], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.3, 39.9], 'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.3, 36.1], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.3, 41.6], 'player': {'id': 35033, 'name': 'Slobodan Rajković'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.5, 48.5], 'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [91.4, 31.1], 'player': {'id': 12383, 'name': 'Florian Jungwirth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.8, 37.9], 'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.0, 17.7], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [72.1, 17.7], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [89.3, 53.3], 'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [80.2, 27.1], 'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [86.1, 31.8], 'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.6, 39.0], 'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [76.5, 35.8], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [73.7, 26.6], 'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",187a6e13-c63e-473a-80a8-98cf6bcb5692,Off T,,0.00613194,Normal,Open Play,,,,Augsburg,172,00:30:15.253,Shot,
,,,,,,,,,,,,,,,,,,,,1.788784,,,,,,,,,,,,,,,5c32fa23-7fc1-45e8-93b3-a5f1de9998ff,1177,,"[88.6, 27.6]",3890487,33,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sandro Wagner,9723.0,Center Forward,68,Darmstadt 98,872,['565a88b7-fda2-4c13-a97b-93c39deb0450'],48,,Left Foot,,"[120.0, 50.1, 0.3]",True,"[{'location': [97.4, 45.5], 'player': {'id': 4279, 'name': 'Konstantinos Stafylidis'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.7, 37.2], 'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.9, 37.6], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [82.3, 28.9], 'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [90.8, 30.2], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [93.6, 24.8], 'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [89.5, 30.2], 'player': {'id': 13675, 'name': 'Mario Vrančić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.1, 15.3], 'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [73.4, 27.3], 'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [97.6, 33.0], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [77.8, 61.9], 'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",ea6624e2-5282-490c-b46f-911a09461dab,Off T,,0.012854898,Half Volley,Open Play,,,,Darmstadt 98,872,00:33:48.788,Shot,
