50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.098815,,,,,,,,,,,,,889a0842-b13f-4e77-93f2-a7e6618c4dad,98,,"[113.5, 52.2]",3775622,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Naz,61467.0,Center Forward,8,Tottenham Hotspur Women,749,"['368ed97e-f6c0-4c6c-82f9-a1c3b3f304d6', '4565e3ce-0a90-4811-8304-ebfd5c5d753f', 'c0a57ff7-ec73-4cc7-b05a-5ce98b743d0b']",44,Right Foot,,"[114.1, 51.2]",,"[{'location': [117.9, 44.5], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.3, 43.9], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.5, 47.6], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.1, 50.8], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 44.8], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.0, 40.3], 'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.4, 46.9], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [112.6, 37.3], 'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.1, 43.0], 'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",11049bcf-cad8-4999-9468-2648a6aa3073,,Blocked,,0.032780685,Normal,Open Play,,,,Tottenham Hotspur Women,749,00:01:44.827,Shot,True
,,,,,,,,,,,,,,,,,,,0.300094,,,,,,,,,,,,,d336a9b8-8499-46e2-8c17-b9682f457d50,152,,"[107.2, 48.2]",3775622,3,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christen Annemarie Press,6817.0,Left Wing,11,Manchester United,1475,['0d8f3366-ff7f-4ce8-9dab-72521861ccf4'],9,Right Foot,,"[113.6, 43.2, 0.2]",True,"[{'location': [93.3, 28.4], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.2, 52.6], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.3, 48.1], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.2, 44.9], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.9, 42.7], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.3, 56.0], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",c5c3fd76-1990-4f8a-af3e-e557ae13755d,,Saved,,0.3354848,Normal,Open Play,,,,Manchester United,1475,00:03:09.386,Shot,
,,,,,,,,,,,,,,,,,,,0.804761,,,,,,,,,,,,,262c98a7-1d25-4d11-87c4-140b2f89e498,362,,"[107.8, 40.4]",3775622,8,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ella Toone,31534.0,Center Attacking Midfield,31,Manchester United,1475,['39b66102-8afb-4afa-a7d8-8fed39a111d4'],13,Left Foot,,"[120.0, 42.1, 1.3]",True,"[{'location': [105.8, 21.2], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.5, 39.0], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.8, 40.1], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.8, 35.8], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.5, 40.7], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.5, 39.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.5, 35.6], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.5, 22.4], 'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.6, 26.0], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.7, 38.1], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.9, 38.9], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.6, 36.4], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [120.0, 25.3], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",37d3879b-60aa-470e-b81e-a24110a0554c,,Goal,,0.16396655,Normal,Open Play,,,,Manchester United,1475,00:08:13.574,Shot,
,,,,,,,,,,,,,,,,,,,1.161886,,,,,,,,,,,,,48b80936-971a-4f7a-9d31-0aa9e619c89d,638,,"[103.7, 35.3]",3775622,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Christen Annemarie Press,6817.0,Center Forward,47,Manchester United,1475,"['695bab5e-3c90-4c15-ad1e-6d11a1490b6e', 'bff6cc74-dc28-4e6f-be32-939dc6279313']",57,Right Foot,,"[120.0, 46.8, 1.4]",,"[{'location': [100.8, 29.8], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.1, 17.1], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.4, 15.4], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [92.2, 30.2], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [101.0, 36.9], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.6, 41.9], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [104.6, 34.7], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.2, 43.2], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.2, 38.9], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [115.3, 39.2], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.2, 29.4], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.0, 36.6], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.8, 27.6], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}]",cd3648e9-74dd-40d0-a54f-37d8a3f80d22,,Off T,,0.10323287,Normal,Open Play,,,,Manchester United,1475,00:14:57.436,Shot,True
,,,,,,,,,,,,,,,,,,,0.410729,,,,,,,,,,,,,94494e89-245f-423c-bcf1-d24e6b0b0d17,664,,"[96.9, 29.3]",3775622,17,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Katie Zelem,31540.0,Left Defensive Midfield,50,Manchester United,1475,"['40738113-4559-4a79-bc24-a1a653d95724', '5e3b1aef-4225-451d-9a9e-df6e125ba051']",33,Right Foot,,"[106.2, 32.5]",,"[{'location': [107.3, 37.4], 'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': True}, {'location': [107.2, 45.7], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.7, 33.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.6, 32.0], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.7, 30.8], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.9, 34.1], 'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.8, 49.0], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.9, 47.0], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [100.4, 35.9], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [99.7, 26.7], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [99.4, 25.9], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [120.0, 38.8], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 47.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.6, 37.3], 'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 44.3], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.9, 49.1], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.7, 38.3], 'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.5, 35.3], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",,,Blocked,,0.05980925,Normal,Free Kick,,,,Manchester United,1475,00:17:33.560,Shot,
,,,,,,,,,,,,,,,,,,,0.658291,,,,,,,,,,,,,82b319eb-2e86-4b38-a765-b594fb732a5f,672,,"[113.4, 45.9]",3775622,18,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Christen Annemarie Press,6817.0,Center Forward,51,Manchester United,1475,['daeb4221-eadf-4a7d-bcd8-8d5a65eaedbd'],15,Head,,"[120.0, 42.3, 1.5]",,"[{'location': [109.6, 46.2], 'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.8, 49.7], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 44.1], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.6, 48.8], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.6, 25.5], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [111.0, 33.8], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [112.2, 38.9], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [115.3, 42.4], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [99.7, 44.6], 'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.3, 41.0], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [113.7, 37.0], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [113.0, 42.3], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [104.5, 36.2], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [117.4, 42.4], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 42.2], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.2, 42.2], 'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}]",f20dda48-a6d5-4ee8-867f-665a5099efff,,Goal,,0.112462096,Normal,Open Play,,,,Manchester United,1475,00:18:15.818,Shot,
,,,,,,,,,,,,,,,,,,,1.200354,,,,,,,,,,,,,720dfe8d-12a0-44d2-911b-cdafe9c74c27,1086,,"[86.7, 47.5]",3775622,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ella Toone,31534.0,Center Attacking Midfield,74,Tottenham Hotspur Women,749,['8a49cf56-5f51-4e19-82c3-bcd4404f7fa3'],12,Right Foot,,"[120.0, 32.4, 0.5]",True,"[{'location': [79.9, 49.2], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [87.5, 40.5], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.1, 55.8], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.1, 43.4], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.0, 43.1], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [82.7, 15.5], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [68.9, 17.0], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.2, 42.6], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.1, 63.3], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [85.5, 43.7], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.5, 35.0], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,Off T,,0.016328383,Normal,Open Play,,,,Manchester United,1475,00:28:12.966,Shot,
,,,,,,,,,,,,,,,,,,,0.16785,,,,,,,,,,,,,aded6ec7-dc1a-4693-9be3-2dca6def5758,1207,,"[111.7, 41.4]",3775622,30,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica Sigsworth,31535.0,Right Wing,78,Manchester United,1475,"['6d0ddc6f-36ec-4271-9717-20cdb6f96a98', '6e4be507-4929-4e15-805d-67093fdf7c49']",56,Left Foot,True,"[120.0, 42.1, 1.6]",True,"[{'location': [90.3, 17.2], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.9, 26.4], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.7, 41.7], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.4, 20.2], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.4, 34.3], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [118.3, 41.3], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.8, 39.3], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.8, 32.6], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.4, 40.3], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.2, 38.5], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.8, 24.3], 'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [117.5, 25.1], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.7, 42.7], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,,Goal,,0.14721887,Half Volley,Open Play,,,,Manchester United,1475,00:30:56.218,Shot,
,,,,,,,,,,,,,,,,,,,0.938351,,,,,,,,,,,,,f66fec06-55fb-41bb-99b4-ba67c0461780,1399,,"[108.6, 30.1]",3775622,35,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kirsty Hanson,31532.0,Left Wing,85,Manchester United,1475,['60457729-d5c1-4e9f-8bb2-42f5a0e9214b'],15,Left Foot,,"[118.9, 34.6, 0.4]",,"[{'location': [106.5, 37.8], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.8, 32.7], 'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [117.5, 37.8], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [103.9, 43.9], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.8, 48.5], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.4, 38.4], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 27.1], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [92.1, 26.7], 'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.8, 51.1], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [110.6, 43.8], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.4, 37.1], 'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [112.5, 43.1], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved Off Target,True,0.14568396,Normal,Open Play,,,,Manchester United,1475,00:35:15.714,Shot,
,,,,,,,,,,,,,,,,,,,1.021548,,,,,,,,,,,,,b3dbb9b2-49b5-44c2-b134-7c8a64576a0c,1485,,"[98.5, 28.5]",3775622,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lucy Staniforth,15562.0,Right Defensive Midfield,92,Manchester United,1475,['d654a203-802a-4dbf-8d20-b052e6c44cb8'],12,Right Foot,,"[120.0, 36.8, 3.9]",True,"[{'location': [98.9, 27.1], 'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.7, 26.5], 'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [101.6, 33.6], 'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.2, 34.5], 'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [104.8, 47.6], 'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.8, 45.1], 'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.2, 43.2], 'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [117.9, 38.7], 'player': {'id': 18158, 'name': 'Rebecca Leigh Spencer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.6, 28.9], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 29.9], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.9, 31.2], 'player': {'id': 4848, 'name': 'Ashleigh Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [106.2, 41.9], 'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.0, 43.3], 'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.1, 44.8], 'player': {'id': 4865, 'name': 'Josie Green'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.9, 35.9], 'player': {'id': 61467, 'name': 'Jessica Naz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [102.3, 34.0], 'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [105.9, 32.2], 'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [105.6, 33.5], 'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",8c836e2a-9ce3-40d5-ac77-0cea7bf49ea6,,Off T,,0.031800386,Normal,Open Play,,,,Manchester United,1475,00:39:12.318,Shot,
