50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.776,,,,,,,,,,,dd8cb0bd-47fc-4bd4-93c3-91ec5374107d,241,,"[106.0, 43.0]",7524,3,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sofia Huerta,5105.0,Center Attacking Midfield,14,Houston Dash,762,['7c1bf848-6edc-4b1c-ae4b-8dc631a047da'],59,,Left Foot,"[119.0, 43.4, 0.2]",,"[{'location': [100.0, 58.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.0, 41.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [85.0, 19.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [115.0, 33.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.0, 30.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 39.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [112.0, 36.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 28.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.0, 33.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 52.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [97.0, 37.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.0, 42.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 23.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 29.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [107.0, 40.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",e0b23295-e986-4ddb-b7cf-d86d1bc02866,,Saved,,0.13871266,Normal,Open Play,,,,Houston Dash,762,00:03:59.345,Shot,
,,,,,,,,,,,,0.801,,,,,,,,,,,77973c74-4b3b-4c96-941b-d381949c78ff,420,,"[112.0, 41.0]",7524,7,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sydney Rae Leroux,5067.0,Right Wing,17,Orlando Pride,764,['b160786a-c1ae-4c83-bac7-98433e478be2'],10,,Head,"[119.0, 45.4, 0.1]",,"[{'location': [115.0, 20.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [119.0, 17.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [104.0, 16.0], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.0, 14.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [89.0, 28.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [93.0, 14.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.0, 19.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 22.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 27.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.0, 20.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [118.0, 40.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [85.0, 46.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [89.0, 54.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [101.0, 41.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 39.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 43.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}]",69402932-4a0c-41b1-ae24-67f78230733b,,Off T,,0.17730711,Normal,Open Play,,,,Orlando Pride,764,00:07:10.376,Shot,
,,,,,,,,,,,,2.52,,,,,,,,,,,5db6a4be-8c61-4984-9bda-20bfee92096a,443,,"[108.0, 39.0]",7524,7,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Sofia Huerta,5105.0,Center Attacking Midfield,18,Houston Dash,762,['e37a9d42-3ab5-4404-80df-d0f503a6a0b3'],59,,Left Foot,"[120.0, 46.1, 0.1]",True,"[{'location': [91.0, 63.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [85.0, 49.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [76.0, 23.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [76.0, 21.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [105.0, 50.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.0, 43.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [101.0, 62.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.0, 57.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [110.0, 44.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 41.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 32.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.0, 21.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",fdc065cf-3cca-4c37-8ad5-2d58df16f1c9,,Off T,,0.15954036,Half Volley,Open Play,,,,Houston Dash,762,00:07:59.817,Shot,
,,,,,,,,,,,,1.249,,,,,,,,,,,3880b3f0-7408-4ce9-9ba7-87f08af03a4c,563,,"[96.0, 32.0]",7524,11,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexandra Morgan Carrasco,5085.0,Center Forward,24,Orlando Pride,764,['b189775b-8ca4-4f4d-a15e-75bbc12a34e7'],9,,Left Foot,"[118.0, 36.2, 0.1]",,"[{'location': [99.0, 26.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [101.0, 41.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 45.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [98.0, 34.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 41.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [96.0, 35.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 30.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [101.0, 29.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.0, 38.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [81.0, 36.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [75.0, 54.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [78.0, 55.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [75.0, 39.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",f38f2457-d361-44c3-8203-d925fd574a38,,Saved,,0.04798351,Normal,Open Play,,,,Orlando Pride,764,00:11:09.765,Shot,
,,,,,,,,,,,,0.744,,,,,,,,,,,c5886f51-b38f-4a9b-9907-e6f23ea1208f,689,,"[111.0, 28.0]",7524,15,,,,,,,,,,,,,,,,,,,,1,From Counter,Alexandra Morgan Carrasco,5085.0,Center Forward,34,Orlando Pride,764,['ed32b011-df48-4fe6-9464-37b53a2ed8c9'],8,,Left Foot,"[119.0, 44.4, 0.2]",,"[{'location': [99.0, 29.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 29.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 43.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [101.0, 44.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 37.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,,Post,,0.11212529,Normal,Open Play,,,,Orlando Pride,764,00:15:08.194,Shot,
,,,,,,,,,,,,0.815,,,,,,,,,,,74f19ed4-feff-446b-bb17-63ce71e04c24,704,,"[99.0, 51.0]",7524,15,,,,,,,,,,,,,,,,,,,,1,Regular Play,Camila Martins Pereira,7182.0,Left Center Midfield,34,Orlando Pride,764,['9f5450f4-356d-427b-9b85-5517a66a24cd'],18,,Right Foot,"[116.0, 41.7, 0.3]",,"[{'location': [89.0, 31.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [95.0, 39.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [99.0, 40.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.0, 29.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 34.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 27.0], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 34.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.0, 49.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 51.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.0, 60.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [100.0, 58.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}]",b97282a5-d2f8-41af-8777-dca60af5ba0c,,Saved,,0.039288282,Normal,Open Play,,,,Orlando Pride,764,00:15:18.453,Shot,
,,,,,,,,,,,,1.175,,,,,,,,,,,ec23c4ce-e861-46a8-8323-380158f8232e,813,,"[109.0, 34.0]",7524,17,,,,,,,,,,,,,,,,,,,,1,From Counter,Rachel Daly,5058.0,Center Forward,40,Houston Dash,762,['70f41ba8-e2af-4b9a-8496-1ddca5758581'],25,,Right Foot,"[120.0, 42.2, 0.7]",,"[{'location': [94.0, 37.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.0, 44.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [103.0, 49.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [96.0, 34.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [104.0, 40.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 34.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.0, 36.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",3d9119ae-0ad1-4d0b-b8b8-6807247d7a2c,True,Goal,,0.34596306,Normal,Open Play,,,,Houston Dash,762,00:17:25.137,Shot,
,,,,,,,,,,,,0.967,,,,,,,,,,,f58d990e-e6b9-4d86-b0bf-845a061327f2,845,,"[104.0, 47.0]",7524,18,,,,,,,,,,,,,,,,,,,,1,Regular Play,Kyah Pam Simon,5059.0,Right Wing,42,Houston Dash,762,['2eae536b-d5a4-42d9-83b0-003204fe218b'],48,,Right Foot,"[120.0, 43.4, 3.5]",,"[{'location': [119.0, 74.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [112.0, 47.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [97.0, 63.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 49.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.0, 51.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [101.0, 51.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [94.0, 40.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [89.0, 42.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [119.0, 61.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 47.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 24.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.0, 38.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}]",ea8ad8d2-6427-4fb8-af94-359ee59fb44c,,Off T,,0.10707714,Normal,Open Play,,,,Houston Dash,762,00:18:48.220,Shot,
,,,,,,,,,,,,0.692,,,,,,,,,,,66dfbe2e-dea6-44d4-a405-5ea0c6bd818d,937,,"[112.0, 39.0]",7524,21,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Clare Elizabeth Polkinghorne,8382.0,Left Defensive Midfield,49,Houston Dash,762,['85aeb259-2223-44d0-b771-845999074ac0'],8,,Head,"[120.0, 34.2, 2.3]",,"[{'location': [103.0, 52.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 5064, 'name': 'Carson Pickett'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 40.0], 'player': {'id': 5090, 'name': 'Ashlyn Harris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 39.0], 'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.0, 37.0], 'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [117.0, 31.0], 'player': {'id': 5071, 'name': 'Monica Hickmann Alves'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 36.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [118.0, 19.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 19.0], 'player': {'id': 5060, 'name': 'Poliana Barbosa Medeiros'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 26.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.0, 60.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.0, 41.0], 'player': {'id': 5059, 'name': 'Kyah Pam Simon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [116.0, 37.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.0, 40.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [84.0, 22.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [98.0, 15.0], 'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [115.0, 14.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",82b1d200-b992-4ee1-87e6-10bfab6faf72,,Off T,,0.08483888,Normal,Open Play,,,,Houston Dash,762,00:21:08.676,Shot,
,,,,,,,,,,,,1.271,,,,,,,,,,,d0789455-42a2-49d4-945b-a4fb3d6fb026,954,,"[104.0, 57.0]",7524,21,,,,,,,,,,,,,,,,,,,,1,Regular Play,Poliana Barbosa Medeiros,5060.0,Right Back,50,Orlando Pride,764,['cbd8efc0-1776-42da-b2a3-f3bc18322b6e'],45,,Right Foot,"[116.0, 36.2, 0.2]",,"[{'location': [110.0, 38.0], 'player': {'id': 4959, 'name': 'Taylor Comeau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 47.0], 'player': {'id': 5045, 'name': 'Amber Brooks'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 37.0], 'player': {'id': 5082, 'name': 'Marta Vieira da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [105.0, 46.0], 'player': {'id': 5085, 'name': 'Alexandra Morgan Carrasco'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.0, 35.0], 'player': {'id': 5062, 'name': 'Dani Weatherholt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [118.0, 41.0], 'player': {'id': 5056, 'name': 'Jane Campbell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.0, 54.0], 'player': {'id': 5054, 'name': 'Janine van Wyk'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.0, 37.0], 'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 59.0], 'player': {'id': 5038, 'name': 'Allysha Lyn Chapman'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 64.0], 'player': {'id': 5067, 'name': 'Sydney Rae Leroux'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [99.0, 52.0], 'player': {'id': 8382, 'name': 'Clare Elizabeth Polkinghorne'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [82.0, 64.0], 'player': {'id': 5051, 'name': 'Kealia Ohai'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [87.0, 43.0], 'player': {'id': 7182, 'name': 'Camila Martins Pereira'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [82.0, 38.0], 'player': {'id': 5105, 'name': 'Sofia Huerta'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",16c7074f-a191-4d9b-b695-f71ba879966b,,Saved,,0.043223575,Normal,Open Play,,,,Orlando Pride,764,00:21:45.365,Shot,
