50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.253,,,,,,,,,,45d372e6-4cd0-4252-8502-766d95238cfe,191,,"[104.0, 61.0]",7487,4,,,,,,,,,,,,,,,,,,,1,Regular Play,Lynn Raenie Williams,5055.0,Left Center Forward,15,North Carolina Courage,766,"['7cc19285-790d-4689-bf5e-8d6ff54eb7a0', '805f18af-d5ab-424e-9b2d-68d4f10cc350']",25,,Right Foot,"[108.0, 57.0]","[{'location': [107.0, 60.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [78.0, 48.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.0, 46.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [81.0, 39.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [97.0, 46.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.0, 56.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 57.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 39.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 35.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 44.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",4cd2a7bb-6bed-4da2-a7a0-b8b8992f0bb0,,Blocked,0.010891853,Normal,Open Play,,,,North Carolina Courage,766,00:04:25.305,Shot,
,,,,,,,,,,,1.233,,,,,,,,,,02dc805c-5782-4f9d-8213-71151c72f0e7,197,,"[112.0, 36.0]",7487,5,,,,,,,,,,,,,,,,,,,1,From Corner,Abby Erceg,5037.0,Left Center Back,16,North Carolina Courage,766,"['6f845b11-489c-47b5-b4cc-019f10817ac7', 'abe646cb-5f90-43c3-b068-6047a6ffb193']",1,True,Head,"[109.0, 25.0]","[{'location': [116.0, 38.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.0, 37.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [108.0, 78.0], 'player': {'id': 6814, 'name': ""Heather O''Reilly""}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [116.0, 40.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.0, 37.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [115.0, 42.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [115.0, 41.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [114.0, 39.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 43.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [113.0, 37.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 45.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 40.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [111.0, 43.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 22.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",d38cf412-c0cc-4150-9494-afed7e7b4cc2,,Wayward,0.08587094,Normal,Open Play,,,,North Carolina Courage,766,00:05:01.948,Shot,True
,,,,,,,,,,,0.506,,,,,,,,,,24a5ab16-1f39-4cc2-85f8-76687bf3651d,204,,"[112.0, 39.0]",7487,5,,,,,,,,,,,,,,,,,,,1,From Corner,Abby Erceg,5037.0,Left Center Back,16,North Carolina Courage,766,['b7519c15-b3a2-43cb-b01d-34fac09a50b2'],5,,Head,"[120.0, 39.9, 1.4]","[{'location': [109.0, 41.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 42.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.0, 47.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [118.0, 45.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [117.0, 42.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [109.0, 40.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [112.0, 46.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [110.0, 42.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [114.0, 43.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.0, 31.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.0, 42.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 46.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [111.0, 28.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [111.0, 24.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",f6ed3062-190a-49b2-a8a0-0c855832c1e7,,Saved,0.26123455,Normal,Open Play,,,,North Carolina Courage,766,00:05:05.097,Shot,
,,,,,,,,,,,1.328,,,,,,,,,,5c9a30d0-a1bb-44e4-9e77-853635327b24,316,,"[93.0, 34.0]",7487,7,,,,,,,,,,,,,,,,,,,1,Regular Play,Lynn Raenie Williams,5055.0,Left Center Forward,22,North Carolina Courage,766,['f90fc4ab-f5f3-44b7-896a-c4a8ebe39361'],42,,Right Foot,"[120.0, 34.4, 0.9]","[{'location': [90.0, 56.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [92.0, 39.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [83.0, 51.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [100.0, 35.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 44.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.0, 34.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [88.0, 28.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [97.0, 33.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [98.0, 23.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 25.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [120.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",63bd4e48-0113-40f8-a9e3-a175c5b24d84,,Off T,0.033910435,Normal,Open Play,,,,North Carolina Courage,766,00:07:42.771,Shot,
,,,,,,,,,,,2.2,,,,,,,,,,c5d36add-def8-4d3a-9f84-6198b2102fbe,686,,"[106.0, 46.0]",7487,20,,,,,,,,,,,,,,,,,,,1,From Corner,Abby Erceg,5037.0,Left Center Back,51,North Carolina Courage,766,['bee5ce54-916b-4da9-92bb-75c61447d9b2'],34,,Head,"[120.0, 34.6, 1.1]","[{'location': [113.0, 39.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 39.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [106.0, 50.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [112.0, 47.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [118.0, 43.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 37.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [94.0, 47.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [114.0, 45.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 59.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [116.0, 36.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [117.0, 41.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [116.0, 46.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 45.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [109.0, 46.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 32.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",ffe06470-4766-4e22-ab19-e6c608e9e068,,Off T,0.051602986,Normal,Open Play,,,,North Carolina Courage,766,00:20:34.210,Shot,
,,,,,,,,,,,0.649,,,,,,,,,,4c4c507f-ba66-48b0-b35d-f346c59b4a8e,725,,"[113.0, 39.0]",7487,22,,,,,,,,,,,,,,,,,,,1,From Corner,Lynn Raenie Williams,5055.0,Left Center Forward,54,North Carolina Courage,766,"['28aa9826-3a78-4d1f-a0a6-74f29f8e1320', '36effe3f-4cba-4501-92a7-54f29b6ffd4a', 'c5b2cec5-1ea8-45db-a664-92fab4fd6981']",7,True,Head,"[115.0, 41.0]","[{'location': [118.0, 42.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [113.0, 45.0], 'player': {'id': 4990, 'name': 'Taylor Lytle'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [116.0, 41.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 38.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.0, 44.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [117.0, 38.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 42.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [111.0, 44.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [105.0, 37.0], 'player': {'id': 4973, 'name': 'Diana Matheson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [111.0, 42.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [111.0, 39.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [111.0, 37.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [119.0, 41.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 22.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",b5524e15-924b-416f-8f0c-bb23256d3e91,,Blocked,0.08751244,Normal,Open Play,,,,North Carolina Courage,766,00:22:07.933,Shot,True
,,,,,,,,,,,0.454,,,,,,,,,,68c4e67d-aaa4-4d4b-968f-f40765a975d8,856,,"[114.0, 47.0]",7487,24,,,,,,,,,,,,,,,,,,,1,From Counter,Kristen Hamilton,5080.0,Right Midfield,59,North Carolina Courage,766,"['0f7ed68b-8600-43c2-866b-5c74e3ac6a4c', 'c23424e2-eb63-4df9-9410-5b4c444943c9']",38,,Right Foot,"[116.0, 44.0]","[{'location': [98.0, 51.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [106.0, 45.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [106.0, 52.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 66.0], 'player': {'id': 5034, 'name': 'Jessica McDonald'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [119.0, 57.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 43.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.0, 48.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 45.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.0, 38.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 37.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}]",,,Blocked,0.09620814,Normal,Open Play,,,,North Carolina Courage,766,00:24:38.658,Shot,
,,,,,,,,,,,0.202,,,,,,,,,,4a075338-5b21-4f71-bc53-843a5e384cda,1060,,"[99.0, 52.0]",7487,32,,,,,,,,,,,,,,,,,,,1,From Throw In,Diana Matheson,4973.0,Right Wing,73,Utah Royals,767,"['1205c9e1-7cda-4e7f-8406-4dc1d565a20d', '9c743fbb-e3aa-402f-9faf-248a2a7e3326']",14,,Right Foot,"[104.0, 52.0]","[{'location': [107.0, 44.0], 'player': {'id': 4972, 'name': 'Katie Stengel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [108.0, 42.0], 'player': {'id': 5057, 'name': 'Kaleigh Kurtz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.0, 36.0], 'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [118.0, 41.0], 'player': {'id': 5048, 'name': 'Katelyn Rowland'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 41.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [110.0, 50.0], 'player': {'id': 5050, 'name': 'Meredith Speck'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 50.0], 'player': {'id': 5037, 'name': 'Abby Erceg'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}]",,,Blocked,0.0388993,Normal,Open Play,,,,Utah Royals,767,00:32:14.215,Shot,
,,,,,,,,,,,1.372,,,,,,,,,,4615283d-2395-4804-a23f-8fefe92b95b1,1153,,"[96.0, 49.0]",7487,34,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica McDonald,5034.0,Right Center Forward,77,North Carolina Courage,766,['8880a47a-8577-4e6d-8ee2-8abfe9e540d7'],1,,Right Foot,"[120.0, 44.4, 4.2]","[{'location': [97.0, 53.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [102.0, 48.0], 'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [101.0, 46.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.0, 46.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 39.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 44.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 27.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 43.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 29.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [82.0, 38.0], 'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [81.0, 34.0], 'player': {'id': 5080, 'name': 'Kristen Hamilton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",,,Off T,0.029523456,Normal,Open Play,,,,North Carolina Courage,766,00:34:01.488,Shot,
,,,,,,,,,,,0.816,,,,,,,,,,95cc9f59-9d27-48d4-b11e-dcaa74491e0b,1528,,"[112.0, 55.0]",7487,44,,,,,,,,,,,,,,,,,,,1,Regular Play,Jessica McDonald,5034.0,Right Center Forward,105,North Carolina Courage,766,['a69f3b79-54de-466c-97bd-90db3a9a845d'],58,,Right Foot,"[120.0, 45.8, 3.9]","[{'location': [101.0, 52.0], 'player': {'id': 4971, 'name': 'Rebecca Moros'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.0, 56.0], 'player': {'id': 4966, 'name': 'Desiree Rose Marie Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [98.0, 50.0], 'player': {'id': 4975, 'name': 'Gunnhildur Yrsa Jónsdóttir'}, 'position': {'id': 25, 'name': 'Secondary Striker'}, 'teammate': False}, {'location': [110.0, 50.0], 'player': {'id': 5101, 'name': 'Samantha Johnson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 42.0], 'player': {'id': 4984, 'name': 'Rachel Corsie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 36.0], 'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [91.0, 49.0], 'player': {'id': 5041, 'name': 'Cari Roccaro'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [117.0, 48.0], 'player': {'id': 4969, 'name': 'Nicole Barnhart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.0, 39.0], 'player': {'id': 5055, 'name': 'Lynn Raenie Williams'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",57289f9d-f347-4db4-bd6d-6792519efe72,True,Off T,0.0742122,Normal,Open Play,,,,North Carolina Courage,766,00:44:58.023,Shot,
