50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.6,,,,,,,,,,f4c9f712-a4a9-4c12-86e9-d71fa47f5b79,89,,,"[109.0, 56.0]",8652,1,,,,,,,,,,,,,,,,,,1,Regular Play,Denis Cheryshev,5186.0,Left Wing,6,Russia,796,"['0a56e6ce-85d1-45c7-93e6-cfd1df0028d4', 'd7b0b49e-8791-4906-9145-d4d216ad507e', 'fc2fcba4-c8ad-421d-b9ed-25d780597b6b']",29,,Right Foot,"[111.0, 54.0]",,"[{'location': [99.0, 48.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 54.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.0, 44.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 53.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.0, 58.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [94.0, 68.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 58.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [92.0, 53.0], 'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [96.0, 64.0], 'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",287c8018-7a0f-4c93-9385-0e0576d0fcad,,Blocked,0.05210773,Normal,Open Play,,,,Russia,796,00:01:29.840,Shot,True
,,,,,,,,,,,,,0.2,,,,,,,,,,ca5e4111-c7b5-4d7f-98ff-8bab776d2e40,158,,,"[110.0, 52.0]",8652,4,,,,,,,,,,,,,,,,,,1,From Throw In,Artem Dzyuba,5195.0,Center Forward,12,Russia,796,"['d831e261-79e9-4a3f-afa2-f39af821323a', 'f220b5ea-7d9f-4e42-a7ee-b81b2c217efb']",8,,Right Foot,"[112.0, 50.0]",,"[{'location': [104.0, 50.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 43.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [114.0, 53.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.0, 50.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.0, 65.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [114.0, 59.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [118.0, 42.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.0, 42.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [99.0, 49.0], 'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [87.0, 65.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [104.0, 59.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",,,Blocked,0.059003275,Volley,Open Play,,,,Russia,796,00:04:08.360,Shot,
,,,,,,,,,,,,,0.853,,,,,,,,,,4e4490b6-35d4-41ac-89e4-2e609823265a,216,,,"[113.0, 42.0]",8652,6,,,,,,,,,,,,,,,,,,1,From Corner,Ante Rebić,5465.0,Right Wing,16,Croatia,785,['c09784d3-9e71-4bf7-89ee-435097620d51'],14,,Head,"[120.0, 37.2, 3.7]",,"[{'location': [117.0, 38.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [111.0, 41.0], 'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.0, 44.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [116.0, 44.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [117.0, 45.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.0, 46.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.0, 48.0], 'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [109.0, 38.0], 'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [109.0, 35.0], 'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 35.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [107.0, 38.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [116.0, 32.0], 'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [117.0, 30.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.0, 32.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",70e2da5b-ea51-40bb-9154-00b8c4c600e1,,Off T,0.26405528,Normal,Open Play,,,,Croatia,785,00:06:14.520,Shot,
,,,,,,,,,,,,,2.573,,,,,,,,,,05095fd4-9981-4b35-a03a-d154f6cf5041,409,,,"[109.0, 43.0]",8652,10,,,,,,,,,,,,,,,,,,1,From Free Kick,Mario Mandžukić,5472.0,Center Forward,23,Croatia,785,['6ed1379e-b908-4560-9b93-7899540bf567'],55,,Right Foot,"[118.0, 59.0]",True,"[{'location': [107.0, 58.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.0, 58.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [105.0, 48.0], 'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [114.0, 61.0], 'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.0, 63.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [95.0, 56.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.0, 45.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.0, 48.0], 'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.0, 43.0], 'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 31.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.0, 44.0], 'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [98.0, 41.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [82.0, 21.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.0, 31.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",f0f6e35e-a4a4-4a61-af61-31d42ddcad4b,,Wayward,0.13234654,Normal,Open Play,,,,Croatia,785,00:10:55.200,Shot,
,,,,,,,,,,,,,1.133,,,,,,,,,,11d6b232-d52b-4de9-8830-2d3e7359780d,545,,,"[98.0, 23.0]",8652,15,,,,,,,,,,,,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Left Defensive Midfield,31,Croatia,785,['b75d3ed5-1acf-4738-a00c-e2bf817b8ea9'],54,,Right Foot,"[120.0, 36.2, 4.9]",,"[{'location': [105.0, 50.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [105.0, 48.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 40.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 36.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 51.0], 'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.0, 48.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 45.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [107.0, 42.0], 'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 34.0], 'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 38.0], 'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 33.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [107.0, 32.0], 'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [108.0, 30.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}]",,,Off T,0.045481052,Normal,Free Kick,,,,Croatia,785,00:15:54.840,Shot,
,,,,,,,,,,,,,1.92,,,,,,,,,,712e00e0-e69b-4018-83fa-a95cef6b9a75,1013,,,"[109.0, 50.0]",8652,27,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Left Wing,49,Croatia,785,['31935fec-0672-499b-a001-5e205d54348d'],46,,Head,"[120.0, 33.5, 0.3]",,"[{'location': [98.0, 72.0], 'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 59.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [95.0, 41.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.0, 47.0], 'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.0, 51.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [112.0, 47.0], 'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 41.0], 'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [120.0, 43.0], 'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [83.0, 20.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [112.0, 36.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.0, 41.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [107.0, 48.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",b6fce4a3-30c4-47fd-9c63-07ce2bc37639,,Off T,0.08096986,Normal,Open Play,,,,Croatia,785,00:27:46.533,Shot,
,,,,,,,,,,,,,0.88,,,,,,,,,,88c234b8-ae30-451b-9ac9-c234a37af5e7,1108,,,"[94.0, 34.0]",8652,30,,,,,,,,,,,,,,,,,,1,Regular Play,Denis Cheryshev,5186.0,Left Wing,57,Russia,796,['0db4413f-25c1-443f-bc7f-5e267a98172b'],48,,Left Foot,"[119.0, 36.4, 2.3]",,"[{'location': [89.0, 37.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 38.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.0, 31.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [88.0, 31.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [97.0, 36.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 42.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 20.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [86.0, 28.0], 'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [89.0, 19.0], 'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [86.0, 38.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",7d074d0f-ad2c-42c4-90ed-508e3ab3a8c3,,Goal,0.054310873,Normal,Open Play,,,,Russia,796,00:30:48.560,Shot,
,,,,,,,,,,,,,0.213,,,,,,,,,,8f6c9b15-5890-409f-a818-01f15291c7ea,1120,,,"[94.0, 30.0]",8652,32,,,,,,,,,,,,,,,,,,1,Regular Play,Ante Rebić,5465.0,Right Wing,58,Croatia,785,"['4caa6993-364a-4208-8a3b-131fcc064bcb', '95a01556-9993-4a6c-9140-a70cf373b0cd']",14,,Right Foot,"[95.0, 31.0]",,"[{'location': [81.0, 21.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [88.0, 48.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [120.0, 41.0], 'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [99.0, 63.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [103.0, 49.0], 'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [94.0, 45.0], 'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [94.0, 31.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.0, 31.0], 'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [103.0, 39.0], 'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 46.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [88.0, 31.0], 'player': {'id': 5179, 'name': 'Daler Kuzyaev'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [93.0, 27.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [102.0, 26.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [95.0, 10.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",8ed3f6c0-6120-418c-acfe-29ad67e10ea4,,Blocked,0.028538551,Normal,Open Play,,,,Croatia,785,00:32:14.320,Shot,
,,,,,,,,,,,,,1.613,,,,,,,,,,b2c522b3-9b94-408a-acb5-751c65b8dd37,1191,,,"[115.0, 37.0]",8652,33,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Perišić,5474.0,Left Wing,61,Croatia,785,"['ab771a61-9f1c-4989-b4c0-14504dd0c79a', 'd387ccc8-ba18-4a93-8556-91b54d7e3ede']",34,True,Head,"[117.0, 45.0]",,"[{'location': [105.0, 42.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [115.0, 45.0], 'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 37.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [100.0, 33.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [120.0, 40.0], 'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 47.0], 'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [115.0, 42.0], 'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",eb796b55-0e4e-45b8-9bbb-cb11ac683a2b,,Wayward,0.19278497,Normal,Open Play,,,,Croatia,785,00:33:34.800,Shot,True
,,,,,,,,,,,,,0.56,,,,,,,,,,c62bf4f0-71c9-4c7e-ab81-c94fbe39d458,1249,,,"[118.0, 27.0]",8652,36,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergei Ignashevich,5174.0,Left Center Back,66,Russia,796,['05467903-c659-42d0-a46d-193c59c6beb3'],54,,Right Foot,"[119.0, 36.2, 3.3]",,"[{'location': [108.0, 33.0], 'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 36.0], 'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 32.0], 'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 28.0], 'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 36.0], 'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.0, 41.0], 'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.0, 50.0], 'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [87.0, 63.0], 'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [83.0, 66.0], 'player': {'id': 5170, 'name': 'Mário Figueira Fernandes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.0, 28.0], 'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 31.0], 'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [101.0, 56.0], 'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [104.0, 31.0], 'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [102.0, 43.0], 'player': {'id': 5177, 'name': 'Aleksandr Golovin'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",,True,Off T,0.013760027,Volley,Open Play,,,,Russia,796,00:36:54.360,Shot,
