ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.249972,,,,,,,,,,,,01d281dc-06c6-4621-a058-712e82f4c091,44,,,"[65.8, 46.8]",69191,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Cristiana Girelli,10203.0,Center Attacking Midfield,2,China PR Women's,1207,['05156bc1-216f-4c06-936d-5abc26bf4b6a'],53,,Right Foot,"[89.3, 29.9]",True,"[{'location': [59.7, 29.9], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [70.1, 5.6], 'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [82.7, 35.9], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [69.5, 53.3], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [67.7, 19.8], 'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [68.4, 32.8], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [76.1, 3.3], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [84.2, 52.7], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [80.9, 33.7], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [87.8, 20.9], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [112.8, 35.8], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Wayward,0.008035453,Normal,Open Play,,,,Italy Women's,855,00:00:53.354,Shot,
,,,,,,,,,,,,,,,,1.351784,,,,,,,,,,,,df910423-a741-4935-9219-82c48756feba,316,,,"[105.5, 39.0]",69191,7,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentina Giacinti,25541.0,Right Center Forward,21,Italy Women's,855,['a48754f5-bcb4-4acc-a9ee-2537f7cd0de2'],58,,Head,"[120.0, 28.3, 0.6]",,"[{'location': [107.6, 50.8], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.7, 41.3], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.5, 46.7], 'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [106.1, 37.5], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.8, 38.4], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.7, 29.2], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [103.5, 49.6], 'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",41b1f695-f897-4ddb-b376-7a721a13e4e9,Off T,0.08847118,Normal,Open Play,,,,Italy Women's,855,00:07:58.482,Shot,
,,,,,,,,,,,,,,,,1.214228,,,,,,,,,,,,bbcda5c5-043d-45f0-8eb7-1ed788e37f95,477,,,"[98.3, 19.4]",69191,12,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Valentina Giacinti,25541.0,Right Center Forward,30,Italy Women's,855,['30ee7254-8864-43ba-b47c-2eead41e820b'],18,,Right Foot,"[120.0, 45.7, 2.7]",,"[{'location': [100.8, 24.4], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [88.6, 19.3], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [92.5, 15.0], 'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [100.2, 18.0], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.7, 48.2], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.6, 17.0], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [113.5, 31.5], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [94.0, 50.2], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [89.7, 23.4], 'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [99.7, 16.5], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}]",,Off T,0.017502569,Normal,Open Play,,,,Italy Women's,855,00:12:18.081,Shot,
,,,,,,,,,,,,,,,,0.0988,,,,,,,,,,,,516f4248-30aa-431a-a317-fbb213db455f,565,,,"[108.4, 36.5]",69191,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Elisa Bartoli,10371.0,Left Back,34,Italy Women's,855,['16ca7155-3235-46ff-adc1-84c75c39c166'],8,,Left Foot,"[110.0, 36.8, 0.2]",,"[{'location': [106.8, 45.3], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.6, 43.8], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 39.9], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [107.5, 33.7], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.8, 40.0], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.1, 41.9], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.7, 37.9], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [110.7, 36.8], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Saved,0.23303999,Normal,Open Play,,,,Italy Women's,855,00:14:08.819,Shot,
,,,,,,,,,,,,,,,,0.648365,,,,,,,,,,,,c871fed0-bc9a-4f2e-a2b3-ba4ec8ecb3d7,570,,,"[109.6, 41.5]",69191,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Valentina Giacinti,25541.0,Right Center Forward,34,Italy Women's,855,"['1e6cd532-8717-464e-b4ff-1c08310235c6', '940057ab-b8f2-4fe5-bd3e-fe8d862cea76']",10,,Left Foot,"[120.0, 43.7, 0.2]",,"[{'location': [115.2, 39.9], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.8, 40.4], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [108.7, 44.8], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [110.9, 42.5], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [108.9, 35.9], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.4, 36.9], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.9, 37.1], 'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [110.5, 39.0], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}]",,Goal,0.32750195,Normal,Open Play,,,,Italy Women's,855,00:14:10.156,Shot,True
,,,,,,,,,,,,,,,,0.6866,,,,,,,,,,,,e777b95b-1bae-4719-8154-6480c639faf0,960,,,"[101.0, 53.5]",69191,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rui Zhang,25490.0,Right Center Midfield,55,China PR Women's,1207,"['193961cb-6f35-4514-9da5-7b49407f0c0d', 'a23ce755-c85e-48e4-ab2a-756eab03f2e9']",43,,Left Foot,"[108.1, 48.8]",,"[{'location': [90.4, 51.9], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [112.7, 65.5], 'player': {'id': 25749, 'name': 'Ying Li'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [99.3, 78.3], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [111.7, 46.1], 'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [108.7, 40.1], 'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [107.0, 37.0], 'player': {'id': 25488, 'name': 'Yasha Gu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [88.6, 27.0], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.4, 54.0], 'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [103.4, 49.5], 'player': {'id': 10398, 'name': 'Valentina Cernoia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [99.5, 31.1], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [119.1, 42.9], 'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 39.2], 'player': {'id': 10213, 'name': 'Alia Guagni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.5, 48.1], 'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [109.5, 50.1], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.5, 47.3], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [100.5, 55.9], 'player': {'id': 10366, 'name': 'Sara Gama'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",,Blocked,0.029766718,Normal,Open Play,,,,China PR Women's,1207,00:24:43.800,Shot,
,,,,,,,,,,,,,,,,1.3337,,,,,,,,,,,,62385e65-79fa-4213-8aba-cab0d09e5afe,1031,,,"[93.8, 29.5]",69191,27,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Yan Wang,25750.0,Left Center Midfield,59,China PR Women's,1207,['0d756078-8122-443d-98ce-ff3388416e95'],21,,Right Foot,"[119.5, 41.0, 2.3]",True,"[{'location': [102.1, 59.8], 'player': {'id': 25749, 'name': 'Ying Li'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [104.2, 43.0], 'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [104.3, 35.6], 'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [98.4, 27.8], 'player': {'id': 25488, 'name': 'Yasha Gu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [90.6, 42.1], 'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [96.4, 30.1], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [96.3, 43.3], 'player': {'id': 10398, 'name': 'Valentina Cernoia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [106.2, 49.3], 'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.6, 41.9], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [101.7, 34.7], 'player': {'id': 10366, 'name': 'Sara Gama'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.2, 24.2], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [92.6, 13.3], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [105.5, 30.8], 'player': {'id': 10213, 'name': 'Alia Guagni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [119.7, 40.7], 'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",9fc2aafc-5138-4ddb-9762-5042fd5d2e07,Saved,0.017197208,Half Volley,Open Play,,,,China PR Women's,1207,00:27:21.189,Shot,
,,,,,,,,,,,,,,,,0.421,,,,,,,,,,,,59741831-74d9-4fb4-8b8d-fdad69433449,1158,,,"[107.9, 51.4]",69191,32,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Valentina Bergamaschi,25544.0,Right Center Midfield,68,Italy Women's,855,"['4f8c83e8-55ac-4728-9293-861b679d6c86', '5dc2638b-14cb-4ed9-8c35-d1f995e588e5']",32,,Right Foot,"[114.9, 44.8, 1.5]",,"[{'location': [91.6, 17.7], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [82.8, 40.1], 'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [99.9, 34.0], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.0, 50.3], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [106.8, 51.7], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 49.6], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.3, 44.3], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",e923b729-108b-4b80-9e5e-69a32f7947f3,Saved,0.08111514,Normal,Open Play,,,,Italy Women's,855,00:32:32.231,Shot,True
,,,,,,,,,,,,,,,,2.444812,,,,,,,,,,,,ad5d34b9-3310-4199-8f26-3cdd15103ce5,1195,,,"[70.7, 38.8]",69191,33,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sara Gama,10366.0,Right Center Back,73,China PR Women's,1207,['1557d21e-143b-4901-b02c-119f0edf6afc'],58,,Right Foot,"[120.0, 45.9, 3.0]",,"[{'location': [95.8, 18.0], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [89.8, 10.9], 'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [90.5, 14.3], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [75.2, 18.3], 'player': {'id': 10398, 'name': 'Valentina Cernoia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [80.4, 35.5], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': True}, {'location': [93.7, 27.9], 'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.1, 44.0], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [62.6, 22.1], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [62.0, 48.2], 'player': {'id': 10213, 'name': 'Alia Guagni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [75.1, 41.0], 'player': {'id': 25488, 'name': 'Yasha Gu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [118.1, 40.1], 'player': {'id': 25483, 'name': 'Shimeng Peng'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [95.2, 27.1], 'player': {'id': 25480, 'name': 'Haiyan Wu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [95.1, 39.4], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 15.7], 'player': {'id': 25481, 'name': 'Peng Han'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [83.6, 19.1], 'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [82.5, 6.1], 'player': {'id': 25749, 'name': 'Ying Li'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [81.4, 37.8], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [94.1, 46.0], 'player': {'id': 25486, 'name': 'Shanshan Liu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [70.2, 36.4], 'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [69.6, 17.9], 'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}]",,Off T,0.005102391,Normal,Open Play,,,,Italy Women's,855,00:33:58.147,Shot,
,,,,,,,,,,,,,,,,1.376901,,,,,,,,,,,,4c07b40a-40b6-48bb-a0c5-70aeb932b3b3,1224,,,"[92.0, 39.3]",69191,35,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Shanshan Liu,25486.0,Left Back,75,China PR Women's,1207,['8c66effe-4f52-4849-89ec-8af92ed4ecb7'],12,,Right Foot,"[118.3, 43.1, 1.2]",True,"[{'location': [104.2, 78.5], 'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [96.7, 46.8], 'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': True}, {'location': [109.6, 42.0], 'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.7, 51.0], 'player': {'id': 25749, 'name': 'Ying Li'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [96.4, 30.3], 'player': {'id': 25488, 'name': 'Yasha Gu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [102.4, 42.0], 'player': {'id': 25487, 'name': 'Yuping Lin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [100.7, 44.9], 'player': {'id': 25750, 'name': 'Yan Wang'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': True}, {'location': [109.7, 47.2], 'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [100.3, 63.8], 'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [104.3, 50.2], 'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': False}, {'location': [94.8, 44.4], 'player': {'id': 10203, 'name': 'Cristiana Girelli'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.6, 41.8], 'player': {'id': 25544, 'name': 'Valentina Bergamaschi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'teammate': False}, {'location': [103.9, 43.6], 'player': {'id': 10371, 'name': 'Elisa Bartoli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [104.0, 37.2], 'player': {'id': 10398, 'name': 'Valentina Cernoia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'teammate': False}, {'location': [98.4, 36.4], 'player': {'id': 10213, 'name': 'Alia Guagni'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [109.0, 39.6], 'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.7, 29.0], 'player': {'id': 10366, 'name': 'Sara Gama'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [118.6, 39.9], 'player': {'id': 10218, 'name': 'Laura Giuliani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",,Saved,0.020384768,Half Volley,Open Play,,,,China PR Women's,1207,00:35:12.818,Shot,
