50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.1387,,,,,,,,,,,,8676ccd0-f96e-40d1-8944-98b38f651949,140,,"[104.0, 45.0]",19786,2,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lauren Hemp,15555.0,Left Center Forward,9,Manchester City WFC,746,"['0d150b7b-d729-4170-a1ae-8a41b438ec21', '48a60d2a-1f5a-4c91-b179-6543a025713a']",32,,Left Foot,"[107.0, 42.0]",,"[{'location': [113.0, 41.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 44.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [105.0, 43.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [94.0, 64.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [102.0, 57.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [95.0, 48.0], 'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,Blocked,0.36234063,Normal,Open Play,,,,Manchester City WFC,746,00:02:32.374,Shot,
,,,,,,,,,,,,0.1456,,,,,,,,,,,,670d62d4-67b6-441d-b5f6-b4c1d39e6d65,235,,"[106.0, 52.0]",19786,4,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jane Ross,4653.0,Center Forward,14,West Ham United LFC,972,"['ad8ac352-2029-4b85-96cb-abfd8314998a', 'b6baeb65-79c8-47ee-90da-2280eb1985d4']",8,,Right Foot,"[109.0, 51.0]",,"[{'location': [119.0, 43.0], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [107.0, 58.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [104.0, 66.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [92.0, 46.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [100.0, 45.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [97.0, 53.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.0, 53.0], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [108.0, 53.0], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 50.0], 'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 44.0], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.0, 36.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [93.0, 31.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",a32b7cd8-cd77-4fb7-83db-5c37a6bcd690,,Blocked,0.057572126,Normal,Open Play,,,,West Ham United LFC,972,00:04:08.330,Shot,
,,,,,,,,,,,,0.68531,,,,,,,,,,,,6fd8798e-6591-4d34-9f2e-6b1b264411a8,647,,"[98.0, 47.0]",19786,14,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alisha Lehmann,18153.0,Right Wing,35,Manchester City WFC,746,['ab629100-7e03-43dc-9abb-c477fc30a3c0'],20,,Left Foot,"[119.0, 43.0, 0.9]",,"[{'location': [104.0, 37.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [103.0, 49.0], 'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.0, 44.0], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.0, 46.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [95.0, 55.0], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.0, 41.0], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [84.0, 43.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [102.0, 51.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,Saved,0.048966352,Normal,Open Play,,,,West Ham United LFC,972,00:14:20.150,Shot,
,,,,,,,,,,,,1.234281,,,,,,,,,,,,8e435214-d455-412a-9f63-86ec615bb76b,655,,"[106.0, 38.0]",19786,14,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Caroline Weir,10188.0,Left Midfield,37,Manchester City WFC,746,['07a8e1dc-18e5-41ca-9b30-68b44dd9f360'],47,,Left Foot,"[120.0, 43.4, 0.6]",,"[{'location': [99.0, 53.0], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [95.0, 55.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [99.0, 47.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.0, 37.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [112.0, 39.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",7de2236a-1a12-4441-aaef-f78b994d5e23,True,Goal,0.44264245,Normal,Open Play,,,,Manchester City WFC,746,00:14:47.808,Shot,
,,,,,,,,,,,,0.702869,,,,,,,,,,,,2c51d06a-23aa-4264-a1b5-2a5fde0ba60b,705,,"[113.0, 26.0]",19786,16,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Adriana Kristina Leon,8297.0,Left Wing,40,West Ham United LFC,972,['02561186-6a3d-4992-a1b4-ba109aa1f16c'],12,,Left Foot,"[120.0, 34.6, 1.4]",,"[{'location': [110.0, 5.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [115.0, 47.0], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [107.0, 43.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [111.0, 44.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [113.0, 10.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [96.0, 20.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [120.0, 17.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [119.0, 38.0], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.0, 34.0], 'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.0, 32.0], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.0, 26.0], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.0, 21.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 18.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}]",fc70f7d5-9168-47c1-929a-16d30d9d88d4,,Off T,0.04989784,Normal,Open Play,,,,West Ham United LFC,972,00:16:12.212,Shot,
,,,,,,,,,,,,1.678044,,,,,,,,,,,,ebe832df-449c-48d1-a546-de4215d4af2e,942,,"[106.0, 46.0]",19786,21,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Stephanie Houghton,10185.0,Right Center Back,50,Manchester City WFC,746,['a018e8e3-a771-4b66-bbad-4dfb48d2556b'],34,,Left Foot,"[119.0, 34.8, 3.8]",True,"[{'location': [115.0, 43.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [115.0, 39.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [116.0, 35.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [110.0, 36.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [114.0, 36.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': False}, {'location': [113.0, 41.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [112.0, 45.0], 'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'teammate': False}, {'location': [114.0, 48.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': False}, {'location': [108.0, 46.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [98.0, 45.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [113.0, 13.0], 'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': True}, {'location': [112.0, 34.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [98.0, 49.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}, {'location': [111.0, 53.0], 'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'teammate': True}, {'location': [115.0, 45.0], 'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}, {'location': [113.0, 39.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [110.0, 30.0], 'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}]",,,Off T,0.09353329,Half Volley,Open Play,,,,Manchester City WFC,746,00:21:34.107,Shot,
,,,,,,,,,,,,0.815066,,,,,,,,,,,,e14e5928-9141-4466-a6e7-ae34ec912251,1144,,"[104.0, 25.0]",19786,26,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lauren Hemp,15555.0,Left Center Forward,64,Manchester City WFC,746,"['3f98ad92-1b8a-4dee-9319-3ec6995f27b1', '6f3e7e01-d9e9-46fe-9e86-18440c1e901e']",38,,Left Foot,"[114.0, 39.1, 1.0]",,"[{'location': [116.0, 37.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [104.0, 28.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [94.0, 40.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [85.0, 43.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': True}]",52fc6d78-9d80-4fa0-979b-253f332c51ee,,Saved,0.057307277,Normal,Open Play,,,,Manchester City WFC,746,00:26:38.003,Shot,True
,,,,,,,,,,,,0.2381,,,,,,,,,,,,d8646af0-8e3c-4ac9-82d9-3f9a6778b17f,1283,,"[115.0, 29.0]",19786,31,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Claire Lauren Rafferty,18156.0,Left Back,74,West Ham United LFC,972,['1a0f360e-5da2-4357-83d1-25d54d554716'],43,,Left Foot,"[116.0, 39.0]",True,"[{'location': [105.0, 46.0], 'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [120.0, 20.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.0, 37.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [116.0, 40.0], 'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [109.0, 44.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 40.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.0, 44.0], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [119.0, 39.0], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [111.0, 36.0], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.0, 37.0], 'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.0, 33.0], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.0, 22.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.0, 30.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [107.0, 18.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}]",628c2878-b768-489b-b59c-0a7c265a9560,,Wayward,0.1112256,Normal,Open Play,,,,West Ham United LFC,972,00:31:43.615,Shot,
,,,,,,,,,,,,0.634677,,,,,,,,,,,,d9add7a7-613d-4214-8be1-f1f984d22ae9,1370,,"[112.0, 46.0]",19786,33,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alisha Lehmann,18153.0,Right Wing,79,West Ham United LFC,972,['cffd7ba3-db4c-4330-8480-13d06caefe14'],39,,Left Foot,"[119.0, 36.8, 3.8]",,"[{'location': [113.0, 17.0], 'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.0, 39.0], 'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [118.0, 15.0], 'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'teammate': False}, {'location': [108.0, 15.0], 'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [100.0, 19.0], 'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'teammate': True}, {'location': [112.0, 41.0], 'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.0, 45.0], 'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'teammate': True}, {'location': [114.0, 46.0], 'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.0, 41.0], 'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'teammate': False}, {'location': [115.0, 41.0], 'player': {'id': 17524, 'name': 'Jennifer Patricia Beattie'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.0, 36.0], 'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.0, 20.0], 'player': {'id': 4654, 'name': 'Nikita Parris'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': False}, {'location': [106.0, 27.0], 'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [109.0, 25.0], 'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.0, 21.0], 'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",07db97cf-20d0-4173-9efa-ed7e2ef6f37b,,Off T,0.16946991,Volley,Open Play,,,,West Ham United LFC,972,00:33:39.334,Shot,
,,,,,,,,,,,,2.109281,,,,,,,,,,,,c05b93fe-60d3-484b-b4fc-a8ef9cfe7cd3,1513,,"[94.0, 54.0]",19786,38,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Lauren Hemp,15555.0,Left Center Forward,88,Manchester City WFC,746,['773572b8-83e4-4e9b-9460-25ed1a4ebbae'],14,,Left Foot,"[120.0, 37.0, 0.6]",,"[{'location': [105.0, 52.0], 'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [92.0, 47.0], 'player': {'id': 21014, 'name': 'Vyan Sampson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.0, 54.0], 'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}]",ab45de93-1565-4a09-a3ef-4a5a09bcd286,True,Goal,0.21339811,Lob,Open Play,,,,Manchester City WFC,746,00:38:14.728,Shot,
