ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.263271,,,,,,,,,,,8a8394fc-e9cb-45ba-bcac-9ca3a20c5495,120,,,"[113.3, 50.8]",3900583,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Giovanni-Guy Yann Sio,3018.0,Center Forward,10,Rennes,134,['aece06a6-37da-406f-9dbf-5b2f517d3fc8'],2,,Left Foot,"[120.0, 49.2, 0.5]",True,"[{'location': [110.9, 45.4], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [96.9, 53.4], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.2, 36.5], 'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [96.6, 36.3], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [108.1, 39.1], 'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.0, 43.1], 'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [114.1, 42.9], 'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [119.5, 43.6], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [114.9, 39.1], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.8, 37.8], 'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [113.4, 35.3], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [111.3, 42.8], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [114.2, 46.4], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [113.5, 49.6], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [104.5, 49.8], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [119.2, 40.7], 'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",54ba329b-ae01-4862-828a-b1307b17bbb9,,Off T,0.036785454,Backheel,Open Play,,,,Rennes,134,00:02:02.979,Shot,
,,,,,,,,,,,,,,1.166291,,,,,,,,,,,25bd13a9-ecd4-42a1-b30f-3791d443b224,336,,,"[93.8, 49.3]",3900583,6,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Fabien Camus,401470.0,Center Attacking Midfield,19,Troyes,133,"['60f3bb3a-4210-41cc-8f4e-1f689400aad0', '7c996f06-f078-40d0-ad74-1c4d5dd4113c']",19,,Left Foot,"[120.0, 36.9, 2.0]",,"[{'location': [78.0, 23.9], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [94.9, 55.7], 'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [93.8, 48.2], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.0, 50.4], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.5, 35.2], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [99.3, 47.2], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [99.2, 51.6], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [91.4, 35.5], 'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [115.2, 42.1], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [81.5, 52.3], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.4, 55.7], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [95.9, 33.6], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [89.8, 18.5], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",4bf16068-7221-45b6-b6c1-c29768aece4d,,Goal,0.029354503,Normal,Open Play,,,,Troyes,133,00:06:19.682,Shot,True
,,,,,,,,,,,,,,0.991492,,,,,,,,,,,01aae57a-ee3e-49b6-a2c0-0369d771330e,444,,,"[113.0, 47.3]",3900583,9,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Calvin Anele Ngcongca,401479.0,Right Center Back,25,Troyes,133,"['d7b7db1d-04c8-4f9b-8424-769d04c785b4', 'eb7512cc-2d26-4a12-a1ca-2732f7959548']",35,True,Head,"[119.2, 41.2, 0.2]",,"[{'location': [112.3, 42.7], 'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.1, 43.9], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.7, 39.6], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [99.8, 39.8], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [105.6, 29.4], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [112.7, 46.3], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [115.2, 51.0], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [117.1, 45.3], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [108.3, 31.2], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [102.7, 40.2], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [109.9, 37.6], 'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.5, 61.3], 'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [117.0, 73.2], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.2, 40.6], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}]",f2f8ef21-367b-4038-875d-38a50e04a49f,,Saved,0.063577354,Normal,Open Play,,,,Troyes,133,00:09:35.216,Shot,True
,,,,,,,,,,,,,,0.484466,,,,,,,,,,,543beeff-aa8a-4019-ad1c-224c7bd051d9,692,,,"[116.4, 41.4]",3900583,14,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Corentin Jean,3010.0,Center Forward,34,Troyes,133,['929581f5-0a7c-490a-990c-9cc3f81ebe38'],39,,Head,"[120.0, 37.2, 0.6]",,"[{'location': [100.2, 34.0], 'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.1, 39.5], 'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [114.7, 45.0], 'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [115.7, 42.8], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [115.5, 41.8], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.7, 38.0], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [115.8, 48.7], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.2, 44.0], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [115.1, 36.0], 'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [119.4, 39.8], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.4, 36.9], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [116.6, 37.1], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [117.7, 35.3], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.4, 21.6], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.6, 22.7], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [106.2, 14.0], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [93.9, 24.6], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",7698d9c8-004c-45c3-962d-52723f1bdac5,,Goal,0.39277446,Normal,Open Play,,,,Troyes,133,00:14:39.214,Shot,
,,,,,,,,,,,,,,0.485852,,,,,,,,,,,609d6ed5-cc23-4a03-a569-2799e4a942bb,957,,,"[108.0, 40.0]",3900583,20,,,,,,,,,,,,,,,,,,,,,,,,1,Other,Fallou Diagne,3022.0,Right Center Back,43,Rennes,134,['b061e2d4-424a-4d27-bfd4-e73aace53b80'],38,,Right Foot,"[120.0, 37.0, 0.5]",,,,,Goal,0.7835,Normal,Penalty,,,,Rennes,134,00:20:38.903,Shot,
,,,,,,,,,,,,,,1.373669,,,,,,,,,,,579b2372-919c-4d68-ace4-e696a60342fc,982,,,"[88.3, 49.9]",3900583,21,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,45,Rennes,134,['dfa91604-f8b2-4f8d-93be-560289c3a58b'],34,,Left Foot,"[118.9, 40.3, 1.3]",True,"[{'location': [101.7, 30.9], 'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [81.2, 56.2], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [83.9, 40.4], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [92.4, 50.2], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.8, 39.2], 'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [100.0, 57.3], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [100.4, 52.6], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [95.0, 68.2], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [85.4, 66.6], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [97.6, 40.0], 'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [97.4, 29.4], 'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [82.7, 43.4], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}, {'location': [80.4, 54.9], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [119.2, 40.2], 'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [96.3, 71.9], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [99.0, 59.8], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Saved,0.02092228,Half Volley,Open Play,,,,Rennes,134,00:21:34.518,Shot,
,,,,,,,,,,,,,,0.413355,,,,,,,,,,,d6eb03f6-80ca-48ce-ab8b-b3a761f03faa,1188,,,"[101.5, 52.8]",3900583,27,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,61,Rennes,134,"['87271617-c8c9-45c6-82bc-fa0a6e16d94a', 'ed99fa7f-41e1-41dc-855e-31dcc052e5f1']",8,,Left Foot,"[109.5, 45.9]",,"[{'location': [109.1, 40.2], 'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [107.5, 38.2], 'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [101.8, 45.5], 'player': {'id': 4413, 'name': 'Aloïs Confais'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.3, 28.1], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.4, 46.0], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [88.8, 50.4], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [103.6, 53.8], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [108.3, 57.2], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [96.7, 62.0], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [86.3, 52.0], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [106.8, 39.3], 'player': {'id': 4909, 'name': 'Jeremie Boga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [96.9, 44.9], 'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [118.5, 42.2], 'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.0, 41.6], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",3d9e9046-cce8-4bbf-b591-13bb9df421d3,,Blocked,0.047221605,Normal,Open Play,,,,Rennes,134,00:27:08.492,Shot,
,,,,,,,,,,,,,,0.447773,,,,,,,,,,,1f87e142-a872-486c-9674-ecbcab0a61ea,1211,,,"[112.6, 50.2]",3900583,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,62,Rennes,134,['72f056df-6b64-41a9-bc3b-9cc48898b7ec'],30,,Right Foot,"[120.0, 43.2, 2.4]",,"[{'location': [110.8, 45.9], 'player': {'id': 7415, 'name': 'Jessy Pi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [98.6, 61.2], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [112.9, 46.6], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.9, 46.8], 'player': {'id': 13730, 'name': 'Matthieu Saunier'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [113.1, 37.0], 'player': {'id': 401479, 'name': 'Calvin Anele Ngcongca'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.0, 25.7], 'player': {'id': 26752, 'name': 'Mouhamadou Dabo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.6, 42.7], 'player': {'id': 7193, 'name': 'Paul Bernardoni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.2, 35.1], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [115.1, 44.2], 'player': {'id': 3018, 'name': 'Giovanni-Guy Yann Sio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}]",,,Goal,0.13414788,Normal,Open Play,,,,Rennes,134,00:27:30.672,Shot,
,,,,,,,,,,,,,,1.909394,,,,,,,,,,,6612d27d-e03a-4fc2-83fc-da018e5a57c0,1249,,,"[103.4, 28.3]",3900583,28,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Corentin Jean,3010.0,Center Forward,63,Troyes,133,['94134197-1766-42d0-9f52-6bc29292e506'],51,,Left Foot,"[120.0, 50.8, 0.2]",True,"[{'location': [91.6, 12.5], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.0, 39.6], 'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [105.5, 32.7], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [105.8, 28.1], 'player': {'id': 29714, 'name': 'Yacouba Sylla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.9, 19.0], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [96.3, 18.4], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [101.8, 22.9], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [116.9, 37.0], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.9, 41.1], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.8, 24.9], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.1, 16.2], 'player': {'id': 7336, 'name': 'Jimmy Cabot'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [92.2, 16.1], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}]",81e12483-df9e-48f5-b400-4adcda8bce74,,Off T,0.07274491,Normal,Open Play,,,,Troyes,133,00:28:51.649,Shot,
,,,,,,,,,,,,,,0.768055,,,,,,,,,,,5de12be6-31ba-4d16-bc12-6165c301cd8a,1391,,,"[103.0, 25.8]",3900583,31,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jimmy Cabot,7336.0,Left Wing,68,Troyes,133,['3cbd7451-2233-4f85-b0c2-c7c7586e38e3'],58,,Right Foot,"[118.6, 38.8, 2.0]",,"[{'location': [100.9, 35.2], 'player': {'id': 2990, 'name': 'Benjamin André'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [88.3, 20.2], 'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [109.1, 43.8], 'player': {'id': 3424, 'name': ""Cheikh M''Bengue""}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [106.8, 36.6], 'player': {'id': 40699, 'name': 'Sylvain Armand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.2, 35.4], 'player': {'id': 3022, 'name': 'Fallou Diagne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [104.1, 29.0], 'player': {'id': 3292, 'name': 'Abdoulaye Doucouré'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [105.9, 27.6], 'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [118.7, 38.8], 'player': {'id': 3354, 'name': 'Benoît Guy Robert Costil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [106.3, 45.4], 'player': {'id': 401470, 'name': 'Fabien Camus'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [106.8, 34.5], 'player': {'id': 3010, 'name': 'Corentin Jean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [90.2, 19.0], 'player': {'id': 18162, 'name': 'Chris Mavinga'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [103.8, 36.9], 'player': {'id': 7301, 'name': 'Lossémy Karaboué'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}]",39c7ba32-f859-46b7-a557-bdcad156ad23,,Saved,0.034070794,Normal,Open Play,,,,Troyes,133,00:31:58.410,Shot,
