ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.40434,,,,,,,,,,,,,b322e844-3ce4-435e-84dc-5f836badc921,155,,,"[113.5, 52.0]",3813312,3,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vikram Pratap Singh,159773.0,Right Wing,7,Mumbai City,7287,['c2f4b512-3c66-4615-b038-a17e3489ed0c'],49,,Right Foot,"[120.0, 42.7, 0.2]",True,"[{'location': [109.2, 40.4], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [116.1, 39.8], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [116.8, 44.9], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [116.7, 33.5], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [114.6, 26.5], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [119.2, 41.8], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.2, 23.0], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [115.4, 35.8], 'player': {'id': 8038, 'name': 'Igor Angulo Albóniga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [99.0, 20.5], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [104.0, 39.0], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}]",68780a86-b635-4ceb-b905-952f21bef192,,,Goal,0.08972641,Normal,Open Play,,,,Mumbai City,7287,00:03:49.438,Shot,
,,,,,,,,,,,,,,,,,0.915003,,,,,,,,,,,,,d4a2e612-5322-4210-8035-0597af1a49fe,212,,,"[109.0, 38.1]",3813312,6,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Igor Angulo Albóniga,8038.0,Center Forward,10,Mumbai City,7287,['e956442a-d160-4185-8db3-1e2f3db3e162'],52,,Left Foot,"[118.0, 39.7, 2.0]",True,"[{'location': [98.3, 11.9], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [103.2, 13.7], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [104.2, 22.0], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [103.2, 35.0], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [108.8, 39.4], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [98.4, 39.2], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [107.7, 43.1], 'player': {'id': 159773, 'name': 'Vikram Pratap Singh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [111.6, 46.2], 'player': {'id': 159770, 'name': 'Serigne Mourtada Fall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.6, 7.8], 'player': {'id': 124747, 'name': 'Rahul Bheke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [92.0, 23.8], 'player': {'id': 124905, 'name': 'Lalengmawia Ralte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}, {'location': [100.5, 24.8], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [101.2, 11.3], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.1, 38.8], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [109.5, 44.7], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [112.0, 43.8], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [107.0, 27.3], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",8c5a961d-6f58-4eb1-8f92-a0da9200a296,,,Saved,0.09624592,Overhead Kick,Open Play,,,,Mumbai City,7287,00:06:52.092,Shot,
,,,,,,,,,,,,,,,,,0.050105,,,,,,,,,,,,,284a4132-0af2-424e-8390-8bac6781bc18,526,,,"[89.9, 37.4]",3813312,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Joni Ensio Kauko,24303.0,Right Wing,31,ATK Mohun Bagan,7282,"['92a256db-9fa5-4396-bfbb-dfd3f9dc36e4', 'bb961cf7-2d6c-4891-a142-99d49bc2b13e']",50,,Right Foot,"[94.0, 38.1]",,"[{'location': [97.5, 30.3], 'player': {'id': 124905, 'name': 'Lalengmawia Ralte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [94.4, 38.2], 'player': {'id': 124747, 'name': 'Rahul Bheke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [102.7, 43.3], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [101.9, 21.2], 'player': {'id': 159767, 'name': 'Amey Ganesh Ranawade'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [86.8, 32.2], 'player': {'id': 159771, 'name': 'Ahmed Jahouh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [83.0, 35.2], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [88.4, 40.7], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [104.4, 30.5], 'player': {'id': 159770, 'name': 'Serigne Mourtada Fall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 26.4], 'player': {'id': 163344, 'name': 'Roy Krishna'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.8, 28.7], 'player': {'id': 163342, 'name': 'Hugo Adnan Boumous'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [101.8, 55.4], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}]",3dea903d-c17e-4525-af24-16ff95e1f2f9,,,Blocked,0.035090487,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:15:50.905,Shot,
,,,,,,,,,,,,,,,,,0.888753,,,,,,,,,,,,,c7c0429a-ca9e-4ec5-afd2-df499961483d,701,,,"[112.3, 39.5]",3813312,21,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Carl Gerard McHugh,9989.0,Center Back,41,ATK Mohun Bagan,7282,"['13093843-e3a4-4be8-be9b-adcbee14a5e8', 'b81d79c5-0fae-4360-812c-d3aa263622fc']",17,True,Head,"[120.0, 39.2, 4.7]",,"[{'location': [114.2, 35.1], 'player': {'id': 159767, 'name': 'Amey Ganesh Ranawade'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [102.7, 35.7], 'player': {'id': 159773, 'name': 'Vikram Pratap Singh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [119.9, 40.9], 'player': {'id': 159770, 'name': 'Serigne Mourtada Fall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [115.7, 42.2], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [116.8, 42.4], 'player': {'id': 124905, 'name': 'Lalengmawia Ralte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [119.9, 40.3], 'player': {'id': 159771, 'name': 'Ahmed Jahouh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [119.8, 39.1], 'player': {'id': 159775, 'name': 'Mohammad Nawaz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [117.9, 40.9], 'player': {'id': 163344, 'name': 'Roy Krishna'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [102.7, 52.3], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [106.0, 47.7], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [112.0, 41.1], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [112.3, 40.1], 'player': {'id': 8038, 'name': 'Igor Angulo Albóniga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [112.7, 38.8], 'player': {'id': 124747, 'name': 'Rahul Bheke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.1, 41.7], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': True}]",,,,Off T,0.082560465,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:21:17.698,Shot,True
,,,,,,,,,,,,,,,,,0.305175,,,,,,,,,,,,,d5631ff9-d260-4c29-bb76-5e74332ed96f,852,,,"[113.8, 42.7]",3813312,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vikram Pratap Singh,159773.0,Right Wing,46,Mumbai City,7287,['593267d5-f418-4591-8be7-be905b2020d9'],32,,Right Foot,"[118.0, 41.0, 0.3]",True,"[{'location': [105.1, 33.9], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [109.4, 36.6], 'player': {'id': 8038, 'name': 'Igor Angulo Albóniga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [109.1, 30.9], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [114.7, 21.1], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.0, 39.7], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.4, 32.3], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [111.6, 43.5], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [110.8, 36.7], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [110.8, 21.4], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [104.4, 26.4], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.6, 20.7], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [96.7, 15.6], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}]",70c5154a-00ed-41bd-864b-8e3817224e72,,,Saved,0.5664898,Normal,Open Play,,,,Mumbai City,7287,00:24:32.246,Shot,
,,,,,,,,,,,,,,,,,0.792883,,,,,,,,,,,,,22e8f5eb-3f19-4da7-acf4-2b6444634ef5,856,,,"[117.0, 41.2]",3813312,24,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Vikram Pratap Singh,159773.0,Right Wing,46,Mumbai City,7287,['25760e13-451a-417f-b2ef-84cf9d970cdc'],32,,Other,"[120.0, 40.0, 0.2]",,"[{'location': [107.7, 36.5], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [111.6, 35.7], 'player': {'id': 8038, 'name': 'Igor Angulo Albóniga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [111.7, 33.3], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [118.0, 21.6], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [119.2, 41.1], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [114.0, 43.3], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [109.0, 35.5], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.9, 21.5], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.9, 37.1], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [106.5, 28.4], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [97.8, 21.4], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.7, 16.1], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}]",,True,,Goal,0.60063314,Normal,Open Play,,,,Mumbai City,7287,00:24:32.820,Shot,
,,,,,,,,,,,,,,,,,0.736844,,,,,,,,,,,,,240d654b-c147-4e44-891f-1581104a1bd1,918,,,"[93.5, 33.9]",3813312,29,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Deepak Tangri,163340.0,Right Defensive Midfield,50,ATK Mohun Bagan,7282,"['532b010c-ce13-4900-bb1b-ed2424c4733e', 'fa62306b-5149-4d03-8092-d2a8a6b11d9d']",6,,Right Foot,"[107.5, 35.8]",,"[{'location': [108.3, 54.4], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [100.2, 57.5], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [108.4, 64.2], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': True}, {'location': [119.2, 39.4], 'player': {'id': 159775, 'name': 'Mohammad Nawaz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [102.0, 20.8], 'player': {'id': 159773, 'name': 'Vikram Pratap Singh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [96.7, 32.9], 'player': {'id': 124905, 'name': 'Lalengmawia Ralte'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [100.0, 15.1], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': True}, {'location': [103.2, 29.4], 'player': {'id': 24303, 'name': 'Joni Ensio Kauko'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [85.9, 42.6], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': True}, {'location': [83.9, 53.6], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [105.6, 36.9], 'player': {'id': 163342, 'name': 'Hugo Adnan Boumous'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [108.1, 35.8], 'player': {'id': 163344, 'name': 'Roy Krishna'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.9, 40.3], 'player': {'id': 159771, 'name': 'Ahmed Jahouh'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [105.5, 27.6], 'player': {'id': 159767, 'name': 'Amey Ganesh Ranawade'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [105.0, 35.4], 'player': {'id': 159770, 'name': 'Serigne Mourtada Fall'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.8, 39.8], 'player': {'id': 124747, 'name': 'Rahul Bheke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [89.3, 50.4], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}]",cdfd7197-1c5a-4f66-8b95-b4428d39338a,,,Blocked,0.03344552,Normal,Open Play,,,,ATK Mohun Bagan,7282,00:29:06.804,Shot,
,,,,,,,,,,,,,,,,,0.708326,,,,,,,,,,,,,322ddac9-64ab-4e8d-ad21-b6a88c6c8f12,1052,,,"[90.7, 47.9]",3813312,32,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ahmed Jahouh,159771.0,Left Defensive Midfield,58,Mumbai City,7287,['7914d174-52a7-4e89-a1a5-e98bf2d52187'],55,,Right Foot,"[107.3, 35.8]",,"[{'location': [117.9, 40.7], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [110.1, 15.4], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [108.9, 31.8], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [102.5, 54.6], 'player': {'id': 159773, 'name': 'Vikram Pratap Singh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [107.8, 34.3], 'player': {'id': 8038, 'name': 'Igor Angulo Albóniga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [93.7, 42.2], 'player': {'id': 159765, 'name': 'Cássio Gabriel Vilela Ferreira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [90.9, 41.7], 'player': {'id': 159767, 'name': 'Amey Ganesh Ranawade'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [88.1, 23.1], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [109.1, 41.1], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [104.5, 42.7], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [109.3, 46.9], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [100.1, 23.6], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [95.8, 47.0], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [96.3, 40.8], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}]",,,,Wayward,0.018534295,Normal,Open Play,,,,Mumbai City,7287,00:32:55.703,Shot,
,,,,,,,,,,,,,,,,,1.004146,,,,,,,,,,,,,57ae95d7-d15d-403e-b232-bde0dcbe3d25,1066,,,"[105.5, 28.2]",3813312,33,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Igor Angulo Albóniga,8038.0,Center Forward,58,Mumbai City,7287,['cefca679-8c16-4287-b430-dc73d45c72fd'],21,,Left Foot,"[120.0, 38.6, 7.3]",True,"[{'location': [88.1, 14.5], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}, {'location': [97.6, 26.0], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [114.6, 35.1], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [105.9, 32.2], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [99.6, 24.8], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}]",241648af-a577-425c-ab18-ad2ba35d5d09,,,Off T,0.16117965,Normal,Open Play,,,,Mumbai City,7287,00:33:21.383,Shot,
,,,,,,,,,,,,,,,,,0.68899,,,,,,,,,,,,,989886d1-d9b7-44db-a083-d9ac6a7725b7,1174,,,"[112.3, 59.9]",3813312,36,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cássio Gabriel Vilela Ferreira,159765.0,Center Attacking Midfield,67,Mumbai City,7287,['2de4acad-5548-4d60-a7fd-5bd470203735'],17,,Right Foot,"[119.2, 44.3, 1.3]",True,"[{'location': [100.1, 66.0], 'player': {'id': 159773, 'name': 'Vikram Pratap Singh'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': True}, {'location': [100.4, 59.4], 'player': {'id': 159767, 'name': 'Amey Ganesh Ranawade'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': True}, {'location': [94.2, 29.3], 'player': {'id': 124770, 'name': 'Mandar Rao Desai'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': True}, {'location': [109.2, 41.2], 'player': {'id': 8038, 'name': 'Igor Angulo Albóniga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [105.6, 30.4], 'player': {'id': 124902, 'name': 'Bipin Singh Thounajam'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [118.9, 43.2], 'player': {'id': 124773, 'name': 'Amrinder Singh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [101.2, 44.2], 'player': {'id': 163343, 'name': 'Lenny Rodrigues'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [94.7, 58.1], 'player': {'id': 124907, 'name': 'Liston Colaco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'teammate': False}, {'location': [103.3, 64.2], 'player': {'id': 124756, 'name': 'Subhasish Bose'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [108.7, 60.6], 'player': {'id': 163342, 'name': 'Hugo Adnan Boumous'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [106.4, 52.5], 'player': {'id': 163340, 'name': 'Deepak Tangri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [111.7, 55.8], 'player': {'id': 9989, 'name': 'Carl Gerard McHugh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'teammate': False}, {'location': [111.1, 41.4], 'player': {'id': 124772, 'name': 'Pritam Kotal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [97.7, 28.0], 'player': {'id': 124741, 'name': 'Manvir Singh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'teammate': False}]",791eebbc-dbba-436c-9b6d-51dd2d077d69,,,Saved,0.009470998,Normal,Open Play,,,,Mumbai City,7287,00:36:17.196,Shot,
